url,twitterUrl,text,imageSeverity
https://x.com/dreammicchii/status/1686040754588979200,https://twitter.com/dreammicchii/status/1686040754588979200,"the ""it's been raining in manila"" hits different for us who are actually living in manila lmao (especially for us college students who are alone in their dorms, etc.)

pero masagwa talaga yung baha :&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;",NOT RELEVANT
https://x.com/SweetSheanne/status/1685987020336979968,https://twitter.com/SweetSheanne/status/1685987020336979968,@ericnamofficial Reroute to Cebu. It’s so baha in Manila right now 🥺,NOT RELEVANT
https://x.com/__riggsdamnit/status/1685809804210753536,https://twitter.com/__riggsdamnit/status/1685809804210753536,Hi! Is anyone in Manila right now? Baha ba taft? 🫠 super lakas ulan and i’m still on my way amp,NOT RELEVANT
https://x.com/qquuestionmarkk/status/1685499108449206272,https://twitter.com/qquuestionmarkk/status/1685499108449206272,"ITS BAHA IN MANILA, NOT EVEN FUNNY",NOT RELEVANT
https://x.com/senyornino/status/1685293732802019328,https://twitter.com/senyornino/status/1685293732802019328,"Parang ang lala ng baha baha today sa labas, and mind you I've just been to Alabang this evening. I could only imagine the flooding north of Metro Manila.",NOT RELEVANT
https://x.com/dailynetizen24/status/1685261906133827584,https://twitter.com/dailynetizen24/status/1685261906133827584,"These parts of Metro Manila are currently under water... #Baha #Flood #Flooding #EgayPH 
https://t.co/zX2SS31Ztn",NOT RELEVANT
https://x.com/antipcasian1000/status/1685250936774803456,https://twitter.com/antipcasian1000/status/1685250936774803456,"These parts of Metro Manila are currently under water... #Baha #Flood #Flooding #EgayPH 
https://t.co/V63gN36Q0q",NOT RELEVANT
https://x.com/mrnllscn/status/1685237223619510272,https://twitter.com/mrnllscn/status/1685237223619510272,Awow welcome back to metro manila. this baha killed it,NOT RELEVANT
https://x.com/penguinonxx/status/1685072015689236480,https://twitter.com/penguinonxx/status/1685072015689236480,"If i were in manila at least yung baha sa labas lang,, i can wade thru the flood pero still get clean after pero dito sa bahay i have to live with the flood and i hate it",NOT RELEVANT
https://x.com/yhyjfan/status/1683990314820980737,https://twitter.com/yhyjfan/status/1683990314820980737,"Meanwhile deobis: that ""baha scene"" of SunRic here on Manila 😭",NOT RELEVANT
https://x.com/PAGASAFFWS/status/1685595084761546752,https://twitter.com/PAGASAFFWS/status/1685595084761546752,"Pasig-Marikina-Tullahan Flood Advisory No.3 Final
Issued at 6PM, 30 July 2023 https://t.co/N0R2G5LEtD",NOT RELEVANT
https://x.com/ABSCBNNews/status/1685513987302256640,https://twitter.com/ABSCBNNews/status/1685513987302256640,"Marikina River Water Level Update [As of July 30, 2023, 12:00 nn.]    

WATER LEVEL:  
14.9 meters ⬇️(Alarms Lifted)    

RAINFALL COUNT UPSTREAM: Mt. Campana: 0  mm  
Mt. Boso-Boso: 0 mm  
Mt. Aries : 0 mm  
Mt. Oro : 0 mm  
Nangka: 0 mm  
TOTAL: 0 mm    

MANGGAHAN FLOOD GATES: All Gates Open| via @jeck_batallones",MILD
https://x.com/jeck_batallones/status/1685511885918244864,https://twitter.com/jeck_batallones/status/1685511885918244864,"Marikina River Water Level Update
July 30, 2023, 12:00 n.n.

WATER LEVEL: 
14.9 meters ⬇️
(Alarms Lifted)

RAINFALL COUNT UPSTREAM:
Mt. Campana: 0  mm
Mt. Boso-Boso: 0 mm
Mt. Aries : 0 mm
Mt. Oro : 0 mm
Nangka: 0 mm
TOTAL: 0 mm

MANGGAHAN FLOOD GATES:
All Gates Open

@ABSCBNNews https://t.co/1TweiF7e2l",MILD
https://x.com/jojosoliman/status/1685308493342093312,https://twitter.com/jojosoliman/status/1685308493342093312,"MARIKINA RIVER WATER LEVEL
As of 11:00 PM 29 July 2023

WATER LEVEL: 16.71 meters 
TRENDS: Slowly⬇️

SECOND ALARM 🚨🚨

Source: PAGASA https://t.co/51KH6NsOKm

Weather system: #Habagat enhanced by Tropical Storm #FalconPH https://t.co/1yXL69ikgD",NOT RELEVANT
https://x.com/tribunephl/status/1685172761055174656,https://twitter.com/tribunephl/status/1685172761055174656,"MARIKINA RIVER CLEAN UP DRIVE

LOOK: Members of the River Park Authority of Marikina City clean the mud at the parks along Marikina River, which was brought by the recent flood due to Typhoon ""Egay"", on Saturday, 29 July 2023. The city is also preparing for the upcoming opening of the Palarong Pambansa on Monday, 31 July. | Photo by Analy Labor",NOT RELEVANT
https://x.com/manilabulletin/status/1685156105171922945,https://twitter.com/manilabulletin/status/1685156105171922945,"Members of the River Park Authority of Marikina City are seen cleaning the mud at the banks of Marikina River on Saturday, July 29, which was brought by the recent flood.

The city is also preparing for the upcoming opening ceremony of the 'Palarong Pambansa' on Monday, July 31. 

📸Noel B. Pabalate | MB",NOT RELEVANT
https://x.com/Joey82551790/status/1685115193628794881,https://twitter.com/Joey82551790/status/1685115193628794881,"@PhilstarNews rain=flooding
Gov't BUDGET for flood mitigation projects, don't know?
sa Marikina me resulta na paglaan ng BUDGET s dredging..",NOT RELEVANT
https://x.com/F73312771Hannah/status/1684816943663153152,https://twitter.com/F73312771Hannah/status/1684816943663153152,@ellensicat True. I have siblings ang nephews and nieces living in Marikina. They are all praises for Mayor Marcy for initiating flood control measures. Always prepared and visible daw in case of emergency.,NOT RELEVANT
https://x.com/tribunephl/status/1684468441296801792,https://twitter.com/tribunephl/status/1684468441296801792,"FLOOD EVACUEES IN QC

Residents of Bagong Silangan in Quezon City take temporary shelter in modular tents set up in Barangay Silangan Elementary School as the Marikina River floods their community due to heavy rains brought by Super Typhoon Egay, on Thursday, 27 July 2023. (Photos by Analy Labor)

#Egay
#DailyTribune",NOT RELEVANT
https://x.com/jojosoliman/status/1683974723208908800,https://twitter.com/jojosoliman/status/1683974723208908800,"Heavy Rainfall Warning No. 2  #NCR_PRSD
Weather System: TY EGAY / SW MONSOON
Issued at: 5:00 AM,26 July 2023
Orange Warning: #Zambales, #Bataan.
Associated Hazard: FLOODING is THREATENING
Yellow Warning: #MetroManila(Caloocan, Malabon, Navotas, Valenzuela, QuezonCity, Marikina), #Rizal(SanMateo, Antipolo, Rodriguez), #Tarlac, #Pampanga, #Bulacan.
Associated Hazard: FLOODING in flood-prone areas
Meanwhile, Light to moderate with occasional heavy rains affecting #NuevaEcija, #Cavite, #Laguna, #Batangas, #Quezon, and the rest of #MetroManila and #Rizal which may persist within 3 hours or more.
The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 8:00 AM Today.
For more information and queries, please call telephone numbers 8922-1992 and 8927-1335 or log on to https://t.co/4vzxsNiJfu.",NOT RELEVANT
https://x.com/up_kyla/status/1685788856359276544,https://twitter.com/up_kyla/status/1685788856359276544,Yes! Like Pasig City... they installed big drainage pipes going to the river in flood prone Stella Maris Street were flooding go as high as waistline now its gone! They have readily available powerful pumps to direct water from flooded area to the river... https://t.co/4a4wxrCa6N,NOT RELEVANT
https://x.com/MarketMarketBGC/status/1684533835781005313,https://twitter.com/MarketMarketBGC/status/1684533835781005313,"The Philippine Red Cross Rizal Chapter - Pasig Pateros Branch held a Mass Blood Donation at the Activity Center today. 

They also facilitated a lecture on typhoon and flood preparedness for all the volunteers. 

#iLoveMarketMarket https://t.co/GWLJNkOXmC",NOT RELEVANT
https://x.com/MelkcasTrabel/status/1684521727307796480,https://twitter.com/MelkcasTrabel/status/1684521727307796480,"@HLingayan SMC is doing it at no costs to the govt since July 2021 pa...

https://t.co/Lp4kT0dTrW",NOT RELEVANT
https://x.com/KalikasanPNE/status/1685976268972367872,https://twitter.com/KalikasanPNE/status/1685976268972367872,"Kalikasan PNE expressed its grave concern at the House of Representatives Committee on Public Works and Highways TWG meeting today regarding the proposed Manila Bay Integrated Flood Control, Coastal Defense, and Expressway Project in the northern Manila Bay area. https://t.co/0v4ig8UKMl",NOT RELEVANT
https://x.com/peoplesnicheph/status/1685968552417775618,https://twitter.com/peoplesnicheph/status/1685968552417775618,"Earlier today, People's NICHE member organizations @KalikasanPNE and @AghamNasyunal participated in the HOR Committee on Public Works and Highways meeting to discuss the proposed Manila Bay Integrated Flood Control, Coastal Defense, and Expressway project in northern Manila Bay. https://t.co/FoopyOMTwb",NOT RELEVANT
https://x.com/kimdotoli_0624/status/1685965933377118208,https://twitter.com/kimdotoli_0624/status/1685965933377118208,Omg!!! is there a flood in Philippines?!! A literal raining in manila 🥹 https://t.co/901rwPD64U,NOT RELEVANT
https://x.com/anthsco/status/1685815617339768832,https://twitter.com/anthsco/status/1685815617339768832,Dam spillover to flood Metro | The Manila Times https://t.co/LsgmhOS0gU,NOT RELEVANT
https://x.com/erleargonza/status/1685810061355188225,https://twitter.com/erleargonza/status/1685810061355188225,"Flood🌧️

FYI!💡The site of the rising New Manila International Airport in Bulacan is getting FLOODED right now. (can't cut &amp; paste the YouTube film🙄)

😱This is my apprehension over the choice of location for the megaproject. How will flooding be avoided or resolved there?🤔",NOT RELEVANT
https://x.com/inquirerdotnet/status/1685797419961958400,https://twitter.com/inquirerdotnet/status/1685797419961958400,"A flood of Philippine outsourcing opportunities will be unleashed with the lifting of the moratorium imposed by Peza on Metro Manila economic zone applications, according to leading real estate services firm Leechiu Property Consultants. | @miguelrcamusINQ https://t.co/3CHnKoaHNf",NOT RELEVANT
https://x.com/benign0/status/1685777669982744576,https://twitter.com/benign0/status/1685777669982744576,Recall... Could the Php 1.9 bn in flood control projects axed by Noynoy Aquino have saved Metro Manila from destruction? 😮  https://t.co/saAGPftZW5,NOT RELEVANT
https://x.com/damnews_en/status/1685755403773317120,https://twitter.com/damnews_en/status/1685755403773317120,"HEADLINES: Dam spillover to flood Metro | July 31, 2023 - The Manila Times #damnews #dam https://t.co/PFhm8PvmvD",NOT RELEVANT
https://x.com/damnews_en/status/1685674500359360513,https://twitter.com/damnews_en/status/1685674500359360513,Dam spillover to flood Metro - The Manila Times #damnews #dam https://t.co/RYVS7K1XDI,NOT RELEVANT
https://x.com/MangingisdaSays/status/1685667782158057472,https://twitter.com/MangingisdaSays/status/1685667782158057472,"Tomorrow, there will be a Technical Working Group (TWG) meeting at the House of Representatives regarding some bills to mitigate flooding.

However, some of these bills are proposing to create the Manila Bay Integrated Flood Control, Coastal Defense and Expressway.",NOT RELEVANT
https://x.com/manilabulletin/status/1685609244530536450,https://twitter.com/manilabulletin/status/1685609244530536450,"LOOK: Residents experience waist-deep flood in Brgy. San Juan, Balagtas, Bulacan on Sunday morning, July 30 due to heavy rains.

Sender Jimuel Lazaro said to Manila Bulletin that as of 5:00 p.m. today, the flood slightly went down to leg level. Their area has been experiencing deep flood waters for four days now.

According to PAGASA, storm-enhanced ""habagat""  may continue to bring occasional rains in Luzon and Visayas for the next few days.

📷: Jimuel Lazaro",MODERATE
https://x.com/jonnie_cabatbat/status/1685553682707005440,https://twitter.com/jonnie_cabatbat/status/1685553682707005440,"MANILA pa rin. Traffic, pollution, flood during rainy season, and the legendary lato-lato.🤪🤪🤪 https://t.co/MZTYPsZjyr",NOT RELEVANT
https://x.com/damnews_en/status/1685512681049206784,https://twitter.com/damnews_en/status/1685512681049206784,Pagasa issues flood warning as La Mesa Dam nears spilling level - The Manila Times #damnews #dam https://t.co/YHXwDtPcwr,NOT RELEVANT
https://x.com/anthropam/status/1685508041880616960,https://twitter.com/anthropam/status/1685508041880616960,"Flooding in Manila Bay, incl parts of Bulacan, is caused by land subsidence due to overdevelopment &amp;lack of sustainable water sources, sea level rise 4x the global yearly ave., maladative flood infra,etc. Add reclamation &amp;it's an even more potent cocktail for protracted disasters",NOT RELEVANT
https://x.com/tannieseven/status/1685465308725944320,https://twitter.com/tannieseven/status/1685465308725944320,"was planning on dropping off stuff at caritas in manila, but scared it might flood.",NOT RELEVANT
https://x.com/earthshakerph/status/1685305985672572929,https://twitter.com/earthshakerph/status/1685305985672572929,"HEAVY RAINFALL WARNING (11:00 PM)🌧️

Weather System: Due to #Habagat enhanced by TS #FalconPH

🟠 ORANGE : Zambales, Bataan, Pampanga
⚠️Hazard: FLOODING is THREATENING 

🟡YELLOW: Metro Manila, Tarlac, Bulacan, Rizal, #Cavite.
⚠️Hazard: FLOODING in flood-prone areas. https://t.co/U3v26uefFR",NOT RELEVANT
https://x.com/eggsyweggsies/status/1685298908170444800,https://twitter.com/eggsyweggsies/status/1685298908170444800,Hey do Fiido ebikes do well in flood water bc historically Manila is Floodinavia,NOT RELEVANT
https://x.com/sciencekonek/status/1685279637797298176,https://twitter.com/sciencekonek/status/1685279637797298176,"LOOK: In just the past 12 hours, almost all of our monitored stations in Metro Manila already received more than 50 mm of rainfall and more are expected due to the #habagat being enhanced by #FalconPH. 

⚠️Flooding is likely in flood-prone areas. https://t.co/GRy6LxgFDk",NOT RELEVANT
