url,twitterUrl,text,imageSeverity
https://x.com/LukeDenielle/status/1574374553572163584,https://twitter.com/LukeDenielle/status/1574374553572163584,I want to take my midterm exams already but I do hope na icancel classes tomorrow. Please be considerate to those that live in low areas. One of my classmates hanggang waist level yung baha sakanila rn and till now wala parin announcement of cancellation of classes sa Manila.,NOT RELEVANT
https://x.com/chguzao/status/1575075456218370048,https://twitter.com/chguzao/status/1575075456218370048,I MISSED MANILA BUT I DIDNT MISS THE BAHA GAGO LPWKEY BAHA NA,NOT RELEVANT
https://x.com/maybahaba/status/1573658278017613828,https://twitter.com/maybahaba/status/1573658278017613828,"RT @bobreyes: Metro Manila is now under Signal Number 2.
#WeatherPH #MayBahaBa #KardingPH #WalangPasok https://t.co/jZV4v1W8jw",NOT RELEVANT
https://x.com/ManilaTOURISTS/status/1573982641832927232,https://twitter.com/ManilaTOURISTS/status/1573982641832927232,"#DirectHitPH of #Category5PH 👀
260KpH #KardingPH #Noru
50mm min. #RainfallPH
tom is 13 years anniv. of #OndoyPH🙃
missing #PHdrainageSystem
#BuildingCodePH
#TransparencyPH
#CancelledFlightsPH✈
rain ulan flood baha NAIA
cancelled flight stranded passenger
#Boracay #Cebu #Palawan https://t.co/n6Q4DCwaQ5",NOT RELEVANT
https://x.com/pk_economy/status/1575500742487527425,https://twitter.com/pk_economy/status/1575500742487527425,"The Asian Development Bank will approve funding of over $2 billion to support Pakistan’s post-flood relief and resilience activities by end of the current year, ADB Director General for Central and West Asia Eugene Zhukov told a virtual press conference from Manila on Thursday. https://t.co/9U3MShTK64",NOT RELEVANT
https://x.com/theaugaf/status/1575462574841368576,https://twitter.com/theaugaf/status/1575462574841368576,"ADB to Provide $2 Billion for Support of Pakistan’s Flood Relief Measures 
Manila September 29 2022: The Asian Development Bank (ADB) will approve funding of over US$2 billion to support Pakistan’s post-flood relief and resilience https://t.co/DB8oWDhprQ https://t.co/0ZyE1FGzVV",NOT RELEVANT
https://x.com/PCInews_X/status/1574526872603484179,https://twitter.com/PCInews_X/status/1574526872603484179,"ICYMI: Metropolitan Manila Development Authority Acting Chair Carlo Dimayuga III inspected on Monday several locations vital in flood control and management across the region a day after Typhoon Karding (international name Noru) hit Luzon, including... https://t.co/OLCEKE4R4l",NOT RELEVANT
https://x.com/Earth42morrow/status/1574456170580148224,https://twitter.com/Earth42morrow/status/1574456170580148224,"Swathes of land swamped in Philippines after Typhoon Noru

#Noru #Philippines #Flood #KardingPH #TyphoonNoru #Typhoon #Flooding #TyphoonKardingPH #PolilloIslands #Luzon #Viral #Climate #Manila #Storm #Hurricane #Flooding #Rain #Polillo #Quezon https://t.co/2qdeU6qb6I",NOT RELEVANT
https://x.com/PCInews_X/status/1574436211883708416,https://twitter.com/PCInews_X/status/1574436211883708416,"Metropolitan Manila Development Authority Acting Chair Carlo Dimayuga III inspected on Monday several locations vital in flood control and management across the region a day after Typhoon Karding (international name Noru) hit Luzon, including Metro Manila. https://t.co/OLCEKE4R4l",NOT RELEVANT
https://x.com/pnagovph/status/1574354972015087616,https://twitter.com/pnagovph/status/1574354972015087616,"MMDA Acting Chair Carlo Dimayuga III inspected on Monday several locations vital in flood control and management across the region a day after Typhoon #KardingPH hit Luzon, including Metro Manila.

https://t.co/pNmT2hi64K",NOT RELEVANT
https://x.com/MMDA/status/1574310489085005824,https://twitter.com/MMDA/status/1574310489085005824,"""We are modernizing and adding pumping stations as part of our flood mitigation interventions under the Metro Manila Flood Management Project aimed at improving flood management in NCR,"" he said. 

READ MORE: https://t.co/DVWAcn922s

#mmda #KardingPH https://t.co/FBWu6vb2md",NOT RELEVANT
https://x.com/MMDA/status/1574310476980183040,https://twitter.com/MMDA/status/1574310476980183040,"MMDA Acting Chairman Engineer Carlo Dimayuga III inspected several locations vital in flood control and management across the region a day after super typhoon Karding hit Luzon, including Metro Manila. #mmda #KardingPH https://t.co/lMLkIaS5td",NOT RELEVANT
https://x.com/momblogger/status/1574232810076131330,https://twitter.com/momblogger/status/1574232810076131330,"#Throwback Post. Today is the anniversary of #Ondoy. I flew to Singapore that morning. I never imagined the wrath of Ondoy as it poured rain in Manila. I arrived in SG that noon &amp; saw a twitter post from my daughter.

“Oh no, the flood is entering the house. and mom is not here”",NOT RELEVANT
https://x.com/ev4j0y/status/1574217586887122944,https://twitter.com/ev4j0y/status/1574217586887122944,"he said the house they rent(w/ her wife) are drown in flood. My brother in Manila message me this morning, i think the eye of the Typhoon located to their place😢 her wife boss let them shelter to his house rn, the flood is above people. Keep safe people!😢🙏 ill send some help. https://t.co/kgU4CbQud7",NOT RELEVANT
https://x.com/sindariell/status/1574130975717486592,https://twitter.com/sindariell/status/1574130975717486592,@kikiyates I'm hoping the typhoon isn't as strong when it gets here. Manila twitter already reporting blackouts and flood evacs 😷,NOT RELEVANT
https://x.com/GGGateTlc/status/1574129613894483968,https://twitter.com/GGGateTlc/status/1574129613894483968,"@MIKEanin Pagasa’s Metro Manila Flood Monitoring page is also a very good source of info. You can monitor the Marikina River rise at 10 min intervals from diff points of the river - from upstream Montalban, San Mateo, Sto. Niño, etc.  Rainfall data at the river watershed is available too.",NOT RELEVANT
https://x.com/bjaycarl/status/1574087285909295104,https://twitter.com/bjaycarl/status/1574087285909295104,"@MMDA any flood report here in metro manila?
Roads not passable. Thank you",NOT RELEVANT
https://x.com/tellmeyourworst/status/1574054897686700033,https://twitter.com/tellmeyourworst/status/1574054897686700033,"Red rainfall warning with flooding in flood-prone areas in Metro Manila, Tarlac, Nueva Ecija, Pampanga, Bulacan, Rizal. 

Stay alert and stay safe!
#KardingPH #Noru",NOT RELEVANT
https://x.com/inquirerdotnet/status/1574038500151767040,https://twitter.com/inquirerdotnet/status/1574038500151767040,"JUST IN: Red rainfall warning is raised over Metro Manila, Bulacan, and parts of Rizal and Nueva Ecija due to #KardingPH. Serious flooding is expected in flood-prone areas. | @JMangaluzINQ https://t.co/Ew3TEw8mxm",NOT RELEVANT
https://x.com/JPMangaluz/status/1574038381662973955,https://twitter.com/JPMangaluz/status/1574038381662973955,"JUST IN: Red Rainfall Warning is raised over Metro Manila, Bulacan, and parts of Rizal and Nueva Ecija. Serious flooding is expected in flood-prone areas due to #KardingPH.   
@inquirerdotnet https://t.co/OXeipVHU5f",NOT RELEVANT
https://x.com/jeibyulie/status/1574028437270188034,https://twitter.com/jeibyulie/status/1574028437270188034,I can't wait ma-flood ng wayv ang ig ko with their Manila posts and stories oh pleaseee,NOT RELEVANT
