"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/like","reactions/love","reactions/sorry","reactions/support","reactionsCount","sharesCount","timestamp","url"
,"299521019276373","video",,,,,,,,,,,,,,"100064116728968","Your Closet Shop","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/272056686_300627572084465_5977486679360693476_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx239x240&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=nbDlnRRoRlEQ7kNvwFj1G0x&_nc_oc=AdqZnMzBizdRQOQKxNIrm2fEaLXB16NUvdEHKBlk89MWSpIJBb926RUXUiw3T54EbPw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=_gEs1-Fjhw48plNwmlXd1g&_nc_ss=7e2a8&oh=00_AQAIFQMMkkOiIHIfiw8jTdyqMveN4tCkY0kVYUQ_c5Yh0Q&oe=6A5E80EA","https://www.facebook.com/Kayefayeclothes","0","674280961385789","⛈️🙏Stay Safe mga Madam🙏⛈️
⁉️Alam po nating lahat na may bagyo Malakas ulan kaya ingat po kayo Pero wag lang po na idahilan saamin yan kasi po kahit anong Bagyo nakakalabas naman po tayo ng bahay Lalo na kung makiki Marites ka sa mga baha😅 so wala po DAHILAN para hindi po Maka settle ang lahat sa mga Miners Kahapon ,please po settle kayo On time🙏

🙏Ingat po ang lahat🙏","6","1",,"1","8","0","1690340940000","https://www.facebook.com/Kayefayeclothes/videos/299521019276373/"
,,,,,,,,,,,,,,,,"100000683680857","Josephine Raur Onob","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/656950953_26745082288431198_8691724480710811825_n.jpg?stp=c0.0.323.323a_cp0_dst-jpg_tt6&cstp=mx323x323&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=1d2534&_nc_ohc=TIS6i47RNlsQ7kNvwGjWTCZ&_nc_oc=Adr4RKpVH_L9eGwyrN_kBca469ucWnaag3xF4WiyEIFFmxy1Spo8GInXrNXiEAXKj-s&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=_gEs1-Fjhw48plNwmlXd1g&_nc_ss=7e2a8&oh=00_AQCSLRf8gQ7_yOc9TQfBvquC8cDOfG4-xjNHTVi2NDkwTg&oe=6A5E7ED4","https://www.facebook.com/jruar","10","6845138165518905","Yung magigising ka sa lakas ng ulan at nagkakagulo na mga kapit bahay Nyo dahil baha na🙏🙏😭😭..sobrang dilim pa dahil 1am lang🙏🙏","3","1","10","3","17","0","1690312135000","https://www.facebook.com/jruar/posts/pfbid0LEjDBP3Rh2MG4Km64eNzY5NEc9q144U3eJFFHazpebexdt2iCBDkM4NKFYbNQke1l"
,,,,,,,,,,,,,,,,"100067036475774","Tortogoks","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/500764445_1017788567132350_3323026431891528536_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx400x400&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=EA4KOC4FT-IQ7kNvwGRxoQK&_nc_oc=AdpehmyEr10ajPindfhfurz8FJmnecvzRs1U0egLoFKrKVdYKB3vRBNEWUKi-3e2KyI&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=_gEs1-Fjhw48plNwmlXd1g&_nc_ss=7e2a8&oh=00_AQCN--ly3SMSyboZci8iicUP2N50i7cdUcJJE6HuT_G1yA&oe=6A5E8506","https://www.facebook.com/profile.php?id=100067036475774","0","607494388161772","Baha naba sa inyo Samin kasi lubog na mga pisngi nila",,,,,"0","0","1690259669000","https://www.facebook.com/permalink.php?story_fbid=pfbid0rKMrvEaCEc9Uz3gG6aVPyYA39g5yn5aKntZUqPzMEXX69Zxzgk2aB1SK6kr1pRjil&id=100067036475774"
"No photo description available.","712337000907257","photo","https://www.facebook.com/photo/?fbid=712337000907257&set=a.474184294722530",,,,,,,,,,,,,"100063928906686","Housing in the Philippines & Condominiums","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/305201152_474184321389194_7751336740146075144_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x959&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=qtjUNWXHp9QQ7kNvwGlW6ax&_nc_oc=AdqZZb8kZWIQkM7biMdMAD936TpGKnfuI_avRgFtlrgMQXAFV3AXPbAcKrhcxRFMgn8&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=_gEs1-Fjhw48plNwmlXd1g&_nc_ss=7e2a8&oh=00_AQBJc42HhH4J0GWryhL72oZS_Mb5IhjysTyrIfnn1QrqTg&oe=6A5E80C5","https://www.facebook.com/housinginthephilippines101","0","712337030907254","NEAR QUEZON CITY! Commercial unit available! Single detach. 
VIRGINIA DREAM HOMES
RFO NA!! with SWIMMING POOL AMENITIES @ COMMERCIAL UNITS..
READY FOR OCCUPANCY. 
🏡  HOUSE AND LOT FOR SALE!!! 
BURGOS MONTALBAN
LOANABLE THRU BANK FINANCING
 12 months to  PAY ANG DOWNPAYMENT..
RFO NA RFO NA..
📌near hway MONTALBAN
📌near Burgos Elementary School
📌infront of white garden @ BIRMINGHAM BURGOS
📌 near in XENTRO MALL MONTANA
📌 walk away to  Puregold  711 montana ,BDO,and Jolibee(under construction)
📌near in terminal
📌near Prethegem and Birmingham Subdivision
📌near Petromobile Gas station MUNICIPAL.HALL, MONT.GYMNASSIUM
 MALAPIT SA LAHAT!!!!
WALK AWAY FROM NATIONAL HWAY.
DI INABOT NG BAHA!!!
COMPLETE FINISHNUPON TURN OVER!!
EXPERIENCE TO HAVE LIKE HOUSING IN VIRGINIA USA!!!
🔑with 3 bedroom
🔑with 2 cr
🔑with living room
🔑with kitchen area
🔑with garage
🔑 with terrace
🔑with space for gardening

Turnover Unit:
Fully Finished
3 bedrooms with built in closet
2 common Toilet & Bath ( ground and 2nd floor)
Flooring : 1st floor semi granite tiles
2nd floor vinyl tiles
Kitchen: with built in cabinet, granite tiles for counter top
Toilet & Bath: with tiles
1 car garage usual size 5x3 (for small Lot area)
Floor Area 66.10 sq.m
Lot Area 60sq.m
Sample Computation
Tcp 4,066,000
Downpayment 65,683 x 12mos.
MISC FEE 243,960
BALANCE 3,252,800
Monthly Amort thru Bank
20yrs. 27,207 MOS",,,,,"0","0","1690294278000","https://www.facebook.com/housinginthephilippines101/posts/pfbid04kFrr2qZzkoC48tD6MASDsk4e58xzWjQ14Rc3Tc5gzVwhE5RSe6ojTfLgWR1ZuG4l"
,,,,,,,,,,,,,,,,"3213031622287427","Anonymous participant","https://scontent-iad6-1.xx.fbcdn.net/v/t39.35477-6/480471783_9158392237563761_4042862335136844668_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx160x160&ctp=s34x34&_nc_cat=1&ccb=1-7&_nc_sid=ee2d7f&_nc_ohc=mdL3slv0HKgQ7kNvwHvUCS8&_nc_oc=Adq8uXtYeNC2JDNSUcNc8BiGj_HoLeNowXgBFAG2qMmSM-r8ZzUL54-hgZnRAMN6_xI&_nc_zt=14&_nc_ht=scontent-iad6-1.xx&_nc_gid=_gEs1-Fjhw48plNwmlXd1g&_nc_ss=7e2a8&oh=00_AQCtyhqJ7oiTGuluhfhtPa405HJoYPr9iuUwYGTapiiOsA&oe=6A5EA19F","https://www.facebook.com/profile.php?id=3213031622287427","4","1014627476236160","Baha na po ba sa goldriver ville jade street? Ingat po kayong lahat. 😞🙏🏻",,,"1",,"1","0","1690386912000","https://www.facebook.com/groups/531565464542366/permalink/1014627476236160/"
"No photo description available.","761245486011034","photo","https://www.facebook.com/photo.php?fbid=761245486011034&set=a.753024466833136&type=3","No photo description available.","761245456011037","photo","https://www.facebook.com/photo.php?fbid=761245456011037&set=a.753024466833136&type=3","No photo description available.","761245416011041","photo","https://www.facebook.com/photo.php?fbid=761245416011041&set=a.753024466833136&type=3","No photo description available.","761245419344374","photo","https://www.facebook.com/photo.php?fbid=761245419344374&set=a.753024466833136&type=3","100063767697044","H&J Motoshop - Padilla, Antipolo City - MAIN","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/442476220_972393071562940_7247170256406375880_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=F-ZJtD5LiS4Q7kNvwFhk8zx&_nc_oc=AdrIaCRfQHBU8LOu2KNkiVzq7HKRgRK62WOe6ZbhLqVjWzXRX_pEUYBAl5fpHleJx2w&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=glpA2yFh6I0UH2IFidktXg&_nc_ss=7e2a8&oh=00_AQBSOXZwUFeHgNI6qH2TManK-5FGnjEeJ0p88jcD8BMr5w&oe=6A5E88D0","https://www.facebook.com/handjmotoshop","1","761245506011032","Goodmorning ‼️
Maraming salamat sa maagang pag dayo boss 😍

Pag baha wag nyo na ipilit wag na po natin ilusong sa Baha Yung motor.
Kung sakali man namatay sa kalagitnaan ng baha wag na po natin pilitin paandarin.

#HandJMotoshop #JRPTHAILAND #RacingBoy #Speedtuner #YSS #RS8TaiwanSpeedFactory #SunRacingSpirit #Mutarru #AmaronBattery","4","3",,,"7","1","1690246191000","https://www.facebook.com/handjmotoshop/posts/pfbid021fhRvgazX36JefPxVzxHDMXdQmiQUFfESBpL6uAoYLNKzaMfNPxzfqoF8n6kJZihl"
,,,,,,,,,,,,,,,,"100084818257765","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwFR4cuT&_nc_oc=AdpDsZfMFs6qK3qDsDaHx3vrsoiJknWQqxGhfq34IWU7EsprHYm61OPYiQY5nzZiKeA&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=glpA2yFh6I0UH2IFidktXg&_nc_ss=7e2a8&oh=00_AQCyeO3CI3K-GN3oEwCEBItuHM4XFklV579cVArFxNw4Qw&oe=6A8042E1","https://www.facebook.com/pagasa.nationalcapitalregion","0","249015817935692","Babala ng Malakas na Ulan Blg. 10 #NCR_PRSD
Sistema ng Panahon: TY EGAY / SW MONSOON
Inilabas noong: 5:00 AM, 27 July 2023
Yellow Warning: #MetroManila, #Zambales, #Bataan, #Pampanga, #Tarlac, #NuevaEcija, #Rizal, #Bulacan.
Kaugnay na Panganib: BAHA sa mga lugar na madaling bahain
Samantala, mahina hanggang sa katamtaman na may paminsan-minsang malakas na pag-ulan na nakakaapekto sa #Cavite, #Batangas, #Laguna, at #Quezon na maaaring tumagal sa loob ng 3 oras.
Pinapayuhan ang publiko at ang mga kinauukulang Disaster Risk Reduction and Management Offices na bantayan ang lagay ng panahon at bantayan ang susunod na advisory na ilalabas sa 8:00 AM Ngayon.","3",,"1",,"4","0","1690409382000","https://www.facebook.com/MDRRMOSUBIC/posts/pfbid0tw42CWG3uH7Y38L9LGJ5Xr75h5Rb4oM3nyAUsZDBjwLZ7oFPeTcDGHvWADThFBRMl"
,,,,,,,,,,,,,,,,"100041409532225","Luigi Miguel Llantero","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/448576560_1353412036049101_3069641219871837489_n.jpg?stp=c10.3.940.940a_cp0_dst-jpg_tt6&cstp=mx940x940&ctp=s24x24&_nc_cat=106&ccb=1-7&_nc_sid=e99d92&_nc_ohc=cWRw3oRBrY8Q7kNvwFMkyrP&_nc_oc=AdqGoKEzy5o6ZqgAtou1Eem1Ne01EvpjehZBDmRnHqkNeYNgayrUdhbwIFu4A4czlZA&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=glpA2yFh6I0UH2IFidktXg&_nc_ss=7e2a8&oh=00_AQBrKrbQ_d5KefV6_g_gqFZoVqgEbyCLmGEVC_U1GH-w8g&oe=6A5E9C61","https://www.facebook.com/pogiako0714","0","1974716046230065","",,,,,"0","0","1690325104000","https://www.facebook.com/groups/814519768916371/permalink/1974716046230065/"
,"1502484280555995","video","https://www.facebook.com/reel/1502484280555995/",,,,,,,,,,,,,"100056791851352","Edgardo Valeza","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/509680463_1191856736050710_423712338614812636_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1744x1740&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=1d2534&_nc_ohc=OVvF_jv2aJoQ7kNvwEnj5hP&_nc_oc=Adqw5AOe1nUVVWwiov-vYr0eDW6KsxfgAIgtcR-WWVzLTmSLZUTOASy2tiXaQDZPric&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=glpA2yFh6I0UH2IFidktXg&_nc_ss=7e2a8&oh=00_AQAblopLNS6t-8fEQWCzY_TseqLQS58kt4Jum81SQnSxng&oe=6A5E8B36","https://www.facebook.com/edgardo.valeza.3","0","1582732335467652","isang rewire lng ng konti 
at isang linis motor plus palit transistor dahil nalubog sa baha

angono rizal

maraming salamat po sa nag pa repair at sa mga gusto po mag pa repair call or text lang po kayu 09755188711 or pwede nyo po ako i chat 
😁😁😁😁",,,,,"0","0","1690365027000","https://www.facebook.com/groups/907003316373894/permalink/1582732335467652/"
,"1502484280555995","video","https://www.facebook.com/reel/1502484280555995/",,,,,,,,,,,,,"100056791851352","Edgardo Valeza","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/509680463_1191856736050710_423712338614812636_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1744x1740&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=1d2534&_nc_ohc=OVvF_jv2aJoQ7kNvwEnj5hP&_nc_oc=Adqw5AOe1nUVVWwiov-vYr0eDW6KsxfgAIgtcR-WWVzLTmSLZUTOASy2tiXaQDZPric&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=glpA2yFh6I0UH2IFidktXg&_nc_ss=7e2a8&oh=00_AQAblopLNS6t-8fEQWCzY_TseqLQS58kt4Jum81SQnSxng&oe=6A5E8B36","https://www.facebook.com/edgardo.valeza.3","0","1281643819128021","isang rewire lng ng konti 
at isang linis motor plus palit transistor dahil nalubog sa baha

angono rizal

maraming salamat po sa nag pa repair at sa mga gusto po mag pa repair call or text lang po kayu 09755188711 or pwede nyo po ako i chat 
😁😁😁😁",,,,,"0","0","1690365420000","https://www.facebook.com/groups/778282622797479/permalink/1281643819128021/"
