"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"10153461001786977","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwE50wvC&_nc_oc=Adq-hIpNKTVLR7PehoTvtkqhqQSMztenfIM_30a0uaI5G2WPhOMSqlAnIXgPcvSmOxM&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=vr2w5SI5owfHJFibWZlIFw&_nc_ss=7c2a8&oh=00_AQAq9rkvMkbJ8Tq10pAx2gbMVmwwa4mtq6pspRz-a0m6Fg&oe=6A5FFBBF","https://www.facebook.com/gmanews","37","10153461001786977","Vehicles passed by a flooded portion of Mabini Extension in Cabanatuan earlier in the evening. YouScooper Keith Ortiz San Antonios said the flood rose quickly and is now at a knee-high level. #LandoPH

Send your report to: 

Facebook: facebook.com/youscoop
Twitter: twitter.com/youscoop
Instagram: instagram.com/youscoop
Email: youscoop@gmanews.tv
Official Facebook group: gmane.ws/YouScoopFBGroup

QUICK LINK: gmanews.tv/LandoPH",,"838",,,,"838","176","1445182136000","https://www.facebook.com/gmanews/videos/10153461001786977/"
"No photo description available.","10153460910136977","photo","https://www.facebook.com/photo/?fbid=10153460910136977&set=a.10153460400116977",,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwE50wvC&_nc_oc=Adq-hIpNKTVLR7PehoTvtkqhqQSMztenfIM_30a0uaI5G2WPhOMSqlAnIXgPcvSmOxM&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=vr2w5SI5owfHJFibWZlIFw&_nc_ss=7c2a8&oh=00_AQAq9rkvMkbJ8Tq10pAx2gbMVmwwa4mtq6pspRz-a0m6Fg&oe=6A5FFBBF","https://www.facebook.com/gmanews","51","10153460910136977","Flooding inundated a portion of a highway in San Sebastian, Tarlac City. Some cars stalled due to the knee-high flood, according to YouScooper Janela Paguio. #LandoPH

Send your report to: 

Facebook: facebook.com/youscoop
Twitter: twitter.com/youscoop
Instagram: instagram.com/youscoop
Email: youscoop@gmanews.tv
Facebook group: gmane.ws/YouScoopFBGroup

QUICK LINK: gmanews.tv/LandoPH",,"1174",,,,"1174","268","1445177585000","https://www.facebook.com/photo.php?fbid=10153460910136977&set=a.10153460400116977&type=3"
"No photo description available.","10153373708938791","photo","https://www.facebook.com/photo.php?fbid=10153373708938791&set=a.635578005267051&type=3","No photo description available.","10153373708933791","photo","https://www.facebook.com/photo.php?fbid=10153373708933791&set=a.635578005267051&type=3",,,,,,,,,,,,,"100064445723899","ANC 24/7","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/609053834_1328721385952706_4253439834983056076_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=RAU_RPiKxxgQ7kNvwHdw2tR&_nc_oc=AdqnVMaT39FmeL-NI1Xgjy364eFDiZ6FFO5-JrCnAdSQYqk8qEhSMglwpLm5P6cVsJA&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=vr2w5SI5owfHJFibWZlIFw&_nc_ss=7c2a8&oh=00_AQCYZzoL1gwufMAOIvYE9pdGpJ52Jj-uY6Mo7dJe-fUFlg&oe=6A60214E","https://www.facebook.com/ANCalerts","111","10153373709093791","Residents flee flood-hit San Luis, Aurora. #LandoPH 

(Photos via Jeff Canoy)",,"1642",,"1",,"1643","746","1445151646000","https://www.facebook.com/ANCalerts/posts/pfbid09iTrNaW7UtvRAFKVHTw2Y9wpXbsz69UWqscdSZbnxx9jd5nygeY5mBfXaxbXdZ3Cl"
"No photo description available.","10153460410386977","photo","https://www.facebook.com/photo/?fbid=10153460410386977&set=a.10153460400116977",,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwE50wvC&_nc_oc=Adq-hIpNKTVLR7PehoTvtkqhqQSMztenfIM_30a0uaI5G2WPhOMSqlAnIXgPcvSmOxM&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=vr2w5SI5owfHJFibWZlIFw&_nc_ss=7c2a8&oh=00_AQAq9rkvMkbJ8Tq10pAx2gbMVmwwa4mtq6pspRz-a0m6Fg&oe=6A5FFBBF","https://www.facebook.com/gmanews","84","10153460410386977","Eight houses in Brgy. Apanay, Alicia, Isabela were submerged in flood after the nearby river overflowed and displaced some of the families. #LandoPH (Photo: James Agustin/ DZBB)",,"1905","1","2",,"1908","721","1445151304000","https://www.facebook.com/photo.php?fbid=10153460410386977&set=a.10153460400116977&type=3"
,"1186398468040496","video",,,,,,,,,,,,,,,,,,"100045293520548","Team Judy Ann Santos - TeamJuday","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/466418983_9455242391156021_6405222143835393825_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx512x512&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ow992l1f1KoQ7kNvwHDkmDg&_nc_oc=AdqscC7nsYMWTOeEaHlF7xjbiPD3zz6ni0ULCbNBYGHEf0vFXQmwgKL3GAIDmONTSRE&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=vr2w5SI5owfHJFibWZlIFw&_nc_ss=7c2a8&oh=00_AQDSzTRj601_MaJ_WWvEuDfX8YHgiP6jy-NPBlLYdySJuw&oe=6A6002F5","https://www.facebook.com/profile.php?id=100045293520548","0","1186398468040496","Goodvibes sa umaga cuteness overload kuya lucho - #Repost from @officialjuday - The rain fell down and the flood came up! 🎶🎶 #bagyodiaries",,"68",,,,"68","0","1445130659000","https://www.facebook.com/100045293520548/videos/1186398468040496/"
,"1016330788409478","video",,,,,,,,,,,,,,,,,,"100044391100972","Judy Ann Santos-Agoncillo Fans","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/566218318_1356825392473818_8010974269812836383_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=j2Z3GrFMCf8Q7kNvwFivu4P&_nc_oc=Ado_PrPRdSgoWDwAqSYslzUR8YdcNuoLy2sMbDHSMsJtO2xdEbYz8iewyKSjt99sLTs&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=PnCtgjzBJzi98yfMJQh0DA&_nc_ss=7c2a8&oh=00_AQDj7rC0QlYDgkbcy-pllenKd4cnTawlponfIiEmLGTBPw&oe=6A601FAD","https://www.facebook.com/JudyAnnSantosFanpage","17","1016330788409478","#EzRepost @officialjuday with @ezrepostapp

The rain fell down and the flood came up! 󾠔󾠔 #bagyodiaries",,"1070","2",,,"1072","21","1445128149000","https://www.facebook.com/JudyAnnSantosFanpage/videos/1016330788409478/"
,"1067882249918090","video",,,,,,,,,,,,,,,,,,"100050164013780","Original Judy Anne Santos","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/302704172_600880188260776_1618758290635285679_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx404x396&ctp=p40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=pqnxOXKjpxgQ7kNvwEshOpR&_nc_oc=AdqT_dNc-NvpqH4f0IN516LDyK1LxhbkIAg78h8OX5yTkskhm8aTsDYm7XQ3hQmpNTc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=PnCtgjzBJzi98yfMJQh0DA&_nc_ss=7c2a8&oh=00_AQBeVyM_NrlH2ayxOSDS2UhRLbkT0kpdWJZaLEcYviYS7w&oe=6A5FFA36","https://www.facebook.com/OriginalJAS20","1","1067882249918090","Goodvibes sa umaga cuteness overload kuya lucho - #Repost from @officialjuday - The rain fell down and the flood came up! 󾠔󾠔 #bagyodiaries",,"157","1",,,"158","2","1445130646000","https://www.facebook.com/OriginalJAS20/videos/1067882249918090/"
"No photo description available.","10153535389450168","photo","https://www.facebook.com/photo/?fbid=10153535389450168&set=a.10153534068885168",,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwF4TNen&_nc_oc=AdrC8nawXAAO_fy2a5NStkhSoggXKXJWQMLyxUgINYAmwV25YJ99__cyxy9kdOzTZyE&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=PnCtgjzBJzi98yfMJQh0DA&_nc_ss=7c2a8&oh=00_AQBc_wcJovrZgjjPU3AejEcqKvrcwPJOoxeKIlw7OT7ivw&oe=6A600EDC","https://www.facebook.com/abscbnNEWS","64","10153535389450168","10:50 a.m., October 19:  Flood along Vergara Highway in Cabanatuan City. 

Photo by Michael Puno for ABS-CBNnews.com

#LandoPH",,"3675",,"3",,"3678","585","1445227318000","https://www.facebook.com/photo.php?fbid=10153535389450168&set=a.10153534068885168&type=3"
"No photo description available.","10153461957411977","photo","https://www.facebook.com/photo/?fbid=10153461957411977&set=a.10153460400116977",,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwE50wvC&_nc_oc=Adq-hIpNKTVLR7PehoTvtkqhqQSMztenfIM_30a0uaI5G2WPhOMSqlAnIXgPcvSmOxM&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=PnCtgjzBJzi98yfMJQh0DA&_nc_ss=7c2a8&oh=00_AQBiTgl9cyPCbJHQjmhiJUJNFxKim80CnCX4-_PChmeH9g&oe=6A5FFBBF","https://www.facebook.com/gmanews","5","10153461957411977","Rice paddies in Naguilian, Isabela are still submerged in flood. (Photo: James Agustin/ DZBB)",,"55",,,,"55","10","1445226177000","https://www.facebook.com/photo.php?fbid=10153461957411977&set=a.10153460400116977&type=3"
"No photo description available.","10153686236237012","photo","https://www.facebook.com/photo.php?fbid=10153686236237012&set=a.601283242039861&type=3","No photo description available.","10153686236332012","photo","https://www.facebook.com/photo.php?fbid=10153686236332012&set=a.601283242039861&type=3",,,,,,,,,,,,,"100064745708805","The Manila Times","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/449707011_877209431113906_9150833193518298800_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=KuVDER8Ml_8Q7kNvwGlMx6d&_nc_oc=AdprtssU4VpqJ9cBuIU875FIOZOm-DUy8yap2q2CLQO27sbdjsDMq6EYrWOn-VVN4_c&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=PnCtgjzBJzi98yfMJQh0DA&_nc_ss=7c2a8&oh=00_AQDBSLdszLUVWCsr-ZWGO13_gGAdbnsqV6tHoMRchJK_Jg&oe=6A60064A","https://www.facebook.com/TheManilaTimes","10","10153686239452012","Residents push a tricycle on a flooded highway in Santa Rosa town, Nueva Ecija province on Monday, a day after typhoon Lando hit Aurora province. AFP PHOTOS",,"201",,,,"201","59","1445252529000","https://www.facebook.com/TheManilaTimes/posts/pfbid02jvGG7aix3UMrVpQKNPH6hCRNR7VRjVrYsTt9i6HAd1ejJEEjM3D9SqfLV36Z7WzRl"
