"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","1826223264073933","photo","https://www.facebook.com/photo.php?fbid=1826223264073933&set=a.608334984668268&type=3","No photo description available.","1826223257407267","photo","https://www.facebook.com/photo.php?fbid=1826223257407267&set=a.608334984668268&type=3","No photo description available.","1826223304073929","photo","https://www.facebook.com/photo.php?fbid=1826223304073929&set=a.608334984668268&type=3","No photo description available.","1826223307407262","photo","https://www.facebook.com/photo.php?fbid=1826223307407262&set=a.608334984668268&type=3","No photo description available.","1826223260740600","photo","https://www.facebook.com/photo.php?fbid=1826223260740600&set=a.608334984668268&type=3","100064753146257","Pilipino Star Ngayon","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/341210557_901742617547302_3330482047576992124_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx272x272&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=LumBSsR_2ZoQ7kNvwFO-Ez3&_nc_oc=AdqMsJIukm5Ub6mJH1Sf5nN9E1O_QIL-cgkRNDHqpAhRG3xyNilUeG5lM6FPw_fms5Y&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=7L2HZNkz5P53b53Qsqfoig&_nc_ss=7c2a8&oh=00_AQDb3m2fDDqxTxZx_IWcnO_ZMc84YZF0rOW14xDmJv--tw&oe=6A5FE9A3","https://www.facebook.com/pilstarngayon","845","1826224460740480","TINGNAN: Nang dahil sa malakas na ulan at baha ay nawasak ang isang bahagi ng daan sa Brgy. Kalubkob sa Silang, Cavite. | Photos courtesy of Gerard Laureles Cortez","21","7","1095","2","422","187","1734","5366","1505184634000","https://www.facebook.com/pilstarngayon/posts/pfbid02ykQtFQtgksMaKNgqc6o7Ea35mLKmUTNxMDbFZjRcqFCbXjhCcc46SgfbjJjic5bsl"
,"10155196627049620","video",,,,,,,,,,,,,,,,,,"100064518591460","DZMM Radyo Patrol 630","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/668587708_1384714187022521_8343581617824766493_n.jpg?stp=c33.0.1012.1012a_cp6_dst-jpg_tt6&cstp=mx1012x1012&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SNb0wvffI00Q7kNvwHXka7M&_nc_oc=Ado6KfYKvzj2ujOaEF-r1Sbf0I-eQVqofQiV0FVmGnXYpk2JklOfLff6XoaXHZDnkw8&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=7L2HZNkz5P53b53Qsqfoig&_nc_ss=7c2a8&oh=00_AQAUXqG7TJohSbYu1Pa6patNHxXm0iC-9WQSbh2o0MyhMw&oe=6A600C56","https://www.facebook.com/DZMMRadyo630","3","10155196627049620","Hanggang dibdib na ang baha sa ilang bahagi ng Gumamela St. sa Brgy Roxas District, Quezon City | Video mula kay Doland Castro, ABS-CBN News #FloodPatrol","1",,"49",,"6","2","58","17","1505181600000","https://www.facebook.com/DZMMRadyo630/videos/10155196627049620/"
,"10155197073184620","video",,,,,,,,,,,,,,,,,,"100064518591460","DZMM Radyo Patrol 630","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/668587708_1384714187022521_8343581617824766493_n.jpg?stp=c33.0.1012.1012a_cp6_dst-jpg_tt6&cstp=mx1012x1012&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SNb0wvffI00Q7kNvwHXka7M&_nc_oc=Ado6KfYKvzj2ujOaEF-r1Sbf0I-eQVqofQiV0FVmGnXYpk2JklOfLff6XoaXHZDnkw8&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=7L2HZNkz5P53b53Qsqfoig&_nc_ss=7c2a8&oh=00_AQAUXqG7TJohSbYu1Pa6patNHxXm0iC-9WQSbh2o0MyhMw&oe=6A600C56","https://www.facebook.com/DZMMRadyo630","7","10155197073184620","#FloodPatrol Lagpas-tao na ang baha sa Don Mariano Subdivision sa Cainta, Rizal | Video mula kay Radyo Patrol 41 Jeff Hernaez","1","1","143","1","30","7","183","59","1505199830000","https://www.facebook.com/DZMMRadyo630/videos/10155197073184620/"
,"10155646979576977","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwF5XCkZ&_nc_oc=Adr-92JmsT7cevEXjO3zEFfIqc2jKn_FMx_Ax_xLOLPLlDBKm9fZO0oTyK9r48dSSjI&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=7L2HZNkz5P53b53Qsqfoig&_nc_ss=7c2a8&oh=00_AQDbsaA3kposUl54KCSqM2GLR56TqjbQAwXFYw0xXbU8hA&oe=6A5FFBBF","https://www.facebook.com/gmanews","13","10155646979576977","Kabi-kabilang baha at landslide ang nasaksihan sa ilang lalawigan sa Southern Luzon dahil sa malakas na ulang dala ng bagyong #MaringPH. Narito ang report sa GMA News TV Quick Response Team.",,"1","980","17","122","2","1122","248","1505219820000","https://www.facebook.com/gmanews/videos/10155646979576977/"
"No photo description available.","1970938756457879","photo","https://www.facebook.com/photo.php?fbid=1970938756457879&set=a.558202206334917&type=3","No photo description available.","1970938766457878","photo","https://www.facebook.com/photo.php?fbid=1970938766457878&set=a.558202206334917&type=3","No photo description available.","1970938793124542","photo","https://www.facebook.com/photo.php?fbid=1970938793124542&set=a.558202206334917&type=3","No photo description available.","1970938809791207","photo","https://www.facebook.com/photo.php?fbid=1970938809791207&set=a.558202206334917&type=3","No photo description available.","1970938873124534","photo","https://www.facebook.com/photo.php?fbid=1970938873124534&set=a.558202206334917&type=3","100064354285183","Trending Pinoy Videos","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/327437632_699013955230604_2440139704823269359_n.png?stp=c17.0.616.616a_cp0_dst-png&cstp=mx616x616&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=bD0N0Jvsd-IQ7kNvwFU9SiH&_nc_oc=AdrCMCJuxfK2zKgg6s4y5CwDbk8-9MiwDL7kAj7G8uj46aBeMuPsIZJJPuHnyiJCdo8&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=7L2HZNkz5P53b53Qsqfoig&_nc_ss=7c2a8&oh=00_AQAscDZ_pUIlNbM-wNnQbXRty91EB0AaNTUgDSUwfRpjpw&oe=6A600AA6","https://www.facebook.com/trendingpinoyvideoscom","17","1970939129791175","Baha ka lang, Pinoy kami.","1","105","819","34","1","6","966","237","1505230309000","https://www.facebook.com/trendingpinoyvideoscom/posts/pfbid026aX1iUaKYhQwxv8HKw9tHWKDXNMUzHtxGyyuVd6XFv6zFnELizR7YLcGqEbhbEfQl"
"No photo description available.","1388495021185775","photo","https://www.facebook.com/photo/?fbid=1388495021185775&set=a.193410039730220",,,,,,,,,,,,,,,,,"100071836765893","Baha ka lang, Pinoy Kami","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/307871368_193410053063552_3928856681465458841_n.png?stp=cp0_dst-png&cstp=mx500x500&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ITpO0eluTNAQ7kNvwG1MmYd&_nc_oc=Adq3axHG_o52e3zEypVrn80ikDgtbNDBqpHTjaVK6M8_snpF3T0qvuAv4e6wK54kQRk&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=1XMRAPtkBoqa8EAprfWuHw&_nc_ss=7c2a8&oh=00_AQD2aHO8t6mnLcr6AQX9lqNAJwB6sJoZdCRyfNP5AhI7cw&oe=6A601956","https://www.facebook.com/BKLPK.AdmeenP","8","1388495054519105","Baha ka lang, uhaw kami 😂😂😂",,"30","22",,,,"52","16","1505210291000","https://www.facebook.com/BKLPK.AdmeenP/posts/pfbid038Gv49rh6aJsCJS7878JydrkN9aj6v1QxEDgyiiGKkK9i2FQ4FjFCfKWz6Mp4iYZul"
"No photo description available.","1634189003287553","photo","https://www.facebook.com/photo.php?fbid=1634189003287553&set=a.478812837608309&type=3","No photo description available.","1634189019954218","photo","https://www.facebook.com/photo.php?fbid=1634189019954218&set=a.478812837608309&type=3","No photo description available.","1634189056620881","photo","https://www.facebook.com/photo.php?fbid=1634189056620881&set=a.478812837608309&type=3","No photo description available.","1634189076620879","photo","https://www.facebook.com/photo.php?fbid=1634189076620879&set=a.478812837608309&type=3","No photo description available.","1634189103287543","photo","https://www.facebook.com/photo.php?fbid=1634189103287543&set=a.478812837608309&type=3","100064387911673","Bob Ong Quotes","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/668891779_1430312955791621_3463488002527506984_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx1024x1024&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=KyW7Xt_snjQQ7kNvwEGNVxv&_nc_oc=AdonPehHvTFySzBRhwEmvi0K9Z0b1WrDl4v-ooGvRfKJ6FknXycpvSaN6ZZCh8SWC4Q&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=1XMRAPtkBoqa8EAprfWuHw&_nc_ss=7c2a8&oh=00_AQDloU95U-mLvIHpC44SHWP0CtL48i78ykvBFIctFmv7Xg&oe=6A6013C8","https://www.facebook.com/BobOngQuote","27","1634189379954182","Baha ka lang PINOY KAMI!",,"422","2073","133","2","6","2636","279","1505202996000","https://www.facebook.com/BobOngQuote/posts/pfbid02zuoufN1zGZudj3aRwuLTCNQApv9MYpy9aMNLHksecCQ17pNCvS2GAt5UBcEJSphl"
"No photo description available.","798720083640646","photo","https://www.facebook.com/photo.php?fbid=798720083640646&set=a.808670933951897&type=3","No photo description available.","798720106973977","photo","https://www.facebook.com/photo.php?fbid=798720106973977&set=a.808670933951897&type=3","No photo description available.","798720126973975","photo","https://www.facebook.com/photo.php?fbid=798720126973975&set=a.808670933951897&type=3","No photo description available.","798720163640638","photo","https://www.facebook.com/photo.php?fbid=798720163640638&set=a.808670933951897&type=3","No photo description available.","798720180307303","photo","https://www.facebook.com/photo.php?fbid=798720180307303&set=a.808670933951897&type=3","100044269937796","Philippine trends and news","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/339734734_758056305998730_8353068742457012103_n.jpg?stp=c127.0.259.259a_cp0_dst-jpg_tt6&cstp=mx259x259&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=rzT9FqwElaYQ7kNvwFeLq2V&_nc_oc=AdpO1Iik8W_WbplYcuvxlKlky-yuy6_GevKSUzU8zczlJwcZqcpb8LdTs1PqrKUempk&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=1XMRAPtkBoqa8EAprfWuHw&_nc_ss=7c2a8&oh=00_AQAo3DEwfwd6pFgHqKaxTBSJz_TG3wSsUSVZnkDTP02kfg&oe=6A60023B","https://www.facebook.com/philippinetrendsandnews9","8","798720240307297","Grabe na po ang baha sa Metro Manila. Hinaluan pa ng mga basura. ingat po mga kababayan.",,,"79",,"17","5","101","31","1505194647000","https://www.facebook.com/philippinetrendsandnews9/posts/pfbid0351DaDpiZzm25PrW1CEPtDo9L1Tg5Gi9CC1Sbzp92hS9Rtvk2K6mgLDqHzxs1YBLKl"
"No photo description available.","171448166754180","photo","https://www.facebook.com/photo/?fbid=171448166754180&set=a.408185797334450",,,,,,,,,,,,,,,,,"100044290993282","Manila Mayor Joseph Estrada","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/324256662_1547073885774971_7105900114339122746_n.jpg?stp=c132.0.802.803a_cp0_dst-jpg_tt6&cstp=mx802x803&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=c-8swvkBPhQQ7kNvwHNI9_C&_nc_oc=AdoPk1iLM6LgjUwAKR-X38Ra6TM525yeSlXvayCVLmq_JrihL9UyIuVN2h5Jx_owDCA&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=1XMRAPtkBoqa8EAprfWuHw&_nc_ss=7c2a8&oh=00_AQCFvFBO-h0tZTSMXjZMRO2I4sqJUNqyrM0lZrrZz8BkrA&oe=6A601921","https://www.facebook.com/manilacitynewsexpress","33","171448420087488","Gutter deep na po ang baha sa España Blvd. sa Manila. Iwasang dumaan dito para hindi ma-stranded. At dahil ang Espana Blvd. ay nasa ilalim ng DPWH, nakikipag-coordinate na ang Manila City Hall sa pangunguna ni Mayor Erap dito, upang malutasan ang problema sa baha. 

Ingat mga Manileño! I-like ang page na ito para maging updated sa mga balita sa Maynila!
(Photo Credit: GMA News via Maki Pulido)","2","2","755",,"29","7","795","150","1505182189000","https://www.facebook.com/manilacitynewsexpress/posts/pfbid0m14UhLbXHjgfignyfiaAbhdYiv7Qp9SZfvreyaBCYxoAJ7dwH2cWpbdQpMvvKgV7l"
"No photo description available.","171505083415155","photo","https://www.facebook.com/photo/?fbid=171505083415155&set=a.408185797334450",,,,,,,,,,,,,,,,,"100044290993282","Manila Mayor Joseph Estrada","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/324256662_1547073885774971_7105900114339122746_n.jpg?stp=c132.0.802.803a_cp0_dst-jpg_tt6&cstp=mx802x803&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=c-8swvkBPhQQ7kNvwHNI9_C&_nc_oc=AdoPk1iLM6LgjUwAKR-X38Ra6TM525yeSlXvayCVLmq_JrihL9UyIuVN2h5Jx_owDCA&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=1XMRAPtkBoqa8EAprfWuHw&_nc_ss=7c2a8&oh=00_AQCFvFBO-h0tZTSMXjZMRO2I4sqJUNqyrM0lZrrZz8BkrA&oe=6A601921","https://www.facebook.com/manilacitynewsexpress","11","171505096748487","Kasalukuyan pong baha sa Felix Huertas st. papuntang Chinese Cemetery gate sa Sta. Cruz, Manila. Iwasan po nating dumaan dito para hindi ma-stranded. Gayunpaman, inaaksyunan na ng lokal na pamahalaan ang problema sa baha. 

Photo Credit: Mr. Cezar Salvacion - MDRRMO",,"2","215",,"10","2","229","22","1505203880000","https://www.facebook.com/manilacitynewsexpress/posts/pfbid035UdRsTWuBKomBEaWTjW5ixzRQDsWBCTd8FvtceEUj4SYviNwrUw5KQd4WKw57sE4l"
