"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","1535114373212105","photo","https://www.facebook.com/photo/?fbid=1535114373212105&set=a.581854795204739",,,,,,,,,,,,,,,,,"100001406720607","Rolando S. Ras Jr.","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/680440440_26763641006599427_9029248763052508737_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1536x1546&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=1d2534&_nc_ohc=oC_m8aFpv6MQ7kNvwHvQ4S9&_nc_oc=AdrR0tPD1Gi1G2AgdQ47rniufdvRvNXi5JdMrrYbTztQm_-srLxTBZo5ZW35BtWVGpE&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=EuZBoHF38V5d2mYwXwI_-A&_nc_ss=7c2a8&oh=00_AQCkX6CWjRWwnuv7lfXAeaUWQTp1bdATzjFCox1lt3Zh7w&oe=6A600D2F","https://www.facebook.com/Arar.ras07","4","1535114419878767","Survivor sa putik at baha ng San Mateo","4","56","1","1",,"62","0","1505184860000","https://www.facebook.com/Arar.ras07/posts/pfbid037k1UpW6sr9qw9ACYsLefutShyE9k3Z5S2wvcHDZ2y9egbCovHhKNNPrxpDbgTpdkl"
,"1499866436747151","video",,,,,,,,,,,,,,,,,,"100064083936865","Biyahe Ni Boo","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/283922314_5462255100508245_8205207878586861016_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx469x469&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SfhXjkS4il0Q7kNvwEZl0RK&_nc_oc=Adq3q8tQOdwh8716wGfpw6ILFMvmjEKb8ulJ1chQOR3_pH_9t7eSR43xUBE0VOJaBM0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=EuZBoHF38V5d2mYwXwI_-A&_nc_ss=7c2a8&oh=00_AQDT1Aw53kVWGY9j0ifoH2MmUX-yq7SZsPpFmgb34bLFpQ&oe=6A5FFCBE","https://www.facebook.com/biyaheniboo","0","1499866436747151","#puromukhakona sorry 😂 #biyaheniboo #bagyo #baha #honeybuns #tala #bodegacasavilla #acousticgig","2","6",,,,"8","3","1505200953000","https://www.facebook.com/biyaheniboo/videos/1499866436747151/"
"No photo description available.","1285701971535981","photo","https://www.facebook.com/photo.php?fbid=1285701971535981&set=a.495750452567732&type=3","No photo description available.","1285701961535982","photo","https://www.facebook.com/photo.php?fbid=1285701961535982&set=a.495750452567732&type=3","No photo description available.","1285701984869313","photo","https://www.facebook.com/photo.php?fbid=1285701984869313&set=a.495750452567732&type=3","No photo description available.","1285702148202630","photo","https://www.facebook.com/photo.php?fbid=1285702148202630&set=a.495750452567732&type=3","No photo description available.","1285703301535848","photo","https://www.facebook.com/photo.php?fbid=1285703301535848&set=a.495750452567732&type=3","100063983438076","CCTV  Rizal, Pasig, Marikina 0925-5206514","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/476142640_1107505028058935_1480668295378849352_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1563x1563&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=7wyWkBfyB2EQ7kNvwH9DfEi&_nc_oc=AdoC8gijntq6kLxmx9Nv4rFhJb5yg5Ihlx4y-zip7z3ifEu32CojCNPYf4IgZjmpghs&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=EuZBoHF38V5d2mYwXwI_-A&_nc_ss=7c2a8&oh=00_AQAWlRs2iRg59nMWOMak4XOrPgD2GLkJF9MDs8fQ2_dJiA&oe=6A5FF788","https://www.facebook.com/cctvcainta","0","1285706354868876","LIFE RESCUE GEAR! 📢📢📢📢
In this time of calamities. its important that we are ready in case of emergency. So it s a must to have something that can save our precious lives especially during floods. Do not wait for rescuer to come it may takes time,you yourself can save your life and your love ones lives.

Flashing Traffic Baton - P580
Life Vest - P900
Rescue Megaphone - P 2,480.00
Life Buoy - P 2,680
Rubber Boat PVC 7-8 Seater - P 69,800
Wearable Portable Rescue Water Safety Floatation Device
Price: P2,280 - Includes 2pcs CO2 Cartridge
CO2 Cartridge - P160/pc

*****For your Queries*****
Please contact us at Tel.no: 633-7298 or 655-4098 for Sun cel. 0925-520-6514.or visit us at G/F SAIYO Bldg. Imelda ave, Pasig City (Across Karangalan Gate 2 & Dental Hospital along Felix ave). Look for Mr.Ronel , Zandro , Mark and Augusto **

Visit our Website at www.goodhand88.com
Follow us on
Twitter :@CctvPasig
Instagram: cctvrizalpasigmarikina
FB Page : https://www.facebook.com/cctvcainta/
#NCR_PRSD #typhoon #habagat #RAINYSEASON #MaringPH #Walangpasok #ldrrmc #cainta #lifeguard #Rescue911 #IAMReady #NDRRMC #Calamity #EmergencyResponse #FloodRescue #Baha #portable #wearable #EmergencyResponseEquipment #Rescuerubberboat #marikinariver #pasigriver #vistaverdecainta #villageeastcainta #rescueequipment #Rizal #goodhand88 #disasterriskreduction #floatationdevice #rescuedevice",,,,,,"0","1","1505188738000","https://www.facebook.com/cctvcainta/posts/pfbid02a5XoaSUkPDsLpJPw1p2QgY5VcuUNkCQKDdSDsvyPork4gUvcL4xFSQvoatJnFeEol"
,,,,,,,,,,,,,,,,,,,,"100063663256480","Wicked Tie Dyes","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/302105569_489012229897548_2980467127777261754_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=a1rhhU65EFoQ7kNvwHLHkVX&_nc_oc=AdpLIt5P-w2vDpMDIMEAbImdpnWf1CQGm9bQOW9c59wPafxPmC7oUudCoj6DiFsnJBI&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=EuZBoHF38V5d2mYwXwI_-A&_nc_ss=7c2a8&oh=00_AQDnmtLAKTKI4j__WXtgD0tGBer4fblEiWFoqHBYk7v6JA&oe=6A5FEE41","https://www.facebook.com/WickedTieDyes","5","1597929600230515","Hello! To our customers who filed an order that was supposed to be shipped today WILL BE DELAYED. We will try to ship your orders as soon as possible. Reason: BAHA. =(","3","24","1",,,"28","0","1505179791000","https://www.facebook.com/WickedTieDyes/posts/pfbid0c4y6ft8h71NeJd7NzfuFGqiyWyYUiAe235DZfZvfMELfMTm4pcntFQSJga94Q6CBl"
"No photo description available.","1683824634962415","photo","https://www.facebook.com/photo/?fbid=1683824634962415&set=a.267359669942259",,,,,,,,,,,,,,,,,"100000046845165","Vahn Glenn S. Worrell","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/726145448_27826478123603709_4816161778405981377_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1440x1440&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=1d2534&_nc_ohc=0_BFPxHbxr8Q7kNvwE32enw&_nc_oc=Adr8tu5MYIZ8Z5Pj2o77u22kJuVNkW11FEYB6lXhaR5NNdoFHXY3WaBYLIiy4PHyurg&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=EuZBoHF38V5d2mYwXwI_-A&_nc_ss=7c2a8&oh=00_AQBwkGdZLHBwK6bZ_JHcM8bnLHEY-z8NoLD32c2Whs2kXg&oe=6A5FEF55","https://www.facebook.com/vahnglenn","3","1683824661629079","Checkpoint. Sana wala na baha baha. Halfway palang pauwi :)",,"4","1",,,"5","0","1505203259000","https://www.facebook.com/vahnglenn/posts/pfbid0izCu6V2fvwGjpgepdrjH5ePnZpW9cuW3opN8V8mfbZjNwQxvaBmvo54G3ox87m62l"
,,,,,,,,,,,,,,,,,,,,"100063862594747","Hugot Pagmamahal 101","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/462458271_3746215895594772_8638303701061881070_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2047&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=26Ebl6k31tYQ7kNvwH7ONpf&_nc_oc=AdrWyru2zh92vNzsUKZPQ2vMxnUsloqHqGedJV7rFZP-V4ee4qxRSgZ32id-8O-cua0&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=1orDl4BCUHHzcYmXb7LnnA&_nc_ss=7c2a8&oh=00_AQBgu--0df1BrWh0cRdtcoJgRO539eAPR3Z7gcw5THpVuw&oe=6A600272","https://www.facebook.com/profile.php?id=100063862594747","0","1959115450971501","Konting ulan, baha agad. 
Konting landi, mahal agad?
~ The One That Got Away","1","1",,,,"2","1","1505204359000","https://www.facebook.com/permalink.php?story_fbid=pfbid0DZaa1PnaJV38Xh41SFGnMMGS6x9Uavijvpp1sKBr6VspGoXdEewPwKHK64p2MYDdl&id=100063862594747"
"No photo description available.","10154788309001860","photo","https://www.facebook.com/photo.php?fbid=10154788309001860&set=a.286076481859&type=3","No photo description available.","10154788309071860","photo","https://www.facebook.com/photo.php?fbid=10154788309071860&set=a.286076481859&type=3",,,,,,,,,,,,,"614061859","Erwin Mendoza Labog","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/659072099_10162494824606860_8343385279343327849_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=1d2534&_nc_ohc=cLTpITyJ04UQ7kNvwEpR7G6&_nc_oc=AdpFdv3Fh1R8vMrUwEnn6UTTP1Qu1Zk4KWOb_ps6DRmME4mF0II1qiTcLD_kRXbs1Fg&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=1orDl4BCUHHzcYmXb7LnnA&_nc_ss=7c2a8&oh=00_AQAcRSsIm1RJlVxqrdu_Z2Rd78KEa_dkicslOanEXbYEdw&oe=6A600EE2","https://www.facebook.com/erjlabog","0","10154788309096860","Grabe the baha hahaha... My proposal pang ganap sa background","4","7","1",,,"12","0","1505285887000","https://www.facebook.com/erjlabog/posts/pfbid0x2Nq4zTHoWCxjvn3Xjm5s18sH5PtSyAVeWStytDeyBLUTLhkDHEJDrV7VQCmfVTgl"
,,,,,,,,,,,,,,,,,,,,"1194485262","Johnielle Keith Pasion Nieto","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/403808148_10227717728707437_1588684784442717336_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1390x1389&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=1d2534&_nc_ohc=Eqb8XsKkuXcQ7kNvwFSNsM_&_nc_oc=Adpm67-MCp7321MCQAAuuqW2FKwuejCM1sK3_UInLlXUQnQn1hb16rT5DZiRPOk2Kcc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=1orDl4BCUHHzcYmXb7LnnA&_nc_ss=7c2a8&oh=00_AQBzaLFCm-q4RjqLv5S0Xd9x9f_-ppUxnOoYYxzJYIJzyQ&oe=6A5FF1E6","https://www.facebook.com/attykeith.nieto","0","1632626876782126","ANNOUNCEMENT: NO CLASSES AGAIN TOM, Wednesday, SEPT. 13, 2017 ACCDG TO CAINTA MAYOR KIT NIETO DUE TO BAD WEATHER. PLS. SHARE GFARLLIANS... Araw daw para maglinis sa mga paaralang naapektuhan ng baha sa Cainta","1","2",,,,"3","0","1505215177000","https://www.facebook.com/GFARLLTutorial/posts/pfbid036qNQJpKWNZYgARSW22aXm1QpYcrg61YTazcsWByqp6qKtWfD2c9guGNK1imv5xAGl"
"No photo description available.","501201626921452","photo","https://www.facebook.com/photo/?fbid=501201626921452&set=a.120238315017787",,,,,,,,,,,,,,,,,"100010948567227","Glyzel Isleta","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/618558590_2704758589899067_7564613490647753704_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2040&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=1d2534&_nc_ohc=GjVv-Y6hZW8Q7kNvwEAv23b&_nc_oc=AdrAVVJLtY3mcItrHtq_mPbL9fckNOed-ahyDjX5f57yWPmaiYljDSYtChD8-AXa-1U&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=1orDl4BCUHHzcYmXb7LnnA&_nc_ss=7c2a8&oh=00_AQC8LN4YAzmkQep_9lARyyAFFG_xrCPG7lzI9WvhfiHuSw&oe=6A600604","https://www.facebook.com/glyzel.isleta.5","0","501202713588010","Yown..baha na po.. :(

#storm",,"15",,,,"15","0","1505188446000","https://www.facebook.com/glyzel.isleta.5/posts/pfbid05jbMguMT4ub3j6DKzAW7s7zg4e26EtHQcSegqPNwDd1KoR9MDzEL5gWVq7LhfEygl"
"No photo description available.","115938699095279","photo","https://www.facebook.com/photo/?fbid=115938699095279&set=a.477714897697711",,,,,,,,,,,,,,,,,"100063776153536","Cavite My Place My Home - Affordable Rent To Own Homes","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/299183914_477714917697709_8084130520038425077_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2008x2015&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FmclD_PjtCEQ7kNvwF7zBiS&_nc_oc=AdrGkHBFu-ectt4E8resrGco3rsJb2lYpTvmvG95Qn4BrJCoJv3Ac9P1WCTxQMPm_tY&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=1orDl4BCUHHzcYmXb7LnnA&_nc_ss=7c2a8&oh=00_AQBZfZIvJtbPQdv4U07j_pbKtStUZRUdAYvCwfDDVV3dVw&oe=6A600B24","https://www.facebook.com/AffordableHousingGuideinCavite","3","115938715761944","Mga kababayan ko!
Uso na naman ang bagyo.
Baha na naman sigurado.
Tiyak, walang baha dito.

ELLISTON PLACE #GeneralTrias #Cavite
#FloodFree na #Complete Finish pa.
#ValueForMoney na #GoodInvestment pa.

Para sa detalye tumawag o magtext sa.
09778519476 / 09179135307",,"38",,,,"38","1","1505236151000","https://www.facebook.com/AffordableHousingGuideinCavite/posts/pfbid02sGHvSBwmcUFmy5XNsekxcFDNyDgGnyQEupcGyUqAXdyJTzER596y2V7rbgjkPpoNl"
