"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"10155513153340168","video",,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwGp9HV1&_nc_oc=AdpOISqzJdrQN1thB0S6SpXFpxdt-K-DEA_MMg5oTA-qxVsYSquaQMF3qon5HsfU-AU&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=tU2JuBXvgqX-u70N5fcH3A&_nc_ss=7c2a8&oh=00_AQA4zUytwHVTzUdPcOrxxI-2FrWmwyABdlbg5D9VD5HQDw&oe=6A600EDC","https://www.facebook.com/abscbnNEWS","56","10155513153340168","WATCH: Waist-deep flood in Bayanihan Village, Cainta, Rizal due to continuous rains brought by #MaringPH (Kevin Manalo, ABS-CBN News)",,"2","350","1","90","32","475","190","1505177139000","https://www.facebook.com/abscbnNEWS/videos/10155513153340168/"
"No photo description available.","1456592754428665","photo","https://www.facebook.com/photo/?fbid=1456592754428665&set=a.590064322485847",,,,,,,,,,,,,,,,,"100044468528174","James Deakin","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/690981279_1510711817087755_981435395944256399_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx1125x1126&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=nK7qFulkzO8Q7kNvwFTRj28&_nc_oc=Adr7IYXVweuinmgAAZrNGHdalUp0DdB2LgkujHhBOm1y1szr7CEYKB8uKA7FEKrl34c&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=tU2JuBXvgqX-u70N5fcH3A&_nc_ss=7c2a8&oh=00_AQAk07tkISWovZBzdos1aZ9dZz2NrgWkaqVPTo760kdEUQ&oe=6A600CC7","https://www.facebook.com/jamesdeakin","1150","1456594404428500","I think its a good time to raffle this out. I will draw it out today. Pop your comment below. If you can include a pic of how the flood has affected you, then even better. I really would like to see it go to someone who needs it. Thank you to the guys of ondoyboat for donating this very timely prize.",,"21","2877","125","3","214","3240","113","1505182328000","https://www.facebook.com/jamesdeakin/posts/pfbid02JAVG7VTboYm3EkdKQRtGTJ3BZjBqg75ZfPKoXM5aaVByrjkmqiJdyyRA7CZuUojel"
,"10155646161546977","video",,,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwFXpWg4&_nc_oc=AdqCsNxIY4WWTn4w-WW58wGWxgiR2Skxy9yl32oj-IZpJIx2jqCAY34wk8l2djwj204&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=tU2JuBXvgqX-u70N5fcH3A&_nc_ss=7c2a8&oh=00_AQBgqRU6nWKgRSIJjJRK-4PZdxTJK7iAbPsUzzGCeyITNw&oe=6A5FFBBF","https://www.facebook.com/gmanews","147","10155646161546977","Araneta Avenue in Quezon City was submerged in knee-deep flood as #MaringPH dumped heavy rains in several parts of Luzon on Tuesday. The street is now passable to traffic. (Video: Raffy Tima)","4","8","877","2","155","77","1123","358","1505199098000","https://www.facebook.com/gmanews/videos/10155646161546977/"
,"1787953534598642","video",,,,,,,,,,,,,,,,,,"100067118364824","PTV","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/469778811_1010174501229819_6318900398083369956_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx768x768&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FaGq-qwGxNAQ7kNvwGa0wwN&_nc_oc=Adrt3AvB-nEjsTMDhXbuvgQXCWmUswXoVPoOTtIYWbJJeUqlkYu1YYxJG78OSK1YESM&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=tU2JuBXvgqX-u70N5fcH3A&_nc_ss=7c2a8&oh=00_AQBf7LcB4tI-CCZcSLtszaHcOe3x1-eZE_Z2qo_aET0JXQ&oe=6A6006A5","https://www.facebook.com/PTVph","35","1787953534598642","WATCH:  Flood and traffic situation along España Blvd in Manila. | via Sweeden Velado",,"8","548","5","40","3","604","112","1505180368000","https://www.facebook.com/PTVph/videos/1787953534598642/"
"No photo description available.","1787940234599972","photo","https://www.facebook.com/photo.php?fbid=1787940234599972&set=a.188831410030803&type=3","No photo description available.","1787940244599971","photo","https://www.facebook.com/photo.php?fbid=1787940244599971&set=a.188831410030803&type=3","No photo description available.","1787940237933305","photo","https://www.facebook.com/photo.php?fbid=1787940237933305&set=a.188831410030803&type=3",,,,,,,,,"100067118364824","PTV","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/469778811_1010174501229819_6318900398083369956_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx768x768&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FaGq-qwGxNAQ7kNvwGa0wwN&_nc_oc=Adrt3AvB-nEjsTMDhXbuvgQXCWmUswXoVPoOTtIYWbJJeUqlkYu1YYxJG78OSK1YESM&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=tU2JuBXvgqX-u70N5fcH3A&_nc_ss=7c2a8&oh=00_AQBf7LcB4tI-CCZcSLtszaHcOe3x1-eZE_Z2qo_aET0JXQ&oe=6A6006A5","https://www.facebook.com/PTVph","3","1787940491266613","LOOK: Flood and traffic situation along España Blvd in Manila. | via Sweeden Velado",,,"105","2","11","1","119","16","1505179579000","https://www.facebook.com/PTVph/posts/pfbid0nxXhRumMrxYaCRNrzZicGzSbDGZKD1LAyH4rTyKgwBgXgpqEkVKjWPhHcKtFj9Gml"
"No photo description available.","1788209251239737","photo","https://www.facebook.com/photo.php?fbid=1788209251239737&set=a.188831410030803&type=3","No photo description available.","1788209247906404","photo","https://www.facebook.com/photo.php?fbid=1788209247906404&set=a.188831410030803&type=3","No photo description available.","1788209244573071","photo","https://www.facebook.com/photo.php?fbid=1788209244573071&set=a.188831410030803&type=3","No photo description available.","1788209297906399","photo","https://www.facebook.com/photo.php?fbid=1788209297906399&set=a.188831410030803&type=3",,,,,"100067118364824","PTV","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/469778811_1010174501229819_6318900398083369956_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx768x768&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FaGq-qwGxNAQ7kNvwGa0wwN&_nc_oc=Adrt3AvB-nEjsTMDhXbuvgQXCWmUswXoVPoOTtIYWbJJeUqlkYu1YYxJG78OSK1YESM&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=ginSWsNDCPROb6Mn_9HqRg&_nc_ss=7c2a8&oh=00_AQCIg3yMhvlxRsHKAoQDyzfcl4gvJYcfflhmxVx7pMuS1g&oe=6A6006A5","https://www.facebook.com/PTVph","30","1788209521239710","NOW: Ankle to knee-deep flood in Taft Avenue, Manila.

Courtesy: JM Fetalco | via Sweeden Velado",,,"305",,"42","15","362","110","1505196099000","https://www.facebook.com/PTVph/posts/pfbid02GCoMBH97XjkorgENSQE6VGt1iph5XjgFhMiRUTfAaS1D5fJnqo5KYgUSFRCwQxD6l"
"No photo description available.","2112058072354826","photo","https://www.facebook.com/photo/?fbid=2112058072354826&set=a.463388885837677",,,,,,,,,,,,,,,,,"100064997071673","LCA Precious Land Realty Inc.","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/307375379_463388909171008_9053645638494499566_n.png?stp=cp0_dst-png&cstp=mx360x360&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=sny-G0Y97ZMQ7kNvwHMqivU&_nc_oc=Adr8FmCF0dTg79lSvEbDXZyUaehSwg9EqiCkQyStbr16RJ5PteZ08VSjjVdXZPWMBcA&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=ginSWsNDCPROb6Mn_9HqRg&_nc_ss=7c2a8&oh=00_AQCq4KyRAM5Xr5VDiUUkB0iCJhk6khvJkWiUNlhRNeu5iw&oe=6A5FFEA4","https://www.facebook.com/lcapreciouslandrealty","66","2112058179021482","STOP RENTING - START OWNING!! FLOOD FREE!
Why own a home of your own? May sariwang hangin na tiyak ay inyong mamahalin

Presyong kaibig-ibig sa halagang P 2,280/month under pag-ibig financing, you can call your own home. Lower monthly payments than rent,No landlords, Never have to move again .
Located at Sto. Tomas, Batangas 45minutes frm Alabang via Slex
.Provision for 2 bedroom and Tricycle ride from hiway near Public market , Church , Accessible , Hospital,Nearby Industrial & Science Parks Waltermart Tanauan/Maquiling, , SM Calamba.Breezy and tranquil, fresh air is what greets you in every area of this house. ... good for vacation house near Mt Makiling near hot spring resorts
.
Floor area 34sqm.
Lot area 30sqm
Available thru Pag-IBIG & In-house Financing!
Sample Computation thru Pag-ibig:

Total Contract Price+MF: 542,820.00
Loan Amount: 450,000.00
Gross Equity: 92,820.00
Reservation Fee: 5,000
Monthly Equity for 24 months:3,659.17
Monthly Amortization Option:
30 yrs. 2,280
-------------------------------------------------------------------------------
For NONE MEMBER OR IN-HOUSE FINANCING
Total Contract Price: 504,680.00
Loan Amount: 365,893.00
Gross Equity: 138,787.00.
Reservation Fee: 5,000
Monthly Equity for 24 months:5,576.46
Monthly Amortization Option:
10yrs 5,463.18

HURRY!!!! Limited Unit Only... There are few units left ano pang hinihintay mo mag FREE tripping ka na! wag mo ng antayin na maubusan ka!

REQUIREMENTS FOR RESERVATION
>1 month latest PAYSLIP Original
>2Valid ID (Photocopy company id & any Gov't ID)
3. OFW zerox passport , jobcontract and latest pag ibig O.R

LCA Precious Land Realty PRC No. 7850 HLURB 07-S1345
0918 9653 033 Smart
0927 6438 231 Globe
0922-8405714 Sun
viber : 09154955493
Note: Free Meralco installation/water connection no move -in fee",,,"93","2",,,"95","10","1505266547000","https://www.facebook.com/lcapreciouslandrealty/posts/pfbid02UxG9an6DMyyQxdRE2eXWr5aPczAPnhjsy7CQpeaq5vAfS17RNgdgMhEj3ERaMkc6l"
"No photo description available.","10156028749368912","photo","https://www.facebook.com/photo.php?fbid=10156028749368912&set=a.292602128901942&type=3","No photo description available.","10156028749373912","photo","https://www.facebook.com/photo.php?fbid=10156028749373912&set=a.292602128901942&type=3","No photo description available.","10156028749403912","photo","https://www.facebook.com/photo.php?fbid=10156028749403912&set=a.292602128901942&type=3",,,,,,,,,"100044564703718","Raffy Tima","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/468496980_10161888641573912_8888590953102030330_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx959x960&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ufbhglX0JxUQ7kNvwHN7oEA&_nc_oc=Adqo2CntWW15BfzOjg748RQWhPEVCgPvVcbCUXmHVXUqEzXKVBv3hIwfkgepKGwol9Y&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=ginSWsNDCPROb6Mn_9HqRg&_nc_ss=7c2a8&oh=00_AQDHLY9byX_oe4Cr8O2dC4XlpiVAA49rUjx2kAmSXErZxw&oe=6A5FF135","https://www.facebook.com/profile.php?id=100044564703718","0","10156028749623912","‪A man wades through 3-foot deep flood water in Sto Domingo Quezon City yesterday, taking advantage of a lull in heavy rains at the height of Typhoon Maring.‬",,"2","48",,,"2","52","1","1505277374000","https://www.facebook.com/permalink.php?story_fbid=pfbid02ZcfbQapC1A7WVFRAyKNQjU3WaB7AvDMJYEqZYKPnRtRcvR1QopXN3iTxDuxSA517l&id=100044564703718"
"No photo description available.","2026902560882966","photo","https://www.facebook.com/photo.php?fbid=2026902560882966&set=a.313057930949375&type=3","No photo description available.","2026902550882967","photo","https://www.facebook.com/photo.php?fbid=2026902550882967&set=a.313057930949375&type=3","No photo description available.","2026902557549633","photo","https://www.facebook.com/photo.php?fbid=2026902557549633&set=a.313057930949375&type=3","No photo description available.","2026902674216288","photo","https://www.facebook.com/photo.php?fbid=2026902674216288&set=a.313057930949375&type=3",,,,,"100067355105098","NewsWatch Plus Philippines","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/456609439_881388207449675_1632337810924285418_n.jpg?stp=c64.64.1072.1072a_cp0_dst-jpg_tt6&cstp=mx1072x1072&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=XXCL4ducTFQQ7kNvwE4eUBH&_nc_oc=Adp2qLJ3WE-68sO1YLwzGYEZsjx_Ph57IlGF-gBK4FIkjj1Ppwf6ORpz0tFEhTqTd5U&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=ginSWsNDCPROb6Mn_9HqRg&_nc_ss=7c2a8&oh=00_AQDL2PqMmIMbPli7BdCEEa5hb7ZnvFkjiq1ZNKG70LTHvw&oe=6A5FE798","https://www.facebook.com/NewsWatchPlusPH","373","2026902847549604","LOOK: Road in Brgy. Kalubkob, Silang, Cavite damaged due to heavy rains, flash flood #MaringPH | Photos from Gerard Laureles Cortez","23","16","600","7","258","166","1070","382","1505183985000","https://www.facebook.com/NewsWatchPlusPH/posts/pfbid02zMU8hEXEvZw3LnZE8YXD8k4DNW1mA8C8RvDQ91iUbsjyNXdgT1jduLTVe1F51zKXl"
"No photo description available.","1398454196931152","photo","https://www.facebook.com/photo.php?fbid=1398454196931152&set=a.365711365600523&type=3","No photo description available.","1398454230264482","photo","https://www.facebook.com/photo.php?fbid=1398454230264482&set=a.365711365600523&type=3","No photo description available.","1398454246931147","photo","https://www.facebook.com/photo.php?fbid=1398454246931147&set=a.365711365600523&type=3",,,,,,,,,"100064849864375","DOST-PAGASA","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8-rGnn6nM6QQ7kNvwGiufKY&_nc_oc=AdoXDuwEyIHIAyxIERLnTtg3QOcpaIWfNDzLCXe2_LN8CbuKSXiFUKtzF72iU5ikhAc&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=ginSWsNDCPROb6Mn_9HqRg&_nc_ss=7c2a8&oh=00_AQAuUlKmbx02qHSkt8bCNX8Rpo0uLeLEhoI3e7eji3lzbw&oe=6A5FFFDF","https://www.facebook.com/PAGASA.DOST.GOV.PH","25","1398454406931131","Heavy Rainfall Warning No. 9 #NCR_PRSD
Weather System: TD Maring 
Issued at: 5:00 PM 12 September 2017

Red Warning Level: #Zambales, #Pampanga and #Bataan
Serious FLOODING in flood prone areas.

Orange Warning Level: #Tarlac, #NuevaEcija and #Bulacan
FLOODING is THREATENING.

Yellow Warning Level: #MetroManila, #Batangas and #Cavite
FLOODING in low lying areas.

•Light to moderate with occasional heavy rains affecting #Rizal, #Laguna and #Quezon which may persist within the next 3 hours.

•These information are based on current radar trends, predicted tropical cyclone track and all available meteorological data.

•The public and the disaster risk reduction and management council concerned are advised to take appropriate actions, MONITOR the weather condition and watch for the next advisory to be issued at 8:00 PM Today

•For more information and queries, please call telephone numbers 927-1335 and 927-2877","1",,"436","5","29","3","474","313","1505206988000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02vej7Hec6rsTjGUFp6wk1ZAooLBrvNCkPBK2wNTLDFFMiJY6BYUQXnWMRDV4ZmZ9l"
