"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","753332568084138","photo","https://www.facebook.com/photo/?fbid=753332568084138&set=a.573786254941525",,,,,,,,,,,,,,,,,"100069304665221","24 Oras","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/724552267_1341729854813824_3561841891807506997_n.jpg?stp=c420.0.1080.1080a_cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=I5zbAXjbERQQ7kNvwEE5wEx&_nc_oc=AdpA2az5UiuF3n39ftw4hWmcC8qomGBXanCg7Vp1ayOp4XdQzan9GnE27T5P0TlYPls&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=Z2W8jxQ_v9N30udedBoKgw&_nc_ss=7c2a8&oh=00_AQDvUe51pDdy96LozHPUkCOgJcSqVmfaD47KIgUNTmy6dA&oe=6A6002E0","https://www.facebook.com/24OrasGMA","99","753332568084138","LIVE si Mike Enriquez sa E. Rodriguez-Araneta Avenue sa Quezon City na kaninang madaling araw pa lubog sa baha!",,"7365",,"7365","38","1411123478000","https://www.facebook.com/photo.php?fbid=753332568084138&set=a.573786254941525&type=3"
"No photo description available.","807923195895592","photo","https://www.facebook.com/photo.php?fbid=807923195895592&set=a.486863240144759&type=3","No photo description available.","807923202562258","photo","https://www.facebook.com/photo.php?fbid=807923202562258&set=a.486863240144759&type=3",,,,,,,,,,,,,"100064632611542","Bayan Mo, Ipatrol Mo","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/418541514_765959235568490_619545813751899744_n.jpg?stp=c461.29.1111.1112a_cp0_dst-jpg_tt6&cstp=mx1111x1112&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=uOfnjF7jFPsQ7kNvwHr9TTw&_nc_oc=AdoKjX3RfFww45ZMG_TJOuNnVikcktujLcPA--G5wchnfdZxLpyqkItETg0PXM7bVoY&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=Z2W8jxQ_v9N30udedBoKgw&_nc_ss=7c2a8&oh=00_AQAyJbnEFAy0wb0ID0P_TGYBZ5qF59JRECKisrXYSN5QxA&oe=6A6004DB","https://www.facebook.com/bayanmoipatrolmo","24","807923392562239","Ibinahagi ni Anthony Eugenio ang mga nakunan niyang larawan kahapon ng baha sa Sucat, Parañaque. #BMPMTayoNa",,"783",,"783","66","1411201329000","https://www.facebook.com/bayanmoipatrolmo/posts/pfbid0G3jhJv35kMwBAaatqFbzyvzj8LiL44AHEwFNP3QRabgrQZP4j6cDJ141ztbn9ZAAl"
"No photo description available.","720561341325564","photo","https://www.facebook.com/photo.php?fbid=720561341325564&set=a.844784720346126&type=3","No photo description available.","720561374658894","photo","https://www.facebook.com/photo.php?fbid=720561374658894&set=a.844784720346126&type=3",,,,,,,,,,,,,"100044438169134","PhilippineFashionRacks","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/368402236_844784743679457_8327642613063063905_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx206x206&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=kfqd8Q-KJyUQ7kNvwFoX4aJ&_nc_oc=AdoiHAJcnRGS2-WnAq6Ngm5U6f00il1790VRfieIEIcLz1UXzolcUQEd8YzCZX8Rwbw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=Z2W8jxQ_v9N30udedBoKgw&_nc_ss=7c2a8&oh=00_AQAnwpEiRjIzy8PLmuRRpNfnwFk_ZFsnBPJ1EZITMPzc2Q&oe=6A600DE1","https://www.facebook.com/philippinefashionracks","4","720561407992224","BAHA NEWS...Not Really The News",,"128",,"128","35","1411093459000","https://www.facebook.com/philippinefashionracks/posts/pfbid02QARyjC3Zb5PjMVQoVXpVYRyiX454ytQ8tf2vf3Gy9NtF623zYmxBp93XwHSCuBV8l"
,"339303336244092","video",,,,,,,,,,,,,,,,,,"100044904253023","Papa Buboy","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/344218785_192821186891968_6109783245016963052_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=XdxpbDkMbIsQ7kNvwGKs8SU&_nc_oc=Adpbcu2Kwaq2hmlCDWDdZRY7MBgJEtJhzRNG5f4TMz7bRMC-KyAi4TLKCfGX8aPDw_0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=Z2W8jxQ_v9N30udedBoKgw&_nc_ss=7c2a8&oh=00_AQBfKqFCNtNW8EmGEHJkxmhR9mgNoixK6Cw2aHEwT3LZDg&oe=6A601699","https://www.facebook.com/PapaBuboyManila","32","339303336244092","Ang aking Lusob Baha Gang Adverture Part II Hahaha :D Pag dating po sa dulo ang hangang tuhod na baha ay naging hangang bewang dahilan upang hindi mavideo ang mga sumunod na pangyayari. Ngunit wag mag alala okay lang si Papa Buboy! ;)","1","168",,"169","3","1411195583000","https://www.facebook.com/PapaBuboyManila/videos/339303336244092/"
"No photo description available.","720695401312158","photo","https://www.facebook.com/photo.php?fbid=720695401312158&set=a.844784720346126&type=3","No photo description available.","720695451312153","photo","https://www.facebook.com/photo.php?fbid=720695451312153&set=a.844784720346126&type=3","No photo description available.","720695481312150","photo","https://www.facebook.com/photo.php?fbid=720695481312150&set=a.844784720346126&type=3","No photo description available.","720695514645480","photo","https://www.facebook.com/photo.php?fbid=720695514645480&set=a.844784720346126&type=3",,,,,"100044438169134","PhilippineFashionRacks","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/368402236_844784743679457_8327642613063063905_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx206x206&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=kfqd8Q-KJyUQ7kNvwFoX4aJ&_nc_oc=AdoiHAJcnRGS2-WnAq6Ngm5U6f00il1790VRfieIEIcLz1UXzolcUQEd8YzCZX8Rwbw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=Z2W8jxQ_v9N30udedBoKgw&_nc_ss=7c2a8&oh=00_AQAnwpEiRjIzy8PLmuRRpNfnwFk_ZFsnBPJ1EZITMPzc2Q&oe=6A600DE1","https://www.facebook.com/philippinefashionracks","1","720695577978807","BAHA NEWS...IT'S NOT YOUR USUAL TYPE OF NEWS",,"71",,"71","9","1411132281000","https://www.facebook.com/philippinefashionracks/posts/pfbid02RRAXEw4N3cnWiv88usbj9NSpvyokaj7JVMoM4yHbAa2Gf2MVuPE3JuD1aNHX1uRCl"
,,,,,,,,,,,,,,,,,,,,"100044253735183","Senyora","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/274549687_501777981307322_3280978451797542633_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=bBVnKu1LLqsQ7kNvwFuP7qL&_nc_oc=AdoP-C-p1i9EiiDOd80nfDhSXRFEZviV9nbspveGYub_sdktPYEFM5liPQzLSo_AqqY&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=8OrVr2ThEnNmBhN32Oap4g&_nc_ss=7c2a8&oh=00_AQAgBLxgMJHG9mJkmMxDdEDXfR2B61zV4eBUysowLN2kFQ&oe=6A5FF357","https://www.facebook.com/nyoraofficial","1158","903767816317696","Ingat sa baha yung mga walang dede. Wala kayong floaters. Malunod kayo sige kayo","1","398",,"399","753","1411108225000","https://www.facebook.com/nyoraofficial/posts/pfbid027N3nmVHxYGPkn61WBHg8tFgoxp6PdFp9E2GzUVeVJD5y9fwcAAJehJJTtuddYiol"
,,,,,,,,,,,,,,,,,,,,"100064754374414","Barangay LS 97.1","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/611780319_1349383163896817_6457572766932905144_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=doGJdznc3XIQ7kNvwFk_TN-&_nc_oc=AdpdLX4su6Tp-j_tRzXd6FY_Lgr6LJc8h8vbfbElhrmew3AEuSVb_RS5HQ-x2C9GXIs&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=8OrVr2ThEnNmBhN32Oap4g&_nc_ss=7c2a8&oh=00_AQDJMLp-coRZ59VPYSVVea1RuYtw7J25fO55rTWZrFy9aQ&oe=6A602078","https://www.facebook.com/BarangayLS971","60","911000302272954","BAHA MAN O MALAKAS ANG ULAN, DI TAYO PAPAAWAT! TULOY ANG #3PLAY",,"82",,"82","0","1411110298000","https://www.facebook.com/BarangayLS971/posts/pfbid0ts83HgNNA8wywWwsTGvsKL4qTDgBXPDf78nP1aaFCadFprcxBFYjqZHZAp7K8kq8l"
,,,,,,,,,,,,,,,,,,,,"100064260446946","Nora Aunor National Artist","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/445351976_838904564928217_7355765085465919153_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=PCsmD2bzDQgQ7kNvwHqh1a6&_nc_oc=Adr4OPk2oRkOhBMDO5SdmHqq83D6lQSebGvPHlI3ridCRNT7MGxhSKukXObzy5plNzk&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=8OrVr2ThEnNmBhN32Oap4g&_nc_ss=7c2a8&oh=00_AQCY3jy7Hx_dPctjmw776DxG1pD-gJwWbMH7fB4tN82qxw&oe=6A5FFA2E","https://www.facebook.com/NoraAunorNationalArtist","6","811212872257466","Noranians, mag-ingat at magdasal. Panahon na naman ng ulan at baha.",,"162",,"162","1","1411108107000","https://www.facebook.com/NoraAunorNationalArtist/posts/pfbid0725Gm85kDcKe8JDiDuMSxi3TujKhY3yY7FgVwSzPG3f1xo45W5236jEfrWHN1JL5l"
,,,,,,,,,,,,,,,,,,,,"100064457419153","Nag-break na nga sila, Ni-like mo pa.","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/339633389_210108328379411_2985064675976544543_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx180x180&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=vfyWT-zmz28Q7kNvwHCC0Cj&_nc_oc=AdrSoI77ECZwLkcRUGnUylM3EtXQCsft3QOcY36JhyXSdDKfxEnEvqhuWVsi-OxaGmM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=8OrVr2ThEnNmBhN32Oap4g&_nc_ss=7c2a8&oh=00_AQDcM4eU-XTBrJ8IcL6QNSpwvpIkBeRQY6sBuGOep9f4Rw&oe=6A602805","https://www.facebook.com/NagBreakNaNgaSila.NiLikeMoPa","0","972661026093953","""mabuti pa baha, umabot hanggang hita."" (c) ra rivera

- knotz",,"53",,"53","0","1411124331000","https://www.facebook.com/NagBreakNaNgaSila.NiLikeMoPa/posts/pfbid028eecoQnQkZnaPPAe6G95XV49iWhz3TEDkdwsjgr1KiNhx7sAsH2RiwyMGzDbmydil"
,,,,,,,,,,,,,,,,,,,,"100064387911673","Bob Ong Quotes","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/668891779_1430312955791621_3463488002527506984_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx1024x1024&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=KyW7Xt_snjQQ7kNvwFqxjqk&_nc_oc=AdoTNlII1Vd9ChdgvufcKsGR61MTHFgh0X9mXS2gpal4Z38O5gjFDz7JbLOBwJ6rJEY&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=8OrVr2ThEnNmBhN32Oap4g&_nc_ss=7c2a8&oh=00_AQDHa1kOn_MDT17r-8ojYL4b6nslmyF3CFcWmkgjvMpWNQ&oe=6A6013C8","https://www.facebook.com/BobOngQuote","6","817407684965693","“Wag ka lulusong sa baha, PLASTIC ka pa naman, baka lumutang ka lang.”",,"265",,"265","23","1411125603000","https://www.facebook.com/BobOngQuote/posts/pfbid0tdFbfwWzFqVAYSjFPQh4mAo1yVX1oKanU1mEZYUkEKAxh79PNnrPKsqRJHwfFgbLl"
