"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,"799672096856213","video",,,,,,,,,,,,,,,,,,"100064456281701","News5","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/352531091_590012623265943_7503745415624331533_n.png?stp=cp0_dst-png&cstp=mx719x719&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=VZI5zKGnILYQ7kNvwFD2MPk&_nc_oc=AdoCwjE3W7F0e83FSDJxKPdqHHmLaLlTMdUzK7-459cJyodrz40J5zmWdunBb5o-14o&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=PcoriQHLYYmB_9nLd-w6ag&_nc_ss=7c2a8&oh=00_AQCK1l_qfE_5z3aJ0zOyIO6966iDQSLg_Ml2evdvK5VnbA&oe=6A5FE70F","https://www.facebook.com/News5Everywhere","29","799672096856213","Panoorin: Baha sa R. Papa Rizal Avenue sa Maynila dahil sa Bagyong 'Nina.'","5","1","348","3","35","3","395","75","1482723592000","https://www.facebook.com/News5Everywhere/videos/799672096856213/"
"No photo description available.","1849944331948700","photo","https://www.facebook.com/photo.php?fbid=1849944331948700&set=a.464750442353020&type=3","No photo description available.","1849944341948699","photo","https://www.facebook.com/photo.php?fbid=1849944341948699&set=a.464750442353020&type=3",,,,,,,,,,,,,"100064542048388","UP NOAH","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/312461647_483709890457075_1950615517448872008_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx967x967&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=e89vrGbvofEQ7kNvwE2SlSi&_nc_oc=AdqovffbrDkQKPf58IUo_RX8FWEx6rVZAxc2ChVSb7acj-G3gfKBhS4kuoP8_OSowF4&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=PcoriQHLYYmB_9nLd-w6ag&_nc_ss=7c2a8&oh=00_AQBmXLFRpYOhvmNsxtz75hQwd5FdbpeRIfL5A6IWsx5GoQ&oe=6A5FFFDD","https://www.facebook.com/UPNOAH","2","1849944481948685","Latest PAGASA Forecast for Typhoon #NinaPh
As of December 26, 2016 5:00 AM

Bahagyang humina ang bagyong Nina habang binabaybay nito ang Mompog pass.

Lakas ng Hanging Dala ng Bagyo: umaabot sa 150 kph
Pagbugso: 250 kph
Paggalaw: 20 kph papuntang Kanluran (West)
Lokasyon ng Sentro ng Bagyo (kaninang alas-kwatro ng madaling araw): 85 km Hilaga (North) ng Romblon, Romblon.

Nakataas po ang Tropical Cyclone Warning Signal No. 3 sa mga lalawigan ng:
#CamarinesSur
Southern #Quezon
#Marinduque
#Batangas
Northern #OrientalMindoro
#Lubang Island
#Cavite
#Laguna 

Asahan dito ang hanging may bilis na 121-170 kph sa loob ng 18 na oras

TCWS No. 2 naman po ang nakataas sa mga lalawigan ng:
#MetroManila
#Rizal
Northern #Quezon kasama na ang Polillo Islands
#Bulacan
#Bataan
#Pampanga
Southern #Zambales
Nalalabing bahagi ng #Oriental Mindoro
#Romblon
Northern #OccidentalMindoro
#Burias Island
#CamarinesNorte
#Albay

Asahan dito ang hanging may bilis na 61-120 kph sa loob ng 24 na oras

Habang nakataas po ang TCWS No. 1 sa mga lalawigan ng:
Nalalabing bahagi ng #OccidentalMindoro
#Masbate kasama na ang Ticao Island
Nalalabing bahagi ng #Zambales
#Tarlac
#NuevaEcija
Southern #Aurora
#Pangasinan
#Sorsogon
#Catanduanes

Asahan dito ang hanging may bilis na 30-60 kph sa loob ng 36 na oras

Patuloy pa rin pong umantabay at maging alerto sa mga abiso ng inyong pamahalaan ukol sa paghahanda para sa bagyo.

Ugaliing bisitahin ang NOAH website (http://noah.dost.gov.ph) para sa napapanahong impormasyon at para i-tsek kung ligtas ang inyong lugar sa baha, landslide, o storm surge.

Maging alerto po tayo!",,,"59",,"4",,"63","116","1482704969000","https://www.facebook.com/UPNOAH/posts/pfbid06DLEvP4CsdoPKKLjxizpAhyr22AdZEduLK75zisE3P8MiPDy27LkxBEnBPst6SWql"
"No photo description available.","1849523081990825","photo","https://www.facebook.com/photo.php?fbid=1849523081990825&set=a.464750435686354&type=3","No photo description available.","1849523991990734","photo","https://www.facebook.com/photo.php?fbid=1849523991990734&set=a.464750435686354&type=3",,,,,,,,,,,,,"100064542048388","UP NOAH","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/312461647_483709890457075_1950615517448872008_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx967x967&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=e89vrGbvofEQ7kNvwE2SlSi&_nc_oc=AdqovffbrDkQKPf58IUo_RX8FWEx6rVZAxc2ChVSb7acj-G3gfKBhS4kuoP8_OSowF4&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=PcoriQHLYYmB_9nLd-w6ag&_nc_ss=7c2a8&oh=00_AQBmXLFRpYOhvmNsxtz75hQwd5FdbpeRIfL5A6IWsx5GoQ&oe=6A5FFFDD","https://www.facebook.com/UPNOAH","0","1849524285324038","Latest PAGASA Forecast for Typhoon #NinaPh
As of December 25, 2016 11:00 AM

Patuloy ang paglakas ng Bagyong #Nina habang patuloy itong nagbabadya ng panganib sa Bicol Region.

Lakas ng Hanging Dala ng Bagyo: umaabot sa 185 kph
Pagbugso: 255 kph
Paggalaw: 15 kph papuntang Kanluran (West)
Lokasyon ng Sentro ng Bagyo (kaninang alas-10 ng umaga): 150 km Silangan (East) ng Virac, Catanduanes

Nakataas na po ang Tropical Cyclone Warning Signal No. 4 sa lalawigan ng:

#Catanduanes

Nakataas po ang Tropical Cyclone Warning Signal No. 3 sa mga lalawigan ng:

#Albay 
#CamarinesSur
#CamarinesNorte
Southern #Quezon
#Burias Islands

TCWS No. 2 naman po ang nakataas sa mga lalawigan ng:

Luzon:
#Masbate kasama na ang #Ticao Island
#Sorsogon
#Oriental Mindoro
#Batangas
#Laguna
nalalabing bahagi ng #Quezon kasama na ang #Polilo Island
#Marinduque
#Romblon

Visayas:
#NorthernSamar

Habang nakataas po ang TCWS No. 1 sa mga lalawigan ng:

Luzon:
#MetroManila
#Rizal
#Bataan
#OccidentalMindoro kasama na ang #Lubang Island
#NuevaEcija
#Aurora
#SouthernQuirino
#SouthernNuevaViscaya
#Zambales
#Pampanga
#Bulacan
#Tarlac
#Cavite

Visayas:
#Aklan
#Capiz
#Samar
#EasternSamar
#Biliran
#Leyte
#Bantayan Island

Patuloy pa rin pong umantabay at maging alerto sa mga abiso ng inyong pamahalaan ukol sa paghahanda para sa bagyo.

Ugaliing bisitahin ang NOAH website (http://noah.dost.gov.ph) para sa napapanahong impormasyon at para i-tsek kung ligtas ang inyong lugar sa baha, landslide, o storm surge.

Maging alerto po tayo!",,,"97",,"7","1","105","145","1482637671000","https://www.facebook.com/UPNOAH/posts/pfbid02hnJwCKTeWE6hesj2PF43tBrHtd8FjFA5Ax8j5V3Q3evERD68CFH9jEuWbkdz1L3Dl"
"No photo description available.","1352160631481194","photo","https://www.facebook.com/photo.php?fbid=1352160631481194&set=a.556680354362563&type=3","No photo description available.","1352160674814523","photo","https://www.facebook.com/photo.php?fbid=1352160674814523&set=a.556680354362563&type=3","No photo description available.","1352162411481016","photo","https://www.facebook.com/photo.php?fbid=1352162411481016&set=a.556680354362563&type=3",,,,,,,,,"100000618095280","Lovely Pabilonia Buenaventura","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/667838801_26870371419233431_7678776157429490688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1920x1930&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=1d2534&_nc_ohc=IEHNM9nBpkoQ7kNvwHCC0PZ&_nc_oc=Adr2eyeI3bqGngWWCfXb55faH3Pj6v-EdPQ47WRdVx_QEUyKwc-w10EAD8uA8A4aqBg&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=PcoriQHLYYmB_9nLd-w6ag&_nc_ss=7c2a8&oh=00_AQCX45PMj6ZsDwNZP4_fFo1Bw-rqLgYgPOSh6bgra-HOuQ&oe=6A5FEE5B","https://www.facebook.com/lovely.p.buenaventura","10","1352162554814335","Breakfast na po habang baha...sa Kama lng bawal bumaba...hehehe",,"1","55","1",,,"57","0","1482717811000","https://www.facebook.com/lovely.p.buenaventura/posts/pfbid02Buam42UWqHyJ4Gg48U3ifBfurmhxJA6ydBd8eLvLDRcVBNXnKRgudkwHebu9hTfgl"
"No photo description available.","737642383061013","photo","https://www.facebook.com/photo.php?fbid=737642383061013&set=a.273259502832639&type=3","No photo description available.","737642416394343","photo","https://www.facebook.com/photo.php?fbid=737642416394343&set=a.273259502832639&type=3","No photo description available.","737642449727673","photo","https://www.facebook.com/photo.php?fbid=737642449727673&set=a.273259502832639&type=3","No photo description available.","737642506394334","photo","https://www.facebook.com/photo.php?fbid=737642506394334&set=a.273259502832639&type=3","No photo description available.","737642543060997","photo","https://www.facebook.com/photo.php?fbid=737642543060997&set=a.273259502832639&type=3","100004457743410","Daisy Mae ABay Gerona","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/462941619_2829841487174415_1886110711154226172_n.jpg?stp=c246.137.575.575a_cp0_dst-jpg_tt6&cstp=mx575x575&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_ohc=PwXDO6ZdI5EQ7kNvwFMeySt&_nc_oc=AdrHgY82Jw0rGIbAqlEGNLNZGCrpASlqljNjiCmAsjwgCquyqsNFQbSTuaiTmZzG2ro&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=PcoriQHLYYmB_9nLd-w6ag&_nc_ss=7c2a8&oh=00_AQBQ_ldopb9siqPknYGz_-UHqvroUs3-bKinGLZeeE4iTA&oe=6A5FFA2E","https://www.facebook.com/prizzy.abuan","8","737642653060986",".oH My Gosh.
Maka PasuK Pa kaya Ako sa Trabaho.
BaHa Ang TANIMAN.shiTtttt..
WaLa Pang TraiciKiL.
poTIKssss...",,,"61","1","2",,"64","0","1482717479000","https://www.facebook.com/prizzy.abuan/posts/pfbid02Gsa1WTiCweqT8tHcfc32hcKEEJPD4uJmzDXaSCpEya44edFW8hekThk5Njy5gMwRl"
,,,,,,,,,,,,,,,,,,,,"100050429022288","Dong Abay","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/300187708_635312784826350_2686484448987289952_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx508x509&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=mu8czYVUyXgQ7kNvwFwTl-Q&_nc_oc=Ado7SoongK4FATis8xzmbBu6MPg1Q703DvMwnoiOs3qGjqGT0M7Bo6FCMtxqg-Z7bHw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=PcoriQHLYYmB_9nLd-w6ag&_nc_ss=7c2a8&oh=00_AQCk-EhZZJRBWMSJYBo-fc5_P3EDu3VgZMTzCbStimXB2w&oe=6A5FECE0","https://www.facebook.com/FilipinoRockstarExtraordinaire","5","10154372817310892","Bahaghari
Jose F. Lacaba

Huwag kang masindak sa kulog at kidlat
O sa alulong ng hangin sa dagat
May bahaghari, may bahaghari
Pagkatapos ng unos

Huwag kang lumuha kung mataas ang baha
Wala pang bahang hindi humuhupa
May bahaghari, may bahaghari
Pagkatapos ng unos

Sa likod ng ulap
May araw na sumisikat
Sa dulo ng dilim
May liwanag na kay ningning 

Huwag mong itaghoy
Ang lagas na dahon
May bagong dahon na muling sisibol
May bahaghari, may bahaghari
Pagkatapos ng unos",,,"205","11",,,"216","18","1482731838000","https://www.facebook.com/FilipinoRockstarExtraordinaire/posts/pfbid02UNjZ4ZPQMLEviFFLrpH9Wa52m8WSxxf9A79s5qC5TiyKzNspuDcfeaB5uKnpJpL8l"
"No photo description available.","1395577953800423","photo","https://www.facebook.com/photo/?fbid=1395577953800423&set=gm.642668742594787",,,,,,,,,,,,,,,,,"100000446964631","James Donaldo","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/713764980_27628022950129232_4355816368999247219_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx896x897&ctp=s24x24&_nc_cat=103&ccb=1-7&_nc_sid=1d2534&_nc_ohc=lxVSVYh9JjoQ7kNvwERTqWG&_nc_oc=AdrVYrxlKwL-mpcnjsV9J9vV962IrhfbBEKDvEsd5ZHH01qD1vTiwXisNMAEyK5H9p0&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=VL7_RChelLwudwUahppsfg&_nc_ss=7c2a8&oh=00_AQBb82AAbT08gqrsUjMcOYHI_DdCmknCTzeKdDx3pXWWtQ&oe=6A600D50","https://www.facebook.com/james.donaldo","147","642668742594787","Noong panahon ni Noah, ang mundo ay napuno ng kasamaan, nagkalat ang mga criminal, pusher, adik, rapist at mga bayarang minions, controlado ng mga demonyo ang utak nila, Nakita ito ng Dios at hindi siya masaya dito kaya nag pasya ang Dios na tawagin sI Noah at inutosan niya na gumawa ng arko at pagsabihan ang sangkataohan na mag bago na at sumakay sa arko dahil merong dadating na malaking baha. Ginawa ni Noah ang inutos ng Dios kaya nong natapos niya ang arko, tinipon niya ang sangkataohan at pinagsabihan niya na mag bago na, iwanan niyo na ang shabu at sumakay sa arko dahil babaha ng dugo. Pinagtawanan lang siya ng mga adik at minions patuloy parin sa masamang gawain, maraming matitino ang pumasok at sumonod sa kanya pero marami din ang hindi. Kaya nong dumating ang baha maraming adik ang naiwan at gusto pumasok pero huli na ang lahat, nakasara na ang pintuan. Ginamit ng Dios si Noah para malipun ang masasamang tao upang ma protectahan ang mabubuti. Malaking unos ang nangyari pero may bahag haring makikita sa huli.",,"7","50","5",,"1","63","2","1482672982000","https://www.facebook.com/groups/FreedomWallPH/permalink/642668742594787/"
"No photo description available.","1849817231961410","photo","https://www.facebook.com/photo.php?fbid=1849817231961410&set=a.464750435686354&type=3","No photo description available.","1849817528628047","photo","https://www.facebook.com/photo.php?fbid=1849817528628047&set=a.464750435686354&type=3",,,,,,,,,,,,,"100064542048388","UP NOAH","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/312461647_483709890457075_1950615517448872008_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx967x967&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=e89vrGbvofEQ7kNvwE2SlSi&_nc_oc=AdqovffbrDkQKPf58IUo_RX8FWEx6rVZAxc2ChVSb7acj-G3gfKBhS4kuoP8_OSowF4&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=VL7_RChelLwudwUahppsfg&_nc_ss=7c2a8&oh=00_AQAqiW9VoXzG2kByBO9EPUyMi7i0XqL9_XmIxM_x1pYN2A&oe=6A5FFFDD","https://www.facebook.com/UPNOAH","9","1849817581961375","Latest PAGASA Forecast for Typhoon #NinaPH
As of December 25, 2016 11:00 PM

Pangalawang beses nang nag-landfall na ang Bagyong #Nina sa Sagñay, Camarines Sur.
Lakas ng Hanging Dala ng Bagyo: umaabot sa 175 kph
Pagbugso: 290 kph
Paggalaw: 20 kph papuntang Kanluran (West)
Lokasyon ng Sentro ng Bagyo (kaninang alas-10 ng gabi): sa border ng Sagñay at Buhi, Camarines Sur.

Nakataas na po ang Tropical Cyclone Warning Signal No. 4 sa mga lalawigan ng:
#CamarinesNorte
#CamarinesSur at
Southern #Quezon

Nakataas po ang Tropical Cyclone Warning Signal No. 3 sa mga lalawigan ng:
#Catanduanes
#Laguna
#Batangas
#Marinduque
#Albay at
nalalabing bahagi ng Quezon

TCWS No. 2 naman po ang nakataas sa mga lalawigan ng:
#MetroManila
#Bulacan
#Rizal
#Cavite
#OrientalMindoro
#Sorsogon
#Polillo
#Lubang Island at
#Burias Island

Habang nakataas po ang TCWS No. 1 sa mga lalawigan ng:
#Pangasinan
#NuevaEcija
#Aurora
#Quirino
#NuevaVizcaya
#Zambales
#Pampanga
#Tarlac
#Bataan
#OccidentalMindoro
#Romblon at
#Masbate kasama ang #Ticao Island

Patuloy pa rin pong umantabay at maging alerto sa mga abiso ng inyong pamahalaan ukol sa paghahanda para sa bagyo.
Ugaliing bisitahin ang NOAH website (http://noah.dost.gov.ph) para sa napapanahong impormasyon at para i-tsek kung ligtas ang inyong lugar sa baha, landslide, o storm surge.

Mag-ingat po tayo!",,,"53",,"9",,"62","84","1482681598000","https://www.facebook.com/UPNOAH/posts/pfbid05N5XGyfrBJ3VbiD6NRfPokdRh1mk769JNG1DGTNhVc66xMxBjbcC9ovys6mtKuSjl"
"No photo description available.","1849746545301812","photo","https://www.facebook.com/photo.php?fbid=1849746545301812&set=a.464750435686354&type=3","No photo description available.","1849746598635140","photo","https://www.facebook.com/photo.php?fbid=1849746598635140&set=a.464750435686354&type=3",,,,,,,,,,,,,"100064542048388","UP NOAH","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/312461647_483709890457075_1950615517448872008_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx967x967&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=e89vrGbvofEQ7kNvwE2SlSi&_nc_oc=AdqovffbrDkQKPf58IUo_RX8FWEx6rVZAxc2ChVSb7acj-G3gfKBhS4kuoP8_OSowF4&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=VL7_RChelLwudwUahppsfg&_nc_ss=7c2a8&oh=00_AQAqiW9VoXzG2kByBO9EPUyMi7i0XqL9_XmIxM_x1pYN2A&oe=6A5FFFDD","https://www.facebook.com/UPNOAH","5","1849746675301799","Latest PAGASA Forecast for Typhoon #NinaPH
As of December 25, 2016 08:00 PM

Nag-landfall na ang Bagyong #Nina sa Bato, Catanduanes.

Lakas ng Hanging Dala ng Bagyo: umaabot sa 185 kph
Pagbugso: 225 kph
Paggalaw: 15 kph papuntang Kanluran (West)
Lokasyon ng Sentro ng Bagyo (kaninang alas-7 ng gabi): 20 km Timog Silangan (Southeast) ng Virac, Catanduaness.

Nakataas na po ang Tropical Cyclone Warning Signal No. 4 sa lalawigan ng:
#Catanduanes
#CamarinesSur

Nakataas po ang Tropical Cyclone Warning Signal No. 3 sa mga lalawigan ng:
#Burias Islands
#Albay
#CamarinesNorte
Southern #Quezon
#Sorsogon
#Marinduque

TCWS No. 2 naman po ang nakataas sa mga lalawigan ng:

Luzon:
#MetroManila
#Masbate kasama na ang #Ticao Island
#Oriental Mindoro
#Batangas
#Laguna
nalalabing bahagi ng #Quezon kasama na ang #Polilo Island
#OccidentalMindoro kasama na ang #Lubang Island
#Romblon
#Cavite
#Rizal
#Bulacan
#Bataan

Visayas:
#NorthernSamar

Habang nakataas po ang TCWS No. 1 sa mga lalawigan ng:

Luzon:
#Pangasinan
#NuevaEcija
#Aurora
#Quirino
#NuevaViscaya
#Zambales
#Pampanga
#Tarlac
#Calamian Group of Islands

Visayas:
Hilagang bahagi ng #Samar
Hilagang bahagi ng #EasternSamar

Patuloy pa rin pong umantabay at maging alerto sa mga abiso ng inyong pamahalaan ukol sa paghahanda para sa bagyo.

Ugaliing bisitahin ang NOAH website (http://noah.dost.gov.ph) para sa napapanahong impormasyon at para i-tsek kung ligtas ang inyong lugar sa baha, landslide, o storm surge.

Mag-ingat po tayo!",,,"89",,"6",,"95","121","1482669698000","https://www.facebook.com/UPNOAH/posts/pfbid038CmMcA1fJHcufZ7ZTfPryU99DTyASD59zo9ivMfweZZ9rzfsYEgja9LzSTzrGWKCl"
"No photo description available.","1850043311938802","photo","https://www.facebook.com/photo.php?fbid=1850043311938802&set=a.464750435686354&type=3","No photo description available.","1850043285272138","photo","https://www.facebook.com/photo.php?fbid=1850043285272138&set=a.464750435686354&type=3",,,,,,,,,,,,,"100064542048388","UP NOAH","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/312461647_483709890457075_1950615517448872008_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx967x967&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=e89vrGbvofEQ7kNvwE2SlSi&_nc_oc=AdqovffbrDkQKPf58IUo_RX8FWEx6rVZAxc2ChVSb7acj-G3gfKBhS4kuoP8_OSowF4&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=VL7_RChelLwudwUahppsfg&_nc_ss=7c2a8&oh=00_AQAqiW9VoXzG2kByBO9EPUyMi7i0XqL9_XmIxM_x1pYN2A&oe=6A5FFFDD","https://www.facebook.com/UPNOAH","8","1850043521938781","Latest PAGASA Forecast for Typhoon #NinaPh
As of December 26, 2016 8:00 AM

Lalo pang humina ang bagyong Nina habang papalapit ito ng Southern Batangas.

Lakas ng Hanging Dala ng Bagyo: umaabot sa 140 kph
Pagbugso: 230 kph
Paggalaw: 20 kph papuntang Kanluran Hilagang Kanluran (West Northwest) 
Lokasyon ng Sentro ng Bagyo (kaninang alas-siete ng umaga): 60 km Timog (South) ng Tayabas, Quezon

Nakataas po ang Tropical Cyclone Warning Signal No. 3 sa mga lalawigan ng:
#SouthernQuezon
#Marinduque
#Batangas
Northern #OrientalMindoro
#Lubang Island
#Cavite
Laguna

Asahan dito ang hanging may bilis na 121-170 kph sa loob ng 18 na oras.

TCWS No. 2 naman po ang nakataas sa mga lalawigan ng:
#MetroManila
#Rizal
Northern #Quezon kasama na ang Polillo Islands
#Bulacan
#Bataan
#Pampanga
Southern #Zambales
Nalalabing bahagi ng #Oriental Mindoro
#Romblon
Northern #OccidentalMindoro
#Burias Island
#CamarinesNorte
#CamarinesSur

Asahan dito ang hanging may bilis na 61-120 kph sa loob ng 24 na oras.

Habang nakataas po ang TCWS No. 1 sa mga lalawigan ng:
Nalalabing bahagi ng #OccidentalMindoro
Nalalabing bahagi ng #Zambales
#Tarlac
#NuevaEcija
Southern #Aurora
#Pangasinan
#Albay
#Burias Island

Asahan dito ang hanging may bilis na 30-60 kph sa loob ng 36 na oras.

Patuloy pa rin pong umantabay at maging alerto sa mga abiso ng inyong pamahalaan ukol sa paghahanda para sa bagyo.
Ugaliing bisitahin ang NOAH website (http://noah.dost.gov.ph) para sa napapanahong impormasyon at para i-tsek kung ligtas ang inyong lugar sa baha, landslide, o storm surge.

Maging alerto po tayo!",,,"93",,"3","1","97","110","1482713199000","https://www.facebook.com/UPNOAH/posts/pfbid0B5y6BefqeswGkqSNZ4QANULVFGVFDcHtwB95fzmeGb2zQPkcHMGmP7LsQYtXTjEdl"
