"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","10155094061742985","photo","https://www.facebook.com/photo.php?fbid=10155094061742985&set=a.610822947752582&type=3","No photo description available.","10155094061772985","photo","https://www.facebook.com/photo.php?fbid=10155094061772985&set=a.610822947752582&type=3","No photo description available.","10155094061787985","photo","https://www.facebook.com/photo.php?fbid=10155094061787985&set=a.610822947752582&type=3","No photo description available.","10155094061812985","photo","https://www.facebook.com/photo.php?fbid=10155094061812985&set=a.610822947752582&type=3","No photo description available.","10155094061837985","photo","https://www.facebook.com/photo.php?fbid=10155094061837985&set=a.610822947752582&type=3","100064746458701","MANILA BULLETIN","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/486278506_1099976158837256_5940999471121737534_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SPUObSUmnT4Q7kNvwEk4NZJ&_nc_oc=Ado7QEAMUt9iiREX8Y_o7mmyAs28uZW2bStgmt0hUkUfwIkJccADKzs4d97lLmWANJs&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=8rwMF7A2JxBomMC2QOBGeQ&_nc_ss=7c2a8&oh=00_AQCY3_uoK7xghNOgkTfqbB4iEJ04eZVnVwbBqHhWyl0t8Q&oe=6A5FEFE9","https://www.facebook.com/ManilaBulletin","53","10155094064352985","LOOK: ""This is what #NinaPH did to Oas, Albay."" (Photos by Kapp Greggy Ricarte)

Please send us updates about the situation in your location (floods, blackouts, aftermath photos) on our twitter account: http://www.twitter.com/manila_bulletin

Stay safe, everyone!","2",,"392","3","235","14","646","182","1482735449000","https://www.facebook.com/ManilaBulletin/posts/pfbid0R4Jn2gSfzrs1kxkJo3nZXEeJGgLmUFyffYJ9KKwCseYL2QWHypkndbY7NYBcLVUWl"
"No photo description available.","1604120083228189","photo","https://www.facebook.com/photo/?fbid=1604120083228189&set=a.533676752229446",,,,,,,,,,,,,,,,,"100067613781007","Maynilad Water Services, Inc.","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/415469324_691741986422921_2603354697836160984_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=J_4xYSYIhE8Q7kNvwH3cx8i&_nc_oc=Adrkwqg39WhsL7bF_TCe0wlrGB-jLd3Prxyp-KlpAfMIjZGL61x2WV3-bisJF_Ivo_4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=8rwMF7A2JxBomMC2QOBGeQ&_nc_ss=7c2a8&oh=00_AQCsejQHFS0YUNyask9z2J7sERhCZy7fDD6hiKBaeT8ZDg&oe=6A601539","https://www.facebook.com/MayniladWater","42","1604120083228189","Bukod sa paghahanda ng inyong emergency kit, mabuti ring ilista ang mga emergency hotlines na pwedeng tawagan sa oras ng mga sakuna.

NATIONAL DISASTER AND RISK REDUCTION AND MANAGEMENT COUNCIL (NDRRMC) HOTLINES
Trunklines: 911-5061 to 65
Operations Center: (02)911-1406, (02)912-2665, (02)912-5668, (02) 911-1873

NDRRMC hotlines for Luzon
Office of Civil Defense – National Capital Region: (02) 421-1918/ (02) 913-2786
Office of Civil Defense – Region I: (072) 607-6528
Office of Civil Defense – Region IV-A: (049) 531-7266
NDRRMC Region IV-B: (043) 723-4248
NDRRMC – Cordillera Administrative Region: (074) 304-2256, (074) 619-0986, (074) 444-5298, (074) 619-0986

RED CROSS
Hotline: 143, (02) 527-0000, (02) 527-8385 to 95
Disaster Management Office: 134 (Staff), 132 (Manager), 133 (Radio Room)
Telefax: 527-0864
 
DEPARTMENT OF INTERIOR AND LOCAL GOVERNMENT (DILG)
0917-6279627

Philippine National Police (PNP) hotline patrol
Hotline: 117, 722-0650
Text hotline: 0917-847-5757

Bureau of Fire Protection (NCR)
Direct line: (02) 426-0219, (02) 426-3812, (02)426-0246

Philippine Coast Guard
Trunkline: (02) 527-8481 to 89
Action center: (02) 527-3877 0917-PCG-DOTC 0917-724-3682 (Globe)
0918-967-4697
 
METRO MANILA DEVELOPMENT AUTHORITY (MMDA)
Hotline: 136
Trunkline: (02) 882-4150-77 loc. 337 (rescue)
255 (Metrobase)
319 (Road Safety)
374 (Public Safety)
320 (Road Emergency)
(02) 882-0925 (Flood Control)
 
PHILIPPINE ATMOSPHERIC, GEOPHYSICAL AND ASTRONOMICAL SERVICES ADMINISTRATION (PAGASA) HOTLINE
Public Information Unit (for general inquiries): (632) 4342696

Weather Forecasting Section (for weather updates): (632) 9264258, (632) 9271541

PHIVOLCS
Trunkline: (02) 426-1468 to 79, local 124/125 (Seismology)
 
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS (DPWH)
Hotline: 165-02
Trunkline: (02) 304-3000
Road repair/maintenance: (02) 304-3713, (02) 304-3904

Manila Traffic Hotline
Front desk: (02)527-3087
Traffic Investigation: (02)527-3088
Trunkline: (02)527-3065

Las Piñas Traffic Hotline
(02)874-5756
Investigations:(02) 874-3927
Traffic: (02)874-5754

Makati Public Safety Department
Command Control Center / C3: (02)870-1940, (02)870-1942
Traffic / Radio Room / Public Safety Department: (02)844-3146, (02)819-3270 to 71
 

Maynilad Hotline: 1626
Maynilad Text Hotline: 0998-864-1446","4",,"73","2","1",,"80","6","1482748295000","https://www.facebook.com/photo.php?fbid=1604120083228189&set=a.533676752229446&type=3"
"No photo description available.","778535138952682","photo","https://www.facebook.com/photo/?fbid=778535138952682&set=a.337579331257730",,,,,,,,,,,,,,,,,"100050169983139","Philippines, My Philippines","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/502716184_3156721431134029_3671942596803702316_n.jpg?stp=c11.0.302.302a_cp0_dst-jpg_tt6&cstp=mx302x302&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=fyDjtwzqMJoQ7kNvwHn4Wdw&_nc_oc=AdplvhAzO6wMWiIUSBMqv_4ohn0PDk_ZQEzjvNNTT4sK455J_b6n7banmip1MaO56ro&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=8rwMF7A2JxBomMC2QOBGeQ&_nc_ss=7c2a8&oh=00_AQBMx7f-dNqT98bNJcljD94pjxR0SOpnrwEpRsNTH8eC6w&oe=6A5FF76F","https://www.facebook.com/PMPonFB","2","778535138952682","A Street in Manila during a Flood - Antique Print 1857",,,"163","2","1","6","172","14","1482756367000","https://www.facebook.com/photo.php?fbid=778535138952682&set=a.337579331257730&type=3"
"No photo description available.","859065017569371","photo","https://www.facebook.com/photo.php?fbid=859065017569371&set=a.187948680281094&type=3","No photo description available.","859065024236037","photo","https://www.facebook.com/photo.php?fbid=859065024236037&set=a.187948680281094&type=3","No photo description available.","859065020902704","photo","https://www.facebook.com/photo.php?fbid=859065020902704&set=a.187948680281094&type=3","No photo description available.","859065064236033","photo","https://www.facebook.com/photo.php?fbid=859065064236033&set=a.187948680281094&type=3","No photo description available.","859065070902699","photo","https://www.facebook.com/photo.php?fbid=859065070902699&set=a.187948680281094&type=3","100071978890983","Rent to Own Brand New House  Lot","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/300061691_187948700281092_8765515882086426205_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx225x225&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=0UnOYqmVdPwQ7kNvwGj-yxS&_nc_oc=AdrsKrndxuyWHhO-HyhoXKA-yGR5uNLH3mdlLeEcVmsWMPLXTl0MJZfe6nUfZk4srlY&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=8rwMF7A2JxBomMC2QOBGeQ&_nc_ss=7c2a8&oh=00_AQBHPXZjjJY0XmLfrJzHMg8KRNuYCDlFQ2tRhgKtbCWz4Q&oe=6A5FEB4A","https://www.facebook.com/Daoresidences","8","859065300902676","√ Sawa kana ba sa taon taong baha
√ Nagsisimula ng Pamilya
√ naghahanap ng bagong bahay para sa inyong pamilya?
√ Dream House?
√ Flexible Payments

Rent to Own Brand New Town House
5-10% Down Payment only. 90-95% Bank Financing.
Flood Free, Near Main Road.
√ NO HIDDEN CHARGES!!!!
√ NO MISCELLANEOUS FEE!!!!
√ No MOVE IN FEE!!!!
√ GUARANTTED FLOOD FREE!!!

For More Info Please Contact: Alex 0916 743 0374",,,"7",,,,"7","0","1482737384000","https://www.facebook.com/Daoresidences/posts/pfbid0CAKwCcGFbT2EEviVZEpxFfxUD929rXt4txYEbtw26LPYgXwhf6Lz4czRvjSVXhK9l"
"No photo description available.","1730426427274646","photo","https://www.facebook.com/photo/?fbid=1730426427274646&set=a.553725023218294",,,,,,,,,,,,,,,,,"100057424032176","Antipolo City Townhouse Overlooking","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/316941206_610672624190200_4648698270134072435_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x956&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=hqpEpBvMg7gQ7kNvwHndLQa&_nc_oc=AdrBlmjx2OxTfPHieuBMKu2yQ0sclpVtyPKFdE7VUgtty2W2ljE_xw8uzfp-jiEeoj4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=8rwMF7A2JxBomMC2QOBGeQ&_nc_ss=7c2a8&oh=00_AQALMuW8gMdZUCYjo7VOrnpF2iRp7aNdZF8NeV-inzTGCg&oe=6A60115F","https://www.facebook.com/antipolocitybloomfieldheightstownhouse","2","1730426427274646","💙💙💙Crystal Homes 
""as low as 5K per month DP""

15K per month thru bank
also available thru Pagibig Financing

 3kms away only from SM=10mins away
Flood free area!

DUPLEX-Fully-finished Turnover
💙 3 Bedrooms
💙 2 Toilets & bath
💙 1 car garage
💙 Terrace
💙 Laundry area

Lot Area 60 sqm
Floor Area 61.9 sqm
Price 2,220,000
10% DP 222,000
Reservation Fee 50,000
OPTIONS FOR DP PAYMENT:
Option 2- 24 mos 7,167
Option 1- 18 mos 9,556
Bank 20 yrs 15,485

FREE tripping call or text me: Yane Moral

#floodfreehouseforsaleinsanmateorizalhouse
#singleattachedinsanmateonearmarikinacity
#nearquezoncityhouseforsale
#crystalhomessanmateorizal",,,"1",,,,"1","0","1482748870000","https://www.facebook.com/photo.php?fbid=1730426427274646&set=a.553725023218294&type=3"
,"587774504755286","video",,,,,,,,,,,,,,,,,,"100068361036335","Realty Emporium","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/327108509_472740978405490_1791831672837511449_n.png?stp=cp0_dst-png&cstp=mx315x315&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=xvYrpqiM_ZoQ7kNvwE3NAvz&_nc_oc=AdrjbtL-CdPEuTol2ns7Q3XkbRjcnFa0PxGAzl9Fvue9dRJHOCdHgbGvGgvNJcwHsAA&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=8rwMF7A2JxBomMC2QOBGeQ&_nc_ss=7c2a8&oh=00_AQAEgCPkxeCwRQNDb-W7kVnjvq1FOStpK-hAN9l774JNjQ&oe=6A5FEBF0","https://www.facebook.com/realtyemporiumph","2","587774504755286","4 Bedroom House and Lot For Sale at White Plains, Quezon City
                          
Property Details

Lot area: 621 sqm
Floor area: 800 sqm

Modern Design (almost new)
High grade materials used.
No flood in area
Fully furnished
CCTV in every streets
1 Big Attic
5-6 car garage
Maids & Driver room, Common Toilet and Bath
Laundry area
Entertainment Room 
Formal dinning, Informal dinning, 
Clean & dirty kitchen
Lanai 
2 Living rooms
2 gardens (front/rear)
Powder room (w/ shower)
4 Rooms with walk in closet and t&b

For inquiries please contact Realty Emporium at the following numbers:
Mobile: 0917.650.5595 / 0917.840.5066
Landline: (02) 502.9124 / (02) 623.3342
E-mail: inquire@realtyemporium.ph
Website: RealtyEmporium.ph",,,"11",,,,"11","3","1482631200000","https://www.facebook.com/realtyemporiumph/videos/587774504755286/"
,,,,,,,,,,,,,,,,,,,,"100064692186672","Politiko","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/482025454_1073011621531901_4481627082654569844_n.jpg?stp=c274.274.1500.1500a_cp0_dst-jpg_tt6&cstp=mx1500x1500&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=j2nAWcDGWIoQ7kNvwGORVGU&_nc_oc=AdoVmNR7z9Wv-bGa1980A_u6oLTP_YSgMOrZ_l0YCm72puy2CrdqflvwzjPO4JclFdg&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=lwmaNYg2xy7mv763LKlPwg&_nc_ss=7c2a8&oh=00_AQAQmiVUWHSiWtEbmqwufaVFbTrvn_h_mmIuqY6dxJjdhQ&oe=6A5FF25F","https://www.facebook.com/politics.com.ph","0","1424296754271864","While many Filipinos make merry this Christmas, many in Borongan in Eastern Samar will be in need of prayers and help after they lost their homes to floods.",,,"3",,,,"3","0","1482644125000","https://www.facebook.com/politics.com.ph/posts/pfbid0YMPR1pHaW5ZMskcqH3QHVobxPAPXtcbh6XySDCXtk6rKfSb17LNfEBwhtqyP6wqwl"
,,,,,,,,,,,,,,,,,,,,"100064692186672","Politiko","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/482025454_1073011621531901_4481627082654569844_n.jpg?stp=c274.274.1500.1500a_cp0_dst-jpg_tt6&cstp=mx1500x1500&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=j2nAWcDGWIoQ7kNvwGORVGU&_nc_oc=AdoVmNR7z9Wv-bGa1980A_u6oLTP_YSgMOrZ_l0YCm72puy2CrdqflvwzjPO4JclFdg&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=lwmaNYg2xy7mv763LKlPwg&_nc_ss=7c2a8&oh=00_AQAQmiVUWHSiWtEbmqwufaVFbTrvn_h_mmIuqY6dxJjdhQ&oe=6A5FF25F","https://www.facebook.com/politics.com.ph","0","1424299427604930","While many Filipinos make merry this Christmas, many in Borongan in Eastern Samar will be in need of prayers and help after they lost their homes to floods.",,,"1",,,,"1","0","1482709620000","https://www.facebook.com/politics.com.ph/posts/pfbid0uWFe1MLdxrVSYmNuN3sgXaUqBC1vSawM4yvjzDDizJmmSk4Eu8HeXiXrxfptDJyfl"
"No photo description available.","1694507987241270","photo","https://www.facebook.com/photo/?fbid=1694507987241270&set=a.1694507443907991",,,,,,,,,,,,,,,,,"100064321404005","Philippine Red Cross","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/347814431_259396246493885_7043264094547923275_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx384x384&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=mAe54F5N9MQQ7kNvwFz00Bx&_nc_oc=AdrfI_apabLLs2IfVoHFxSLnboe8EI9QGAlIbXSsx_90sR9gYanc6bVf40wz_gNXP8c&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=lwmaNYg2xy7mv763LKlPwg&_nc_ss=7c2a8&oh=00_AQCK86W2hsivv2nkYcszXUs1z2qXjNbXO4GmmLUr0GEyWg&oe=6A6012ED","https://www.facebook.com/phredcross","1","1694507987241270","Location: Virac, Catanduanes
Weather: No rain with light winds
No power supply since 8pm, Dec. 25
No reported flooded areas but with damaged houses, electric post, fallen trees

Reported by: Rudy De Leon/PRC",,,"11",,"1",,"12","1","1482725911000","https://www.facebook.com/photo.php?fbid=1694507987241270&set=a.1694507443907991&type=3"
"No photo description available.","424433991014021","photo","https://www.facebook.com/photo/?fbid=424433991014021&set=a.445792930891269",,,,,,,,,,,,,,,,,"100063816978904","Bulacan Properties For Sale","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/325404577_724924458946627_3016771633531635245_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x954&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ZO6UpxRt-ksQ7kNvwHKE2RI&_nc_oc=AdrzvueXDnOlOeEE0XQ0uJAlBjA5cTJf7TfQceZB9e0Rnd-jm5FZJctyOljh-7z3js8&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=lwmaNYg2xy7mv763LKlPwg&_nc_ss=7c2a8&oh=00_AQC5ygE9wNteGKk9jgOqXXM8vpU1kguDDe4jk1Z0bCddxg&oe=6A6014EE","https://www.facebook.com/bulacanprimeproperties","1","424433991014021","BEVERLY HOMES
      Loma de Gato Marilao Bulacan

Marilao Bulacan! Near Manila via NLEX!
ONLY (7,066.52) Monthly thru PAGIBIG.
LOW DOWNPAYMENT(4,5667.67 in 24mos) 
Pre-selling kaya mura pa!

Located at Loma de Gato, Marilao, Bulacan. The 5 hectares residential subdivision is a mere 25 minutes ride from Balintawak (SANTRANS BUS) via North Luzon Expressway, very near Divine Mercy Church.
Near Hidden Sanctuary Resort
Divine Mercy Church
Along the Road 
Flood Free 
SEMI FINISH TURN OVER 

CATHERINE TOWNHOUSE INNER UNIT 
G/F with ceramic tiles
2/F laminated vinyl tiles
1 Toilet & bath
Dining area
Living area,Kitchen,Laundry with Ceiling and 1 car garage

Lot Area 52 sqm.
Floor Area 51 sqm.

BATCH 1 PRICE 
Total Contract Price: 1,105,000
ADD: Miscellaneous Fee: 132,600
Total Selling Price: 1,208,480
Less Loanable Value: 1,118,000
Downpayment: 119,600
Less Reservation Fee: 10,000
Total Downpayment less RF:  109,600
Downpayment payable in 24 months: 4,566.67

PAG-IBIG MONTHLY AMORTIZATION:
30 years to pay: 7,066.52
25 years to pay: 7,548.81
20 years to pay: 8,335.51
10 years to pay: 12,694.67

REQUIRED INCOME: 20,384.37

For Inquiries & Tripping Schedule Pls. contact
09089581474
09260701091",,,,,,,"0","0","1482659863000","https://www.facebook.com/photo.php?fbid=424433991014021&set=a.445792930891269&type=3"
