"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","2157563824528773","photo","https://www.facebook.com/photo/?fbid=2157563824528773&set=a.558021279695505",,,,,,,,,,,,,,,,,"100064629134509","The Q Projects","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/326747410_910727886631496_796334184398168002_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx720x720&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-G1pypLwTeMQ7kNvwEOsufy&_nc_oc=AdqlHX2IrYEq3bzmRjvzz8kQMHaeTTYVVrfUlwxFSpT75iDIpi2lwoYGVDxEW9ci_ac&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=6u8tYiUIVVON8crbqezHwQ&_nc_ss=7c2a8&oh=00_AQBeEzFrkvg3VZD-R4OvcR0V3oFlL_lpdGXsQ76Ap3ssDQ&oe=6A5FFBA0","https://www.facebook.com/TheQProjects","24","2157563847862104","NAGKAROON NG LIGHT MOMENT SA ISANG EVACUATION CENTER NANG NIYAKAP NG ISANG BATANG MARIKEÑO SI CONGRESSMAN MIRO QUIMBO. Bakit hindi? Hindi pa man nagla-landfall ang Bagyong Ompong ay naka-ready na ang Likas Operations kung kaya ligtas at mabilis na naihatid ang maraming pamilyang Marikeño sa iba’t ibang evacuation center kung saan naghihintay sa kanila ang hot meals. Kinabukasan ay agad namang ibinigay ang 5,000 Relief Packs sa mga pamilyang namamalagi sa mga evacuation center.

Sa The Q Projects, ang pagbibigay ng Tulong at Pag-asa ay palaging kasabay (kundi man una) ng pagpapagawa sa Marikina City ng mga estrukturang kontra baha at kalamidad.","5","236","36",,"1","278","80","1537076963000","https://www.facebook.com/TheQProjects/posts/pfbid02cieLGacmxRoLTp66fmuT3ALetMg4tTmMD14tqDLJPqpfgs7ik2CBo3EQPkatXH97l"
"No photo description available.","586810005069586","photo","https://www.facebook.com/photo/?fbid=586810005069586&set=a.429543355857349",,,,,,,,,,,,,,,,,"100064050637723","Hambag De REAL","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/298372243_429543382524013_8203368511212853917_n.jpg?stp=c6.0.480.480a_cp0_dst-jpg_tt6&cstp=mx480x480&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Udy3AU3630oQ7kNvwGS5Lus&_nc_oc=AdqmAK7GGtgBEMcC4PB3AV5vEv7Y0U9ojWfTY7GoLqIludY12QLWxZ9Al1a2azSG-vg&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=6u8tYiUIVVON8crbqezHwQ&_nc_ss=7c2a8&oh=00_AQBB5th66skFyFv1absxaBSEOcfLBYmjf5lsKufpGrqdbA&oe=6A5FF01C","https://www.facebook.com/profile.php?id=100064050637723","1","586810025069584","Bound to tugeugarao.
Ingat ka sa baha🖖",,"3",,,,"3","0","1537061619000","https://www.facebook.com/permalink.php?story_fbid=pfbid0i7XqUSqFAq2EQYi4KukVZUBBTbzt23dPYeCbPq69sf9pJksMe9mUsJqX5oYnUGffl&id=100064050637723"
"No photo description available.","343211409753381","photo","https://www.facebook.com/photo.php?fbid=343211409753381&set=a.128114714596386&type=3","No photo description available.","343211509753371","photo","https://www.facebook.com/photo.php?fbid=343211509753371&set=a.128114714596386&type=3","No photo description available.","343212139753308","photo","https://www.facebook.com/photo.php?fbid=343212139753308&set=a.128114714596386&type=3","No photo description available.","343212783086577","photo","https://www.facebook.com/photo.php?fbid=343212783086577&set=a.128114714596386&type=3","No photo description available.","343212849753237","photo","https://www.facebook.com/photo.php?fbid=343212849753237&set=a.128114714596386&type=3","100021935748512","Henryfe Saday","https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-1/52769481_430910140983507_9071346940653862912_n.jpg?stp=c0.0.539.539a_cp0_dst-jpg_tt6&cstp=mx539x539&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=JQeKfzblghcQ7kNvwH12v-U&_nc_oc=AdrErSqI3OKEFd6r93sBBrwBp_N60xE04bz7M6P4GV9mnta593Fm6hTGeBLWs_u3m68&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=6u8tYiUIVVON8crbqezHwQ&_nc_ss=7c2a8&oh=00_AQAZJOZAfLf_aWDonJWmLlXQA9HDuy91yttvMS0t0iNczA&oe=6A8188E1","https://www.facebook.com/henryfe.saday","2","343213149753207","buti nman humito na ang ulan dina lumaki ang baha....",,"24",,,,"24","0","1536988951000","https://www.facebook.com/henryfe.saday/posts/pfbid023Vjx4i5FojjA54Q64WMY4us7oEUdCiBDuS1vXGfc6FnBMaNGVpCiejydYTqrs6avl"
"No photo description available.","1969872703035988","photo","https://www.facebook.com/photo.php?fbid=1969872703035988&set=a.564260453597227&type=3","No photo description available.","1969872776369314","photo","https://www.facebook.com/photo.php?fbid=1969872776369314&set=a.564260453597227&type=3","No photo description available.","1969872809702644","photo","https://www.facebook.com/photo.php?fbid=1969872809702644&set=a.564260453597227&type=3","No photo description available.","1969872876369304","photo","https://www.facebook.com/photo.php?fbid=1969872876369304&set=a.564260453597227&type=3","No photo description available.","1969872933035965","photo","https://www.facebook.com/photo.php?fbid=1969872933035965&set=a.564260453597227&type=3","100000398315628","Red Klarence","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/725097158_27415064981423410_5375984011933200646_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1536x1536&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=1d2534&_nc_ohc=xQoguoDHWAUQ7kNvwGUPAHl&_nc_oc=AdpLx65RiXxgZLBNYfdQlyFO7_-KkKlpoxVVBCsYcXmZBR2IJRl1Mjkg_Puh7j0k6Vg&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=6u8tYiUIVVON8crbqezHwQ&_nc_ss=7c2a8&oh=00_AQBFLUM3AbMG0E7DiD4C1HHjw6DdVWY37lAq4PSzXnrBJA&oe=6A5FDF34","https://www.facebook.com/siao.klarence06","1","1969873129702612","After buhawi baha Naman..... 😭😭😭
Nasira ang ala VIGAN nameng tambayan. 😭😭😭",,"23",,"23",,"46","3","1536987289000","https://www.facebook.com/siao.klarence06/posts/pfbid02xz5BPtq5zzxndcSU8tkVdiJ1tURp1G5WJh7pUzUAHfLiPmpQBp1WBm2czwPvSBGdl"
"No photo description available.","2176896835966173","photo","https://www.facebook.com/photo.php?fbid=2176896835966173&set=a.458571132954887&type=3","No photo description available.","2176896822632841","photo","https://www.facebook.com/photo.php?fbid=2176896822632841&set=a.458571132954887&type=3","No photo description available.","2176896829299507","photo","https://www.facebook.com/photo.php?fbid=2176896829299507&set=a.458571132954887&type=3",,,,,,,,,"100064060114659","House and lot for sale in marikina city","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/301988110_458571149621552_1386433376034294077_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx240x240&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=pyfKnK6Oae8Q7kNvwFwI6P3&_nc_oc=AdrfNl9V9NjlJVo3MCKr1KZBj0EQWI4YxN8OstL_fcmgcasUyCybOtNV0qRedqGWNwM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=6u8tYiUIVVON8crbqezHwQ&_nc_ss=7c2a8&oh=00_AQBqRIoEOpW8HSERzVAyH-Oc5StGgLfi2IDGOGEwaWWPCg&oe=6A5FE1E3","https://www.facebook.com/RENTTOOWNINMARIKINAHEIGHTSTON","7","2176868789302311","HOUSE AND LOT FOR SALE IN MARIKINA HEIGHTS !!

NEAR;
OLOPS COLLEGE
ST.SCHOLASTICA
AYALA MALL

WALKING DISTANCE SA SAKAYAN !!
WALANG BAHA !! MASKI UNDOY !!

BANK FINANCING ANG TERMS TULUNGAN NAMIN KAYO !! WALA KA NANG BABAYARANG APPRAISAL FEE !! AKO BAHALA SAYO !!

MAY PRE APPROVAL OR ASESSMENT BAGO MO
I-RESERVE PARA SA ASSURANCE MO !!

LOT AREA 80 sqm
FLOOR AREA 115 sqm
3 BEDROOMS WITH MAIDSROOM
3 TOILET AND BATH
1 CARGARAGE

10% DOWNPAYAMENT PAYABLE 12 MONTHS !!
90% BALANCE BANK FINANCING !!

WALA KA NANG IBANG BABAYARAN !!

ANO PA HINIHINTAY M??
LAGI AKO NASA AREA !!!
 
FOR INQUIRIES !!
ANTHONY
09198728618
09261412054",,"3",,,,"3","0","1537065550000","https://www.facebook.com/RENTTOOWNINMARIKINAHEIGHTSTON/posts/pfbid0Q5WyY4LmQQ7kZWPzhu96FwMKCY1A37qAsu57UVHw3wLghjKuNpcuv3h45Dm29UQYl"
,,,,,,,,,,,,,,,,,,,,"100007449976913","Christopher Legaspi Delacruz","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/278645163_3111646259093676_1995035324785778671_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1075&ctp=s24x24&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=jGdyamrgPAsQ7kNvwEEnCIN&_nc_oc=AdoqwFqp50bjlSbd-xpyPNo_XpYBdEi3XFufwNQtMOyTP1ouSvt0AAkhFnZWlj088as&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=6u8tYiUIVVON8crbqezHwQ&_nc_ss=7c2a8&oh=00_AQBmVFiezfgYoGz0UwRI-CSws_NiqPsn2fMpyDcAhl0KYQ&oe=6A5FFF47","https://www.facebook.com/profile.php?id=100007449976913","0","696512744056781","Mag silbi sana aral umiwas sa mga poste lubog sa baha ng maiwasan makuryente lalo na sa marikina city maging alerto po tayo marikeño marikeña 
Safety first sa oras ng kalamidad",,"9",,"5","1","15","19","1536995272000","https://www.facebook.com/groups/370594499981942/permalink/696512744056781/"
"No photo description available.","2149416708612527","photo","https://www.facebook.com/photo.php?fbid=2149416708612527&set=a.603089467822369&type=3","No photo description available.","2149416771945854","photo","https://www.facebook.com/photo.php?fbid=2149416771945854&set=a.603089467822369&type=3",,,,,,,,,,,,,"100043639646272","For sale house and lot","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/301475391_603089491155700_8136226597765789978_n.png?stp=cp0_dst-png&cstp=mx320x320&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=gfx6qrtSJ6kQ7kNvwGcrJn-&_nc_oc=AdpBo4hftigKU20cv4jePpU69wggbzhmc93Rg2M5KF3XGK6ddBIYNQ5_BKNedBfCYY4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=hGTnm0Y0xNPl5z6rSSLtyg&_nc_ss=7c2a8&oh=00_AQATaYSN0j0jA_d6QdHrJXKOXaIi97cCM9fudtIz6ip9Sg&oe=6A5FF885","https://www.facebook.com/forsalehouseandlotaaa","0","2149423698611828","HOUSE AND LOT FOR SALE IN MARIKINA HEIGHTS !!

NEAR;
OLOPS COLLEGE
ST.SCHOLASTICA
AYALA MALL

WALKING DISTANCE SA SAKAYAN !!
WALANG BAHA !! MASKI UNDOY !!

BANK FINANCING ANG TERMS TULUNGAN NAMIN KAYO !! WALA KA NANG BABAYARANG APPRAISAL FEE !! AKO BAHALA SAYO !!

MAY PRE APPROVAL OR ASESSMENT BAGO MO
I-RESERVE PARA SA ASSURANCE MO !!

LOT AREA 80 sqm
FLOOR AREA 115 sqm
3 BEDROOMS WITH MAIDSROOM
3 TOILET AND BATH
1 CARGARAGE

10% DOWNPAYAMENT PAYABLE 12 MONTHS !!
90% BALANCE BANK FINANCING !!

WALA KA NANG IBANG BABAYARAN !!

ANO PA HINIHINTAY M??
LAGI AKO NASA AREA !!!
 
FOR INQUIRIES !!
ANTHONY
09198728618
09261412054",,,,,,"0","0","1537065458000","https://www.facebook.com/forsalehouseandlotaaa/posts/pfbid0omi6EhT6ktRmE73ekzoam8r6tR2ymLet6cFezyxuy5WPwQdyReSZQfE3xAz6aooYl"
"No photo description available.","2280091245558306","photo","https://www.facebook.com/photo/?fbid=2280091245558306&set=a.489108613376908",,,,,,,,,,,,,,,,,"100068333209025","Marikeño","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/747736567_1324725309815230_2990269506818081412_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=1sD2F5x8W-MQ7kNvwGtJNgh&_nc_oc=Adr1Qc_1OFWbwZaWMuwUT9IxqTd8rUsoxpTY5tLPgR54L52l9CK6sHeBJUAOZvNWY-w&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=hGTnm0Y0xNPl5z6rSSLtyg&_nc_ss=7c2a8&oh=00_AQAkpUigH-Iq36Am1yBAjTf22lAbnya1M0Mr8nb5WKxhSw&oe=6A5FF2DA","https://www.facebook.com/marikeno","1","2280091282224969","Maagap na itinaas ang mga motorsiklo ng ating mga kababayan na nakatira sa mabababang lugar sa Barangay Tumana upang hindi maabutan ng tubig baha.",,"9",,,,"9","0","1537005415000","https://www.facebook.com/marikeno/posts/pfbid02t9wzW3wAjJSx7nusgYYCZ7pMskQMn5F6AeezVKM2FtHEFt3y5VNdE7MbnoJjyXUfl"
"No photo description available.","2123213124596556","photo","https://www.facebook.com/photo.php?fbid=2123213124596556&set=a.413512853905166&type=3","No photo description available.","2123213161263219","photo","https://www.facebook.com/photo.php?fbid=2123213161263219&set=a.413512853905166&type=3",,,,,,,,,,,,,"100057393642600","Rent to own concept in marikina","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/273574755_413512867238498_7529534181646810588_n.png?stp=cp0_dst-png&cstp=mx320x320&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8xJtwO7XpUQQ7kNvwFtH9Fd&_nc_oc=AdpbvMFzQCGDxf-x_PrkIyUpuHN5McJH4wNHSAhl3kXRdOdABlwsCf6xqFbDDycxc-M&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=hGTnm0Y0xNPl5z6rSSLtyg&_nc_ss=7c2a8&oh=00_AQDqYRVQqIMPZ7X-lr9fD9Z1X-mO227qJYAcB8AN8SCQAQ&oe=6A5FE07C","https://www.facebook.com/profile.php?id=100057393642600","16","2123213214596547","HOUSE AND LOT FOR SALE IN MARIKINA HEIGHTS !!

NEAR;
OLOPS COLLEGE
ST.SCHOLASTICA
AYALA MALL

WALKING DISTANCE SA SAKAYAN !!
WALANG BAHA !! MASKI UNDOY !!

BANK FINANCING ANG TERMS TULUNGAN NAMIN KAYO !! WALA KA NANG BABAYARANG APPRAISAL FEE !! AKO BAHALA SAYO !!

MAY PRE APPROVAL OR ASESSMENT BAGO MO
I-RESERVE PARA SA ASSURANCE MO !!

LOT AREA 80 sqm
FLOOR AREA 115 sqm
3 BEDROOMS WITH MAIDSROOM
3 TOILET AND BATH
1 CARGARAGE

10% DOWNPAYAMENT PAYABLE 12 MONTHS !!
90% BALANCE BANK FINANCING !!

WALA KA NANG IBANG BABAYARAN !!

ANO PA HINIHINTAY M??
LAGI AKO NASA AREA !!!
 
FOR INQUIRIES !!
ANTHONY
09198728618
09261412054",,"4",,,"1","5","1","1537065519000","https://www.facebook.com/permalink.php?story_fbid=pfbid0B6x84i6urGSKJsVQoUaUDw7Ry8X7DKAZT3TkcQyYMemCJiWeGp4uS6kSKLiFZq63l&id=100057393642600"
"No photo description available.","331876314046065","photo","https://www.facebook.com/photo.php?fbid=331876314046065&set=a.114762192424146&type=3","No photo description available.","331876344046062","photo","https://www.facebook.com/photo.php?fbid=331876344046062&set=a.114762192424146&type=3","No photo description available.","331876367379393","photo","https://www.facebook.com/photo.php?fbid=331876367379393&set=a.114762192424146&type=3","No photo description available.","331876397379390","photo","https://www.facebook.com/photo.php?fbid=331876397379390&set=a.114762192424146&type=3","No photo description available.","331876424046054","photo","https://www.facebook.com/photo.php?fbid=331876424046054&set=a.114762192424146&type=3","100016710978713","Jazeell B Costudio","https://scontent-iad3-2.xx.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png&cstp=mx2048x2048&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=b224c7&_nc_ohc=xrEZogmpOGwQ7kNvwEC6LVQ&_nc_oc=Adp2va6pG8flsQlYtv8RG3_Zj1_ylX2wsDmyKgU7Q4SD_sVqQgpAvpechg3kQEUeQVw&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_ss=7c2a8&oh=00_AQB2Df-ex4gIXfeNYQDVolFN2Buq4DfUrSMeiQBHqRsAHw&oe=6A817ABA","https://www.facebook.com/joey.andrade.3950","1","331876587379371","lubog na sila sa baha marikina river","1","23",,"1","1","26","0","1536985549000","https://www.facebook.com/joey.andrade.3950/posts/pfbid0yG8N8ug7uEajfs8Ja9cNN4SJCumzG4AGHTE3cVq3REnjEn49bhcEXUJzmSweDsyGl"
