"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","10155693619658456","photo","https://www.facebook.com/photo.php?fbid=10155693619658456&set=a.411453827018066&type=3","No photo description available.","10155693619253456","photo","https://www.facebook.com/photo.php?fbid=10155693619253456&set=a.411453827018066&type=3","No photo description available.","10155693619328456","photo","https://www.facebook.com/photo.php?fbid=10155693619328456&set=a.411453827018066&type=3","No photo description available.","10155693619313456","photo","https://www.facebook.com/photo.php?fbid=10155693619313456&set=a.411453827018066&type=3",,,,,"100044603551767","General Danny Lim","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/242435276_411453867018062_3097679470705114579_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx945x945&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Di6BH3vq4JIQ7kNvwF_lEHE&_nc_oc=AdrdbqFQiAl4wA5uQ3qvuqhaEE0k7Z6WI8zu90wv1iHq6BEW3jciJbfcyiba7KLGfbo&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=uErZaMM0m0WaunCuIE8EYQ&_nc_ss=7c2a8&oh=00_AQD-ukI-NEA0NUfVipH_IXyrp6zPmF9JbQU4Rk8PFxkZQQ&oe=6A5FEE91","https://www.facebook.com/GeneralDannyLim","118","10155693619683456","Mula kagabi ay tuloy-tuloy ang ating road clearing, flood monitoring, at roadside assistance operations ngayong bagyong #OmpongPH.

MMDA Hotline: 136","2","2431","83","4","33","2553","131","1536973639000","https://www.facebook.com/GeneralDannyLim/posts/pfbid0sXamVnWP212c47BTg8ohspjyDhBqkpped7m5rN784ER3ZHDowRGJmMttVAhj9ViXl"
"No photo description available.","2215831781998591","photo","https://www.facebook.com/photo/?fbid=2215831781998591&set=a.511316644332440",,,,,,,,,,,,,,,,,"100063623271663","DAMPA sa LIBIS","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/306087382_511316677665770_8313533242197069166_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx462x462&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=NpZegyWl9GkQ7kNvwGR7_6j&_nc_oc=AdqTi3xOJjJ5U-RAqoedpRNY-irAH9mx1c_wFhIApcWJore0S7IVDlLbuJL4PiqQfyY&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=uErZaMM0m0WaunCuIE8EYQ&_nc_ss=7c2a8&oh=00_AQAfwjctALW5vjwWkpBx-gktFzS5tP9NL_rNGYkp7530Aw&oe=6A5FFE6E","https://www.facebook.com/dampasalibisrestaurant","0","2215831808665255","WE DELIVER! We want you to stay safe & dry in the comfort of your own home. For areas within close proximity, you may call 9038141 / 09177071553 for orders. For the safety of our delivery crew/riders, we have suspended this service for flooded areas. Kindly expect slight delays in the delivery of your orders. Please bear with us. Thank you and keep safe!",,"121",,,"5","126","0","1536981119000","https://www.facebook.com/dampasalibisrestaurant/posts/pfbid02EosjxLXDT8s9nXS67iB62UiGx1VZNDm7GVgk5N2fX3FzfJSEZc7EMM6XeQoaF7JZl"
,,,,,,,,,,,,,,,,,,,,"1720710497","Brian Mark R. Lopez","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/494384011_10214485628610745_4891762414138097689_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=1d2534&_nc_ohc=xS2LAYNem1wQ7kNvwFRcckJ&_nc_oc=AdroGPQIJGGLM8s05ZZd3hw5jxe_4zbZ5A6OugBCn0_ieGRs2mDCw0e7WlCa9RjQZY4&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=uErZaMM0m0WaunCuIE8EYQ&_nc_ss=7c2a8&oh=00_AQAXk4k2v6PQqf6iPIzbXrp1fH-Ku1U9Rc3YBkeszXwOTA&oe=6A5FE037","https://www.facebook.com/brianmark.lopez","5","1015332955315584","Baguio 😢",,"20",,"34","1","55","17","1536998315000","https://www.facebook.com/pinasnatin/posts/pfbid0FVJU3xX7s65i9huNkkNgHtAeAix6Stx1uAMnrKfHeMFhKCn68QQFYYuHAAuz3g3nl"
"No photo description available.","1958318560929290","photo","https://www.facebook.com/photo.php?fbid=1958318560929290&set=a.490929823075630&type=3","No photo description available.","1958316590929487","photo","https://www.facebook.com/photo.php?fbid=1958316590929487&set=a.490929823075630&type=3","No photo description available.","1958317254262754","photo","https://www.facebook.com/photo.php?fbid=1958317254262754&set=a.490929823075630&type=3","No photo description available.","1958317274262752","photo","https://www.facebook.com/photo.php?fbid=1958317274262752&set=a.490929823075630&type=3","No photo description available.","1958317327596080","photo","https://www.facebook.com/photo.php?fbid=1958317327596080&set=a.490929823075630&type=3","100064758486240","MetroCars","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/308743311_490929869742292_5916008801724691696_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=GCkuNsr7QlMQ7kNvwEWpZAe&_nc_oc=Adp9pHdDkBjvDT-H9bfYsT69OJGIpZQYB7iLOUlrgS9n2xGXBsvO7cW3hNRkKEr_YF8&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=uErZaMM0m0WaunCuIE8EYQ&_nc_ss=7c2a8&oh=00_AQAHTssEGYDdQbINjxLNKxTF3G0ag6V3zoZZNHeQ2DL8pw&oe=6A600DF7","https://www.facebook.com/profile.php?id=100064758486240","1","1958318590929287","Rainy Day and Flood Problems?! No worries, u can visit us at METROCARS!!! We got it all for YOU!!! 24/7 to serve YOU!!! c”,) call us 09178055677",,"16",,,,"16","0","1536974467000","https://www.facebook.com/permalink.php?story_fbid=pfbid0331M14nwgzp3gVL7wuxm2BoC2toGnZ2oYvhTL4osP8wdLPxgwbi7DXWXi94cuGWFVl&id=100064758486240"
,,,,,,,,,,,,,,,,,,,,"100064556895235","LADbible","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/356835546_635590808602810_4370284203767774937_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=odoO-Y-fbKUQ7kNvwE4rLqY&_nc_oc=AdrfH5wOMuBXyhVQYQ-FvpOU8V3IMMtgyWsYRNUrD2CIRAeSCTiJUKGV-Z8X5OhLHLM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=uErZaMM0m0WaunCuIE8EYQ&_nc_ss=7c2a8&oh=00_AQD2PFEyB2RyVPrLV-Cnbn666XZmDywQ6YDS_U2TOEiBEQ&oe=6A5FEEC9","https://www.facebook.com/LADbible","0","1173097409513700","💗",,"74","35",,"5","114","4","1537139760000","https://www.facebook.com/groups/dog.ph/permalink/1173097409513700/"
"No photo description available.","2388142547869270","photo","https://www.facebook.com/photo/?fbid=2388142547869270&set=a.450601887091693",,,,,,,,,,,,,,,,,"100064256551876","NIAS News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/444152820_840613411423870_2227677054895348915_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FddyXKxGAxgQ7kNvwGT5ova&_nc_oc=Adq2rCxaFnrCTDl75xZ8cG_k-GIKlA0hvzR5GtNKGGZWl2s4wEBDPABP0Iw4LGV2mqo&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=PC49ZkNTM3bx1vCEZ_XRKg&_nc_ss=7c2a8&oh=00_AQDvEchCtE7XxF5SZ9uJUHRbZYYCGrWRX3c8Z8AM5iViuA&oe=6A600806","https://www.facebook.com/NIASNews","0","2388142564535935","FLOOD WATCH: I #MarikinaRiver water level UP to 15.7 meters as of 9:02 a.m. FIRST ALARM. [via Marikina PIO] #FloodPH #NewsALERT ☔️🌧🌧🌀",,"2",,"2",,"4","4","1536975052000","https://www.facebook.com/NIASNews/posts/pfbid0X1X95KAGaHqrNG8xAtp2pQHLsfgk4nRCGPcdhMxQWTWE7VoQ2Uy39VYaTrGnfG3ql"
"No photo description available.","2388209794529212","photo","https://www.facebook.com/photo.php?fbid=2388209794529212&set=a.450601887091693&type=3","No photo description available.","2388209801195878","photo","https://www.facebook.com/photo.php?fbid=2388209801195878&set=a.450601887091693&type=3","No photo description available.","2388209824529209","photo","https://www.facebook.com/photo.php?fbid=2388209824529209&set=a.450601887091693&type=3",,,,,,,,,"100064256551876","NIAS News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/444152820_840613411423870_2227677054895348915_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FddyXKxGAxgQ7kNvwGT5ova&_nc_oc=Adq2rCxaFnrCTDl75xZ8cG_k-GIKlA0hvzR5GtNKGGZWl2s4wEBDPABP0Iw4LGV2mqo&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=PC49ZkNTM3bx1vCEZ_XRKg&_nc_ss=7c2a8&oh=00_AQDvEchCtE7XxF5SZ9uJUHRbZYYCGrWRX3c8Z8AM5iViuA&oe=6A600806","https://www.facebook.com/NIASNews","0","2388209871195871","FLOOD WATCH: TIGNAN: | HAGUPIT NI OMPONG. Abot ankle na rin ang baha sa  Mc Arthur Highway, na sakop ng Barangay Ibayo, Marilao Bulacan dahil sa malakas na buhos ng ulan ngayong umaga. RVG, NIAS News Philippines [Photos via Brgy. Ibayo Rescue]
---------------------------------------------
#Kanias! I-like at i-share ang aming post at i-tag na ang inyong mga kaibigan para sa pinakasariwang balita at inpormasyon",,"4",,"1",,"5","1","1536978801000","https://www.facebook.com/NIASNews/posts/pfbid0ZCroRdBV3uJsHfXCJjJgj7wAmTz5gFbyxCYCRWAXfJsETE9S8hpD1DHwFviXLb8Yl"
,"1892610314368242","video",,,,,,,,,,,,,,,,,,"100054382725947","Real estate assistance","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/299326370_586184589870960_6548448519682553775_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=9paNr5KWjzQQ7kNvwEGr5iX&_nc_oc=AdrzEVGlMkykS85nYOwHSv62cp53b3lgJ1RTl3jCzEVEqnNeIFossd_os3_ldoT1Ck0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=PC49ZkNTM3bx1vCEZ_XRKg&_nc_ss=7c2a8&oh=00_AQAEa08I8URLG8CV9-MkUtzB3JRgi9hCEQUgdO5x4BmCeg&oe=6A6002E3","https://www.facebook.com/rizallotandhouse","0","1892610314368242","Lot only | House and lot
Eastridge, Angono Rizal
Enjoy a flood free and fresh air environment
Branded as Tagaytay of the East
Promising land with high end developers
View of Laguna de Bay and Metro
Near malls|Churches|Hospitals and C6 Highway
With access to all Eastridge Amenities

PM us for more details!
#investinland
#investinquality",,,,,,"0","0","1536998345000","https://www.facebook.com/rizallotandhouse/videos/1892610314368242/"
"No photo description available.","2388274594522732","photo","https://www.facebook.com/photo/?fbid=2388274594522732&set=a.450601887091693",,,,,,,,,,,,,,,,,"100064256551876","NIAS News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/444152820_840613411423870_2227677054895348915_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FddyXKxGAxgQ7kNvwGT5ova&_nc_oc=Adq2rCxaFnrCTDl75xZ8cG_k-GIKlA0hvzR5GtNKGGZWl2s4wEBDPABP0Iw4LGV2mqo&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=PC49ZkNTM3bx1vCEZ_XRKg&_nc_ss=7c2a8&oh=00_AQDvEchCtE7XxF5SZ9uJUHRbZYYCGrWRX3c8Z8AM5iViuA&oe=6A600806","https://www.facebook.com/NIASNews","0","2388274627856062","FLOOD WATCH: | #MarikinaRiver water level UP to 16.7 meters as of 11:37 a.m. SECOND ALARM. [via Marikina PIO] #FloodPH",,"2",,"2",,"4","2","1536983196000","https://www.facebook.com/NIASNews/posts/pfbid031xjXcK4mkXgspqpkxoqt6MPgk2o4E47XrLNJvbHJ5B5mSXgVk4g1ByjHSmXNk4Kxl"
"No photo description available.","2308783372471755","photo","https://www.facebook.com/photo/?fbid=2308783372471755&set=a.554485380040736",,,,,,,,,,,,,,,,,"100064378371842","Center for Sagip-Hirap Charity Foundation","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/740563153_1446297204192878_1487562739244698713_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx886x886&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=CWeDtN0zS2EQ7kNvwFKTNDi&_nc_oc=AdrnO9dLTsk2_croHWZi8y3cTEb_aiIfv0DGmWQNIpktwkweZoyJBpVbNwHIPPSMUoc&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=PC49ZkNTM3bx1vCEZ_XRKg&_nc_ss=7c2a8&oh=00_AQB3eUZnCPNJAmi0bTKQXoIQPQLmDKJqA4io4aCZrlXpFQ&oe=6A60123B","https://www.facebook.com/sagiphirapfoundation","0","2308782222471870","Let's extend hand for Typhoon Ompong Flood Victims! Donate Now for Center for Sagip-Hirap Charity Foundation Relief Drive! 

Below are the areas remaining under tropical cyclone warning signals.

Signal No. 3:

Cagayan including Babuyan Group of Islands
Batanes
Ilocos Sur
Ilocos Norte
La Union
Mountain Province
Benguet
Ifugao
Kalinga
Apayao
Abra
Signal No. 2:

Isabela
Nueva Vizcaya
Pangasinan
Tarlac
Nueva Ecija
Aurora
Zambales
Quirino
Pampanga
Bulacan
Signal No. 1:

Bataan
Rizal
Metro Manila
Cavite
Batangas
Laguna
Lubang Island
Northern part of Quezon including Polillo Island",,"8",,,"1","9","1","1537021691000","https://www.facebook.com/sagiphirapfoundation/posts/pfbid02JJEzHt3big7jtcpkKvPvLsCQxYuseVGb4gKfocJqLf1vPgKpsfCJ3f5oCPi15g5ol"
