"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/like","reactions/love","reactions/sorry","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","1013610772436496","photo","https://www.facebook.com/photo.php?fbid=1013610772436496&set=gm.2688198208107747&type=3","No photo description available.","1013610815769825","photo","https://www.facebook.com/photo.php?fbid=1013610815769825&set=gm.2688198208107747&type=3","No photo description available.","1013610855769821","photo","https://www.facebook.com/photo.php?fbid=1013610855769821&set=gm.2688198208107747&type=3","No photo description available.","1013610882436485","photo","https://www.facebook.com/photo.php?fbid=1013610882436485&set=gm.2688198208107747&type=3","No photo description available.","1013610915769815","photo","https://www.facebook.com/photo.php?fbid=1013610915769815&set=gm.2688198208107747&type=3","100013627478237","Jaziel Navarez","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/741454554_2458526144611611_152457157198577431_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x957&ctp=s24x24&_nc_cat=111&ccb=1-7&_nc_sid=e99d92&_nc_ohc=9GFiyIj_CkMQ7kNvwGLX872&_nc_oc=AdoxLfVvpa7BKpCYh6aa7pifdyQeiEn3xmsdGqNLAfjJ1uz3NJlbrFCxktgVXDkmEjA&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=eWtTadgSSPaOQZHaZtLmPA&_nc_ss=7c2a8&oh=00_AQCqS4vACO7xuaD7pBUvQKmYe4ihzZn43tIdWl7_i9iBKw&oe=6A5FB579","https://www.facebook.com/jaziel.navarez","220","2688198208107747","Lot for Sale
Armel 8
Banaba,San Mateo,Rizal
📌Flood free
📌Near Puregold Banaba 
📌Near Sm San Mateo
📌Near Hospital
📌Malapit sa lahat👏👏
📌Near Quezon City
📌Near Marikina

Sample Computation
less Reservation 20,000
Cash Tcp- 880,000

For site viewing and reservation #09493798391","58","4","1",,"3","66","3","1604576964000","https://www.facebook.com/groups/1393126577614923/permalink/2688198208107747/"
"No photo description available.","138852557986277","photo","https://www.facebook.com/photo.php?fbid=138852557986277&set=a.465923752221782&type=3","No photo description available.","138853314652868","photo","https://www.facebook.com/photo.php?fbid=138853314652868&set=a.465923752221782&type=3","No photo description available.","138853191319547","photo","https://www.facebook.com/photo.php?fbid=138853191319547&set=a.465923752221782&type=3","No photo description available.","138852974652902","photo","https://www.facebook.com/photo.php?fbid=138852974652902&set=a.465923752221782&type=3","No photo description available.","138852741319592","photo","https://www.facebook.com/photo.php?fbid=138852741319592&set=a.465923752221782&type=3","100064124828834","Property Finder PH by Ms. Joan Nill","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/425767865_782310027249818_7444931608661268083_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=hDRMsjhkspoQ7kNvwEb9bjo&_nc_oc=AdpDRF8TnM-plcxAw55NjiyErJ2KPXUrWRrB5j5s7l9Kesp7KclLZa7TnMHhAk7to0E&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=eWtTadgSSPaOQZHaZtLmPA&_nc_ss=7c2a8&oh=00_AQDq4Ca3dvFLIp-o2idp1-97XsrLzzNGtvl5XnnqyG6jDQ&oe=6A5F9FCE","https://www.facebook.com/profile.php?id=100064124828834","0","138943521310514","#ReadyForOccupancy
#MarikinaCity
#Singleattachedhouse

#PORCHVILLE by VNL
Apitong St. Marikina Heights 

✔️very strategic location 
✔️100% Flood Free!!!❤️
✔️near ayala feliz mall

👉Single Attached 
Price range 6M to 6.1M

👉2 Storey Townhouse Front Unit
Tcp 5,950,000

✔4 Bedrooms 
✔2 Toilet and Bath
✔️car garage

Complete finished 🤩

As low as 50K to reserve 👍

Salary Requirement: 150K

For viewing and reservation 
DM/PM us 
or Call/txt

0917 6226488
Joan Nill
HSRC Real Estate Agent",,,,,,"0","6","1604464832000","https://www.facebook.com/permalink.php?story_fbid=pfbid0hJnodhohps4XhD2Pmj9GVnxGA3TT7nB82KActXTgqKoszwLYTcDm8A45iZWDdXhsl&id=100064124828834"
"No photo description available.","140028304535369","photo","https://www.facebook.com/photo/?fbid=140028304535369&set=a.138682141336652",,,,,,,,,,,,,,,,,"100064124828834","Property Finder PH by Ms. Joan Nill","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/425767865_782310027249818_7444931608661268083_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=hDRMsjhkspoQ7kNvwEb9bjo&_nc_oc=AdpDRF8TnM-plcxAw55NjiyErJ2KPXUrWRrB5j5s7l9Kesp7KclLZa7TnMHhAk7to0E&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=eWtTadgSSPaOQZHaZtLmPA&_nc_ss=7c2a8&oh=00_AQDq4Ca3dvFLIp-o2idp1-97XsrLzzNGtvl5XnnqyG6jDQ&oe=6A5F9FCE","https://www.facebook.com/profile.php?id=100064124828834","0","140028804535319","#ReadyForOccupancy
#MarikinaCity

#PORCHVILLE by VNL
Apitong St. Marikina Heights 

✔️very strategic location 
✔️100% Flood Free!!!❤️
✔️near ayala feliz mall

👉2 Storey Townhouse Front Unit
Tcp 3,850,000
Res. Fee : 50K
Monthly DP 41,875 ( 8 mos to pay)
Balance thru bank financing 

✔3 Bedrooms 
✔2 Toilet and Bath
✔️car garage

Complete finished 🤩

As low as 50K to reserve 👍

Salary Requirement: 90K

For viewing and reservation 
DM/PM us 
or Call/txt

0917 6226488
Joan Nill
HSRC Real Estate Agent",,,,,,"0","1","1604620645000","https://www.facebook.com/permalink.php?story_fbid=pfbid027NH37PotXsV5oYshsuDzkfQbLpTr4zmMY1w99NNC6TprRCmspoVFbGSFbhnwRgwel&id=100064124828834"
"No photo description available.","3512293875483604","photo","https://www.facebook.com/photo.php?fbid=3512293875483604&set=a.511801424425067&type=3","No photo description available.","3512294095483582","photo","https://www.facebook.com/photo.php?fbid=3512294095483582&set=a.511801424425067&type=3","No photo description available.","3512294022150256","photo","https://www.facebook.com/photo.php?fbid=3512294022150256&set=a.511801424425067&type=3","No photo description available.","3512293945483597","photo","https://www.facebook.com/photo.php?fbid=3512293945483597&set=a.511801424425067&type=3","No photo description available.","3512294428816882","photo","https://www.facebook.com/photo.php?fbid=3512294428816882&set=a.511801424425067&type=3","100067856404223","Kotse Network Gil Fernando","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/326743561_721713836129167_7791543114754116531_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=VHXtq9QnXlYQ7kNvwE7ZlDX&_nc_oc=AdoKhpO4l1ISjwPiiwQF1ezO9JofunXthrTtenhJI5oZ9apg_kLp4LIb8lEtNXR-frU&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=eWtTadgSSPaOQZHaZtLmPA&_nc_ss=7c2a8&oh=00_AQDjNSoguOI8fyN9-c9i6-tKUf4XWsuAHLsNJxbRVIep7w&oe=6A5FBE17","https://www.facebook.com/kotsenetworkmarikina","18","3512304168815908","2011 HONDA CITY 1.3L GAS

100% accident & flood free!
*1st owned
*1.3L, gasoline automatic transmission 
*All power
*Dual airbag
*Very cool A/C
*Color: Back pearl
*Mileage: 74k
*Very good condition!

P398,000 (negotiable upon viewing)
We accept trade-in & we offer bank financing assistance and insurance services!

*Bank Financing Details*
30% DP: P119,400 (plus chattel mortgage and comprehensive insurance)

Monthly
2 yrs: P14,975
3 yrs: P10,758
4 yrs: P8,706

For inquiries, please feel free to contact us,
Globe: 09178118498
Sun: 09225724693

#honda,
#city,
#automatictransmission, #kotsenetwork, #kotsenetworkriverbanksmarikina, #usedcars,
#secondhandcars,
#sedan,
#peoplesgeneralinsurancecorp, #carsdirect","29","6",,,"7","42","3","1604546119000","https://www.facebook.com/kotsenetworkmarikina/posts/pfbid024WPQdYNELjQGRvKYrmxUVGtVuVCdAxnhwwaedCh2dCLuXfjR7dbQwxBQ7FJGN7GAl"
"No photo description available.","199569615149503","photo","https://www.facebook.com/photo/?fbid=199569615149503&set=a.453715263432833",,,,,,,,,,,,,,,,,"100063830901582","Atendido Realty","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/294930946_453715286766164_4353106792125724335_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx180x180&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ii6cytzFhFMQ7kNvwEpdlXT&_nc_oc=Adps1Ri1-_eu8J5RxmtEoR-RV8vWR2GtJ5GJU5bTqBSkIcLrmBH4BjpSp8K9pHPSCmg&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=eWtTadgSSPaOQZHaZtLmPA&_nc_ss=7c2a8&oh=00_AQAUTQ8PxduidrW-0g1olF_HByFTAyOUnqOZRXsmVxfc2A&oe=6A5F9962","https://www.facebook.com/AtendidoRealty","0","199570811816050","𝐖𝐑𝐀𝐍𝐆𝐋𝐄𝐑 𝐇𝐎𝐔𝐒𝐄
A 𝟮-𝘀𝘁𝗼𝗿𝗲𝘆, 𝗳𝗿𝗼𝗻𝘁 𝘂𝗻𝗶𝘁 𝗼𝗳 𝗮 𝗱𝘂𝗽𝗹𝗲𝘅, with 4 superb bedrooms totaling 𝟭𝟮𝟬𝘀𝗾𝗺 𝗼𝗳 𝗹𝗶𝘃𝗶𝗻𝗴 𝘀𝗽𝗮𝗰𝗲 finished with high quality fittings. Set in an 𝗲𝘅𝗰𝗹𝘂𝘀𝗶𝘃𝗲 𝘀𝘂𝗯𝗱𝗶𝘃𝗶𝘀𝗶𝗼𝗻 (with amenities & security): 𝗥𝗮𝗻𝗰𝗵𝗼 𝟮 𝗦𝘂𝗯𝗱 𝗶𝗻 𝗖𝗼𝗻𝗰𝗲𝗽𝗰𝗶𝗼𝗻 𝗗𝗼𝘀, 𝗠𝗮𝗿𝗶𝗸𝗶𝗻𝗮 𝗖𝗶𝘁𝘆 which is absolutely flood safe! Near Marist School, St. Scholastica’s Academy, Infant Jesus School & Ayala Mall in Marikina Heights.

𝗜𝘁 𝗶𝘀 𝗰𝗼𝗺𝗽𝗼𝘀𝗲𝗱 𝗼𝗳:
▪️ a living room with drop-ceiling design and provision for telephone & cable;
▪️ a kitchen polished granite tiles with built-in cabinet and provision for range hood & gas range;
▪️ 4 bedrooms with closet & provision for window-type air-conditioning unit. The Master’s Bedroom has provision for split-type air-conditioning unit and has its own T&B with shower enclosure, provision for water heater;
▪️ a guest room or Flexi room on the ground floor;
▪️ 3 toilet & baths with floor to ceiling ceramic tiles, with shower enclosure & provision for water heater;
▪️ a lanai with ceramic tiled flooring;
▪️ a family hall;
▪️ a balcony;
▪️ a service area with ceramic tiled flooring;
▪️ 2 carport with gate; and
▪️ Sliding glass windows with analoque-finish.

𝗜𝗡𝗩𝗘𝗦𝗧𝗠𝗘𝗡𝗧: Thru Bank:
Price – P8,500,000.00
30% down- P2,550,000.00
Less reservation – P100,000.00
Net down – P2,450,000.00
Monthly DP 12mos –P204,166.67
70% balance- P5,950,000.00

Estimate monthly amortization @ 7.5% i/a:
5yrs – P119,226.00
10yrs – P70,628.00
15yrs- P55,157.00
20yrs – P47,933.00
25yrs – P43,970.00

𝗙𝗼𝗿 𝗶𝗻𝗾𝘂𝗶𝗿𝘆 & 𝘀𝗶𝘁𝗲 𝗮𝘀𝘀𝗶𝘀𝘁𝗮𝗻𝗰𝗲, 𝗽𝗹𝗲𝗮𝘀𝗲 𝗰𝗮𝗹𝗹:
𝗔𝗧𝗘𝗡𝗗𝗜𝗗𝗢 𝗥𝗘𝗔𝗟𝗧𝗬 𝗠𝗔𝗥𝗞𝗘𝗧𝗜𝗡𝗚 𝗖𝗢𝗥𝗣𝗢𝗥𝗔𝗧𝗜𝗢𝗡
PLDT: (8) 942-2154 / (8) 942-7632
Sun: 0922-897-0184
Globe : 0917-3114442

𝗗𝗜𝗦𝗖𝗟𝗔𝗜𝗠𝗘𝗥: The descriptions, plans, specifications, photos and illustrations used are for presentation purposes only and not form part of an offer or contract. Changes, deletions, and improvements in the final development of the project may be made without prior notice.

𝗜𝗠𝗣𝗢𝗥𝗧𝗔𝗡𝗧: This post is part of the company's social media activities only. All transactions are handled by licensed agents.",,,,,,"0","8","1604624442000","https://www.facebook.com/AtendidoRealty/posts/pfbid02Bpn4D7GRywcpQ52uGi3qV8qjE7MTGRgwCfr1FNB6wa2dMPrp3BM7iZCnYejT2iVnl"
"No photo description available.","2916343935253143","photo","https://www.facebook.com/photo/?fbid=2916343935253143&set=a.178445981238283",,,,,,,,,,,,,,,,,"100072186475528","Lhen Hipolito/Real State Information","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/518326711_745089561240586_5004755857614753406_n.jpg?stp=c0.0.610.610a_cp0_dst-jpg_tt6&cstp=mx610x610&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=xNulVevvIgMQ7kNvwGj3AlX&_nc_oc=AdpeGcrSlrj3XB0n00NAwp-OG0BcSXkEPexlbZ_Whv4kzAUVTUefWMPGxEVjdgxBt50&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=vpgJtDjrTP5BOxPdAAYbkA&_nc_ss=7c2a8&oh=00_AQB13YlVbAxsbjEBvhtFdCAbo0n67kNhHwjq1skBe-e8Tw&oe=6A5FBB46","https://www.facebook.com/LhenHipolito1982","6","2916343955253141","Pre owned house & lot  120 SQ. M LOT 
100% flood free 
4sale 
Parang Marikina City 
📌3bedroom 
📌2 toilet & bath 
📌 1 car garage 
Bank or pag ibig loan ok.

direct pm me for faster transaction😊

For site viewing / inquiries 
Call /text real state information! 
Admin/sales person ; 
Ms. Lhen
(Yan Yan Real State Information Services)
🤙Smart - 09391885941
We happy to served you better 👌💕","1",,,,,"1","11","1604529989000","https://www.facebook.com/LhenHipolito1982/posts/pfbid0AVZr33Zw4SYqPYyxkFDT2Kcar9KBWtaYs6ydsbudR265UyCSy7GFEMqYSZfdmUU1l"
"No photo description available.","140027091202157","photo","https://www.facebook.com/photo.php?fbid=140027091202157&set=a.138682141336652&type=3","No photo description available.","140027291202137","photo","https://www.facebook.com/photo.php?fbid=140027291202137&set=a.138682141336652&type=3","No photo description available.","140027171202149","photo","https://www.facebook.com/photo.php?fbid=140027171202149&set=a.138682141336652&type=3","No photo description available.","140027101202156","photo","https://www.facebook.com/photo.php?fbid=140027101202156&set=a.138682141336652&type=3","No photo description available.","140027211202145","photo","https://www.facebook.com/photo.php?fbid=140027211202145&set=a.138682141336652&type=3","100064124828834","Property Finder PH by Ms. Joan Nill","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/425767865_782310027249818_7444931608661268083_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=hDRMsjhkspoQ7kNvwEb9bjo&_nc_oc=AdpDRF8TnM-plcxAw55NjiyErJ2KPXUrWRrB5j5s7l9Kesp7KclLZa7TnMHhAk7to0E&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=vpgJtDjrTP5BOxPdAAYbkA&_nc_ss=7c2a8&oh=00_AQDKbtcIYBAhxfl-jJW4LuBjsatEfL9_A0mrg3nnenVGSQ&oe=6A5F9FCE","https://www.facebook.com/profile.php?id=100064124828834","0","140027421202124","#ReadyForOccupancy
#MarikinaCity
#Singleattachedhouse

#PORCHVILLE by VNL
Apitong St. Marikina Heights 

✔️very strategic location 
✔️100% Flood Free!!!❤️
✔️near ayala feliz mall

👉Single Attached 
Price range 6M to 6.1M

👉2 Storey Townhouse Front Unit
Tcp 5,950,000

✔4 Bedrooms 
✔2 Toilet and Bath
✔️car garage

Complete finished 🤩

As low as 50K to reserve 👍

Salary Requirement: 150K

For viewing and reservation 
DM/PM us 
or Call/txt

0917 6226488
Joan Nill
HSRC Real Estate Agent",,,,,,"0","0","1604620278000","https://www.facebook.com/permalink.php?story_fbid=pfbid02X3p5D7UGoHkPU4LoCKpeGWtaPb2zkf46mvPec9RPpNT36PSrvzQkjcyj6ecnhwBul&id=100064124828834"
,,,,,,,,,,,,,,,,,,,,"100057520326299","Sun Valley Golf & Residential Estates - Brgy. Inarawan, Antipolo City","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/348573867_1838946033188000_5196528311299652334_n.jpg?stp=c12.0.530.530a_cp0_dst-jpg_tt6&cstp=mx530x530&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=sEpN8syK5YsQ7kNvwHP8URV&_nc_oc=AdrYw9YXvNxLI5aOjD1GKjECbMTNLVbAT-pspTO-mV6CmlKJP68xovMmwvmqnQZo4uY&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=vpgJtDjrTP5BOxPdAAYbkA&_nc_ss=7c2a8&oh=00_AQCPdaeRL0NsXmpvwSi7GPHdWT-LJF3nbZ2M93F_ega9_g&oe=6A5F981C","https://www.facebook.com/profile.php?id=100057520326299","0","195056192065465","LOT TOUR #2 (PART 1)

For Inquiries and Tripping, ☎️ 09283589898
❌ Flood
❌ Faultline
❌ Landslide

Facilities:
✅ 4 Clubhouses (each with Swimming Pool)
✅ Golf Course
✅ Basketball Court
✅ Badminton Court
✅ Tennis Court
✅ Playground
✅ Half Olympic Size Swimming Pool
✅ Football Field

IG: https://instagram.com/realest8life?igshid=po1i0tib8b4w

Twitter: realest8life

https://youtu.be/vNQbRPIRqyw",,"1",,,,"1","0","1604497392000","https://www.facebook.com/permalink.php?story_fbid=pfbid0oeVz6rMmok5dS1z76YB3ChLwFxCmTNkxBvqAkcYA4zysiMyxVWfBkfT9c2m9YcqAl&id=100057520326299"
,"450428305936245","video",,,,,,,,,,,,,,,,,,"100064236184507","R&J in Realty","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/254714306_442539300837631_4653981153699810046_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1440x1440&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FnG1bjGu7qYQ7kNvwHxMw1i&_nc_oc=Adreh0_0GmwglAjsoP71gBSuVq9oiP9xnrzahTOIn4JIcPs3S94EbRxBx_ED8hx6XU4&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=vpgJtDjrTP5BOxPdAAYbkA&_nc_ss=7c2a8&oh=00_AQANWS2OKYEAUyra4L6W8R7WKqX33_kzNDdrfLrPapj27Q&oe=6A5F9638","https://www.facebook.com/profile.php?id=100064236184507","2","206962944395269","*** PROPERTY FOR SALE!! ***

HOUSE & LOT FOR SALE!!

* LOCATION: EASTWOOD RESIDENCES, MONTALBAN, RIZAL

* DOCUMENT STATUS: CLEAN TITLE 

* PRICE: 1.8M 

* MODE OF PAYMENT: CASH / PAG-IBIG LOAN

= DOWNPAYMENT: 400K
= BALANCE: thru BANK FINANCING / PAG-IBIG LOAN

* LOT SIZE: 75 sqm (approx)

* DETAILS:
= 2 bedrooms
= 1 T&B
= with car garage

● FLOOD FREE AREA ●

MESSAGE us for inquiries/viewing schedule.

CALL / TEXT
# 09277667914
# 09952998076

(R)

#HouseAndLotPhilippines #HouseAndLotForSale #HouseAndLot #houseandlotforsalephilippines #investment #investing #hanapBahay #PhilippineProperties #bahayatlupa",,,,,,"0","38","1604587590000","https://www.facebook.com/100064236184507/videos/450428305936245/"
"No photo description available.","197270191996134","photo","https://www.facebook.com/photo.php?fbid=197270191996134&set=a.610664354102363&type=3","No photo description available.","197270228662797","photo","https://www.facebook.com/photo.php?fbid=197270228662797&set=a.610664354102363&type=3","No photo description available.","197270258662794","photo","https://www.facebook.com/photo.php?fbid=197270258662794&set=a.610664354102363&type=3","No photo description available.","197270301996123","photo","https://www.facebook.com/photo.php?fbid=197270301996123&set=a.610664354102363&type=3","No photo description available.","197270331996120","photo","https://www.facebook.com/photo.php?fbid=197270331996120&set=a.610664354102363&type=3","100054764110079","E.Salvame WHR Ph Inc","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/405248658_884653063370156_5184180739485139147_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx943x943&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=deZPuJrKAG0Q7kNvwGU06Pp&_nc_oc=Ado16aHVqmsgE6N9qPiiSUVpvA6bZRj62X9TDkqG0qa9PjO9UsYm-nDzunAqWbJfvq0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=vpgJtDjrTP5BOxPdAAYbkA&_nc_ss=7c2a8&oh=00_AQCfkiULgfwPxga_XsrEKSfHLX7rDQ1B-m8mTyZU-haGdg&oe=6A5F98A7","https://www.facebook.com/wewenWHR","0","197270625329424","Brand New Housing Project in Brookside Subdvision

PRESELLING

Gated, Guarded and Well developed Subdivision in Cainta Rizal

highly elevated project, to protect your house from flood!

FREE LANDSCAPE!! FREE LANDSCAPE!! FREE LANDSCAPE!! 

DISCOUNT FOR SPOT CASH,SPOT DOWN PAYMENT

Affordable and Accessible - one ride to #Ortigas #Pasig City

TOWNHOUSE DOUBLE FIREWALL

Lot area: 60 sqm 
Floor area: 60 sqm

2-3 bedrooms
1 T&B 
complete finish with tiles and painted walls
kitchen
service area
carport

TOTAL CONTRACT PRICE 3,246,400.00
LOCKDOWN DISC. 20,000.00
NET TCP 3,226,400.00
20% DOWNPAYMENT 645,280
Reservation 30,000 
Net downpayment 615,280
DP term in mos. 24
monthly DP 25,637

BANK FINANCING 
Loan balance 2,581,120.00
5 yrs 52,336 
10 yrs 31,316 
15 yrs 24,667
20 yrs 22,808
Required income 70,000

Call or text me for inquiries and to schedule site viewing 

Thanks, 
EP Salvame
+63 947 625 7798
Welcome Home Realty Ph Inc",,,,,,"0","11","1604504990000","https://www.facebook.com/wewenWHR/posts/pfbid0BDcWR59AUwtiDcooVeUrxkSpZcTWkdAG5Pq59NXiFGPeDpodHAuWGkqc5oBLWKU8l"
