"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","1770903629711084","photo","https://www.facebook.com/photo.php?fbid=1770903629711084&set=a.449119531889507&type=3","No photo description available.","1770903843044396","photo","https://www.facebook.com/photo.php?fbid=1770903843044396&set=a.449119531889507&type=3","No photo description available.","1770904206377693","photo","https://www.facebook.com/photo.php?fbid=1770904206377693&set=a.449119531889507&type=3","No photo description available.","1770904249711022","photo","https://www.facebook.com/photo.php?fbid=1770904249711022&set=a.449119531889507&type=3","No photo description available.","1770904559710991","photo","https://www.facebook.com/photo.php?fbid=1770904559710991&set=a.449119531889507&type=3","100003743913185","Emmie Rose Mago Avellana","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/537009072_3657164467751648_4825586662032203197_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1024x1028&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=1d2534&_nc_ohc=ofbNb2W0bscQ7kNvwH71WXR&_nc_oc=AdordgnJaUp7PQpR6jBRjlT6U3hOwtrR-pcpl26ZtsR0n_p_d0zmiwB8MUvcUkI6nWc&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=yqdDpESUhWQPqnuc10wvYw&_nc_ss=7c2a8&oh=00_AQCiS0GTNO4jBem4X0-L4idaG8tqOrcg93p_aqaxUDI6Nw&oe=6A5FC95E","https://www.facebook.com/smithroseavellana","18","1770907179710729","#Bagyong Tisoy (12-3-19)
#Baha 
#Inom","5","40","5",,"1","51","0","1575462084000","https://www.facebook.com/smithroseavellana/posts/pfbid0pnFBz6MCXQ2reqgKFpAHsmcNLSUGvESVx3FQmAQ63jDA5VHQ8eLFnDVcbRw5DXB6l"
"No photo description available.","1424832764353320","photo","https://www.facebook.com/photo/?fbid=1424832764353320&set=a.569848771849472",,,,,,,,,,,,,,,,,"100064730617493","Courageous BPO Aspirants","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/327302971_732606111618497_9040863047774748554_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx726x720&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=XEZp0-6mA4gQ7kNvwF25Ky_&_nc_oc=Adp2PMW4Vl2dF5mL-0yz-00O1dLxTOQXSWOUGSOP-trvlQ9BWUGt9FDOKZM75jK2xGk&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=yqdDpESUhWQPqnuc10wvYw&_nc_ss=7c2a8&oh=00_AQD6hYFeNsv5WWLxHDy__gwfbN_2Z3Rhq0X1m9yebyUPmw&oe=6A5FAEC6","https://www.facebook.com/Courageous.Bpo.Aspirants","10","1424832797686650","Buhay call center Agent... 
Kahit bagyo pumapasok kasi Wala 
naman bagyo sa country na sinusuport mo.
Kinabukasan paglabas mo ng office stranded ka kasi baha na sa buong metro manila. 
The only recognition you can get from 
going to work despite the storm is a 
certificate of appreciation or free meal. 
Ok na kesa wala, di ba? 

Bagyo ka lang , WaterProof kami 🤣
#BagyongTisoy #BesafeEveryone","133","80","3","15","1","232","73","1575346003000","https://www.facebook.com/Courageous.Bpo.Aspirants/posts/pfbid0Sa7TodFUQXsvkCaNyKDMgy6gSkSWr4JYvXbyxrUPF1QXveGxKhru1E1hSUefUKEml"
,,,,,,,,,,,,,,,,,,,,"883005076","Gerard Ang Ngo Ching","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/96086532_10163758626765077_5097441511025410048_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx914x914&ctp=s24x24&_nc_cat=106&ccb=1-7&_nc_sid=e99d92&_nc_ohc=x9M5K3hF1N8Q7kNvwH4D9xW&_nc_oc=Adq3sXZ2XBufqJSsZkaO_L8XI8eYV6cOih0LtRLJmRTpSjoHpx0Y6-QJ9gT0G58MikM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=yqdDpESUhWQPqnuc10wvYw&_nc_ss=7c2a8&oh=00_AQCakGzzmT7ikQFvrlo39ru2MLtOEmX_aIXPLwFXUuouLw&oe=6A815BA0","https://www.facebook.com/gerard.a.ching","16","1505239699632801","Sana huminto na ang Pug-ulan... Lubog na kasi kami sa baha... Oishii🤣","143","128","90","2","1","364","0","1575348302000","https://www.facebook.com/groups/dog.ph/permalink/1505239699632801/"
,,,,,,,,,,,,,,,,,,,,"100064268816208","Ang Viral Mo","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/309436629_465795132239443_961323041766849020_n.jpg?stp=c31.0.545.545a_cp0_dst-jpg_tt6&cstp=mx545x545&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=H-AsaA658sMQ7kNvwHgYXiP&_nc_oc=AdpUuD5Wz7FEhed2Aolu9UaBXXCXHM-E8ji4ad6B7isbH9ByeLicikC1vnWPQynDZ7I&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=yqdDpESUhWQPqnuc10wvYw&_nc_ss=7c2a8&oh=00_AQDa2n_qrpKfndtKQz0P-6L8LHnVNeCj8QZJw33eN4-UtQ&oe=6A5FBEC6","https://www.facebook.com/angviralmo.ph","1","512106272981046","Freediving with a mission 🧜🧜🧜","47","4","2",,,"53","6","1575340231000","https://www.facebook.com/Myhpfins/posts/pfbid0qdPaFHynHnXbFVBxGBivPAyAFDGaXMn5bPreV91841GwjBQBcCbDMJiaS7QUW5gnl"
,,,,,,,,,,,,,,,,,,,,"100066753217846","Brookside Hills Cainta","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/395750852_668054275429674_690812357046648888_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ENg8Qs2ajPQQ7kNvwFJSV1K&_nc_oc=AdpNt1caJQcbn0LYoGXOepbmWN4sJkdlUOh2jfuljwmJZ3WBhB6QLW1_GL51FO0vAIw&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=yqdDpESUhWQPqnuc10wvYw&_nc_ss=7c2a8&oh=00_AQCj8Uh3gdNKeGpiKAFCWwZP9wORe6VmUVSbihtZc85Jwg&oe=6A5FABC2","https://www.facebook.com/brooksidehillscainta","1","535960850290794","Kamusta na ka #BRAI resident. Kahit paano mahina lang ang ulan at hangin. D naman bumabaha sa streets na madalas mala river ang baha. 

Kayo kamusta at ano masarap at mainit nyo ulam for today.",,"3",,,,"3","0","1575343808000","https://www.facebook.com/brooksidehillscainta/posts/pfbid0F2YZq4yEa8ckoxV1sCP8NgBB1GETHz1C2xuEMSys4ABFKzqK1gKeXiXh9bbbBHUPl"
"No photo description available.","912154165852265","photo","https://www.facebook.com/photo.php?fbid=912154165852265&set=a.181291917837864&type=3","No photo description available.","912154245852257","photo","https://www.facebook.com/photo.php?fbid=912154245852257&set=a.181291917837864&type=3",,,,,,,,,,,,,"100078711715825","BJJ Plus Size","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/439721298_415953567705030_1529212999099865295_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx500x500&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=3Ny8Uv26A2sQ7kNvwF2XQAP&_nc_oc=Adp38K23yFZJvh_boakfm1dzkbIjYZ9Bsvqx8yaWj_b6RyQcO4dBxOTZgA55TTzYFOo&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=yqdDpESUhWQPqnuc10wvYw&_nc_ss=7c2a8&oh=00_AQCvwl4pvF7jkoVKd5hnH9QZemoCv9mj0Hnk3GN71N394g&oe=6A5FBABA","https://www.facebook.com/Bjj0928","1","912154272518921","Good aftie...
Tatawad ako dun sa iba na di muna mpapa ship today  ah, lam nyo nman may bagyo po dto ngaun, ang hirap sa daan kc baha na. Halos wla pa sa kalahati mppa ship ko today. Tom. Po ung iba. Post ako mga waybill ng mga oks na. Slamat😊❤️",,"14",,,,"14","0","1575354826000","https://www.facebook.com/Bjj0928/posts/pfbid02cvYkzftD9cmZrjsToQxbr32gQqugK66Tb9TYuTqfhUdX1tpAUQnH5yo4Yn8KUMXYl"
,,,,,,,,,,,,,,,,,,,,"100063774431765","Haniel's RTW Direct Sa Patahian","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/293063805_434208145381663_4300404494627738947_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1440x1440&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FO9Q1LUtwYMQ7kNvwGc_U4H&_nc_oc=AdrqyyutbCq2r2DwoqFcOfHqFARRQNPKKn7eZHdY-_I_zhMnwckbLu2k7H1BhqIymuY&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=8lRMWNiWijrinURg_mfOzw&_nc_ss=7c2a8&oh=00_AQAd0OYF2L3OsuDRYtBGK-WxUHo0GcigieS3D11k-sfjEw&oe=6A5FA2BA","https://www.facebook.com/hazelygotfajardo1981","0","414613996091431","I apologize due to bad weather hnd po kami nkapag paship ngyn baha po ang daanan sa amin",,"3",,,,"3","1","1575360909000","https://www.facebook.com/hazelygotfajardo1981/posts/pfbid0AY5XqhvkQrbTqgbQSJumZxCDgWbAU9oQreSpeCrwyiFJCBDg5bvqSRFvbSwysgAAl"
,,,,,,,,,,,,,,,,,,,,"100050616828854","Tobit Cruz","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/514935252_1277764130587469_4426212912542971607_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x958&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=D2wxOQdWNvUQ7kNvwGlRG4W&_nc_oc=AdrBRsniTqA-V6bUwV83u7FcuJGRkFytrn4nst1-GhHlzqyoTtk5rG1nzz33J11TEL0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=8lRMWNiWijrinURg_mfOzw&_nc_ss=7c2a8&oh=00_AQC56SEK6je4PnA1k21D47L2V1H9S6PL68Xysx9TDmhB2A&oe=6A5FC719","https://www.facebook.com/KonsiTobit","1","2433104646949873","Sa mga nagtatanong po kung walang pong pasok ang mga bata, since nasa Signal Number 1 po ang ating Probinsya, Kindergarten lamang po ang walang pasok, kasama na rin po dito ang nasa pre-school/daycare pupils.

Nasa ating Governor at Mayor din po ang announcement bago mag 5am ang anunsyo lalo na’t walang storm signal ngunit malakas ang buhos ng ulan at nagkakaroon ng pagbaha sa ating lugar.

Nasa atin din pong mga magulang ang kapasyahan lalo na at malakas ang buhos ng ulan o may banta ng panganib dahil sa baha o pag-guho ng lupa upang di na papasukin ang ating mga anak.

Samantala, may pasok na po ang mga opisina ng ating Pamahalaang Barangay ngayong araw.

Maraming salamat po at isang ligtas na umaga sa ating lahat! 🙂🙂🙂",,"37","1",,,"38","10","1575411647000","https://www.facebook.com/BarangayStaAnaTR/posts/pfbid024CauoGhsB47wMtoFPb8TyG6UNirw7gVucz5rdAXndpBNRAMykZKLmHmP9r6sXYCWl"
"No photo description available.","10215989364307059","photo","https://www.facebook.com/photo/?fbid=10215989364307059&set=gm.2578877822369877",,,,,,,,,,,,,,,,,"1236559546","Desiree Carlos","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/269602934_10220892313877734_8468093377194239802_n.jpg?stp=c0.46.720.720a_cp0_dst-jpg_tt6&cstp=mx720x720&ctp=s24x24&_nc_cat=107&ccb=1-7&_nc_sid=1d2534&_nc_ohc=5_Am10QpqP0Q7kNvwFx0n_P&_nc_oc=AdqhJ9zro15aBz8KxzkUtVQXI66gSabj4L6IcnGJ9Xz996WLEhevqpoaDmiYlXif_jM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=8lRMWNiWijrinURg_mfOzw&_nc_ss=7c2a8&oh=00_AQBXO1-vOWSX5Ym_eaYcwfJDTnbAd9DjovaJQkeQUNk2rg&oe=6A5FC29E","https://www.facebook.com/desiree.carlos.18","0","2578877822369877","Malakas pa daw kay Yolanda si  bagyong Tisoy.

Sana humina ang hangin at ulan na dala niya.

Samantala, paki safety din po ang mga alagang aso at pusa.

Kung may baha at bumabaha na, huwag po itali, huwag po ikulong.

PAKI SHARE ITO.  PARA MAKARATING SA IBANG OWNERS/CAREGIVERS. SALAMAT.",,"7","1",,,"8","4","1575336400000","https://www.facebook.com/groups/SaveALLForum/permalink/2578877822369877/"
,,,,,,,,,,,,,,,,,,,,"100001279701002","Marinel Acuña Galang","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/615219344_25932151886410780_6194328574419770373_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s24x24&_nc_cat=108&ccb=1-7&_nc_sid=1d2534&_nc_ohc=rl7YznOfO4MQ7kNvwH-4WrS&_nc_oc=AdqXLErUd9wiQzZi910fj7eN7qMOdlTpTbUvU87RPuQUuPfRCYeAvxZxqgG3PCRLiow&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=8lRMWNiWijrinURg_mfOzw&_nc_ss=7c2a8&oh=00_AQAReVYUdeD5cX8xHH4QC8QiARK20_7Xkb1vn0ktk4f6kA&oe=6A5FC1CD","https://www.facebook.com/marinelgalang","0","736925880137804","Para sa mga nagrerent na nagbabalak mag-invest ng house..PM lang po ako..iwas baha sa tag ulan🙂🙂🙂

STOP RENTING!!! INVEST NOW!!!🏃‍♀️🏃‍♂️🚶‍♀️
Secure your future home🏡😃😍

 📸ACTUAL PHOTOS
@St.Joseph WINDFILED
 , Laguna)❤BRISA

For more Information and Site Viewing:
MARINEL ACUÑA GALANG
📱09986688935 (Globe)
📱09126114670 (Smart)",,,,,,"0","0","1575369263000","https://www.facebook.com/groups/222359141594483/permalink/736925880137804/?sale_post_id=736925880137804"
