"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","2767403553315969","photo","https://www.facebook.com/photo/?fbid=2767403553315969&set=a.248749934556124",,,,,,,,,,,,,,,,,"100082633561758","Grab","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/356388824_248749954556122_3634612142080762332_n.png?stp=cp0_dst-png&cstp=mx1080x1080&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=VwHRfp8kGqoQ7kNvwGSidTV&_nc_oc=Adr4PR66nLRnXijjhHlCWD9ec5G93hktNUzMaevDUfprO0-b0O9nwDZgkfsV4G0wqzA&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=eKlZwOttyXpecKDUQn43uA&_nc_ss=7c2a8&oh=00_AQAYHLQFqJgP_kOYzurF1XGSTOvXdDumqFK6xVqyMIRVOw&oe=6A5FC325","https://www.facebook.com/GrabPH","143","2767403553315969","🌂 FLOOD ALERT 🌂

QUEZON CITY 
As of 3:01PM Quezon Ave. Biak-na-Bato. Knee deep. All lanes occupied. Motorists advised to take alternate routes.

MANILA CITY
As of 5:16PM Rizal Memorial Stadium gate. Gutter deep. Passable to all types of vehicles.

As of 3:05PM Roxas Blvd. Service Road Hotel Gen to P. Ocampo north bound. Gutter deep. Passable to all types of vehicles.

As of 3:05PM Guanzon Unilever Intersection. Gutter deep. Passable to all types of vehicles.

As of 3:01PM Roxas Blvd. US Embassy north bound. Gutter deep. Passable to all types of vehicles. 

As of 2:46PM Padre Burgos cor Maria Orosa. Gutter deep. Passable to all types of vehicles. 

As of 2:20PM entrance of Rizal Memorial Stadium. Gutter deep. Passable to all types of vehicles. 

Follow this page and turn on notifications on this post to get updates on flood alerts. Let’s all strive to stay safe and dry! 

Sources:
MMDA
NDRRMC

#TisoyPH
#TyphoonTisoy","15","2","314","4","16",,"351","74","1575358466000","https://www.facebook.com/photo.php?fbid=2767403553315969&set=a.248749934556124&type=3"
"No photo description available.","2477184149058146","photo","https://www.facebook.com/photo/?fbid=2477184149058146&set=a.365711365600523",,,,,,,,,,,,,,,,,"100064849864375","DOST-PAGASA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8-rGnn6nM6QQ7kNvwG9BeaB&_nc_oc=Ado1iXdKk1riXPrHgTAxKEkx52wpfwo3WJzDq1fvzR4S-NQ6ykcuOqcfKMCyXQ0fQec&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=eKlZwOttyXpecKDUQn43uA&_nc_ss=7c2a8&oh=00_AQAY2_6_SDho3qeQ0Aeazdp4F3SmA-ddMi7m5vREEDUZjg&oe=6A5FC79F","https://www.facebook.com/PAGASA.DOST.GOV.PH","1","2477184415724786","Flood Bulletin No. 3
Cagayan River Basin",,,"67",,"3","1","71","15","1575494763000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid0zC5TF2WnWvvpscvEBeUxugg9eLGt5fFPruR86BMt1iYw2gaM7ZnnVPa68hTAWu63l"
"No photo description available.","3022909274396502","photo","https://www.facebook.com/photo.php?fbid=3022909274396502&set=a.362804292548312&type=3","No photo description available.","3022909384396491","photo","https://www.facebook.com/photo.php?fbid=3022909384396491&set=a.362804292548312&type=3","No photo description available.","3022909374396492","photo","https://www.facebook.com/photo.php?fbid=3022909374396492&set=a.362804292548312&type=3","No photo description available.","3022909494396480","photo","https://www.facebook.com/photo.php?fbid=3022909494396480&set=a.362804292548312&type=3",,,,,"100064562324642","Rappler","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/312485121_544389621056444_1709176195648106042_n.jpg?stp=c214.214.652.652a_cp0_dst-jpg_tt6&cstp=mx652x652&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ivhhtnso5b0Q7kNvwGmnXd9&_nc_oc=AdpzmlYHtOtjek2S3hRcAKAVW0J_5TlK3lDlazjFU8lfZ74C9NcKY9TagFNrPtcIEGI&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=eKlZwOttyXpecKDUQn43uA&_nc_ss=7c2a8&oh=00_AQBHNTZ6b4bkqTDWGVfEUQKU4dOxjJyYMaR_7G3s-skkUg&oe=6A5FBBC0","https://www.facebook.com/rapplerdotcom","68","3022909604396469","LOOK: Residents and drivers experience knee-deep flood in Brgy. Halang and Bucal in Calamba City, Laguna as of 1:50pm on Tuesday, December 3. The flooding is due to the heavy rain brought about by Typhoon Tisoy. #TisoyPH #FloodPH | via PIA Laguna",,"2","216",,"256","52","526","130","1575359840000","https://www.facebook.com/rapplerdotcom/posts/pfbid02d9DXQBS4qgDxKKc1mtWvRHzhYtuVCiaVhADUq2VUgKEwCyYoQH2MKNnFnQyLjrLQl"
"No photo description available.","2477196339056927","photo","https://www.facebook.com/photo.php?fbid=2477196339056927&set=a.365711365600523&type=3","No photo description available.","2477196272390267","photo","https://www.facebook.com/photo.php?fbid=2477196272390267&set=a.365711365600523&type=3",,,,,,,,,,,,,"100064849864375","DOST-PAGASA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8-rGnn6nM6QQ7kNvwG9BeaB&_nc_oc=Ado1iXdKk1riXPrHgTAxKEkx52wpfwo3WJzDq1fvzR4S-NQ6ykcuOqcfKMCyXQ0fQec&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=eKlZwOttyXpecKDUQn43uA&_nc_ss=7c2a8&oh=00_AQAY2_6_SDho3qeQ0Aeazdp4F3SmA-ddMi7m5vREEDUZjg&oe=6A5FC79F","https://www.facebook.com/PAGASA.DOST.GOV.PH","0","2477196452390249","General Flood Advisory (GFA)
as of 6:00 AM, 05 December 2019

Region 2 (Cagayan Valley) - GFA#3
CAR (Cordillera Administrative Region) - GFA#3",,,"75","1",,"2","78","22","1575495314000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid0t1sKeGz1TxqqUE6y8reMALNizBNFa5bT8ozPwknB4h4R6iUKJVwLD8uW4QvKJ9GZl"
"No photo description available.","10158119853866977","photo","https://www.facebook.com/photo/?fbid=10158119853866977&set=a.649184583919869",,,,,,,,,,,,,,,,,"100064849986224","GMA News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwFvL6bd&_nc_oc=AdqQjm8yshboYUJBhm3qjnwrJQVUPucH-YH5eice2ON-YQ7AeVYRucz_j1F30Yz03eQ&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=eKlZwOttyXpecKDUQn43uA&_nc_ss=7c2a8&oh=00_AQDyxa83OgQvj9DsRCzbsN4ugB6h6t4hZxmftI0x2kOYeg&oe=6A5FC37F","https://www.facebook.com/gmanews","127","10158119856311977","LOOK: Heavy rains flood the gate of Ninoy Aquino Stadium. The organizers put sandbags so pedestrians can go inside. Hopefully the water recedes soon as it has stopped raining in the area. #SEAGames2019 via Mav Gonzales, GMA News

For other updates about the #SEAGames2019, visit our online coverage at: https://gmanews.tv/seagames2019.","2","21","290","5","44","8","370","11","1575359408000","https://www.facebook.com/gmanews/posts/pfbid026UjJRjaGLnfLyS8auCu7bZ735LPWPYUByfrBnkQGw8zYwYtLozFTkATB2x6xzDv5l"
"No photo description available.","2476037065839521","photo","https://www.facebook.com/photo.php?fbid=2476037065839521&set=a.365711365600523&type=3","No photo description available.","2476037022506192","photo","https://www.facebook.com/photo.php?fbid=2476037022506192&set=a.365711365600523&type=3",,,,,,,,,,,,,"100064849864375","DOST-PAGASA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8-rGnn6nM6QQ7kNvwG9BeaB&_nc_oc=Ado1iXdKk1riXPrHgTAxKEkx52wpfwo3WJzDq1fvzR4S-NQ6ykcuOqcfKMCyXQ0fQec&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=ofGpgv680MGfch5R1wj5Bg&_nc_ss=7c2a8&oh=00_AQCGbM7qB4_gxEfD293QGjwfDhavkqf8a69P6tADmsMGeQ&oe=6A5FC79F","https://www.facebook.com/PAGASA.DOST.GOV.PH","0","2476037122506182","General Flood Advisory (GFA)
as of 6:00 PM, 04 December 2019

Region 2 (Cagayan Valley) - GFA#2
CAR (Cordillera Administrative Region) - GFA#2",,,"54","1",,,"55","12","1575453541000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02dumr9dj1mtz7TvxTBYAE7EogumBwJ1w9YTEqkgL5djcAmrPGwdMLcdMEHj2WTiPrl"
,"945623312484967","video",,,,,,,,,,,,,,,,,,"100063785144550","DamEasy PH","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/746508459_1652101833592639_3655537693643435249_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jOLJ7qVf_UgQ7kNvwEmZjQf&_nc_oc=AdpSsUCSD__htUFweJHXfD3Vg744au60Bm0m1R6PURPGTHMvxfiwwt4atgeAL6wRGVw&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=ofGpgv680MGfch5R1wj5Bg&_nc_ss=7c2a8&oh=00_AQBBOLCcY-Z4iCW_CmnxEB_5mPl1iv44m8nOXleprbrTlw&oe=6A5FC108","https://www.facebook.com/DamEasyPH","4","2482357138685311","The Dam Easy® Flood Barrier underwent some serious stress testing in our facility in Ireland. See for yourself just how tough the barrier is! It's built to withstand tonnes of pressure and even the toughest conditions  

#SoDamEasy",,,"12","1",,,"13","1","1582786820000","https://www.facebook.com/DamEasyPH/videos/945623312484967/"
"No photo description available.","2516959718541365","photo","https://www.facebook.com/photo.php?fbid=2516959718541365&set=a.564931848764816&type=3","No photo description available.","2500444700192867","photo","https://www.facebook.com/photo.php?fbid=2500444700192867&set=a.564931848764816&type=3","No photo description available.","2500444736859530","photo","https://www.facebook.com/photo.php?fbid=2500444736859530&set=a.564931848764816&type=3","No photo description available.","2500444766859527","photo","https://www.facebook.com/photo.php?fbid=2500444766859527&set=a.564931848764816&type=3","No photo description available.","2500444793526191","photo","https://www.facebook.com/photo.php?fbid=2500444793526191&set=a.564931848764816&type=3","100057440178758","Adriatico Builders","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/306924216_564931855431482_8787023237214774270_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1293x1293&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=A3-TiWKymLEQ7kNvwE08l1b&_nc_oc=AdpRX1xB9-qYmYZ59xjFuTADGLaHuFPXkH9bg-W5kf7mqKofcvU5HJDvY0mrG_EHL5k&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=ofGpgv680MGfch5R1wj5Bg&_nc_ss=7c2a8&oh=00_AQD571M8pcZRlTxT-uQaxV4UkWAjkHPbs19nUpy7kebRUw&oe=6A5FC40D","https://www.facebook.com/adriaticobuilders","6","2500445933526077","SOLD! 

Project Moscow 2

* 190sqm Lot area
* 360sqm floor area
* 4 BR
* 4 T/B
* 1 powder room
* 1 maids room
* 1 driver's quarters
* 1 staff T/B
* 2 car garage
* fully automated gates
* High Ceiling at 3.2m GF and 2nd floor
* water heaters for all T/B
* LED lights
* elevated flooring at 90cm
* flood free area guaranteed

Asking price: 19,888,888 negotiable
19.8 million (Negotiable)

PRIME LOCATION:
Moscow st., EASTVILLE, FILINVEST EAST, CAINTA RIZAL 

5mins away from:
(Right Outside the Village Gate) 
SM Masinag, Starbucks, McDonald's, Shakey's, Burger King, Chowking, BDO, Mercury Drug, Eastwest Bank, BPI, Robinsons Metro East Mall, Sta, Lucia Mall, Ayala Malls Feliz. 

10-15mins away from:
ATENEO de Manila, Miriam college, UP Diliman, SM marikina, Eastwood Mall, UP Town Center, Eastwood Mall, Ortigas CBD.

Call or text
09178190469
02-2191913

#adriaticobuilders #projectMoscow2 #bestinclass #topquality",,,"48","6",,"9","63","13","1575419042000","https://www.facebook.com/adriaticobuilders/posts/pfbid0gbQ9Ytm7ySpXNqnLDoCz3ASj2oPdrjWkWmZ57Ec5KfU8Ca4ZVoSJNd8Z4spmEN7zl"
"No photo description available.","2424795624296624","photo","https://www.facebook.com/photo.php?fbid=2424795624296624&set=a.363864482446050&type=3","No photo description available.","2424795737629946","photo","https://www.facebook.com/photo.php?fbid=2424795737629946&set=a.363864482446050&type=3",,,,,,,,,,,,,"100064675025966","GMA News Weather Center","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/724778055_1541013941397759_4007045830371021396_n.jpg?stp=c95.0.1152.1152a_cp0_dst-jpg_tt6&cstp=mx1152x1152&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JSfEewpaBicQ7kNvwHzlmbO&_nc_oc=AdpjqHajY4k3NLmfkJbZPgq0qiSKa-URGmiqKvcX2JKBiQz39IxGVh8AhEz5-EI_My4&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=ofGpgv680MGfch5R1wj5Bg&_nc_ss=7c2a8&oh=00_AQDIJQulhWuVI4EMRC-78wdQaysuNOJvBn8z0Q2qwAXK2A&oe=6A5FD1CD","https://www.facebook.com/gmaweather","8","2424795780963275","Dost_pagasa| Heavy Rainfall Warning No. 4 #NCR_PRSD
Weather System: Typhoon TISOY
Issued at: 4:56 PM,03 December 2019

Yellow Warning: #MetroManila, #Quezon, #Bataan, #Cavite, #Rizal.
Associated Hazard: FLOODING in flood-prone areas

Orange Warning: #Laguna, #Batangas.
Associated Hazard: FLOODING is still THREATENING

Meanwhile, Light to moderate rains affecting #Tarlac, #NuevaEcija, #Zambales, #Pampanga, #Bulacan which may persist within 2-3 hours and may affect nearby areas.",,"1","410","5","37",,"453","72","1575364617000","https://www.facebook.com/gmaweather/posts/pfbid02kFp5drpcDk6bkEnPberwFWuJJh5EViJnaPrMjLb1WwshUVDi5aFihGLWz52pixo2l"
"No photo description available.","2475029162606978","photo","https://www.facebook.com/photo.php?fbid=2475029162606978&set=a.365711365600523&type=3","No photo description available.","2475029119273649","photo","https://www.facebook.com/photo.php?fbid=2475029119273649&set=a.365711365600523&type=3","No photo description available.","2475029169273644","photo","https://www.facebook.com/photo.php?fbid=2475029169273644&set=a.365711365600523&type=3","No photo description available.","2475029335940294","photo","https://www.facebook.com/photo.php?fbid=2475029335940294&set=a.365711365600523&type=3","No photo description available.","2475029452606949","photo","https://www.facebook.com/photo.php?fbid=2475029452606949&set=a.365711365600523&type=3","100064849864375","DOST-PAGASA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8-rGnn6nM6QQ7kNvwG9BeaB&_nc_oc=Ado1iXdKk1riXPrHgTAxKEkx52wpfwo3WJzDq1fvzR4S-NQ6ykcuOqcfKMCyXQ0fQec&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=ofGpgv680MGfch5R1wj5Bg&_nc_ss=7c2a8&oh=00_AQCGbM7qB4_gxEfD293QGjwfDhavkqf8a69P6tADmsMGeQ&oe=6A5FC79F","https://www.facebook.com/PAGASA.DOST.GOV.PH","6","2475029762606918","General Flood Advisory (GFA)
as of 6:00 AM, 04 December 2019

Region 3 (Central Luzon) - GFA#4Final
Region 4A (CALABARZON) - GFA#5Final
Region 4B (MIMAROPA) - GFA#4Final
Region 5 (Bicol Region) - GFA #17FInal
Region 8 (Eastern Visayas) - GFA#17Final
NCR (National Capital Region) - GFA#3Final
Region 2 (Cagayan Valley) - GFA#1
CAR (Cordillera Administrative Region) - GFA#1",,,"176",,,,"176","54","1575409892000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02Rto56D1LvLzHFveAc1QBM9H75NJLtqEJVeqj87q2XHU2PXQkWTtA7QL5pS582UAkl"
