"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","10158528040847985","photo","https://www.facebook.com/photo.php?fbid=10158528040847985&set=a.610822944419249&type=3","No photo description available.","10158528040832985","photo","https://www.facebook.com/photo.php?fbid=10158528040832985&set=a.610822944419249&type=3","No photo description available.","10158528040867985","photo","https://www.facebook.com/photo.php?fbid=10158528040867985&set=a.610822944419249&type=3",,,,,,,,,"100064746458701","MANILA BULLETIN","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/486278506_1099976158837256_5940999471121737534_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SPUObSUmnT4Q7kNvwGyFvBG&_nc_oc=AdqPawK8QEZ-dk9xCKi1TuGVeCU9U7bfab5bpCDyExxxbJ2DhaEgcH27OsXD7U-uPBk&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=R8CL6nAgCIA0O4iMb42Gig&_nc_ss=7c2a8&oh=00_AQCWRgHoQDw29h1vpwSWkHqrnwPnYFF-qUcZTRLt7v8v3g&oe=6A5FB7A9","https://www.facebook.com/ManilaBulletin","252","10158528042477985","IN PHOTOS: Head-deep flood in some areas of Roxas City, Capiz as heavy rains are still affecting the province due to Typhoon #UrsulaPH (📸 Philippine Emergency Alerts) | via Hanah Tabios","5","2","1630","14","5235","188","7074","1047","1577261519000","https://www.facebook.com/ManilaBulletin/posts/pfbid0qRbUuQU82bVELYxBXvNCaqe71Y8MTbrg3KuvWGgtRhvi1fY5kLmfdqWGmeLC9vSDl"
,,,,,,,,,,,,,,,,,,,,"100064957951102","ABS-CBN News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/612193561_1385784586930127_8766501501849307524_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx513x511&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=jjMlUL_Ip04Q7kNvwGjvcuG&_nc_oc=AdpbWH-Vy-veoXLHTJbVmHK1Hf5_I55FuoQ4ad7tUtwwtX--8_opPmbMo7vNikouxk4&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=R8CL6nAgCIA0O4iMb42Gig&_nc_ss=7c2a8&oh=00_AQAPH92d9rceQtdW3ds50RgnKylqdlQ0CdP9hPKaQZ0RZw&oe=6A5F9E5C","https://www.facebook.com/abscbnNEWS","0","10157805188925168","TINGNAN: Naramdaman ng mga taga-Visayas ang bagsik ni #UrsulaPH sa mismong araw ng Pasko.","1","1","278","8","467","1","756","113","1577318457000","https://www.facebook.com/abscbnNEWS/posts/pfbid034DgDbJzYsGDexRTwsAuUWL5S7fK2xTwHhs14o4FXnuKhGXU6PDhBznWWgM1hokbvl"
"No photo description available.","2518908804885680","photo","https://www.facebook.com/photo.php?fbid=2518908804885680&set=a.365711365600523&type=3","No photo description available.","2518908774885683","photo","https://www.facebook.com/photo.php?fbid=2518908774885683&set=a.365711365600523&type=3","No photo description available.","2518908831552344","photo","https://www.facebook.com/photo.php?fbid=2518908831552344&set=a.365711365600523&type=3","No photo description available.","2518908894885671","photo","https://www.facebook.com/photo.php?fbid=2518908894885671&set=a.365711365600523&type=3","No photo description available.","2518908931552334","photo","https://www.facebook.com/photo.php?fbid=2518908931552334&set=a.365711365600523&type=3","100064849864375","DOST-PAGASA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8-rGnn6nM6QQ7kNvwFgFTu9&_nc_oc=AdrQSqyS3Dpg01q8Lhk_EOQJYTHr1aafov4dPxQSdWJz_eIbE-oqTkjrhyOYb2Nyt3g&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=R8CL6nAgCIA0O4iMb42Gig&_nc_ss=7c2a8&oh=00_AQBlOqD2_aA95A715m5xdOkyDxnwnTk08bSy1jO3bvtJgA&oe=6A5FC79F","https://www.facebook.com/PAGASA.DOST.GOV.PH","13","2518909204885640","General Flood Advisory (GFA) as of 6AM, 25 December 2019

Region 13 (Caraga) - GFA#4
Region 5 (Bicol Region) - GFA#4
Region 8 (Eastern Visayas) - GFA#4
Region 7 (Central Luzon) - GFA#3
Region 4A(CALABARZON) - GFA#2
Region 4B(MIMAROPA) - GFA#2
Region 6(Eastern Visayas) -GFA#2","1",,"138",,"19","1","159","85","1577225505000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid023fa2WwzyMoPYXTsjwe7L6EEBsAmvWDjUmh9YEjGgahQTtn6zGPdzNDirnJxcxoHxl"
"No photo description available.","2517144045062156","photo","https://www.facebook.com/photo/?fbid=2517144045062156&set=a.365711365600523",,,,,,,,,,,,,,,,,"100064849864375","DOST-PAGASA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8-rGnn6nM6QQ7kNvwFgFTu9&_nc_oc=AdrQSqyS3Dpg01q8Lhk_EOQJYTHr1aafov4dPxQSdWJz_eIbE-oqTkjrhyOYb2Nyt3g&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=R8CL6nAgCIA0O4iMb42Gig&_nc_ss=7c2a8&oh=00_AQBlOqD2_aA95A715m5xdOkyDxnwnTk08bSy1jO3bvtJgA&oe=6A5FC79F","https://www.facebook.com/PAGASA.DOST.GOV.PH","6","2517144981728729","Heavy Rainfall Warning No. 1 ‪#‎MIN_PRSD
Weather System: SEVERE TROPICAL STORM ""URSULA""
Issued at: 10:30 AM, Tuesday, 24 December 2019

Yellow Warning Level: ‪#DinagatIslands, #SiargaoIslands, #SocorroIslands, #BucasGrandeIslands

Possible Flooding in flood-prone areas.

•Meanwhile, moderate to occasionally heavy #rains affecting rest of #SurigaodelNorte, #SurigaodelSur which may persist for 1 to 2 hours.

The public and the disaster risk reduction and management council concerned are advised to take appropriate actions, MONITOR the weather condition and watch for the next advisory to be issued at 1:30 PM today.

For more information and queries, please call on telephone numbers 088-555-0485 or log on to www.bagong.pagasa.dost.gov.ph.","1","1","174","3","26","1","206","24","1577154695000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02xXyJuTSx7pesKoXnY3VhT9HbnEeo93M5MbiJ57DPMcFi43YAYX1te3UwV7XFJq9ql"
"No photo description available.","2436239086625850","photo","https://www.facebook.com/photo/?fbid=2436239086625850&set=a.183855577338914",,,,,,,,,,,,,,,,,"100071434183984","Silent Majority - Pro PNOY","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/296568802_183855604005578_1044016507794982288_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx825x825&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=RwRaaqQEny0Q7kNvwHTvGgP&_nc_oc=Adpe319PEfp0Y_VgaZBfXAgouASZWP6-KxQce0bZkSODuC7S32rRNkkY6Vh6m6aUATk&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=R8CL6nAgCIA0O4iMb42Gig&_nc_ss=7c2a8&oh=00_AQCN3UKErmbEQZDKG34QeApQhnp30T36vcwESpA2QEzFBg&oe=6A5FCE48","https://www.facebook.com/SilentMajorityFreedom","179","2436239456625813","Cagayan De Oro River Flood Risk Management Project
Aquino's Administration has this credit.Thank You Mr. Pres.Pnoy!
Ito ang mga magagandang balita na hindi nababalita...Para sa mga taga Cagayan de Oro
Ito ang BUNGA ng DAANG MATUWID...
PROJECT COSTS
P 8.5 BILLION
The DPWH projects approved by the NEDA Board include the
P8.55-billion ($190.29-million)* Cagayan De Oro River flood risk management project
The P8.55 Billion DPWH Flood Risk Management Project for Cagayan De Oro River comes in three (3) contract packages and involves the construction of 11,928 meters earth dike, 3,259 meters concrete flood wall including 1,449 meters reinforced concrete/masonry slope protection, 2,756 meters of new road and raising of existing road for evacuation, installation of three (3) steel slide gates and 19 flap gates, improvement of Kagayan River, and construction of retarding basin, concrete box/pipe culverts and headwall and drainage outlets.
PROJECT DESCRIPTION:
Involves implementation of the following structural (which is primarily river improvement in nature) and nonstructural measures:
1. Structural Measures
1.1 Construction of new dike/retaining wall
1.2 Installation of gate and drainage outlets
1.3 Construction of new road/raising of existing road for evacuation
1.4 Improvement of Kagayan Bridge
1.5 Construction of retarding basin
1.6 Periodic monitoring of river cross section and regular maintenance dredging/channel excavation
2. Non-Structural Measures
2.1 Preparation/Update of flood hazard map, evacuation planning
2.2 Flood Forecasting and Warning System (FFWS)
2.3 Community Based Flood Early Warning System (CBFEWS)
2.4 Information campaign and publicity for the project (Structural Measures)
2.5 Technical assistance for land use regulation for habitual inundation area
2.6 Technical assistance for riparian forest establishment in the agricultural lands
2.7 Technical assistance for mangrove forest establishment along the coastal areas
Involves implementation of the following structural (which is primarily river improvement in nature) and nonstructural measures:
PROJECT OUTLINE
The objective of the Project is to mitigate flood risk in Cagayan de Oro River Basin through the construction of flood protection measures, and thereby contributing to the sustainable and stable economic development in Cagayan de Oro River Basin.
SOURCE LINK VIDEO:
https://www.youtube.com/watch?v=auQYF4ZffQ4
SOURCE LINK:
https://www.rappler.com/business/industries/208-infrastructure/72316-neda-board-infrastructure-projects
SOURCE LINK:
http://www.neda.gov.ph/wp-content/uploads/2017/03/ICC-NB-Approved-Projects-as-of-Feb-2017-Aquino-Admin..pdf?fbclid=IwAR11ykhhMD1pfB30tf37L1VmdXQAeVdx6Tfw4ul8luZgv5atuzx_4U-Uby4
SOURCELINK:
http://www.cdodev.com/2019/08/17/project-watch-flood-risk-management-project-burgos-section/
#ThankYouPinoy","8","73","2173","153","1","16","2424","247","1577266213000","https://www.facebook.com/SilentMajorityFreedom/posts/pfbid07TjoikSnPBDe4Z7TYNZWVpnD46j3SMqVk6HRKVwtvUN3xNt4ULkiQuc3QcoNuk18l"
"No photo description available.","830575744069844","photo","https://www.facebook.com/photo.php?fbid=830575744069844&set=a.561616819100581&type=3","No photo description available.","830575980736487","photo","https://www.facebook.com/photo.php?fbid=830575980736487&set=a.561616819100581&type=3","No photo description available.","830576077403144","photo","https://www.facebook.com/photo.php?fbid=830576077403144&set=a.561616819100581&type=3","No photo description available.","830576110736474","photo","https://www.facebook.com/photo.php?fbid=830576110736474&set=a.561616819100581&type=3",,,,,"100057568024441","Philippine Emergency Alerts","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/406854429_822820552980205_2420978380293932729_n.jpg?stp=c48.41.833.834a_cp0_dst-jpg_tt6&cstp=mx833x834&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=5CRq9dUWRBsQ7kNvwFDz39O&_nc_oc=AdogyJ4KQ9Uiu8DxzzxB5V09YjxH9WP8waF39dROFANGh1RDIsDjQKDbAYms50tgy0w&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=eJaj4fTYxFs8Fr8g0o-EsA&_nc_ss=7c2a8&oh=00_AQAuDYBlMh_Kt5c06KUG8Y2RvyOCNMfHvXi4KyybJ95XBg&oe=6A5FCE80","https://www.facebook.com/PHEmergencyAlerts","7","830576690736416","LOOK: Flood submerges the City of Roxas, Capiz as heavy rains are currently affecting the area due to Typhoon #UrsulaPH.

#FloodAlert #RoxasCity #Capiz",,,"58","2","78","2","140","80","1577248119000","https://www.facebook.com/PHEmergencyAlerts/posts/pfbid0ur28J2wqzv98vQJrSTJdWzN7bao3kf2oAkCWAyMop4C963nSY3soitMtJv9u4uPhl"
"No photo description available.","830573497403402","photo","https://www.facebook.com/photo.php?fbid=830573497403402&set=a.561616819100581&type=3","No photo description available.","830573577403394","photo","https://www.facebook.com/photo.php?fbid=830573577403394&set=a.561616819100581&type=3","No photo description available.","830573700736715","photo","https://www.facebook.com/photo.php?fbid=830573700736715&set=a.561616819100581&type=3",,,,,,,,,"100057568024441","Philippine Emergency Alerts","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/406854429_822820552980205_2420978380293932729_n.jpg?stp=c48.41.833.834a_cp0_dst-jpg_tt6&cstp=mx833x834&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=5CRq9dUWRBsQ7kNvwFDz39O&_nc_oc=AdogyJ4KQ9Uiu8DxzzxB5V09YjxH9WP8waF39dROFANGh1RDIsDjQKDbAYms50tgy0w&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=eJaj4fTYxFs8Fr8g0o-EsA&_nc_ss=7c2a8&oh=00_AQAuDYBlMh_Kt5c06KUG8Y2RvyOCNMfHvXi4KyybJ95XBg&oe=6A5FCE80","https://www.facebook.com/PHEmergencyAlerts","3","830573737403378","LOOK: A head-deep flood is currently affecting portions of the municipality of President Roxas, Capiz as heavy rains are still currently affecting the area due to Typhoon #UrsulaPH.

#FloodAlert #PresidentRoxas #Capiz",,,"27","1","43","1","72","47","1577247900000","https://www.facebook.com/PHEmergencyAlerts/posts/pfbid0YsCeX9L3wu7wi5UXQt7Q9jLjaGR11mAUfZLmCrF4Ce1ieA4UBemvf4AMdwYAV9VKl"
"No photo description available.","2517349565041604","photo","https://www.facebook.com/photo/?fbid=2517349565041604&set=a.365711365600523",,,,,,,,,,,,,,,,,"100064849864375","DOST-PAGASA","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8-rGnn6nM6QQ7kNvwFgFTu9&_nc_oc=AdrQSqyS3Dpg01q8Lhk_EOQJYTHr1aafov4dPxQSdWJz_eIbE-oqTkjrhyOYb2Nyt3g&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=eJaj4fTYxFs8Fr8g0o-EsA&_nc_ss=7c2a8&oh=00_AQCqmx5smln6-FbcAM2JnSkM9qKwkArMYLltvXqfXmQ4Xg&oe=6A5FC79F","https://www.facebook.com/PAGASA.DOST.GOV.PH","13","2517380135038547","Heavy Rainfall Warning No. 2 ‪#‎MIN_PRSD
Weather System: SEVERE TROPICAL STORM ""URSULA""
Issued at: 1:30 PM, Tuesday, 24 December 2019

Yellow Warning Level: ‪#DinagatIslands, #SurigaodelNorte, #BucasGrande Islands, #SurigaodelSur (Carrascal, Cantilan, Madrid, Carmen, Lanuza, Cortes)

Possible Flooding in flood-prone areas.

•Meanwhile, light to occasionally moderate #rains affecting  #Camiguin, #AgusandelNorte, #AgusandelSur which may persist for 1 to 2 hours.

The public and the disaster risk reduction and management council concerned are advised to take appropriate actions, MONITOR the weather condition and watch for the next advisory to be issued at 4:30 PM today.

For more information and queries, please call on telephone numbers 088-555-0485 or log on to www.bagong.pagasa.dost.gov.ph",,"4","171","1","7","1","184","32","1577165552000","https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid0GgKeYosakWw9jCc8HaeEasehuoRFHsG8mthd8GGHuRwgGd1F5jqKWyoDTtsCSbQDl"
"No photo description available.","2618855554835232","photo","https://www.facebook.com/photo/?fbid=2618855554835232&set=a.403342115339395",,,,,,,,,,,,,,,,,"100069908300144","Earth Shaker","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/558021094_1112448077762125_5049031986014985434_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=5yWHqMiRftIQ7kNvwFTsvAp&_nc_oc=AdprBDjiRwi5GG0-VmqbeU2XcVMw9EjC6M6LJ-KPaC4ZZIgWV0fuQabJitgek2geYTk&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=eJaj4fTYxFs8Fr8g0o-EsA&_nc_ss=7c2a8&oh=00_AQDgLNhLRjsnD2mFMH28_aRA6xyXANtQKKjOEI7ID6SvBA&oe=6A5FAB39","https://www.facebook.com/earthshakerph","15","2618855618168559","BREAKING: PAGASA raised YELLOW Heavy Rainfall Warning over Metro Manila, Rizal, Cavite, and Bataan as of 9:10 PM.

The rain bands of Typhoon #UrsulaPH continue to bring moderate to heavy rains. Possible FLOODING in flood-prone areas",,"1","149","3","89","7","249","181","1577281374000","https://www.facebook.com/earthshakerph/posts/pfbid02RTgEUq4HEZMRp128KBBHgECSaGdN8tQPCCad9Zs3FR8nrDyfmsJaNT8C8mZFpSFMl"
"No photo description available.","10157603479295610","photo","https://www.facebook.com/photo.php?fbid=10157603479295610&set=a.411156537044740&type=3","No photo description available.","10157603479315610","photo","https://www.facebook.com/photo.php?fbid=10157603479315610&set=a.411156537044740&type=3","No photo description available.","10157603479475610","photo","https://www.facebook.com/photo.php?fbid=10157603479475610&set=a.411156537044740&type=3","No photo description available.","10157603479530610","photo","https://www.facebook.com/photo.php?fbid=10157603479530610&set=a.411156537044740&type=3","No photo description available.","10157603479660610","photo","https://www.facebook.com/photo.php?fbid=10157603479660610&set=a.411156537044740&type=3","100044511906533","Chiz Escudero","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/441655736_1012660413561013_7476720995854428882_n.jpg?stp=c8.8.576.576a_cp0_dst-jpg_tt6&cstp=mx576x576&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_jKsRwGzMZwQ7kNvwEI1wqJ&_nc_oc=Adq5eh-3W320lLchiiL6g9U8dhLCdC8PVLeGMMmlJ5mn1Eq-WOScwBeJSsnydwPwfNs&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=eJaj4fTYxFs8Fr8g0o-EsA&_nc_ss=7c2a8&oh=00_AQAazl7dKaX7eRt0GfgODx0ij6ZP25ZjVHM_ynu9M35kow&oe=6A5FBF23","https://www.facebook.com/officialchizescudero","23","10157603489755610","Another typhoon is coming our way. 

Members of the Sorsogon Provincial Disaster Risk Reduction Management Office are already deployed in strategic areas.

Forced Preemptive Evacuation is also implemented in flood and landslide prone areas in Matnog, Bulan, Sta. Magdalena, Irosin and Juban.

Soup kitchen, food packs (with toys for kids) and water are being distributed for stranded passengers and vehicles in the ports of Matnog, Bulan and Pilar.

Stay safe everyone!

#TSUrsulaPH
#KadaSorsoganonMagdanon",,,"538","43","54",,"635","68","1577163982000","https://www.facebook.com/officialchizescudero/posts/pfbid0Xc95RZQpsBKpeHeTD59kvh2NoYmLYwkVeWAf6BmfKequ2cyzRjvp5MBH3DJCykZrl"
