"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,,,,,,,,,,,,,,,,,,,,"100064542948515","Marikina City Rescue 161","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/541379745_1210200924474661_5482984993472514193_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1024x1024&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JyOFt-nYG3sQ7kNvwFDsnvQ&_nc_oc=AdrGZ1sBpcIANndrd6ROUKu8WSZme97OkqIuYF5nD9ng2tKrU7ZtwSyT5vww89IXlfU&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=QRmmQkJjUepOH_TvYFDfiA&_nc_ss=7c2a8&oh=00_AQASRz7J2bk0kR5jSdlszoyJPoaFVQJb8VDWzP8VeW_UUQ&oe=6A5FA082","https://www.facebook.com/MarikinaRescue161","0","2614791938618174","Marikina River Water Level Update
Issued at 10:00 PM, December 25, 2019

Water Level: 12.4 meters
NORMAL Level

Rainfall count as per MMDA-EFCOS
Issued at 10:00 PM, December 25, 2019

Mt. Campana: 30 mm
Mt. Boso-Boso: 27 mm
Mt. Aries: 24 mm
Mt. Oro: 7 mm
Nangka: 28 mm

Total: 116 mm

flooded areas 
Russet st.
olive st.
green st.
Gutter deep",,"56",,"1",,"57","9","1577282855000","https://www.facebook.com/MarikinaRescue161/posts/pfbid0cfG1SHUpmmjzKYYN8RMneCgK8ZWkriMda6xE3MvdyG2mCkadYWza1a3fywUNi8yRl"
,,,,,,,,,,,,,,,,,,,,"100077068119678","Aldrin Pelicano","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/652544660_925729913339271_7746803070518384842_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=eq2s6mN9I3YQ7kNvwEYiFKX&_nc_oc=Adp5ukEtIo79Zh6so0180K65s4Tu_Wy1gQZBbj85Awvt0mZ5O96majni1U_7c-8MMXE&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=QRmmQkJjUepOH_TvYFDfiA&_nc_ss=7c2a8&oh=00_AQCDy3IsAIJLI8wFVJjNPg-z2kqt3MJyz8JUzOWGtHQdyQ&oe=6A5FD1E0","https://www.facebook.com/aldrinpelican0","4","2474937859283923","May higit pa sa isang linggo bago bumalik sa eskuwela ang mga bata. Kamusta na kaya si Ate?",,"42","23","1","6","72","7","1577283249000","https://www.facebook.com/aldrinpelican0/posts/pfbid02cdcxfFu9FhUqjdaZTbWjfr1XTNoAiENVfzAstEQdRN4NzZjg3PLSwJmcW5k7hL3Fl"
"No photo description available.","175688067154954","photo","https://www.facebook.com/photo.php?fbid=175688067154954&set=a.222426303227003&type=3","No photo description available.","175688083821619","photo","https://www.facebook.com/photo.php?fbid=175688083821619&set=a.222426303227003&type=3","No photo description available.","175688100488284","photo","https://www.facebook.com/photo.php?fbid=175688100488284&set=a.222426303227003&type=3","No photo description available.","175688120488282","photo","https://www.facebook.com/photo.php?fbid=175688120488282&set=a.222426303227003&type=3","No photo description available.","175688140488280","photo","https://www.facebook.com/photo.php?fbid=175688140488280&set=a.222426303227003&type=3","100063789047867","Aspire East Homes","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/434260530_889062203230073_7735218487770895593_n.jpg?stp=c200.117.545.545a_cp0_dst-jpg_tt6&cstp=mx545x545&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=qWJVXB6oW2cQ7kNvwFL6w_d&_nc_oc=AdqIIXrfo3q6POGin3HhPBZSip-6aZG2gAmQS_0EuJUeZC7T8EOS4eLdCbSiGwJJePc&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=QRmmQkJjUepOH_TvYFDfiA&_nc_ss=7c2a8&oh=00_AQD7grfdcqZgbM6RPV1wzhPjHYGeXZAqfYkgTuRQVkOQlw&oe=6A5FA287","https://www.facebook.com/AspireEastHomes","24","175688360488258","2 BEDROOM MIDRISE CONDO UNIT WITH FREE PARKING..THRU PAG IBIG FINANCING...🏠🏠🏠

------ 1 UNIT LEFT! ---------

❤ OVERLOOKING VIEW OF NATURE IN A MASTER PLANNED JAPANESE INSPIRED COMMUNITY IN TAYTAY

❤️ LOANABLE THRU PAG-IBIG FINANCING❤️
🏡⛰ At the highest part of the project with a beautiful view of nature
🚘 Just 1.5km away to Tikling Taytay, near Antipolo and prime city locations. 

✔️Affordable 2 bedroom midrise condo unit
✔️50sqm- bigger space in an affordable monthly payment
✔ It is built in the highest part of zuri taytay which provides peaceful location and breathtaking view of the Metro
✔ Other Condo ask you to pay for your Parking space? Here PARKING SPACE IS FREE PER UNIT
✔ Every Midori Building has 6 units with 2 Bedroom per bldg and 2 units per floor NOT CROWDED
✔ Existing Amenities of Zuri Residences were entrance gate, clubhouse, swimming pool, playground and its natural terrains as jogging paths
✔Zuri is located in a Flood Safe zone of Taytay 
✔Near SM Taytay,Manila East Hospital,Schools and Market
✔Available thru Bank ang Pagibig Finance

ZURI RESIDENCES🏡
Cabrera Rd Taytay Rizal

THE PEAK MIDORI MIDRISE CONDO🏡

✅Fully Finished
✅2 Bedrooms
✅ Service area
✅ 1 toilet and bath
✅ Living and Dining Area
✅ Kitchen area
✅ Free parking space

Lot Area 50 sqm
Floor area 50 sqm

Total Contract Price 2,773,000
Less Reservation 20,000
Downpayment  216,000
15 mos. to pay  14,400

PAG-IBIG FINANCING❤
Loanable Amount  2,537,000
25 yrs. to pay 17,130
30 yrs. to pay 15,827.58

FOR FREE TRIPPING
☺Abby / Daryl Apan
☎️ 09391870921 / 09392264912",,"14",,,"1","15","0","1577302933000","https://www.facebook.com/AspireEastHomes/posts/pfbid0RVCyJtXHfbGxShPkKzBcWacxeQfbaD5qgfqrmZEt3bKL1Foa4U3UEpT6QBa8d2pTl"
"No photo description available.","2667790023299883","photo","https://www.facebook.com/photo.php?fbid=2667790023299883&set=a.495966779360271&type=3","No photo description available.","2667790059966546","photo","https://www.facebook.com/photo.php?fbid=2667790059966546&set=a.495966779360271&type=3","No photo description available.","2667790103299875","photo","https://www.facebook.com/photo.php?fbid=2667790103299875&set=a.495966779360271&type=3","No photo description available.","2667790126633206","photo","https://www.facebook.com/photo.php?fbid=2667790126633206&set=a.495966779360271&type=3",,,,,"100068408581940","Anak ng Pasig","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/245432972_4469380529807481_2028779473174900342_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=tTJytebxLBcQ7kNvwGPdwK7&_nc_oc=Adroe0x15asV9d9EbnzRvG80go3Ovxxze9T-lswPDhDfs2TXVH2_plncYB-coO2WboE&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=QRmmQkJjUepOH_TvYFDfiA&_nc_ss=7c2a8&oh=00_AQB40oyEiyQM897zXR-2dc0oAtiX5ai9_BkpM1oIQ7wSmQ&oe=6A5FC7C3","https://www.facebook.com/PasigUpdates","0","2667790273299858","PAGASA raised YELLOW Heavy Rainfall Warning over Metro Manila, Rizal, Cavite, and Bataan

The rain bands of Typhoon #UrsulaPH continue to bring moderate to heavy rains. Possible FLOODING in flood-prone areas

Marikina River Water Level Update
Issued at 10:00 PM, December 25, 2019

Water Level: 12.4 meters
NORMAL Level

Rainfall count as per MMDA-EFCOS
Issued at 10:00 PM, December 25, 2019

Bago tayo matulog tonight, let us include in our prayers, ang ating mga kababayan naapektado ng Bagyong #UrsulaPH ngayong Pasko. 

Maraming natutulog sa evacuation center, ports, at sa mga sirang bahay. 

via | Sir Ralph Abainza, Marikina River Level Updates and DOST EFCOS",,"18",,"4",,"22","2","1577286755000","https://www.facebook.com/PasigUpdates/posts/pfbid02kc1uTMSuyBCjEBaopxSvTEPyiEg25YEYR7sneEJ5A25d3r6LeNExv2oBkdhykPvUl"
,"2430796550584036","video",,,,,,,,,,,,,,,,,,"100063806689719","Affordable and Luxury HOUSE in Philippines","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/301966983_475181401285412_6856597030614170329_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=tPyv_aRtMcMQ7kNvwHQUWMB&_nc_oc=Adq0TUzRKM6p5FATJwHGskY0BWmzOS7gtPs5doFtu1kn1NjWZo5Ivwmjc-Jr8LGDeB8&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=QRmmQkJjUepOH_TvYFDfiA&_nc_ss=7c2a8&oh=00_AQAA1rioWkl3JHU-BxJ8AqiHtDMQOXobt42YEh9xStezGQ&oe=6A5FB1BE","https://www.facebook.com/housinginthephilippines","1","1050614241977562","Contract us : 09089288142/09152115728
🎄🎄🎄MOVE-IN TO YOUR NEW HOUSE WITHIN  6 TO 8 -MONTHS. 
🌈AS LOW AS 10K+++/mo amortization thru PAGIBIG FINANCING. 

❤️Avaialble for Employed/OFW/Self-Employed 
❤️24/7 Guarded Community
❤️With shuttle service inside the community
❤️With swimming pool
❤️With Clubhouse & Multi-purpose Hall
❤️Complete AMENITIES
❤️100% FLOOD FREE!!!!
❤️COMPLETE FINISHED ang turnover. With TILES na ang flooring

👉 HINDI KAILANGAN FULL DOWNPAYMENT PARA GAWIN ANG BAHAY
👉 EASY DOCUMENTATION AND FAST APPROVAL. KAMI NA MAGPROCESS NG HOUSING LOAN MO.

FREE SITE VIEWING or Other Option
Please contact:

Rowena Cacharo
Sales Manager

#stmonique
#singleattached
#bungalow",,,,,,"0","1","1577242883000","https://www.facebook.com/housinginthephilippines/videos/2430796550584036/"
"No photo description available.","2765186340170292","photo","https://www.facebook.com/photo/?fbid=2765186340170292&set=a.385779408111009",,,,,,,,,,,,,,,,,"100000368590742","Ely Liwanag","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/367716181_6699613623394191_1562866697788998500_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=EDjlcsKgnOIQ7kNvwE9sefl&_nc_oc=Adr-74XPnn2NVNW4Ix69pjJqBeAmqTJgi-IabUp1M5eA-s9cawFpBOrExxf19y7IuWY&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=gt1As6k2LIIEkkp5ChOA1g&_nc_ss=7c2a8&oh=00_AQAPLgfTwYfbtuBc7zyk79O6EQ0SWUpW1biVUK24gQPJ5Q&oe=6A5FA6D1","https://www.facebook.com/ely.liwanag","3","2765186396836953","While my feed is flooded by Family Photos, here we are celebrating this special day at the Office, well we're doing it for them anyway. And we are family here anyway.

Salute to All Bayaning Puyats! 
Not only those who's working in BPO but also those who's working away from their Family. Thanks to this people who lessen the homesickness. Merry Christmas People. Log out na po kami! 🎄🎁

Merry Christmas from team Barry to yours. ⛄🎅","1","19","18",,,"38","1","1577259043000","https://www.facebook.com/ely.liwanag/posts/pfbid0MB7ggnBPhZxGBmZY3qJHgMqDvAm9GhxkWiPy7tq3GmfAf1RX9yMYoVdrQVzpjsC1l"
"No photo description available.","2108687155900548","photo","https://www.facebook.com/photo.php?fbid=2108687155900548&set=a.485660076910740&type=3","No photo description available.","2108687215900542","photo","https://www.facebook.com/photo.php?fbid=2108687215900542&set=a.485660076910740&type=3","No photo description available.","2108687279233869","photo","https://www.facebook.com/photo.php?fbid=2108687279233869&set=a.485660076910740&type=3","No photo description available.","2108687335900530","photo","https://www.facebook.com/photo.php?fbid=2108687335900530&set=a.485660076910740&type=3","No photo description available.","2108687375900526","photo","https://www.facebook.com/photo.php?fbid=2108687375900526&set=a.485660076910740&type=3","100064002550368","Señoritos Tacos and Nachos","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/324240655_1203555783584599_8650037719871839471_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Ljd_LvaqDswQ7kNvwHTxlam&_nc_oc=AdokQNWDSqYeoFA31aYRHOdwNYzRGu7lpKElRGhcsM09E7Al5AlKqGgWlw8Vgt7EHIk&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=gt1As6k2LIIEkkp5ChOA1g&_nc_ss=7c2a8&oh=00_AQBmXvVo5BLV2swf-dQ9Tm6i3dmxx3QEd1kL35Tr-Zqc3Q&oe=6A5FD192","https://www.facebook.com/TheMessAtItsBest","2","2108687555900508","Merry Christmas! Thank you for patronizing us. Hindi na po namin kayo maiisa-isa pero super thanks. Just delivered bulk orders of our Nachos and Tacos Bilao and Chicken Sisig yesterday and wasn't able to take photos of all orders due to supeeeeerb busy day! Worth it ang pagod from 7 am to 12 mn 😅😂 Di ko na rin po mascreenshot lahat ng messages saying masarap po ang aming products due to flooding messages for Christmas. 🎅😊 See you po ulit sa New Year! 😍❤️💗

Ikaw? What are you waiting for? Order ka na! 'Wag nang hintayin pang ma-curious ka sa lasa. 😍😋

#ThankYouLord 🙏
#SeñoritosTacosAndNachos
#TheMessAtItsBest",,"2","2",,"2","6","0","1577240395000","https://www.facebook.com/TheMessAtItsBest/posts/pfbid0DYGZQxjHAKuKFjkESkLFgahMb75owMZX4NFmF2X9miVLzTp1MUGVNgkw4UFK9UnTl"
,,,,,,,,,,,,,,,,,,,,"100064542948515","Pagasa Nationalcapitalregionprsd","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/117890349_325012645508210_7691668635129397714_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s24x24&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nzJFNRcbOIIQ7kNvwF0N26-&_nc_oc=Adpd1R4cYPHnZlVdvc0pKtgPN5A6d12aui91oNCiBbIvhPEqnSYZc15dm-KUsJuCjPE&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=gt1As6k2LIIEkkp5ChOA1g&_nc_ss=7c2a8&oh=00_AQCKkff7yU4aeM9JUae4EVW1si75V5jQsKVkNpxvr51TeQ&oe=6A815C21","https://www.facebook.com/pagasa.nationalcapitalregion","3","2614733955290639","#ALISTO_MARIKEÑO
#ABISO_MARIKEÑO

Heavy Rainfall Warning No. 1 #NCR_PRSD
Weather System: Typhoon URSULA
Issued at: 9:10 PM,25 December 2019

Yellow Warning: #MetroManila, #Rizal, #Cavite, #Bataan.
Associated Hazard: Possible FLOODING in flood-prone areas

Meanwhile, Expect light to moderate rains over #Zambales, #Bulacan.

Light to moderate with occasional heavy rains affecting #Laguna, #Quezon, #Pampanga.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next advisory to be issued at 11:00 PM today.

For more information and queries, please call telephone numbers 927-1335 and 927-2877 or log on to bagong.pagasa.dost.gov.ph.",,"15",,,,"15","2","1577280837000","https://www.facebook.com/MarikinaRescue161/posts/pfbid0kEq8fFvoJFi8rdotXJeXog6oCW4cB9RVPfZ8PvMpFM4PX1Ln8R9o2HFu7h8RofEfl"
,"450917718937250","video",,,,,,,,,,,,,,,,,,"100063891015183","Marty Hernandez - Real Estate Broker","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/279437829_3238534423137148_7601668947871465377_n.jpg?stp=c90.0.1187.1187a_cp0_dst-jpg_tt6&cstp=mx1187x1187&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=1UD9eoeGiEkQ7kNvwE7eRcg&_nc_oc=AdojU7HyUAL89P2DE-dU152bzqgXvcA0TV-a3sOHom0hnMyJl-uUnCwX2dokyUqdlu0&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=gt1As6k2LIIEkkp5ChOA1g&_nc_ss=7c2a8&oh=00_AQC-S4IZFu2y5CoN7yG9YmSRZBbwyrQslgep2ZEwWd6Crw&oe=6A5FB743","https://www.facebook.com/martyhernandezbroker","4","2541232032867394","3 BR Contemporary Townhouse in Greenwoods Executive Village, Pasig City.

[SOLD ALREADY]

P6.5M if thru Bank
P6.3M if thru Cash

Lot area: 75 sqm
Floor area: 140 sqm
3 Bedrooms
3 Bathrooms
Living Area
Dining Area
Kitchen
Dirty Kitchen
Maid's Room
Balcony
1 Car Garage

About Greenwoods:

Greenwoods Executive Village is a gated exclusive subdivision with parts being in Pasig, Cainta and Taytay. It has two entrances - thru the main gate which is along A. Sandoval Ave. in Pasig and thru the East gate which is near C6. The subdivision is a flood free area and is 5 km away from the West Valley Fault.

Julio Martin P. Hernandez
VP Sales and Marketing of Maharlika Land Properties and Homes Corp.
Real Estate Broker PRC 30566�
www.martyhernandez.com
www.cocomartech.com
juliomartinphernandez@gmail.com

Facebook (Real Estate): www.facebook.com/martyhernandezbroker
Facebook (cocomarTech): www.facebook.com/cocomarTech
Instagram: www.instagram.com/cocomartech
Twitter: www.twitter.com/cocomartech
Real Estate Listings YouTube Channel: https://www.youtube.com/martyhernandez
cocomarTech Channel: https://www.youtube.com/cocomarTech

My Gears:

Sony a6400: http://bit.ly/sony-a6400-lazada
Joby Gorillapod: http://bit.ly/joby-gorillapod-lazada
Feiyutech AK2000: http://bit.ly/feiyutech-ak2000-lazada
Boya Mic: http://bit.ly/boya-mic-lazada
Vertigal Grip Rig: http://bit.ly/sony-a6400-vertical-rig
Wasabi Batteries: http://bit.ly/wasabi-batteries-sony-a6400-lazada
Softbox: http://bit.ly/softbox-lazada
Feiyutech Vlog Pocket: http://bit.ly/feiyutech-vlog-pocket-lazada",,"4",,,,"4","1","1577268960000","https://www.facebook.com/martyhernandezbroker/videos/450917718937250/"
"No photo description available.","491787311458308","photo","https://www.facebook.com/photo.php?fbid=491787311458308&set=a.465921705548718&type=3","No photo description available.","491787358124970","photo","https://www.facebook.com/photo.php?fbid=491787358124970&set=a.465921705548718&type=3",,,,,,,,,,,,,"100063926777048","Camella HOMES  Antipolo","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/302787698_465921712215384_7637288197389114939_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx701x693&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JDr4n5lVMl4Q7kNvwF_4vLY&_nc_oc=Adq99-S3TWE85ne4LMfmvMmsrQ4Q-bQ-RAJpSs5sdxo6mEXRYHXHIAAz2IwWgWyfy2s&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=gt1As6k2LIIEkkp5ChOA1g&_nc_ss=7c2a8&oh=00_AQB9nKqu8Vh_CjVp8ojjvdiZdqDy3N5UemIVhxBmPmBNQg&oe=6A5FAA85","https://www.facebook.com/bogartcruz012687","11","491787381458301","RFO!!! RFO!!! RFO!!!
Crown Asia Maia Alta Grooves Antipolo City!
5 mins Vista Mall
20 mins SM ANGONO
10 mins Shopwise Antipolo Town and Cathedral 

Amenities:
Clubhouse, swimming pool,
Basketball court,
Kiddie playground, bike trails,
Jogging paths that meander around giant trees and garden with benches
And gazebos where you can while away lazy
Afternoons under the canopy of greens
24/7security

Model House : GIULIA (Ready for Occupancy)
Floor Area: 48 sqm, 
Lot Area: 105 sqm.
2 Bedrooms, 2 Toilet & Bath
Spacious living room
Dining,kitchen
Provision Balcony & Carport

New Discounted Price: 4,346,000 *
Less Discount : 102,000

NET TOTAL PRICE : 4,244,000
Reservation Fee: 40,000
T% Spot Cash DP to Move in : 172,200

90% Bank Loan- 3,819,600
If payable @5yrs- 78,364per month
                       10yrs-  47,357  per month 
                       15yrs- 37,613 per month
        .               20yrs- 33,147 per month
   
PROMOS THIS MONTH :
✅FREE MOVE IN FEE
✅FREE TRANSFER OF TITLE FEE
✅FREE BANK PROCESSING FEE
✅FREE MERALCO INSTALLATION
✅FREE BUILDING PERMIT FEE
✅NO DOWN PAYMENT INTEREST
✅FREE TILES
✅FREE CEILING
✅FREE BIDET AND TELEPHONE SHOWER
✅FREE STEEL DOOR
✅COMPLETE TURN OVER
✅FREE HOUSE PARTITION 
✅FREE FULLY PAINTED INTERRIOR & EXTERIOR
✅NO HIDDEN CHARGES
✅NO BANK CHARGES
✅24/7 SECURITY GUARANTEED SAFE
✅24/7 ROVING GUARD
💯% FLOOD FREE AREA
💯% PERFECT LOCATION
💯% EXCLUSIVE COMMUNITY
💯% WISE INVESTMENT

👉Sa interested po direct message nlang po sa MESSENGER  for more details.

Mr. Jayjay Osiana
call or text me : 09395378001/09563116895
Thank you for trusting me.
God Bless😊😇",,"1",,,,"1","1","1577297727000","https://www.facebook.com/bogartcruz012687/posts/pfbid02fUJLMP2tyfENqXWvoBEkNPXcZnonTfy89QzoNa8xGTtYZ5wEAEJx9ZWgkj7n3Ttl"
