"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/like","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","611605135562781","photo","https://www.facebook.com/photo/?fbid=611605135562781&set=a.482280153937319","100064660150869","Concept One Wheels - Philippines","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/455280040_886851653480165_5027845409142659170_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1500x1500&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=pXgHFc_DkeQQ7kNvwHXXo--&_nc_oc=AdpTxcrvVyFOcbkOAaeNRSHjZjfR7wj1s08z1kj_o31xrAJ3bNCvP2XePCv-cPYJlOo&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=qcjs_GlOho_BzTuAYrDZyA&_nc_ss=7c2a8&oh=00_AQBEHXw48HvQT0Q60BXX41XpLXIMy9F6KYCG4G7Uxsf5ug&oe=6A603089","https://www.facebook.com/conceptonewheels.ph","9","611605135562781","Flood gear.","247","247","9","1383897728000","https://www.facebook.com/photo.php?fbid=611605135562781&set=a.482280153937319&type=3"
"No photo description available.","617510281632777","photo","https://www.facebook.com/photo/?fbid=617510281632777&set=a.550953827068908","100064628863866","Affordable House and Lot","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/326277056_1153393815377913_931225053356702629_n.jpg?stp=c47.0.768.768a_cp0_dst-jpg_tt6&cstp=mx768x768&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=yvjrlMBzyN4Q7kNvwG-glfe&_nc_oc=Ado1YGmlyEK_W6Xm4WaLhFp-2V_GY7swHLp5oIEubE-bul-jQ1l45KIf6WJ1Qfql3FQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=qcjs_GlOho_BzTuAYrDZyA&_nc_ss=7c2a8&oh=00_AQDDDiqFmB3qArSTBPEZmEieNku7jv2e24Kz4_3l4wpFqg&oe=6A603872","https://www.facebook.com/affordable.houseandlotforyou","1","617510281632777","FLOOD FREE AREA!! NO REQUIRED SALARY BRACKET!! 1st CASH OUT will be reservation fee to hold the unit, monthly down payment will start 30-45 days after the reservation. Ready for Occupancy!!! 18k/mo. Near Splash Island & Enchanted Kingdom, 2 Storey Townhouse, 3 Bedrooms with partition, 1 Toilet & Bath, 1 car garage, 40 sqm lot area, 40 sqm floor area

For more details & for free site tripping text/call:
Smart: +63939-4079249
Globe: +63916-3195834

Free Tripping Everyday!
1ST BATCH - PICK UP AREAS:
9:00AM - Crossing Starmall(Infront of Chowking)
9:30AM - SM Makati (Infront of Watson)
10:00AM - Pasay Taft Rotonda (PTT Gas Station)

Thanks & God Bless! (ms. Mhai)","5","5","0","1383913200000","https://www.facebook.com/photo.php?fbid=617510281632777&set=a.550953827068908&type=3"
"No photo description available.","617518024965336","photo","https://www.facebook.com/photo/?fbid=617518024965336&set=a.550953827068908","100064628863866","Affordable House and Lot","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/326277056_1153393815377913_931225053356702629_n.jpg?stp=c47.0.768.768a_cp0_dst-jpg_tt6&cstp=mx768x768&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=yvjrlMBzyN4Q7kNvwG-glfe&_nc_oc=Ado1YGmlyEK_W6Xm4WaLhFp-2V_GY7swHLp5oIEubE-bul-jQ1l45KIf6WJ1Qfql3FQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=qcjs_GlOho_BzTuAYrDZyA&_nc_ss=7c2a8&oh=00_AQDDDiqFmB3qArSTBPEZmEieNku7jv2e24Kz4_3l4wpFqg&oe=6A603872","https://www.facebook.com/affordable.houseandlotforyou","1","617518024965336","FLOOD FREE AREA!! NO REQUIRED SALARY BRACKET!! 1st CASH OUT will be reservation fee to hold the unit, monthly down payment will start 30-45 days after the reservation. 16k/mo. Near Splash Island & Enchanted Kingdom, 2 Storey Single Attached House, 3 Bedrooms with partition, 2 Toilet & Bath, 1 car garage, sliding back door & windows, 100 sqm lot area, 72 sqm floor area

For house details, sample computation & photos please click the link https://www.facebook.com/media/set/?set=a.398253923558415.107714.260211814029294&type=3

Free Tripping Everyday!
1ST BATCH - PICK UP AREAS:
9:00AM - Crossing Starmall(Infront of Chowking)
9:30AM - SM Makati (Infront of Watson)
10:00AM - Pasay Taft Rotonda (PTT Gas Station)

Thanks & God Bless! (ms. Mhai)","9","9","2","1383918600000","https://www.facebook.com/photo.php?fbid=617518024965336&set=a.550953827068908&type=3"
"No photo description available.","617510771632728","photo","https://www.facebook.com/photo/?fbid=617510771632728&set=a.550953827068908","100064628863866","Affordable House and Lot","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/326277056_1153393815377913_931225053356702629_n.jpg?stp=c47.0.768.768a_cp0_dst-jpg_tt6&cstp=mx768x768&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=yvjrlMBzyN4Q7kNvwG-glfe&_nc_oc=Ado1YGmlyEK_W6Xm4WaLhFp-2V_GY7swHLp5oIEubE-bul-jQ1l45KIf6WJ1Qfql3FQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=qcjs_GlOho_BzTuAYrDZyA&_nc_ss=7c2a8&oh=00_AQDDDiqFmB3qArSTBPEZmEieNku7jv2e24Kz4_3l4wpFqg&oe=6A603872","https://www.facebook.com/affordable.houseandlotforyou","1","617510771632728","FLOOD FREE AREA!! NO REQUIRED SALARY BRACKET!! 1st CASH OUT will be reservation fee to hold the unit, monthly down payment will start 30-45 days after the reservation. 10k/mo., Near Splash Island & Enchanted Kingdom, 2 Storey Townhouse, 3 Bedrooms with partition, 2 Toilet & Bath, 1 car garage, with laundry area & balcony, 50 sqm lot area, 60 sqm floor area

For house details & sample computation please click the link https://www.facebook.com/notes/affordable-house-and-lot/10kmo-pines-model/587714684612337

Free Tripping Everyday!
1ST BATCH - PICK UP AREAS:
9:00AM - Crossing Starmall(Infront of Chowking)
9:30AM - SM Makati (Infront of Watson)
10:00AM - Pasay Taft Rotonda (PTT Gas Station)

Thanks & God Bless! (ms. Mhai)","9","9","2","1383915001000","https://www.facebook.com/photo.php?fbid=617510771632728&set=a.550953827068908&type=3"
"No photo description available.","537396713001446","photo","https://www.facebook.com/photo/?fbid=537396713001446&set=a.533935608531375","100057448209752","Cinta Manila","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/300389073_533935625198040_380431249077431460_n.jpg?stp=c26.0.340.340a_cp0_dst-jpg_tt6&cstp=mx340x340&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=OVhhb37N5hcQ7kNvwGJG8K4&_nc_oc=AdqWx-SFPm64GLqRbUr7k8SfTroMz4frhLlXM6ibM1LGRyzId62T87OVcF0fC-Y70L0&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=qcjs_GlOho_BzTuAYrDZyA&_nc_ss=7c2a8&oh=00_AQBj_85UttXU7Mh3X9Nsx2H2FyOZovC2CWpJR_aiJz0B-w&oe=6A600FAC","https://www.facebook.com/shopcintamanila","3","537396713001446","Holy One, you are our comfort and strength
in times of sudden disaster, crisis, or chaos.
Surround us now with your grace and peace
through storm or earthquake, fire or flood.
By your Spirit, lift up those who have fallen,
sustain those who work to rescue or rebuild,
and fill us with the hope of your new creation;
through Jesus Christ, our rock and redeemer.
stay safe everyone!","2","2","0","1383910405000","https://www.facebook.com/photo.php?fbid=537396713001446&set=a.533935608531375&type=3"
"No photo description available.","1420731354822729","photo","https://www.facebook.com/photo/?fbid=1420731354822729&set=a.133448205452232","100063611594991","Ed Finlan","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/448972870_3881522565410250_540075855549753054_n.jpg?stp=c90.0.540.540a_cp0_dst-jpg_tt6&cstp=mx540x540&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=fuUSV0UmIEEQ7kNvwHT6MWp&_nc_oc=Adrw7F3AQNZagKdszkDvRlr4_zMMSPT0DhFGdBseUsxnzu-KGN26mFLVwlLY_6BW-Ag&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=5um2V9mugTwNsM5SDSc5YA&_nc_ss=7c2a8&oh=00_AQD6EckW-dgxNki-MkaAjypyGJ9VfAMXIWRtCFRiNhInFQ&oe=6A60160F","https://www.facebook.com/ed.finlan.8","7","1420731354822729","There is good news in every test that comes to us as a nation. The typhoon that was touted as the ""planet's strongest typhoon"" by CNN did not break the Filipino spirit. Packing very strong winds and rainfall that would daunt anyone, the typhoon was even kind. What then are we grateful for?
1. That the government was prepared to face the might and onslaught of this typhoon;
2. That the warnings were made way ahead of time shows that the government has indeed improved its data gathering for weather reports and that Pagasa and Project Noah are indeed now dependable and right on the nose in their predictions;
3. That the local governments were working together to minimize the damage expected from the typhoon;
4. That only 4 people are dead. While we may be saddened that anyone even had to die, the number could have been much bigger.
Now, the bigger task is at hand. Rehabilitation work for the hundreds of thousands of homeless people left by the typhoon. We must now, even more so, work harder to make homes for the victims and return normalcy to every, province, town and city. It won't be an easy task and we must work as one nation to effect this in the earliest possible time. We know all about this, it is called the Bayanihan Spirt and it is only the Filipinos who can do this well.
Yes, in every challenge, there is victory and that victory is ours as a nation and as a people. God bless us all.
One of the strongest typhoons on record slammed into the central Philippines, killing at least four people, forcing hundreds of thousands from their homes and knocking out power and communications in several provinces. But the nation appeared to avoid a major disaster because the rapidly moving typhoon blew away before wreaking more damage, officials said.
Typhoon “Yolanda” (international name: Haiyan) left the country early Saturday on a path toward Southeast Asia, the U.S. National Oceanic and Atmospheric Administration tweeted. Forecasters said the storm was expected to pick up renewed strength over the South China Sea on its way toward Vietnam.
Nearly 750,000 people in the Philippines were forced to flee their homes.
Weather officials said Haiyan had sustained winds of 235 kph (147 mph) with gusts of 275 kph (170 mph) when it made landfall. By those measurements, Haiyan would be comparable to a strong Category 4 hurricane in the U.S., nearly in the top category, a 5.
Hurricanes, cyclones and typhoons are the same thing. They are just called different names in different parts of the world.
Because of cut-off communications in the Philippines, it was impossible to know the full extent of casualties and damage. At least two people were electrocuted in storm-related accidents, one person was killed by a fallen tree and another was struck by lightning, official reports said.
Southern Leyte Gov. Roger Mercado said the typhoon ripped roofs off houses and triggered landslides that blocked roads.
The dense clouds and heavy rains made the day seem almost as dark as night, he said.
“When you’re faced with such a scenario, you can only pray, and pray and pray,” Mercado told The Associated Press by telephone, adding that mayors in the province had not called in to report any major damage.
“I hope that means they were spared and not the other way around,” he said. “My worst fear is there will be massive loss of lives and property.”
Eduardo del Rosario, head of the disaster response agency, said the speed at which the typhoon sliced through the central islands — 40 kph (25 mph) — helped prevent its 600-kilometer (375-mile) band of rain clouds from dumping enough of their load to overflow waterways. Flooding from heavy rains is often the main cause of deaths from typhoons.
“It has helped that the typhoon blew very fast in terms of preventing lots of casualties,” regional military commander Lt. Gen. Roy Deveraturda said. He said the massive evacuation of villagers before the storm also saved many lives.
The Philippines, which is hit by about 20 typhoons and storms a year, has in recent years become more serious about preparations to reduce deaths. Public service announcements are frequent, as are warnings by the president and high-ranking officials that are regularly carried on radio and TV and social networking sites.
President Benigno Aquino III assured the public of war-like preparations, with three C-130 air force cargo planes and 32 military helicopters and planes on standby, along with 20 navy ships.
Among the evacuees were thousands of residents of Bohol who had been camped in tents and other makeshift shelters since a magnitude-7.2 earthquake hit the island province last month.
Relief workers said they were struggling to find ways to deliver food and other supplies, with roads blocked by landslides and fallen trees.
World weather experts were calling the typhoon one of the strongest tropical cyclones on record at the time it hit land, but not quite the windiest. There were disputes over just how strong it is because of differences in the way storms are measured.
“In terms of the world I don’t think it’s the strongest,” said Taoyang Peng, a tropical cyclone scientist at the World Meteorological Organization in Geneva. But he added that “it is one of the strongest typhoons to make landfall” and probably the strongest to hit the Philippines.
The U.S. Joint Typhoon Warning Center put Haiyan’s sustained winds at 315 kph (196 mph) just minutes before it made landfall Thursday, which would be a world record. However, officials in Tokyo and the Philippines but the wind speed at about 235 kph (147 mph).
Peng said his group considers Tokyo the authority in this case because it’s the closest regional center to the storm.
The best way to measure a storm is with radar from a plane flying in and out of it. That’s not done in Asia, where they use satellite imagery and ground measurements instead.
Not until meteorologists can conduct a deep investigation will scientists know just how strong Haiyan actually was, but it will easily be one of the strongest on record, former U.S. National Hurricane Center director Max Mayfield told the AP on Friday.
Mayfield described looking at radar images of Haiyan, saying, “it has got to weaken, it has got to weaken” — and yet it didn’t.","28","28","6","1383957839000","https://www.facebook.com/photo.php?fbid=1420731354822729&set=a.133448205452232&type=3"
"No photo description available.","617511411632664","photo","https://www.facebook.com/photo/?fbid=617511411632664&set=a.550953827068908","100064628863866","Affordable House and Lot","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/326277056_1153393815377913_931225053356702629_n.jpg?stp=c47.0.768.768a_cp0_dst-jpg_tt6&cstp=mx768x768&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=yvjrlMBzyN4Q7kNvwG-glfe&_nc_oc=Ado1YGmlyEK_W6Xm4WaLhFp-2V_GY7swHLp5oIEubE-bul-jQ1l45KIf6WJ1Qfql3FQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=5um2V9mugTwNsM5SDSc5YA&_nc_ss=7c2a8&oh=00_AQB5QMYRKX-BHBP5-fNKlymZJozh7bWvDYLarCZrqhDf5w&oe=6A603872","https://www.facebook.com/affordable.houseandlotforyou","1","617511411632664","FLOOD FREE AREA!! NO REQUIRED SALARY BRACKET!! 1st CASH OUT will be reservation fee to hold the unit, monthly down payment will start 30-45 days after the reservation. 12k/mo. Near Splash Island & Enchanted Kingdom, 2 Storey Single Attached House, 3 Bedrooms with partition, 2 Toilet & Bath, 1 car garage, 80 sqm lot area, 52 sqm floor area

For house details, sample computation & photos please click the link https://www.facebook.com/media/set/?set=a.411261772257630.109941.260211814029294&type=3

Free Tripping Everyday!
1ST BATCH - PICK UP AREAS:
9:00AM - Crossing Starmall(Infront of Chowking)
9:30AM - SM Makati (Infront of Watson)
10:00AM - Pasay Taft Rotonda (PTT Gas Station)

Thanks & God Bless! (ms. Mhai)","23","23","0","1383916800000","https://www.facebook.com/photo.php?fbid=617511411632664&set=a.550953827068908&type=3"
"No photo description available.","617521668298305","photo","https://www.facebook.com/photo/?fbid=617521668298305&set=a.550953827068908","100064628863866","Affordable House and Lot","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/326277056_1153393815377913_931225053356702629_n.jpg?stp=c47.0.768.768a_cp0_dst-jpg_tt6&cstp=mx768x768&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=yvjrlMBzyN4Q7kNvwG-glfe&_nc_oc=Ado1YGmlyEK_W6Xm4WaLhFp-2V_GY7swHLp5oIEubE-bul-jQ1l45KIf6WJ1Qfql3FQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=5um2V9mugTwNsM5SDSc5YA&_nc_ss=7c2a8&oh=00_AQB5QMYRKX-BHBP5-fNKlymZJozh7bWvDYLarCZrqhDf5w&oe=6A603872","https://www.facebook.com/affordable.houseandlotforyou","1","617521668298305","40% DISCOUNT ON RESERVATION!! Only Php 12k to reserve!!! FLOOD FREE AREA!! NO REQUIRED SALARY BRACKET!! 1st CASH OUT will be reservation fee to hold the unit, monthly down payment will start 30-45 days after the reservation.

23k/mo. accessible via Daang Hari Alabang, 2 Storey Single Attached House, 3 Bedrooms with partition, 2 Toilet & Bath, 1 car garage, Sliding back door, with tiles, 110 sqm lot area, 65 sqm floor area

For house details, sample computation & photos please click the link https://www.facebook.com/media/set/?set=a.514618068588666.1073741825.260211814029294&type=3

Free Tripping Everyday!
1ST BATCH - PICK UP AREAS:
9:00AM - Crossing Starmall(Infront of Chowking)
9:30AM - SM Makati (Infront of Watson)
9:45AM - Pasay Taft Rotonda (PTT Gas Station)
10:00AM - Mall of Asia

Thanks & God Bless! (ms. Mhai)","4","4","0","1383922200000","https://www.facebook.com/photo.php?fbid=617521668298305&set=a.550953827068908&type=3"
,,,,"100064813353187","The Medical City","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/328480337_565092065495750_2390555350748440407_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=2aqh8XX96PcQ7kNvwFeSY5Z&_nc_oc=AdpLJCFtc7OIYiFRn-iz32uyQbtpJL60aU35RDX8Qpd1YYk7K14tllUjxClI3qozJ7c&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=5um2V9mugTwNsM5SDSc5YA&_nc_ss=7c2a8&oh=00_AQA1fAAsdr-CNOnlTzwBSnolX9GN5n8_LLE7XW8fqMObNw&oe=6A602182","https://www.facebook.com/TheMedicalCity","1","696627530347463","Be responsible online citizens today! 

Here are some hashtags to remember in sharing information as we  prepare for #YolandaPH   

#RescuePH to report or if you need help
#FloodPH to report flood #ReliefPH to volunteer","30","30","7","1383903656000","https://www.facebook.com/TheMedicalCity/posts/pfbid026WaywBQS88eRWgpfWvupF72eqjmdoTfSC14Xb5Dz1ZTpRB75ACGAfQZuMWwo9Vr5l"
"No photo description available.","617523258298146","photo","https://www.facebook.com/photo/?fbid=617523258298146&set=a.550953827068908","100064628863866","Affordable House and Lot","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/326277056_1153393815377913_931225053356702629_n.jpg?stp=c47.0.768.768a_cp0_dst-jpg_tt6&cstp=mx768x768&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=yvjrlMBzyN4Q7kNvwG-glfe&_nc_oc=Ado1YGmlyEK_W6Xm4WaLhFp-2V_GY7swHLp5oIEubE-bul-jQ1l45KIf6WJ1Qfql3FQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=5um2V9mugTwNsM5SDSc5YA&_nc_ss=7c2a8&oh=00_AQB5QMYRKX-BHBP5-fNKlymZJozh7bWvDYLarCZrqhDf5w&oe=6A603872","https://www.facebook.com/affordable.houseandlotforyou","3","617523258298146","40% DISCOUNT ON RESERVATION!! Only Php 15k to reserve!!! FLOOD FREE AREA!! NO REQUIRED SALARY BRACKET!! 1st CASH OUT will be reservation fee to hold the unit, monthly down payment will start 30-45 days after the reservation.

30k/mo. accessible via Daang Hari Alabang, 2 Storey Single Attached House, 4 Bedrooms with partition, 2 Toilet & Bath, 2 car garage, Sliding back door, with tiles, 110 sqm lot area, 85 sqm floor area

For house details, sample computation & photos please click the link https://www.facebook.com/media/set/?set=a.263930913657384.82864.260211814029294&type=3

Free Tripping Everyday!
1ST BATCH - PICK UP AREAS:
9:00AM - Crossing Starmall(Infront of Chowking)
9:30AM - SM Makati (Infront of Watson)
9:45AM - Pasay Taft Rotonda (PTT Gas Station)
10:00AM - Mall of Asia

Thanks & God Bless! (ms. Mhai)","11","11","0","1383925800000","https://www.facebook.com/photo.php?fbid=617523258298146&set=a.550953827068908&type=3"
