url,text,likes,shares,comments,media_count,media_types,media_urls,ocr_text
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02Xq7qyX221ShUtBdPTSFyU5vKFPp7dXAoVFfX792X59mnjVx9ztHnQoytjYP3tkhVl,"Pampanga River Basin Update as of 5:00 AM, 31 March 2026",36,4,,1,Photo,https://scontent-dfw6-2.xx.fbcdn.net/v/t39.30808-6/657006579_1403296468508669_2784458444239163147_n.jpg?stp=dst-jpg_tt6&cstp=mx2048x1195&ctp=p180x540&_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=uMXRJFxX1kEQ7kNvwHE3QuN&_nc_oc=AdoqxU07eC7ufM-udorWDdsqnf3UhEEVTXb02feP26cErhffNxQfR3NquFhGPo0p5FQ&_nc_zt=23&_nc_ht=scontent-dfw6-2.xx&_nc_gid=IE2DSw-7fvDScpnc5_x8TA&_nc_ss=72289&oh=00_Af9gMgb-4ojUhLTebCMdgBzVfI3-BVhkO0hTtL3KNdRBWg&oe=6A39EBD2,May be an image of text
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid024nCvbzVj3njMRLdp7b3NjcRVEsTG44mwe9Ak9UaH6EfcSpG2sjGpanSnkkwQrz8Nl,"As of 2:00 AM today, 31 March 2026, no Low Pressure Areas (LPA) are being monitored for Tropical Cyclone Formation.
All are advised to monitor updates from DOST-PAGASA.",725,114,11,1,Photo,https://scontent-dfw6-2.xx.fbcdn.net/v/t39.30808-6/658579224_1403253868512929_6781894919898258117_n.jpg?stp=dst-jpg_tt6&cstp=mx1280x720&ctp=s960x960&_nc_cat=109&ccb=1-7&_nc_sid=127cfc&_nc_ohc=3wBbwAq-QXMQ7kNvwFpwtLY&_nc_oc=Adp8NhEAPLpKZwz6B1iUzwjf9bJcSOeYZTbZYJLsPXnp8rEsK-sqcc-MzeDWfBTP6WU&_nc_zt=23&_nc_ht=scontent-dfw6-2.xx&_nc_gid=IE2DSw-7fvDScpnc5_x8TA&_nc_ss=72289&oh=00_Af-_IT4NvoscsjYvJN_-PsA6EueIO7TtnxSrAQedpVJ89Q&oe=6A39FC90,May be an image of map and text that says 'NON Himawari IR HimawariIR30/03 30 30/03/2026 30/03/ /2026 18:00UTC 2ON LON LON รุบส NO LOW PRESSURE AREAS ARE BEING MONITORED FOR TROPICAL CYCLONE FORMATION 24-HOUR TROPICAL CYCLONE FORMATION OUTLOOK Issued at at4:00 :00 AM 31 March 2026 D TROPICAL DEPRESSION OUNLIKELY OLOW MEDIUM OHIGH S TROPICAL STORM TYPHOON SEVERE TROPICAL STORM SUPER TYPHOON'
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid0UuQZ8ZRJuw6F4oEpZthEHeRgxLCA6EW7xjGQL3pNRoFhrc5oU5CtVJuyYX68quCrl,"24-HOUR PUBLIC WEATHER FORECAST
Issued at 4:00 AM, 31 March 2026

SYNOPSIS: Ridge of High Pressure Area (HPA) extending over Northern Luzon.

Forecast Weather Conditions

Area: Metro Manila and the rest of the country
Weather Condition: Partly cloudy to cloudy skies with isolated rainshowers or thunderstorms
Caused By: Localized Thunderstorms
Impacts: Possible flash floods or landslides during severe thunderstorms

Forecast Wind and Coastal Water Conditions

Area: Extreme Northern Luzon
Wind Speed: Light to Moderate
Wind Direction: Southeast to South
Coastal Waters: Slight to Moderate / (0.5 to 1.8 meters)

Area: Central Luzon and the rest of Northern Luzon
Wind Speed: Light to Moderate
Wind Direction: East to Southeast
Coastal Waters: Slight to Moderate / (0.5 to 1.8 meters)

Area: The rest of the country
Wind Speed: Light to Moderate
Wind Direction: East to Northeast
Coastal Waters: Slight to Moderate / (0.5 to 1.8 meters)

Extremes of Temperature and Relative Humidity for The 24-hour Period Ending 8:00 PM YESTERDAY

Minimum Temperature: 24.1 °C ... 5:00 AM
Maximum Temperature: 33.6 °C... 2:00 PM

Minumum Relative Humidity: 45 % ... 11:00 AM
Maximum Relative Humidity: 82 % ... 5:00 AM

TIDES AND ASTRONOMICAL INFORMATION Over Metro Manila

sunrise today: 5:53AM
sunset today: 6:08PM
moonrise today: 4:41PM
moonset today: 4:28AM
illumination today: 98%

For other information about weather, please log on to pagasa.dost.gov.ph or bagong.pagasa.dost.gov.ph or call at (02)927-1335/(02)926-4258",153,68,10,1,Photo,https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-6/658919136_1403264688511847_511984642630285914_n.jpg?stp=dst-jpg_tt6&cstp=mx800x600&ctp=s720x720&_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=t8FBQfqT0bMQ7kNvwFctwOf&_nc_oc=Adp6IwA1YDLTrgmcFQ3i-4ffwKgbtvRMc2AoL4bjdnxc-7t03-56Kr4OxiZFz_JijQI&_nc_zt=23&_nc_ht=scontent-dfw5-1.xx&_nc_gid=IE2DSw-7fvDScpnc5_x8TA&_nc_ss=72289&oh=00_Af8ep7ZHdHheZ84l83sJUf8fJtAvi9xHecNTlusQphgcqw&oe=6A3A1435,"May be a graphic of blueprint, map and text that says '40N 1020 35N 1018 TAU-05 Rov.0/15-08-2023 Rev.O/ TAU 30N 00004 1016 25N 06 1006 1008 0.8 1010 1012 1012 20N 15N 012 10N 1016 1014 5N 1012- 100E 105E 115E 120E 125E 130E 110E Predicted Mean Sea Level Pressure Analysis for TC, 31 MAR, 2026 (Processed by PAGASA from grid points values of RSMC-Tokyo) 135E 140E 145E 150E'"
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02v8iHJ7rUYVt4sZWK2bZEGwW6s31rJtQJPwvLFbFGpVhwy1KiVEBkoCjaL4naJKynl,"As of 8:00 PM today, 30 March 2026, no Low Pressure Areas (LPA) are being monitored for Tropical Cyclone Formation.
All are advised to monitor updates from DOST-PAGASA.",402,47,8,1,Photo,https://scontent-mia5-2.xx.fbcdn.net/v/t39.30808-6/657623403_1402992601872389_366021948465617183_n.jpg?stp=dst-jpg_tt6&cstp=mx1280x720&ctp=s960x960&_nc_cat=100&ccb=1-7&_nc_sid=127cfc&_nc_ohc=-xm6PfbqPBwQ7kNvwFr5wT0&_nc_oc=Ado-I2cYvpDKqoucz_KXVstn_n6zKwISsh3XHjBA4yf39WPBSiMmjnJNfNsY3PWwJ_0&_nc_zt=23&_nc_ht=scontent-mia5-2.xx&_nc_gid=CJ6bn8HBoXAtWEpcyz7wYA&_nc_ss=72289&oh=00_Af_UJP8AZanHit95mUaDBBs2nK7onHWdT0CTKVNiffHRFg&oe=6A39F259,May be an image of map and text that says '2DN Himawari IR R3 30/03/ 30/03/2026 2026 12：00UTC 20N O0 10N NO LOW PRESSURE AREAS ARE BEING MONITORED FOR TROPICAL CYCLONE FORMATION いそる 24-HOUR TROPICAL CYCLONE FORMATION OUTLOOK Issued at 10:00 PM 30 March 2026 D TROPICAL DEPRESSION OUNLIKELY LOW MEDIUM OHIGH S TROPICAL STORM T TYPHOON SEVERE TROPICAL STORM SUPER TYPHOON'
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02nB5gBSb8KybiR7jkqWnJGdE9xKJcMhzpfuqsFt7UvSdTvmKpmomRkqSWAFfSGZX2l,"Highest Computed 5-day Heat Index with 2-day Forecast 
Issued as of 5:00 PM, 30 March 2026 

For more information about the heat index: 
https://www.pagasa.dost.gov.ph/weather/heat-index 

Information from the DOH Philippines about heat-related illnesses during extremely hot weather:
https://bit.ly/DOHPhPublicHealthAdvisory 

Don't forget to take necessary precautions and stay cool and hydrated everyone! ☀️🌡️ 
#HeatIndex #AngInit",137,104,4,4,Unknown; Photo; Photo; Photo,https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02nB5gBSb8KybiR7jkqWnJGdE9xKJcMhzpfuqsFt7UvSdTvmKpmomRkqSWAFfSGZX2l; https://scontent-mia5-1.xx.fbcdn.net/v/t39.30808-6/660340497_1402892285215754_7621653620074185342_n.jpg?stp=dst-jpg_tt6&cstp=mx1442x2048&ctp=s590x590&_nc_cat=101&ccb=1-7&_nc_sid=127cfc&_nc_ohc=xRuvLq971vgQ7kNvwHZWuj7&_nc_oc=Adoq5fYzNE5PAXcLOTVN6Nk3oDDGHktvloJ_hqycJS1AHGEA4Fds9ZAof_jOEw5-_PQ&_nc_zt=23&_nc_ht=scontent-mia5-1.xx&_nc_gid=CJ6bn8HBoXAtWEpcyz7wYA&_nc_ss=72289&oh=00_Af_68zP65uCkYC1XHJmiBpDzUohLxsV0EX1S2sUY14t_ig&oe=6A3A0922; https://scontent-mia3-2.xx.fbcdn.net/v/t39.30808-6/660677126_1402892481882401_1418126861444273993_n.jpg?stp=dst-jpg_tt6&cstp=mx2048x1087&ctp=s590x590&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=s4ojLxbBD04Q7kNvwHtTDS8&_nc_oc=AdqONLIlFBRYIdEr-88MBXmXVDc9gatFVeHzPSh9ro0EQKmcS8HQ51v92AoELATr-UA&_nc_zt=23&_nc_ht=scontent-mia3-2.xx&_nc_gid=CJ6bn8HBoXAtWEpcyz7wYA&_nc_ss=72289&oh=00_Af_sfUJTogu7xD5CB7GPzbZxDRnqnYUEsphmj7fsQPuFKw&oe=6A39FF34; https://scontent-mia5-1.xx.fbcdn.net/v/t39.30808-6/662008374_1402892641882385_6964229205965887212_n.jpg?stp=dst-jpg_tt6&cstp=mx2048x1448&ctp=p552x414&_nc_cat=104&ccb=1-7&_nc_sid=127cfc&_nc_ohc=WzUm5cBTeMoQ7kNvwH6JZh9&_nc_oc=AdoKsIwlXbrKVDd_xmgI5dYCZdR2LaU0zw7YJi2Lh8JcaIU4SLnL1fmL-zrkbWwmEp4&_nc_zt=23&_nc_ht=scontent-mia5-1.xx&_nc_gid=CJ6bn8HBoXAtWEpcyz7wYA&_nc_ss=72289&oh=00_Af9kfzgprYuAGFJT4ShfQsS_tvrGs1kESlmhxFnO0r0oBA&oe=6A39F882,"May be an image of text; May be a doodle of text that says 'Daily Computed Heat DailyComputedHoatIndex Index (as.of30March2026,5:00pm) (as 30 March 2026, 5:00p) Day-1 Forecast Day-1ForecastHeatIndex Heat Index 31 March 2026 Day-2 Forecast Heat Day-2ForecastHeatIndex Index 01 April 2026 WeST የጸን tHazarde ช่อป5 10 ExgreneCaltion กสู ExrerreDanger 452°C'; May be a doodle of text"
https://www.facebook.com/reel/1283562423707969/,"#NWMDay2026 showcased activities that promoted awareness, innovation, and collaboration within the DRRM and scientific community, emphasizing that #WeAreAllObservers in action.

Under the theme, “Observing Today, Protecting Tomorrow,” science, technology, and innovation took center stage in safeguarding communities and the future. 

#WorldMetDay
#OneDOST4U
#SolutionsAndOpportunitiesForAll",448,52,4,1,Video,https://www.facebook.com/reel/1283562423707969/,
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02GT6DE8Ls5m6E7iFpMFhjtn2ChfgdbmWN1LJfKFBJziy4dAuC5RXtKWBg41X8SHKul,"Pampanga River Basin Update as of 5:00 PM, 30 March 2026",38,6,,1,Photo,https://scontent-lga3-3.xx.fbcdn.net/v/t39.30808-6/657695687_1402877195217263_889235077489799280_n.jpg?stp=dst-jpg_tt6&cstp=mx1377x790&ctp=p180x540&_nc_cat=104&ccb=1-7&_nc_sid=127cfc&_nc_ohc=bwMQm5QtqIkQ7kNvwH5DQjt&_nc_oc=Adp0TlX3KI6JVI8L48v0a3SYeCAnlNjuGxNjrX75g6HO8OSSGQOsJRt5Yh1mBn9Wk7N8kQkaoabfALEm-fGAIWME&_nc_zt=23&_nc_ht=scontent-lga3-3.xx&_nc_gid=P7p6rpWeSOhs0P5XoR2aAQ&_nc_ss=72289&oh=00_Af_mH7H2xs-8l7bdJp6Ghq9UCL5tkVm1G2_tMRjLZX7nHA&oe=6A3A10E1,May be an image of text
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02PCHGS5oaW9jWPmeHUtobbqYqXiUBbrEv7L5N4qJZwE2GVUnr5NsTMioqCpvbYJfol,"Highest Computed 5-day Heat Index
Issued as of 5:00 PM, 30 March 2026 

For more information about the heat index: 
https://www.pagasa.dost.gov.ph/weather/heat-index 

Information from the DOH Philippines about heat-related illnesses during extremely hot weather:
https://bit.ly/DOHPhPublicHealthAdvisory 

Forecast for the next 2 days will be available at 6:30 PM.

Don't forget to take necessary precautions and stay cool and hydrated everyone! ☀️🌡️ 
#HeatIndex #AngInit",102,70,1,3,Unknown; Photo; Photo,https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02PCHGS5oaW9jWPmeHUtobbqYqXiUBbrEv7L5N4qJZwE2GVUnr5NsTMioqCpvbYJfol; https://scontent-lga3-1.xx.fbcdn.net/v/t39.30808-6/660440052_1402863325218650_7774070805018913741_n.jpg?stp=dst-jpg_tt6&cstp=mx1442x2048&ctp=s590x590&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_ohc=d9Pwq0nSi0oQ7kNvwEkWPDk&_nc_oc=AdpeRa2M2cTsUJce302h8YHMsd1cBq9UdPf8F3FlOvnHPLyGQoqvBeryXQBr2Z3xkuJhcD8K4dXgn05-oXIp1lM6&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=P7p6rpWeSOhs0P5XoR2aAQ&_nc_ss=72289&oh=00_Af9rhEnUYn_6W5-igw5ohadrc9kiXrhj4FEck-1OLPUUnw&oe=6A39E43C; https://scontent-lga3-1.xx.fbcdn.net/v/t39.30808-6/662741771_1402863458551970_1756803199794639968_n.jpg?stp=dst-jpg_tt6&cstp=mx1287x2048&ctp=s590x590&_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=9SIoYFoWPXIQ7kNvwFgi7-0&_nc_oc=Adr7PnAXzYvsxKi6q5nMukkQPx4cXe8zEA8q7AoWFccAdLWaNQ2RTpWGPiPZ3fet5oyVoYUKtYzMFHqh0Xeaphk6&_nc_zt=23&_nc_ht=scontent-lga3-1.xx&_nc_gid=P7p6rpWeSOhs0P5XoR2aAQ&_nc_ss=72289&oh=00_Af9rmtyDXHgLoheCeQgL3pWgra2eevPPy5WrHfZTka4dXA&oe=6A39F986,"May be an image of text; May be an image of map and text that says 'Daily Computed Heat Index (as of30March2026,5:00pm of 30 March 2026, 5:00 5:00pm) pm) Not Hazardous rdous <27°C Caution 27 32°C Extreme Caution 33 3-41°C POACAA DOST DOST-PAGASA Prepared by: b Danger 42 51°C Extreme Danger 2 52°C'"
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02JVCJWAUkP17i9rNBr5txzdQc3YNSWqGPKF2kkWDrXiLyw5KHqbPwPsUHTToyxBZl,"As of 2:00 PM today, 30 March 2026, no Low Pressure Areas (LPA) are being monitored for Tropical Cyclone Formation.
All are advised to monitor updates from DOST-PAGASA.",422,75,6,1,Photo,https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/656607607_1402823435222639_884522464052860468_n.jpg?stp=dst-jpg_tt6&cstp=mx1280x720&ctp=s960x960&_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=ACJtSQb8VF4Q7kNvwEf7nKJ&_nc_oc=AdoVfycKkQsGeQ81Fc0E8OmePoYuHrOXNKiP8yloebsjGZufKjR2QXg-QKe3vbJRW4lBVCvmLwdRyKY3ru9rAgp0&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=P7p6rpWeSOhs0P5XoR2aAQ&_nc_ss=72289&oh=00_Af-Jhjo6K435DVhquz5A0byEZXi3xJ6Eu5wFkN7rov2DPg&oe=6A39E930,May be an image of text that says 'Himawari vs S 30/03/ 30/03/2026 2026 06:O0UT NO LOW PRESSURE AREAS ARE BEING MONITORED FOR TROPICAL CYCLONE FORMATION 24-HOUR TROPICAL CYCLONE FORMATION OUTLOOK Issued at 4:00 PM 30 March 2026 D TROPICAL DEPRESSION OUNLIKELY OLOW MEDIUM OHIGH S TROPICAL STORM T TYPHOON SEVERE TROPICAL STORM SUPER TYPHOON'
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02HyDu9gQzH7aRfnhoXU1riK9a9m1XAH5eeGJQNTdsLYQS5pBZcUdjVUiqznByqLmql,"24-HOUR PUBLIC WEATHER FORECAST
Issued at 4:00 PM, 30 March 2026

SYNOPSIS: Ridge of High Pressure Area (HPA) extending over Northern Luzon.

Forecast Weather Conditions

Area: Metro Manila and the rest of the country
Weather Condition: Partly cloudy to cloudy skies with isolated rainshowers or thunderstorms
Caused By: Localized Thunderstorms
Impacts: Possible flash floods or landslides during severe thunderstorms

Forecast Wind and Coastal Water Conditions

Area: Extreme Northern Luzon
Wind Speed: Light to Moderate
Wind Direction: Southeast to South
Coastal Waters: Slight to Moderate / (0.5 to 1.8 meters)

Area: Central Luzon and the rest of Northern Luzon
Wind Speed: Light to Moderate
Wind Direction: East to Southeast
Coastal Waters: Slight to Moderate / (0.5 to 1.8 meters)

Area: The rest of the country
Wind Speed: Light to Moderate
Wind Direction: East to Northeast
Coastal Waters: Slight to Moderate / (0.5 to 1.8 meters)

Extremes of Temperature and Relative Humidity for The 24-hour Period Ending 4:00 PM TODAY

Minimum Temperature: 24.1 °C ... 5:00 AM
Maximum Temperature: 33.6 °C... 2:00 PM

Minumum Relative Humidity: 45 % ... 11:00 AM
Maximum Relative Humidity: 82 % ... 5:00 AM

TIDES AND ASTRONOMICAL INFORMATION Over Metro Manila

sunrise tomorrow: 5:53AM
sunset today: 6:08PM
moonrise tomorrow: 4:41PM
moonset tomorrow: 4:28AM
illumination tomorrow: 98%

For other information about weather, please log on to pagasa.dost.gov.ph or bagong.pagasa.dost.gov.ph or call at (02)927-1335/(02)926-4258",120,49,1,1,Photo,https://scontent-dfw6-2.xx.fbcdn.net/v/t39.30808-6/658221320_1402831101888539_5353550036070213797_n.jpg?stp=dst-jpg_tt6&cstp=mx800x600&ctp=s720x720&_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=tg_GHIF8dNEQ7kNvwErg5jh&_nc_oc=Adr0RON0BbCx6MVsqjoHRgCS0c5AtMPpcR6P03omAGhMihE0KnTM1Fwt-leaHehSjNc&_nc_zt=23&_nc_ht=scontent-dfw6-2.xx&_nc_gid=QjYjbbk4k0OQOwYNLXsCUw&_nc_ss=7c289&oh=00_Af8gcUflPCb4xqR1R3eSgSTN6yp_Q-vtpgDWv-HEFW6u9Q&oe=6A3A079F,"May be a graphic of map and text that says '40N 35N C1016 TAU-05 Rev.0/15-08-2023 ev.O TAU 30N- 1018 10140 1008 1006 25N 008 1008 20N 15N- 008 1018 10N 1016 -1014- 5N 012 EQ+ 100E 105E 1010 110E 115E 120E 125E 130E 140E Predicted Mean Sea Level Pressure Analysis for 12UTC, 30 MAR, 2026 (Processed by PAGASA from grid points values of RSMC-Tokyo) 135E 145E 150E'"
