url,text,likes,shares,comments,media_count,media_types,media_urls
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02wPSrF6WNqXY3JWfSTbr4h8j3V3qXnt4Gt2CoScmDp5NVhJNMAtFaKkAiSBcucEj7l,"Pampanga River Basin Update as of 5:00 AM, 30 April 2026",51,7,,1,Photo,https://www.facebook.com/photo/?fbid=1428729302632052&set=a.365711365600523
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid03qpZSHY89szzVXDTMXNVqsX1uQYnDZ5HvegfNwrRAt2BQAC5R3HGrMd3pjk2i1tkl,"24-HOUR PUBLIC WEATHER FORECAST
Issued at 4:00 AM, 30 April 2026

SYNOPSIS: Easterlies affecting the country.

Forecast Weather Conditions

Area: Dinagat Islands, Surigao del Norte, Surigao del Sur, and Davao Oriental
Weather Condition: Cloudy skies with scattered rains and thunderstorms
Caused By: Easterlies
Impacts: Possible flash floods or landslides due to moderate to at times heavy rains

Area: Metro Manila and the rest of the country
Weather Condition: Partly cloudy to cloudy skies with isolated rainshowers or thunderstorms
Caused By: Easterlies
Impacts: Possible flash floods or landslides during severe thunderstorms

Forecast Wind and Coastal Water Conditions

Area: The eastern section of Mindanao
Wind Speed: Light to Moderate
Wind Direction: Northeast to North
Coastal Waters: Slight to Moderate / (0.6 to 1.8 meters)

Area: Northern Luzon
Wind Speed: Light to Moderate
Wind Direction: Southeast to Northeast
Coastal Waters: Slight to Moderate / (0.6 to 1.8 meters)

Area: The rest of the country
Wind Speed: Light to Moderate
Wind Direction: East to Northeast
Coastal Waters: Slight to Moderate / (0.6 to 1.8 meters)

Extremes of Temperature and Relative Humidity for The 24-hour Period Ending 8:00 PM YESTERDAY

Minimum Temperature: 26.9 °C ... 5:00 AM
Maximum Temperature: 36.1 °C... 3:00 PM

Minumum Relative Humidity: 42 % ... 3:00 PM
Maximum Relative Humidity: 76 % ... 5:00 AM

TIDES AND ASTRONOMICAL INFORMATION Over Metro Manila

sunrise today: 5:34AM
sunset today: 6:13PM
moonrise today: 5:04PM
moonset today: 4:16AM
illumination today: 99%

For other information about weather, please log on to pagasa.dost.gov.ph or bagong.pagasa.dost.gov.ph or call at (02)927-1335/(02)926-4258",121,68,1,1,Photo,https://www.facebook.com/photo/?fbid=1428685535969762&set=a.365711365600523
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid0ETf1dtr9PgUes8oTbdcahCLr7fJ7ybDKYZWS8nTpwRJWzmaiZcPSr28i32Hhtzyml,"As of 2:00 AM today, 30 April 2026, no Low Pressure Areas (LPA) are being monitored for Tropical Cyclone Formation.

All are advised to monitor updates from DOST-PAGASA.",648,108,12,1,Photo,https://www.facebook.com/photo/?fbid=1428668462638136&set=a.365711365600523
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid032bCBVqCa5rDeWDRus78p4kht8KpcPRjRjrX6tsN91B4CB4pYRE9XCeC8MCGzYZmTl,"As of 8:00 PM today, 29 April 2026, no Low Pressure Areas (LPA) are being monitored for Tropical Cyclone Formation.

All are advised to monitor updates from DOST-PAGASA.",541,57,8,1,Photo,https://www.facebook.com/photo/?fbid=1428394869332162&set=a.365711365600523
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02o7U6pNStevU4kFwERKrhDE6cHWZJTvqmXsunEwaPbdta4na35xopWFupPoc2vkaTl,"Highest Computed 5-day Heat Index with 2-day Forecast 
Issued as of 5:00 PM, 29 April 2026 

For more information about the heat index: 
https://www.pagasa.dost.gov.ph/weather/heat-index 

Information from the DOH Philippines about heat-related illnesses during extremely hot weather:
https://bit.ly/DOHPhPublicHealthAdvisory 

Don't forget to take necessary precautions and stay cool and hydrated everyone! ☀️🌡️ 
#HeatIndex #AngInit",132,69,2,4,|Photo|Photo|Photo,https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02o7U6pNStevU4kFwERKrhDE6cHWZJTvqmXsunEwaPbdta4na35xopWFupPoc2vkaTl|||
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid0RQpfTr2UdLeqQsCT4YidPoRqbhWxRpBFvGj47mv5WzAcYCAorNdsoUNnjMByeqPNl,"SPECIAL WEATHER OUTLOOK ON LABOR DAY 2026
(01 May 2026)

The Easterlies will be the dominant weather system to affect the country on Labor Day.

It will bring cloudy skies with scattered rains and thunderstorms over Zamboanga Peninsula, Northern Mindanao, Caraga, Davao Region, Palawan, Southern Leyte, and Basilan. Meanwhile, partly cloudy to cloudy skies will be experienced over Metro Manila and the rest of the country, with the possibility of isolated rainshowers or thunderstorms.

Light to moderate easterly to northeasterly winds will prevail over the whole archipelago, with slight to moderate seas.

Warm and humid conditions will persist in most parts of the country. To avoid fatigue, heat cramps, and heat exhaustion: 

✅Drink water regularly 💧
✅Take breaks in shaded areas 🌳
✅Wear comfortable clothing 👕
✅Use sun protection (hats or umbrellas) 🧢☂️
🚫Avoid alcohol and caffeine as much as possible 🍺☕

For more details, read full outlook here:
https://www.pagasa.dost.gov.ph/article/210",243,84,,1,Photo,https://www.facebook.com/photo/?fbid=1428266046011711&set=a.365711365600523
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid023GjEyexFRbU5kS3LXznZx6wjc1uZYJbYeFLpirPWGGphUWP5XhqDaqrccFHTaTFXl,"Highest Computed 5-day Heat Index
Issued as of 5:00 PM, 29 April 2026 

For more information about the heat index: 
https://www.pagasa.dost.gov.ph/weather/heat-index 

Information from the DOH Philippines about heat-related illnesses during extremely hot weather:
https://bit.ly/DOHPhPublicHealthAdvisory 

Forecast for the next 2 days will be available at 6:30 PM.

Don't forget to take necessary precautions and stay cool and hydrated everyone! ☀️🌡️ 
#HeatIndex #AngInit",122,40,7,3,|Photo|Photo,https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid023GjEyexFRbU5kS3LXznZx6wjc1uZYJbYeFLpirPWGGphUWP5XhqDaqrccFHTaTFXl||
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02eTDCjY4UvTJ2h1JJEGaDuWHSy9B1S96GSkRj8SpCDDykx41v46apAMJT2dNaG3Kcl,"24-HOUR PUBLIC WEATHER FORECAST
Issued at 4:00 PM, 29 April 2026

SYNOPSIS: Easterlies affecting the country.

Forecast Weather Conditions

Area: Eastern Samar, Southern Leyte, Dinagat Islands, Surigao del Norte, Surigao del Sur, and Davao Oriental
Weather Condition: Cloudy skies with scattered rains and thunderstorms
Caused By: Easterlies
Impacts: Possible flash floods or landslides due to moderate to at times heavy rains

Area: Metro Manila and the rest of the country
Weather Condition: Partly cloudy to cloudy skies with isolated rainshowers or thunderstorms
Caused By: Easterlies
Impacts: Possible flash floods or landslides during severe thunderstorms

Forecast Wind and Coastal Water Conditions

Area: Northern Luzon
Wind Speed: Light to Moderate
Wind Direction: Southeast to Northeast
Coastal Waters: Slight to Moderate / (0.6 to 1.8 meters)

Area: The rest of the country
Wind Speed: Light to Moderate
Wind Direction: East to Northeast
Coastal Waters: Slight to Moderate / (0.6 to 1.8 meters)

Extremes of Temperature and Relative Humidity for The 24-hour Period Ending 4:00 PM TODAY

Minimum Temperature: 26.9 °C ... 5:00 AM
Maximum Temperature: 36.1 °C... 3:00 PM

Minumum Relative Humidity: 42 % ... 3:00 PM
Maximum Relative Humidity: 76 % ... 5:00 AM

TIDES AND ASTRONOMICAL INFORMATION Over Metro Manila

sunrise tomorrow: 5:34AM
sunset today: 6:13PM
moonrise tomorrow: 5:04PM
moonset tomorrow: 4:16AM
illumination tomorrow: 99%

For other information about weather, please log on to pagasa.dost.gov.ph or bagong.pagasa.dost.gov.ph or call at (02)927-1335/(02)926-4258",124,42,1,1,Photo,https://www.facebook.com/photo/?fbid=1428235012681481&set=a.365711365600523
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02tkDzAkcaLSdWF6P3FVbgzsrtKkiQ5YdtNhS78P7vxCspn8LZki7WfkoZ3CtKjVWJl,"As of 2:00 PM today, 29 April 2026, no Low Pressure Areas (LPA) are being monitored for Tropical Cyclone Formation.

All are advised to monitor updates from DOST-PAGASA.",587,107,9,1,Photo,https://www.facebook.com/photo/?fbid=1428216636016652&set=a.365711365600523
https://www.facebook.com/PAGASA.DOST.GOV.PH/posts/pfbid02TnyKomE7kAJSEJiPQkfHr6AH8rpkgbAbWpzP2T2AivcvfwHCc6t8B1oa6sZK1LaHl,"As of 8:00 AM today, 29 April 2026, no Low Pressure Areas (LPA) are being monitored for Tropical Cyclone Formation.
All are advised to monitor updates from DOST-PAGASA.",618,104,14,1,Photo,https://www.facebook.com/photo/?fbid=1427967339374915&set=a.365711365600523
