"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","357714377984809","photo","https://www.facebook.com/photo.php?fbid=357714377984809&set=a.145458094872269&type=3","No photo description available.","357714384651475","photo","https://www.facebook.com/photo.php?fbid=357714384651475&set=a.145458094872269&type=3",,,,,,,,,,,,,"100082242366762","UC Media","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/616848779_886317424119662_3261743613472761333_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1600x1600&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=qCFQ57I2_YEQ7kNvwFF1p4q&_nc_oc=AdrkxcYeZOxuQZv5FGdhtfquGegBmlCRAmNPGXuZEmNiiz7vD4FYMVYIRNGkPtp29-Q&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=N1sUWmIVKZKSrSrs9iG0Bg&_nc_ss=7c2a8&oh=00_AQBJwIBG2t39IYfRa5V_-qPisLQOI9YPw60fiGgwjQw_ew&oe=6A5FF314","https://www.facebook.com/UCMediaPH","15","357715001318080","In Photos: Nagdulot ng hanggang tuhod na baha sa harapan ng University of Makati ang malakas na ulan hatid ni Bagyong #MaringPH

(Photo courtesy by R. Orantia)
#UCMedia",,"5","150",,"27","23","205","80","1505209334000","https://www.facebook.com/UCMediaPH/posts/pfbid02SyUvFms5eKGxvZ5TEUzL9ZA4yg2s2MmAjZmYujdD8FfxpNrX16yg1rYkLazsLsnGl"
"No photo description available.","1130037530462803","photo","https://www.facebook.com/photo/?fbid=1130037530462803&set=a.226495585504251",,,,,,,,,,,,,,,,,"100044314335438","Anna Cay","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/440338214_1013268686826933_5064719238668995548_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=zeIlYJ_77QEQ7kNvwF8ZImZ&_nc_oc=Adp-oUMFsIrHGQmzRLv5s1aextteeOchuW9p9nO6LflaJG9TVNhTYpUTJzDwURMGn54&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=N1sUWmIVKZKSrSrs9iG0Bg&_nc_ss=7c2a8&oh=00_AQD5hJZNb96UO_rzi8YKO4ezTWiR0tCiEtUmx7oDQABD-w&oe=6A5FEB9A","https://www.facebook.com/annacay22","365","1130038030462753","Find a guy who will suong the baha for you just so you can make it to Eat Bulaga 😂 Late na pero mas naawa ako kay Geloy. Hanggang baywang ang baha sa village nila. 😭

PS Oo nakuha pang mag Instagram Live ni mokong.  ( first live daw nya)",,"834","3099","1686","7","40","5666","236","1505178562000","https://www.facebook.com/annacay22/posts/pfbid0R3KmareheB5vYNYHoSGtUzff6iz12JsLeoygqpWoeqYpAdkyFXCuwtM6zAkySqQZl"
,,,,,,,,,,,,,,,,,,,,"100051498355535","Love2bike","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/305465567_570821881311085_6731259432472875573_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1417x1417&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=WvuFnesKcAAQ7kNvwEbpYZv&_nc_oc=Adop6VA7YVovrydd1bE_XU7ZmGSUyeAWmS3wEbuTIigp838QVs3DBSpXZTyvjk0s6Cc&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=N1sUWmIVKZKSrSrs9iG0Bg&_nc_ss=7c2a8&oh=00_AQD9GPZTUKCSeqHo6dmnwggr-sIAVp7GK3Jnbeyu_cqFFQ&oe=6A600CAE","https://www.facebook.com/Love2bike.network","9","1445362008881199","Sakto para sa baha ... 😎",,,"74","1",,"10","85","1","1505215810000","https://www.facebook.com/MmBikeshop88/posts/pfbid0xLccZbrYzye4vFfGpEEShKACKqeCCAEL19DxoSZRGnJ64dn8T1k6ubyjGamGvWiBl"
"No photo description available.","480075469040507","photo","https://www.facebook.com/photo.php?fbid=480075469040507&set=a.252642895117100&type=3","No photo description available.","480075519040502","photo","https://www.facebook.com/photo.php?fbid=480075519040502&set=a.252642895117100&type=3",,,,,,,,,,,,,"100011141735518","Rej Danga Maglente","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/576943576_2535346033513430_1629490555203535312_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx750x750&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=1d2534&_nc_ohc=pI93WpTchKcQ7kNvwH7sWWg&_nc_oc=Adqa8z_qAZNFVgjkAShxQnoRLAXo8lgDYKFSMx0MErTIjM2cxa0XdydJaboXVEzExaI&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=N1sUWmIVKZKSrSrs9iG0Bg&_nc_ss=7c2a8&oh=00_AQAnfr9oaF0ez6IDjNBu9I2AbeezO1G218r3yYyo7Fj-6Q&oe=6A600738","https://www.facebook.com/mialtimaserena","9","480075565707164","Better late than never ☺☺ baha po kasi sa labas 😂😂😂 muntik na po ako anurin 👼👼 sornaman boss gigilmoko ah 👊👊😂😂
#growinghearts #mialtimaserena",,,"53","4",,,"57","0","1505209194000","https://www.facebook.com/mialtimaserena/posts/pfbid0278JG7TCjhjG5KQ9WhvQXjentoY6ThmYqudNpomTjXrF3ECvvjyJQNu9FLaXJkRbNl"
"No photo description available.","856974897816951","photo","https://www.facebook.com/photo.php?fbid=856974897816951&set=a.271614264963624&type=3","No photo description available.","856974947816946","photo","https://www.facebook.com/photo.php?fbid=856974947816946&set=a.271614264963624&type=3","No photo description available.","856974991150275","photo","https://www.facebook.com/photo.php?fbid=856974991150275&set=a.271614264963624&type=3",,,,,,,,,"100063451585053","Pia Velasco","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/243016030_271614314963619_4018581487694668651_n.jpg?stp=c0.0.378.378a_cp0_dst-jpg_tt6&cstp=mx378x378&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Bx-seMl9aKwQ7kNvwEy6g76&_nc_oc=AdqLxtXY9BJ4q5agHx5JakfRlHi4KeN30pR4KIpOHxP-bagOTX8r18HL5LM_vFXx2qw&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=N1sUWmIVKZKSrSrs9iG0Bg&_nc_ss=7c2a8&oh=00_AQB33Cv8Me2FGFVjiZiLr2D27IVq1lYmXACJ7woyyfLuCg&oe=6A601942","https://www.facebook.com/sofiaschuckvelasco","23","856975004483607","Iwasan ang Ortigas ave ext. DON MARIANO Tapat ng STI. malalim ang baha. hinde makakaraan ang mga maliliit n sasakyan",,,"170",,"20",,"190","189","1505174579000","https://www.facebook.com/sofiaschuckvelasco/posts/pfbid033aDZrZUkbcFnLkdhLo6g91DAtwCJtjD9hA5peFNc6geHZDUBFx15tWd3a9pnNPb4l"
"No photo description available.","1489907537769214","photo","https://www.facebook.com/photo/?fbid=1489907537769214&set=a.578857227702874",,,,,,,,,,,,,,,,,"100067358067150","OPM Memes","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/476485096_936824428572817_3564712185323487688_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=F6B1EcEsugMQ7kNvwGKMNJ9&_nc_oc=AdqEAEI2e3aT92-cwgCmfNh2D5V51weN3qeXS-zxjXamuA2w_xzGDmxzoLE3pkN4OrU&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=oDtEa1dLG3yP4nF4lj1FuA&_nc_ss=7c2a8&oh=00_AQC2tYFazzVDauN7yO1lrRGadNC8q67MjGQQBD1Kz8G-Xw&oe=6A600423","https://www.facebook.com/OPMmemesPH","22","1489907561102545","Yung baha lampas hita. Yung inet abot singet. E ikaw..Hanggang Tingin na lang. Sadnu?",,"326","707","8","57","3","1101","124","1505224733000","https://www.facebook.com/OPMmemesPH/posts/pfbid02nfVWF58McDR3L6VfZcVchm2C8pAHH3F9ngtk2YM3q64qjt1CodxkkNWfL6q6YF3cl"
"No photo description available.","872800329539158","photo","https://www.facebook.com/photo.php?fbid=872800329539158&set=a.107433026075896&type=3","No photo description available.","872800352872489","photo","https://www.facebook.com/photo.php?fbid=872800352872489&set=a.107433026075896&type=3","No photo description available.","872800372872487","photo","https://www.facebook.com/photo.php?fbid=872800372872487&set=a.107433026075896&type=3","No photo description available.","872800386205819","photo","https://www.facebook.com/photo.php?fbid=872800386205819&set=a.107433026075896&type=3","No photo description available.","872800419539149","photo","https://www.facebook.com/photo.php?fbid=872800419539149&set=a.107433026075896&type=3","100004275971670","Sting Aquino","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/38248793_1084017545084101_7367637008941842432_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx539x539&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=e99d92&_nc_ohc=C3C4hHkDMXsQ7kNvwG8xehE&_nc_oc=Adp_aAMCeAA6v2l9XQ-lk1tqzpVQLrc69vTmAAsyboqrhW-5m_FI9yVxqG0tvXsIB40&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=oDtEa1dLG3yP4nF4lj1FuA&_nc_ss=7c2a8&oh=00_AQAFpupf8M_8REKyUHH1AnRovsFlBH7OeF_XTOv52gl8gA&oe=6A8188B4","https://www.facebook.com/stingfetz","11","872800502872474","grabe na baha to sa cainta..",,,"51",,"4",,"55","0","1505198711000","https://www.facebook.com/stingfetz/posts/pfbid02oAejTBeBUx3ReFgxyx7X75CT4eNqsKk8XdQQf3NataVhS2F6h9WRimbKKEKSZvfbl"
"No photo description available.","856977727816668","photo","https://www.facebook.com/photo.php?fbid=856977727816668&set=a.271614264963624&type=3","No photo description available.","856977757816665","photo","https://www.facebook.com/photo.php?fbid=856977757816665&set=a.271614264963624&type=3",,,,,,,,,,,,,"100063451585053","Pia Velasco","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/243016030_271614314963619_4018581487694668651_n.jpg?stp=c0.0.378.378a_cp0_dst-jpg_tt6&cstp=mx378x378&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Bx-seMl9aKwQ7kNvwEy6g76&_nc_oc=AdqLxtXY9BJ4q5agHx5JakfRlHi4KeN30pR4KIpOHxP-bagOTX8r18HL5LM_vFXx2qw&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=oDtEa1dLG3yP4nF4lj1FuA&_nc_ss=7c2a8&oh=00_AQBQ6eFrxLLUMHuyV68TRHJblCKc9drHcXBfwHuw2TnPIA&oe=6A601942","https://www.facebook.com/sofiaschuckvelasco","3","856977774483330","Baha Update. Karangalan Gate 1 & 2 Brgy San Isidro.",,,"53",,"4",,"57","18","1505175272000","https://www.facebook.com/sofiaschuckvelasco/posts/pfbid02cpDNnv7HJdsL2zfbNF6w6cWao5puLVmDEbGWsvQqcxiBV84mFwswx622GFEqnpegl"
"No photo description available.","1568313963207045","photo","https://www.facebook.com/photo/?fbid=1568313963207045&set=gm.942589509215366",,,,,,,,,,,,,,,,,"100000853701362","Vince Solomon","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/607440853_25800254182919685_4392948257036346245_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s24x24&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_ohc=qQDMUMlIsMIQ7kNvwGrTPxi&_nc_oc=Ado6T8cw1CnIoahu4sPWKmnZD-AJVr9t7vriXfBHZkcbOyVGMRDrj9HxBKAXGs7hKJo&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=oDtEa1dLG3yP4nF4lj1FuA&_nc_ss=7c2a8&oh=00_AQDvT_jSeCQZKPxLZ9EcG4dlbaVLBhwtJ7bdkyJHM1Pjuw&oe=6A5FECF5","https://www.facebook.com/beans.solomon.baoit","0","942589509215366","Tumataas na ang baha so dapat ready din sila 😊 ctto",,"32","64","6",,"1","103","2","1505206839000","https://www.facebook.com/groups/752416584899327/permalink/942589509215366/"
"No photo description available.","1718154184881607","photo","https://www.facebook.com/photo.php?fbid=1718154184881607&set=gm.2228065313886330&type=3","No photo description available.","1718154251548267","photo","https://www.facebook.com/photo.php?fbid=1718154251548267&set=gm.2228065313886330&type=3",,,,,,,,,,,,,"100000611251604","Mak de Silva","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/732986483_28003264369277230_6198289915119370661_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s24x24&_nc_cat=111&ccb=1-7&_nc_sid=1d2534&_nc_ohc=uj7S9MUoJOoQ7kNvwFdFejD&_nc_oc=AdoMOz6ql15RHpeuC_lQ7OZVfIAJb5CP0CC3qLjTqoQawxXkodBYwnOziQYw5B05E6g&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=oDtEa1dLG3yP4nF4lj1FuA&_nc_ss=7c2a8&oh=00_AQCiIpcOvBoxP-LWGb6ke-vjeYPaYEE1JmD-y8HlH0viLw&oe=6A60030D","https://www.facebook.com/mak.desilva","8","2228065313886330","Special thanks kay manong na nag guide samin sa karuhatan valenzuela. Sobrang baha lagpas ng paso de blas kaya sinamahan nya kami sa alternate route para makadaan kami di ko kasi alam daan papuntang marulas..kada traffic nghintay pa din imbis na makasingit na sila. Hehe. Salute sa mga kagulong natin!👍",,,"299","3",,"1","303","2","1505217902000","https://www.facebook.com/groups/mcrightsorg/permalink/2228065313886330/"
