"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","727050200816121","photo","https://www.facebook.com/photo.php?fbid=727050200816121&set=a.473717391438337&type=3","No photo description available.","727050254149449","photo","https://www.facebook.com/photo.php?fbid=727050254149449&set=a.473717391438337&type=3","No photo description available.","727050354149439","photo","https://www.facebook.com/photo.php?fbid=727050354149439&set=a.473717391438337&type=3","No photo description available.","727050360816105","photo","https://www.facebook.com/photo.php?fbid=727050360816105&set=a.473717391438337&type=3","No photo description available.","727050357482772","photo","https://www.facebook.com/photo.php?fbid=727050357482772&set=a.473717391438337&type=3","100064002399883","Infina Towers","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/309404324_473717414771668_6437319136352718691_n.jpg?stp=c0.0.567.567a_cp0_dst-jpg_tt6&cstp=mx567x567&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=SPNm-mRoxSgQ7kNvwEJPEkv&_nc_oc=AdrbKZtr8U6zC0MTZUm2lD_4tpCJ6VUtuug5vWBSAqebATtOxU1-dclI41TnbRGKOJ8&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=oluV9bUsAwKO6sdWGm-9XQ&_nc_ss=7c2a8&oh=00_AQD7-7DTnt-YvSH4xZ7S9fWNYDDpulXsElKjdcoHesqwgw&oe=6A5FF5A6","https://www.facebook.com/infinatowers","23","727075690813572","""FLOOD FREE RESORT INSPIRED CONDO IN QUEZON CITY  IS HERE"" 

Infina Towers 922 Aurora Blvd. Project 4, Quezon City 
New DMCI Homes Project beside NCBA and near Ateneo De Manila.

BEST FOR FUTURE RENTAL POOLING BUSINESS.

Unit offers:

1 Bedroom A- (27.5sqm): 14,351php/Mo. to 15,665php/Mo.
1 Bedroom B- (29sqm): 14,927php/Mo. to 16,182php/Mo.
1 Bedroom C- (32sqm): 15,191.92php/Mo. to 17,172php/Mo.
1 Bedroom D- (36sqm): 15,831php/Mo. to 16,688.87php/Mo. 
2 Bedroom A- (48.5sqm): 22,820php/Mo. to 24,524php
3 Bedroom (89sqm): 34,761php (Only 1 Unit left.).

North Tower Ready for Occupancy in September 2021 

As low as 14k/Mo. for 1 Bedroom Unit 

*Free Bank Financing Assistance
*Free Tripping in our near Ready for Occupancy Project in QC.
*Free Qoutation 
***Up to 18% Discount for Special Cash Buyer's

Call or Text: Matthew Marte P. Gulle 
0917-5399056, 0917-539056, 0933-8661587, 02-616-2322
www.dmcihomesfinestcondomanila.com, http://ofwrealestateph.intlwebs.com

#OfficialCondoMAN #CondoMAN",,"1","2061","10",,"18","2090","42","1505196934000","https://www.facebook.com/infinatowers/posts/pfbid026xFWtomUHnQFbMv9EJBibNezskPV3Ak2yHPBcnB71qLmU2YbfmVuWSJB3gEga1Djl"
"No photo description available.","1430961393667907","photo","https://www.facebook.com/photo/?fbid=1430961393667907&set=a.226680419493388",,,,,,,,,,,,,,,,,"100064542948515","Marikina City Rescue 161","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/541379745_1210200924474661_5482984993472514193_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1024x1024&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JyOFt-nYG3sQ7kNvwEh_7kK&_nc_oc=AdrExKqKBsdoZmsfQTcDOf-SHCV7bSMxvzxn_1EUlwm0QccKvk1W7SXOqcyCVaWi64c&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=oluV9bUsAwKO6sdWGm-9XQ&_nc_ss=7c2a8&oh=00_AQCoRV9PCZicEyBn915_7jWxizoaphyH9S0RxXRysN3LIQ&oe=6A601102","https://www.facebook.com/MarikinaRescue161","15","1430961503667896","#ALISTO_MARIKEÑO
#RAINFALL_READING
Issued at 1:00PM Sept. 12, 2017
Recorded by Effective Flood Control Operation System (EFCOS)-MMDA Monitoring Stations:
Mt. Campana: 19mm
Mt. Boso - Boso: 23mm
Mt. Aries: 46mm
Mt. Oro: 0mm
Nangka: 12mm
#MARIKINA_STO_NIÑO_RIVER WATER LEVEL :
15 meters FIRST ALARM
Live Feed:
https://www.marikina.gov.ph/#livemarikina
#NoFlooded_areas
#MarikinaRescue161",,,"63",,"13","1","77","42","1505192700000","https://www.facebook.com/MarikinaRescue161/posts/pfbid0egDwraSYtjj7Wvf7ZrdZUvAXM3hfrxrAcU36SaGhVqiHN2ZACJawSJp1Uet5ofUel"
,,,,,,,,,,,,,,,,,,,,"100064694886215","Marikina PIO","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/243382346_230073989159096_208998729329550570_n.png?stp=c10.0.557.557a_cp0_dst-png&cstp=mx557x557&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BQfuPzxZVqkQ7kNvwH5YPOr&_nc_oc=AdrhLS5xINSMD4xlgckaJtlBDTSdauQS-wP3ocOIQ2-nwsoTx99J9kqH-g_ycq--pm4&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=oluV9bUsAwKO6sdWGm-9XQ&_nc_ss=7c2a8&oh=00_AQDSNqnTDZvW6JoC-8iOxrtjqn9DBRmi52inP46GpP-TYg&oe=6A60060D","https://www.facebook.com/MarikinaPIO","5","1884266031587690","#AbisoMarikenyo
Flooded area:
Katipunan St. corner Rainbow St. (Brgy Concepcion Dos) --- 
16-inch deep

Source: Rescue 161",,,"96",,,,"96","11","1505205233000","https://www.facebook.com/MarikinaPIO/posts/pfbid02qTn76EfTARrtyvRFKjq5ryrrgoGdjeExYFhKJP7D4nkmP2PT6hUWSBmhAZNgdtQyl"
,,,,,,,,,,,,,,,,,,,,"100064849864375","DOST-PAGASA","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/487303686_1099355335569452_7045424019269009221_n.png?stp=cp0_dst-png&cstp=mx1001x1001&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=8-rGnn6nM6QQ7kNvwFgFTu9&_nc_oc=AdrQSqyS3Dpg01q8Lhk_EOQJYTHr1aafov4dPxQSdWJz_eIbE-oqTkjrhyOYb2Nyt3g&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=oluV9bUsAwKO6sdWGm-9XQ&_nc_ss=7c2a8&oh=00_AQCqr3K1rHs5qFw0c4uyKrGVBk55YjtWgMjFhENGEmCFTg&oe=6A5FFFDF","https://www.facebook.com/PAGASA.DOST.GOV.PH","16","1440684402648190","Yellow rainfall warning po tayo mga kababayan. Ingat po",,,"174",,"11","1","186","0","1505187029000","https://www.facebook.com/antipolocitygovernment/posts/pfbid034VQLiVg6Z565QqqudsmxXGj8HfJSiNwbtFUZEd5XpBWqmKHaXA84irAnmVCBTQSel"
,,,,,,,,,,,,,,,,,,,,"100064694886215","Marikina PIO","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/243382346_230073989159096_208998729329550570_n.png?stp=c10.0.557.557a_cp0_dst-png&cstp=mx557x557&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BQfuPzxZVqkQ7kNvwH5YPOr&_nc_oc=AdrhLS5xINSMD4xlgckaJtlBDTSdauQS-wP3ocOIQ2-nwsoTx99J9kqH-g_ycq--pm4&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=oluV9bUsAwKO6sdWGm-9XQ&_nc_ss=7c2a8&oh=00_AQDSNqnTDZvW6JoC-8iOxrtjqn9DBRmi52inP46GpP-TYg&oe=6A60060D","https://www.facebook.com/MarikinaPIO","33","1884111598269800","#AbisoMarikenyo

Flooded areas:
Katipunan St. corner Rainbow St. (6-8 inches)
Rainbow St. ccorner Russet St. (6 inches)
Pio del Pilar St. corner Tangerine St. (4-6 inches)

Source: Rescue 161",,,"245","1","23","4","273","52","1505194642000","https://www.facebook.com/MarikinaPIO/posts/pfbid02D21vubmYa1BFWFyFTrcYvJY9sSZmWzwiuX4YQNZWJSeVQQ6k1ZP3krkxvk6v5eTdl"
,,,,,,,,,,,,,,,,,,,,"100064694886215","Marikina PIO","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/243382346_230073989159096_208998729329550570_n.png?stp=c10.0.557.557a_cp0_dst-png&cstp=mx557x557&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BQfuPzxZVqkQ7kNvwH5YPOr&_nc_oc=AdrhLS5xINSMD4xlgckaJtlBDTSdauQS-wP3ocOIQ2-nwsoTx99J9kqH-g_ycq--pm4&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=oluV9bUsAwKO6sdWGm-9XQ&_nc_ss=7c2a8&oh=00_AQDSNqnTDZvW6JoC-8iOxrtjqn9DBRmi52inP46GpP-TYg&oe=6A60060D","https://www.facebook.com/MarikinaPIO","31","1884166518264308","#AbisoMarikenyo

Flooded areas:
(Passable)
H. Roxas (Brgy. San Roque)
Shoe Ave. (Brgy. Sta. Elena)
Major Dizon
Emerald Vill
San Diego Compound
4th St. cor Aquillina St.

(Not Passable)
Katipunan St. corner Rainbow St.
Rainbow St. corner Russet St.
Pio del Pilar St. corner Tangerine St.",,,"176",,"20","7","203","47","1505198572000","https://www.facebook.com/MarikinaPIO/posts/pfbid02MSQQovwgEqF8kBakdDbScF5q46EkQdhnfA7xbRJjXqwRAghie8i9fPF3khdaxFQjl"
"No photo description available.","2028624027373746","photo","https://www.facebook.com/photo.php?fbid=2028624027373746&set=a.465444342263271&type=3","No photo description available.","2028624024040413","photo","https://www.facebook.com/photo.php?fbid=2028624024040413&set=a.465444342263271&type=3","No photo description available.","2028624020707080","photo","https://www.facebook.com/photo.php?fbid=2028624020707080&set=a.465444342263271&type=3",,,,,,,,,"100063931272475","Affordable  House & lot for sale available through Pagibig & Bank Financing","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/470218257_1035947768546256_612916654242375223_n.jpg?stp=c0.0.1414.1414a_cp0_dst-jpg_tt6&cstp=mx1414x1414&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=t9tDNdoLXpwQ7kNvwGcJdKN&_nc_oc=AdrTpSZncQtSHtzN1ZftzPjhT4UR93bFr7GsSpnoYyaFONZ9ckGqopNPHQ_XWyCwBWA&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=-4QGpgKYZfYX0aH3EvG1GQ&_nc_ss=7c2a8&oh=00_AQCKTpG_JiHM17ueDpye598E4Yk7U0-Cgo_y5dIf-4NQOA&oe=6A601076","https://www.facebook.com/gsohouseforsale","2","2028624054040410","Flood free!!! Flood free!!! Flood free!!!!
near Quezon City 

Hurry up invest now limited units only !!! 
call now to inquire  Globe:0906.5301687/0917.8613093
Wireless handyphone: 216.1770

For only 20% initial investment  payable upto 12 months ...
You can have your own  dream house & lot near Cities... 

3 bedrooms, 2 toilet & bath with car garage single detached unit for sale near Q.C,Marikina City

Near commercial establishments banks,church & wet & dry market..",,,"1",,,,"1","0","1505345932000","https://www.facebook.com/gsohouseforsale/posts/pfbid0XLQxJNjHBYAUrB25s6Awr5WZFghATpmu1ffwuGYPc1vxdNAWYDacnTEcojWHQhWYl"
,,,,,,,,,,,,,,,,,,,,"100064703437033","Department of Health (Philippines)","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/441896707_873041984862575_1120508048550319341_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2047x2048&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=MBfgBoOFLwUQ7kNvwEU3bKS&_nc_oc=Adp8tDzc9I8iRt_5ZlO0cZsNADGBPD9GZULUdIjOpMR3nNrZTuXIMSAYqvO8sCFVulQ&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=-4QGpgKYZfYX0aH3EvG1GQ&_nc_ss=7c2a8&oh=00_AQC0Gzj23YeKDxyY-BGm-Hb6rtWJEvQjdZWSTpHARAkRjQ&oe=6A600C5B","https://www.facebook.com/DOHgovPH","0","1441574205892543","Health Tip mula sa Department of Health",,,"62","2",,,"64","0","1505281079000","https://www.facebook.com/antipolocitygovernment/posts/pfbid0BJdt2ProBjtJtQ2o257ct2kCH75SVxtVrJx8uRaT4WsMuMMN2WSkLmbXhXeNfyxjl"
,,,,,,,,,,,,,,,,,,,,"100064606813035","Antipolo City Gov","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/243184711_223476796482546_7907706067647562237_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JLvs1SWL_cMQ7kNvwF4_oWp&_nc_oc=AdrW4tKWb_5kUnMexponoWgXjZ3QR1FfXwmLb4zUgrDDOjLMrzzxAlKk3fXjjTROEjE&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=-4QGpgKYZfYX0aH3EvG1GQ&_nc_ss=7c2a8&oh=00_AQD4qOv0QlEDWEVlaabWawqIFAk6GMp4tKcDqF_bZHfRCQ&oe=6A600AD1","https://www.facebook.com/antipolocitygovernment","96","1440804065969557","TRAFFIC ADVISORY
Main roads within Antipolo
As of 4:05 PM, Sept. 12

MARCOS HIGHWAY
- Passable to all types of vehicles
- Continuous traffic flow but expect built-up, gutter-deep flooding at Vermont area

SUMULONG HIGHWAY Masinag to Marikina
- Not passable to light vehicles

VV SOLIVEN
- Not passable to light vehicles","1",,"633","1","37","6","678","160","1505203983000","https://www.facebook.com/antipolocitygovernment/posts/pfbid0x1HTojGSgQ5Xa9py3s8YnvhtrfeCruQajzjSxJQ9D2JDKr1qLTA3rTyF3uG2vfjDl"
"No photo description available.","1060382390764768","photo","https://www.facebook.com/photo/?fbid=1060382390764768&set=a.295025209332758",,,,,,,,,,,,,,,,,"100064758426503","1SANMATEOCares","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/749022971_1485652553603345_7992006231183755892_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=UNIAgR83yJgQ7kNvwHMt7ni&_nc_oc=AdoG1HZ_KXgHvpji2yJM0eF6WNnkvarZRiwD5rZKIWrQB2B9T6K2PutOAbRNj1D3a-w&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=-4QGpgKYZfYX0aH3EvG1GQ&_nc_ss=7c2a8&oh=00_AQBdn2RKdSoU177XJFphmKIurWPkgiMKJ6OMuXdc5mdGBw&oe=6A600D7E","https://www.facebook.com/1SANMATEOCares","2","1060382390764768","As per instructions of Mayor Tina Diaz, the consolidated team of our Local Government prepares for deployment for relief operations to some flooded areas of our community.",,,"120","3",,,"123","19","1505204721000","https://www.facebook.com/photo.php?fbid=1060382390764768&set=a.295025209332758&type=3"
