"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactionsCount","sharesCount","timestamp","url"
,,,,,,,,,,,,,,,,,,,,"100064457419153","Nag-break na nga sila, Ni-like mo pa.","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/339633389_210108328379411_2985064675976544543_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx180x180&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=vfyWT-zmz28Q7kNvwFvDCnY&_nc_oc=AdrC8EJL3bNhPV1FhmMq0LK7-se6rQ-ZiqbJ8zPwmM0dLDIc1n6XaVCFE3fDYqUf7XI&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=SN1tBnP-JdsPA4F02Vq0eA&_nc_ss=7c2a8&oh=00_AQCuotdVL4Xp5dUegcsnSLVRxV7FAQCUV3W73vzci6rCrg&oe=6A602805","https://www.facebook.com/NagBreakNaNgaSila.NiLikeMoPa","9","972463809447008","girl: babe?
boy: yes?

girl: punta ka naman dito oh.
boy: bumabagyo kaya.

girl: please?
boy: baha sa mga daanan.

gril: natatakot kasi ako. mag-isa lang ako dito sa bahay. umalis sila kagabe sa sabado pa babalik.
boy: on the way na ko.

:v

- knotz",,"150","150","1","1411087257000","https://www.facebook.com/NagBreakNaNgaSila.NiLikeMoPa/posts/pfbid0xtqB49ry2kE35bXyap6Q3tmV89G9WXjHx645jYL8VJwcMCgnd3yGk1GbDHpkFsVCl"
,,,,,,,,,,,,,,,,,,,,"100064457419153","Nag-break na nga sila, Ni-like mo pa.","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/339633389_210108328379411_2985064675976544543_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx180x180&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=vfyWT-zmz28Q7kNvwFvDCnY&_nc_oc=AdrC8EJL3bNhPV1FhmMq0LK7-se6rQ-ZiqbJ8zPwmM0dLDIc1n6XaVCFE3fDYqUf7XI&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=SN1tBnP-JdsPA4F02Vq0eA&_nc_ss=7c2a8&oh=00_AQCuotdVL4Xp5dUegcsnSLVRxV7FAQCUV3W73vzci6rCrg&oe=6A602805","https://www.facebook.com/NagBreakNaNgaSila.NiLikeMoPa","0","972661026093953","""mabuti pa baha, umabot hanggang hita."" (c) ra rivera

- knotz",,"53","53","0","1411124331000","https://www.facebook.com/NagBreakNaNgaSila.NiLikeMoPa/posts/pfbid028eecoQnQkZnaPPAe6G95XV49iWhz3TEDkdwsjgr1KiNhx7sAsH2RiwyMGzDbmydil"
"No photo description available.","261561857300909","photo","https://www.facebook.com/photo/?fbid=261561857300909&set=a.598024445019963",,,,,,,,,,,,,,,,,"100044372381527","Poi Gaming","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/292589424_598024458353295_4793050154720364400_n.png?stp=cp0_dst-png&cstp=mx612x612&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=mhBTdwUAiSsQ7kNvwGgRucQ&_nc_oc=AdpYHzpshnVwP437MLoHLKjE-rymaRVUgrVZm6xedgzBlLM5MlfbnZr5cnIFzDlx7t8&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=SN1tBnP-JdsPA4F02Vq0eA&_nc_ss=7c2a8&oh=00_AQDi4XPSETuGEemaZt12R2Kq_OQWEUfocShrWuo_Jslv0g&oe=6A6000C7","https://www.facebook.com/poigaming137","6","261561857300909","Boring sa Baha at Tag-ulan???

-apir-","4","124","128","45","1411124278000","https://www.facebook.com/photo.php?fbid=261561857300909&set=a.598024445019963&type=3"
"No photo description available.","1689320657959908","photo","https://www.facebook.com/photo/?fbid=1689320657959908&set=a.175570094374538",,,,,,,,,,,,,,,,,"100057646441940","Mga Quotes ni Kuya","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/746385234_1480506027214265_1272943059739834303_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1122x1122&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=NNttqksuAeYQ7kNvwGkbVfO&_nc_oc=Adrm2ammGeLVrQMXGcau455BYBBL7gqF_FoLeUtrcE2H0lMqbwpv4m17V1UcyJsWdBw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=SN1tBnP-JdsPA4F02Vq0eA&_nc_ss=7c2a8&oh=00_AQCK6ivVov57NxsV6e_doEKArU8COTirGiwQAvGlQOe5DA&oe=6A6001B7","https://www.facebook.com/MgaQuotesNiKuya","17","1689320657959908","Matatag ang Marikeño...
Lagi kaming nasa balita
Sa fault line at baha
Di matitinag aming pananampalataya
Babangon kami at magsisimula
Aming haharapin anumang sakuna.

- Mga Quotes ni Kuya",,"96","96","2","1411137246000","https://www.facebook.com/photo.php?fbid=1689320657959908&set=a.175570094374538&type=3"
"No photo description available.","930604203622375","photo","https://www.facebook.com/photo.php?fbid=930604203622375&set=a.681885058494292&type=3","No photo description available.","930604243622371","photo","https://www.facebook.com/photo.php?fbid=930604243622371&set=a.681885058494292&type=3","No photo description available.","930604283622367","photo","https://www.facebook.com/photo.php?fbid=930604283622367&set=a.681885058494292&type=3","No photo description available.","930604410289021","photo","https://www.facebook.com/photo.php?fbid=930604410289021&set=a.681885058494292&type=3","No photo description available.","930604440289018","photo","https://www.facebook.com/photo.php?fbid=930604440289018&set=a.681885058494292&type=3","100000184112848","Grace Alcaraz","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/466798738_9648502231832485_6967823846991222862_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1439x1440&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=e99d92&_nc_ohc=bbw51ERSxIUQ7kNvwEZHY2H&_nc_oc=Ado-Ow_DQ39SutmQ2i-qaAma4Uvbfp6MDUkxPJJ9tcGYqcsAUw4ZQ6FjmL5INtnXY0M&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=SN1tBnP-JdsPA4F02Vq0eA&_nc_ss=7c2a8&oh=00_AQASlWk69jJqaX4RF6_eXcEN-r0GqswFxmU4r43rsRtoXw&oe=6A602BBF","https://www.facebook.com/grace.alcaraz1","33","930604463622349","Baha",,"4",,"0","1411096118000","https://www.facebook.com/grace.alcaraz1/posts/pfbid027Le2NMVGcEi8cju1pZGoevkDq6nHMJMdpvtnaQtKRfx2cJigkVbntg5ZSEjcYj8il"
"No photo description available.","865343586823824","photo","https://www.facebook.com/photo/?fbid=865343586823824&set=a.345113435513511",,,,,,,,,,,,,,,,,"100000445720130","Lizel Bautista","https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-1/38738284_2046506348707536_8682326781715283968_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx959x959&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=0T7tyf0GgwIQ7kNvwF3gcLO&_nc_oc=AdpjA6K7kuEfrshKFQ1STy8KP1eHE8rb6uo_AeSpfYlFUlzoEci9pwket3urn0FBXXs&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=e6lmlYDJCmQnCDtEbJYGYg&_nc_ss=7c2a8&oh=00_AQCm8Ll6C9i83BW2VtV05-UO5pVuRbptj8Iq8cJ7xZ5V2Q&oe=6A81BB8B","https://www.facebook.com/bautista.liezel","6","865343933490456","Tumaas pa ang baha :( PRAY",,"8",,"0","1411095304000","https://www.facebook.com/bautista.liezel/posts/pfbid02JeSp7NfuTxUM5WrEr5r3nrj1GXHFnpahaTbqCmjYLaaw3E8hBVyDcoN5dGbSFChgl"
"No photo description available.","710046405731739","photo","https://www.facebook.com/photo.php?fbid=710046405731739&set=a.387469081322808&type=3","No photo description available.","710046449065068","photo","https://www.facebook.com/photo.php?fbid=710046449065068&set=a.387469081322808&type=3","No photo description available.","710046539065059","photo","https://www.facebook.com/photo.php?fbid=710046539065059&set=a.387469081322808&type=3","No photo description available.","710046562398390","photo","https://www.facebook.com/photo.php?fbid=710046562398390&set=a.387469081322808&type=3","No photo description available.","710046592398387","photo","https://www.facebook.com/photo.php?fbid=710046592398387&set=a.387469081322808&type=3","100001791580491","Aiza Necesario","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/465128124_8579272438809057_4672691728053630519_n.jpg?stp=c0.146.540.540a_cp0_dst-jpg_tt6&cstp=mx540x540&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=nmsdW_el6r8Q7kNvwFZ50SJ&_nc_oc=AdrQSTG9cszY3Ud5wtZCRmrlTDZZdBWQsKo4lYn8KeSFlv_hqU_POikxIFE-KQlEybE&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=e6lmlYDJCmQnCDtEbJYGYg&_nc_ss=7c2a8&oh=00_AQD72bT0AI8tcOQxelqf5rO9TNlWAInhZfWelYf4kl1UQw&oe=6A5FFF4E","https://www.facebook.com/apple.necesario","3","710046655731714","Baha na ang bahay namin....",,"18",,"0","1411114542000","https://www.facebook.com/apple.necesario/posts/pfbid02wtx28kbMQGQs9pZR5YVFfrMxWnh8TivByLHdDqr924GNe1VXFpb3B8P8YCb9HRsPl"
"No photo description available.","344917555689524","photo","https://www.facebook.com/photo.php?fbid=344917555689524&set=a.306455179535762&type=3","No photo description available.","344917582356188","photo","https://www.facebook.com/photo.php?fbid=344917582356188&set=a.306455179535762&type=3","No photo description available.","344917659022847","photo","https://www.facebook.com/photo.php?fbid=344917659022847&set=a.306455179535762&type=3","No photo description available.","344917689022844","photo","https://www.facebook.com/photo.php?fbid=344917689022844&set=a.306455179535762&type=3","No photo description available.","344917712356175","photo","https://www.facebook.com/photo.php?fbid=344917712356175&set=a.306455179535762&type=3","100005138474787","Nash Echon Camitoc","https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-1/186297480_1829886277192637_4555122740380209408_n.jpg?stp=c0.0.438.438a_cp0_dst-jpg_tt6&cstp=mx438x438&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=e99d92&_nc_ohc=hLrpY1W7rRcQ7kNvwExm6RO&_nc_oc=AdpCnheSKkzFVFWKj-9EORMiJjnwGKl0bz04I7JaZpSi7bGQJXns5Ob2f3FjYMTeFjo&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=e6lmlYDJCmQnCDtEbJYGYg&_nc_ss=7c2a8&oh=00_AQCp993r6KBhHZKU1yX8NNWLj_3tOqgI29jyNXFU-HlASQ&oe=6A81A0D6","https://www.facebook.com/nashechon.camitoc","7","344917732356173","(°_°)ohhhh!!my goD lalim na ng BaHa xa sala nmin grave!!(°_°)",,"2",,"0","1411085404000","https://www.facebook.com/nashechon.camitoc/posts/pfbid0ve7BGo5qcPN2TdJVdfzwuyTfxrTBVX9de8QXmygFnuNBTo3qszVWtFzwpmeLFSryl"
"No photo description available.","10153186297639552","photo","https://www.facebook.com/photo.php?fbid=10153186297639552&set=a.10150671792359552&type=3","No photo description available.","10153186298969552","photo","https://www.facebook.com/photo.php?fbid=10153186298969552&set=a.10150671792359552&type=3","No photo description available.","10153186299109552","photo","https://www.facebook.com/photo.php?fbid=10153186299109552&set=a.10150671792359552&type=3",,,,,,,,,"582809551","Paolo Estacio","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/554977017_10166078559039552_4529610690314551234_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1366x1365&ctp=s40x40&_nc_cat=108&ccb=1-7&_nc_sid=e99d92&_nc_ohc=66PpAPCF4YwQ7kNvwExzFDS&_nc_oc=Adqfn78rxBezwaDAFgprPEpskrYy5gahu3TFa8Y3dz-tqe77XLjzsCVhrUz-b_66LJs&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=e6lmlYDJCmQnCDtEbJYGYg&_nc_ss=7c2a8&oh=00_AQAk1rl0_Ke4FEoYqaQsh-_ak4A1HWnDu5qrEGFlQ537mg&oe=6A5FF857","https://www.facebook.com/paolo.estacio.1","20","10153186299359552","Baha kahit saan except our",,"18",,"0","1411101266000","https://www.facebook.com/paolo.estacio.1/posts/pfbid0yU98FChL2Gs9eLCAf3PbHgbDXc8HDb51ggQnKhy3AWFSigKFJyqMsCrFAENZxUual"
"No photo description available.","781653541877945","photo","https://www.facebook.com/photo.php?fbid=781653541877945&set=a.109216279121678&type=3","No photo description available.","781653605211272","photo","https://www.facebook.com/photo.php?fbid=781653605211272&set=a.109216279121678&type=3","No photo description available.","781653628544603","photo","https://www.facebook.com/photo.php?fbid=781653628544603&set=a.109216279121678&type=3","No photo description available.","781653658544600","photo","https://www.facebook.com/photo.php?fbid=781653658544600&set=a.109216279121678&type=3",,,,,"100000999190904","Joerinda Dolorican","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/685778073_26728108983472379_6510620465511791957_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1475x1461&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=1d2534&_nc_ohc=djmCqd5P9dAQ7kNvwEhP0lZ&_nc_oc=AdpFlDOWHyVrQAcYFi4Tk7_l5pwqwCCFp3--ymAQ-bH7MHFrlZltNbXtzgjO6Xfv4aw&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=e6lmlYDJCmQnCDtEbJYGYg&_nc_ss=7c2a8&oh=00_AQD8Ql2r_wPGgUlH92fXV1LAcnvuP4K8qwPwjnEmqGQ6XA&oe=6A602F6E","https://www.facebook.com/joerinda.dolorican","0","781653678544598","..baha na sa amin:-)",,"9",,"1","1411202431000","https://www.facebook.com/joerinda.dolorican/posts/pfbid025AcNcUXMGZmE8gVy9iM6aeXADJPtDsyYMunFgXEBTSipHvRQiSKKdVGyHNXZ99zrl"
