"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/like","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","824477130929665","photo","https://www.facebook.com/photo/?fbid=824477130929665&set=a.551643326996701",,,,,,,,,,,,,,,,,"100064531156602","Pentecostal Missionary Church of Christ (4th Watch)","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/484586336_1053587270135635_5074162563915170236_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=H510jm6KIJcQ7kNvwGMOL8w&_nc_oc=AdqipDNPjg8KZlWeEHuOKnFLrLtJReYEe7XhTdAZ9GFzb79MGVxXTu9xh51eM5sVK4k&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=drrEtjrWeADfE5Qr70DtcA&_nc_ss=7c2a8&oh=00_AQDXNXWzDh77txrKQXX1gE57BuVoRQnLuONsqO-kFaI2Og&oe=6A602B70","https://www.facebook.com/PMCC4W","27","824477130929665","After a week of heavy rain and flood, Marikina Locale is blessed with a fair weather on its 42nd Church Anniversary celebration! 
To God be all the Glory!
#pmcc4thwatch #ChurchAnniversary #Marikina #Proudtobe4thWatcher","1131",,"1131","50","1411309762000","https://www.facebook.com/photo.php?fbid=824477130929665&set=a.551643326996701&type=3"
"No photo description available.","10153208182603135","photo","https://www.facebook.com/photo/?fbid=10153208182603135&set=a.557577123071665",,,,,,,,,,,,,,,,,"100064581467987","Glass Garden","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/317737332_10162364839958135_1237259279765066022_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx740x740&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=nsWfpnvDzoAQ7kNvwFLJMYc&_nc_oc=AdpohOC3n5wmV75aksWXYgteVql_ts1-BLSu9s68Tkne_nqZ20t151D_1Ww6-IBWZ1E&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=drrEtjrWeADfE5Qr70DtcA&_nc_ss=7c2a8&oh=00_AQBySwIGl4uoV7mlmsB1OywaTTSJElaIUXUVKUWUBptgkw&oe=6A600B3F","https://www.facebook.com/GlassGardenEvents","6","10153208182603135","As of 9:25 today, The Glass Garden is flood free. We pray everyone is safe and dry.","65",,"65","5","1411090055000","https://www.facebook.com/photo.php?fbid=10153208182603135&set=a.557577123071665&type=3"
"No photo description available.","824477244262987","photo","https://www.facebook.com/photo/?fbid=824477244262987&set=a.551643326996701",,,,,,,,,,,,,,,,,"100064531156602","Pentecostal Missionary Church of Christ (4th Watch)","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/484586336_1053587270135635_5074162563915170236_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=H510jm6KIJcQ7kNvwGMOL8w&_nc_oc=AdqipDNPjg8KZlWeEHuOKnFLrLtJReYEe7XhTdAZ9GFzb79MGVxXTu9xh51eM5sVK4k&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=drrEtjrWeADfE5Qr70DtcA&_nc_ss=7c2a8&oh=00_AQDXNXWzDh77txrKQXX1gE57BuVoRQnLuONsqO-kFaI2Og&oe=6A602B70","https://www.facebook.com/PMCC4W","9","824477244262987","After a week of heavy rain and flood, Marikina Locale is blessed with a fair weather on its 42nd Church Anniversary celebration! 
To God be all the Glory!
#pmcc4thwatch #ChurchAnniversary #Marikina #Proudtobe4thWatcher","384",,"384","7","1411309762000","https://www.facebook.com/photo.php?fbid=824477244262987&set=a.551643326996701&type=3"
"No photo description available.","721294401281978","photo","https://www.facebook.com/photo/?fbid=721294401281978&set=a.721292517948833",,,,,,,,,,,,,,,,,"100065336349836","Photofest","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/307558555_419122676942274_1735217972253089447_n.png?stp=cp0_dst-png&cstp=mx281x282&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=EwO7Ig7Bq5EQ7kNvwGNGgbY&_nc_oc=Ado3pih808XyPEodGZiuKb-gGBU3v7WYgRe0bu_t810JycHJ2Ua7mMDZ0Zf8LmaSd7Q&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=drrEtjrWeADfE5Qr70DtcA&_nc_ss=7c2a8&oh=00_AQDtsxUibrSKcy7UQH0cH1EhJhLTyAeefSTXO85F5BaVFA&oe=6A601BF4","https://www.facebook.com/AggrePhotofest","7","721294401281978","Concrete Warriors  

Built to withstand the strong and crushing water currents, the Napindan Hydraulic Control structure continues to act as concrete warriors to the residents of its nearby cities. Throughout the rainy season, the Manggahan Floodway in Pasig diverts much of the Marikina River’s water directly into Laguna de Bay. The Napindan Hydraulic Control Structure is then closed to restrain the water in Laguna de Bay preventing it from flooding the Pasig River. 

Standing at the front line of danger- always ready to face the current- these protective structures act as the silent guardians of Pasig River

Gino Jardinico
University of the Philippines - Diliman","204",,"204","4","1411206001000","https://www.facebook.com/photo.php?fbid=721294401281978&set=a.721292517948833&type=3"
"No photo description available.","824477247596320","photo","https://www.facebook.com/photo/?fbid=824477247596320&set=a.551643326996701",,,,,,,,,,,,,,,,,"100064531156602","Pentecostal Missionary Church of Christ (4th Watch)","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/484586336_1053587270135635_5074162563915170236_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=H510jm6KIJcQ7kNvwGMOL8w&_nc_oc=AdqipDNPjg8KZlWeEHuOKnFLrLtJReYEe7XhTdAZ9GFzb79MGVxXTu9xh51eM5sVK4k&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=drrEtjrWeADfE5Qr70DtcA&_nc_ss=7c2a8&oh=00_AQDXNXWzDh77txrKQXX1gE57BuVoRQnLuONsqO-kFaI2Og&oe=6A602B70","https://www.facebook.com/PMCC4W","2","824477247596320","After a week of heavy rain and flood, Marikina Locale is blessed with a fair weather on its 42nd Church Anniversary celebration! 
To God be all the Glory!
#pmcc4thwatch #ChurchAnniversary #Marikina #Proudtobe4thWatcher","274",,"274","10","1411309762000","https://www.facebook.com/photo.php?fbid=824477247596320&set=a.551643326996701&type=3"
,,,,,,,,,,,,,,,,,,,,"100064606813035","Antipolo City Gov","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/243184711_223476796482546_7907706067647562237_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JLvs1SWL_cMQ7kNvwHP7wMH&_nc_oc=AdrKrLC_qRcbAahkQTXlhMQLiJolPlk7AITHqJiXWQqon2LSQ12JLDSoONUjaODG2Pw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=bmOijq4HqPpx0a_uX5mwZw&_nc_ss=7c2a8&oh=00_AQAlxjVsBQggrTmd8GX_NVnoLAYIyXt666b9n8huKGKd2A&oe=6A600AD1","https://www.facebook.com/antipolocitygovernment","18","720257981357506","FLOOD AND TRAFFIC ADVISORY:
As of 9:30am, Sept.19, 2014

NOT PASSABLE TO ALL TYPES OF VEHICLES
- Marcos Highway
- V.V. Soliven
- Sumulong Highway Extension
- Ortigas Avenue Extension

PASSABLE
- Floodway
- Baytown (Angono-Taytay Coastal Road)
- Highway 2000 (Taytay) flooded but passable even to tricycles

The city government through the help of Eastern Rizal Miners Association has deployed two (2) big trucks to carry passengers from SM Masinag to Sta. Lucia and vice versa.

Keep on posting updates/photos about your areas.

Keep safe everyone! #AlertoAntipoleño #NumeroUnoAntipolo","69",,"69","242","1411090783000","https://www.facebook.com/antipolocitygovernment/posts/pfbid02DiCunBWcDB9mVFttvnG96gW97kiFhFGUD4Vy3fj6RjYmgTTVBvXYHFHUDKaUfEe5l"
,,,,,,,,,,,,,,,,,,,,"100064606813035","Antipolo City Gov","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/243184711_223476796482546_7907706067647562237_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JLvs1SWL_cMQ7kNvwHP7wMH&_nc_oc=AdrKrLC_qRcbAahkQTXlhMQLiJolPlk7AITHqJiXWQqon2LSQ12JLDSoONUjaODG2Pw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=bmOijq4HqPpx0a_uX5mwZw&_nc_ss=7c2a8&oh=00_AQAlxjVsBQggrTmd8GX_NVnoLAYIyXt666b9n8huKGKd2A&oe=6A600AD1","https://www.facebook.com/antipolocitygovernment","4","720697701313534","FLOOD AND TRAFFIC UPDATE
As of 12:00nn

Junction (Cainta) to Ortigas Avenue (Pasig City) now both lanes passable. 

Fast moving from Ortigas to Junction

Expect moderate traffic as you approach Ever Gotesco Pasig.

For those going to Antipolo,
Expect light traffic as you approach Rublou/Brookside. 

Marcos Highway
traffic situation along marcos highway- both directions light to moderate. From masinag going to sta lucia- 3 to 4 lanes passable; from sta lucia to masinag- 3 lanes... Light vehicles on innermost lane; heavy vehicles  outer lanes.

Highway 2000
Slow moving due to poor road condition and volume of vehicles","69",,"69","31","1411187084000","https://www.facebook.com/antipolocitygovernment/posts/pfbid02r1tP54CHwf3gKRorgCB47ckE8mZPGtmgoLQGC5ry31cwPsyPzMTWcTjSoAY2hwWal"
,,,,,,,,,,,,,,,,,,,,"100064606813035","Antipolo City Gov","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/243184711_223476796482546_7907706067647562237_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JLvs1SWL_cMQ7kNvwHP7wMH&_nc_oc=AdrKrLC_qRcbAahkQTXlhMQLiJolPlk7AITHqJiXWQqon2LSQ12JLDSoONUjaODG2Pw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=bmOijq4HqPpx0a_uX5mwZw&_nc_ss=7c2a8&oh=00_AQAlxjVsBQggrTmd8GX_NVnoLAYIyXt666b9n8huKGKd2A&oe=6A600AD1","https://www.facebook.com/antipolocitygovernment","65","720576324659005","FLOOD AND TRAFFIC ADVISORY
As of 5:30am, Sept.20,2014

Marcos Highway (Vermont to Sta. Lucia) - waist deep not passable to ALL TYPES

Ortigas Ave. Ext. (Junction to Don Mariano) - below knee deep - not passable to LIGHT VEHICLES

Ortigas Ave. Ext. (Junction to Ortigas) NOT PASSABLE

Imelda Ave (Junction to Sta. Lucia) -  below knee deep (passable to light vehicle)

C5 passable to ALL types

Sources: Cainta Traffic/MMDA traffic advisory","72",,"72","115","1411164153000","https://www.facebook.com/antipolocitygovernment/posts/pfbid02xJsCy8sziSpzmJp4ggCWiQHR8MVniU54FuLe2CX8oyaqjPaQmTGUFkyvQxPpng4il"
,,,,,,,,,,,,,,,,,,,,"100064606813035","Antipolo City Gov","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/243184711_223476796482546_7907706067647562237_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JLvs1SWL_cMQ7kNvwHP7wMH&_nc_oc=AdrKrLC_qRcbAahkQTXlhMQLiJolPlk7AITHqJiXWQqon2LSQ12JLDSoONUjaODG2Pw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=bmOijq4HqPpx0a_uX5mwZw&_nc_ss=7c2a8&oh=00_AQAlxjVsBQggrTmd8GX_NVnoLAYIyXt666b9n8huKGKd2A&oe=6A600AD1","https://www.facebook.com/antipolocitygovernment","16","720323441350960","FLOOD AND TRAFFIC ADVISORY:
As of 2:30pm, Sept.19, 2014

NOT PASSABLE TO ALL TYPES OF VEHICLES
- Marcos Highway
- V.V. Soliven
- Sumulong Highway Extension
- Ortigas Avenue Extension
- Highway 2000 (Taytay) 

FLOODED BUT STILL PASSABLE
- Floodway
- Baytown (Angono-Taytay Coastal Road)

Keep on posting updates/photos about your areas.

Stay safe everyone! #AlertoAntipoleño #NumeroUnoAntipolo","66",,"66","52","1411108913000","https://www.facebook.com/antipolocitygovernment/posts/pfbid0fPcbwPV8kFTZefUDZX8zq35KeqMZs4s2bSVV3Zg5FEYzE4xVRrvFFtYvaet7JCrrl"
,,,,,,,,,,,,,,,,,,,,"100064606813035","Antipolo City Gov","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/243184711_223476796482546_7907706067647562237_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=JLvs1SWL_cMQ7kNvwHP7wMH&_nc_oc=AdrKrLC_qRcbAahkQTXlhMQLiJolPlk7AITHqJiXWQqon2LSQ12JLDSoONUjaODG2Pw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=bmOijq4HqPpx0a_uX5mwZw&_nc_ss=7c2a8&oh=00_AQAlxjVsBQggrTmd8GX_NVnoLAYIyXt666b9n8huKGKd2A&oe=6A600AD1","https://www.facebook.com/antipolocitygovernment","4","720236228026348","FLOOD AND TRAFFIC ADVISORY:
As of 8:00am, Sept.19, 2014

NOT PASSABLE TO ALL TYPES OF VEHICLES
 -Marcos Highway
- V.V. Soliven
-Sumulong Highway Extension

Keep safe everyone! #AlertoAntipoleño #NumeroUnoAntipolo","108",,"108","212","1411085417000","https://www.facebook.com/antipolocitygovernment/posts/pfbid0G5GNfkbvkK9b1XP4swFg5sguzLDhHLQV7qJCsrPb9pcfKoHpJ185qYmzmbJm4tjyl"
