"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/anger","reactions/haha","reactions/like","reactions/love","reactions/sorry","reactions/wow","reactionsCount","sharesCount","timestamp","url"
,,,,,,,,,,,,,,,,"100064616655120","Philippine Star","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/341858556_918415572727450_374717831366242673_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=g5LUxtqmcMcQ7kNvwGSYvuE&_nc_oc=AdruuCNsj6167uRKCmcN2REzKfdMjsgM0CsIqb5EeVcZmoW9Hb10e1I6gVptloVmKkY&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=j0qU52RPturuhZsogCupCg&_nc_ss=7c2a8&oh=00_AQDj00ms3vbxf4BdhWGjRiAy34L2uGwm_AIpu_OhFkXjkg&oe=6A5FE980","https://www.facebook.com/PhilippineSTAR","3","2271715596448065","Sa mga commuters at pedestrians, mag-ingat po tayo sa mga lansangan ngayong araw. Maraming lugar ang lubog sa baha at may mga nagtumbahan ding mga puno at poste.
#OmpongPH #Mangkhut #TyphoonUpdate","1",,"28",,"23","4","56","10","1536986387000","https://www.facebook.com/pedestriansmuna/posts/pfbid0v7kGrTGVXQnxZC6ATwnUPEUks2qEcFeB5YeGZTRurTLHMs7JyaBXMNcsxUbJT1bAl"
"No photo description available.","10161015378890077","photo","https://www.facebook.com/photo/?fbid=10161015378890077&set=gm.1172036186286489",,,,,,,,,,,,,"883005076","Gerard Ang Ngo Ching","https://scontent-iad6-1.xx.fbcdn.net/v/t1.6435-1/96086532_10163758626765077_5097441511025410048_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx914x914&ctp=s24x24&_nc_cat=106&ccb=1-7&_nc_sid=e99d92&_nc_ohc=x9M5K3hF1N8Q7kNvwFB1L8M&_nc_oc=AdrLaF0pxahmBeg-3IWbAzZOgDQ5cjmcmE-KkrSncx2MugsiObwNCpEWeKK5JMxiQPU&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=j0qU52RPturuhZsogCupCg&_nc_ss=7c2a8&oh=00_AQBgGHzTVVfzR-d19uavuvoWGeq0uoDMS-o79M_GFdGEog&oe=6A8193E0","https://www.facebook.com/gerard.a.ching","8","1172036186286489","Ang taas na ng tubig baha dito sa amin dahil sa walang tigil na Pug-ulan, halos hanggang dibdib na po ang tubig... Stay safe everyone! Oishii 🤣✌️😉",,"35","59","21",,,"115","0","1536981680000","https://www.facebook.com/groups/dog.ph/permalink/1172036186286489/"
"No photo description available.","1701718643273894","photo","https://www.facebook.com/photo/?fbid=1701718643273894&set=a.439498221531844",,,,,,,,,,,,,"100064150086814","KT's StuffShoppe","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/301777585_439498264865173_2710331155794479218_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx720x723&ctp=s40x40&_nc_cat=106&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=sZnmm8Vo_uIQ7kNvwHOe-PT&_nc_oc=Adrzwk5Wzp11Z-JKAvnrZeSvhKFJDAZY2ePPhfev5-GEQQVXhygCcCWrAdVYocYZQ2A&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=j0qU52RPturuhZsogCupCg&_nc_ss=7c2a8&oh=00_AQAlYyYIt8Fsrn68UE3rMHcbkQ80VaNCXmnnl7mucjknsw&oe=6A60079A","https://www.facebook.com/ktsstuffshoppe","2","1701718663273892","Musta Kyo? Stay safe and relax.. God is great. 
You are blessed.. 
Perfect picture of a person who is happy and relax kahit baha",,,"2",,,,"2","0","1537060589000","https://www.facebook.com/ktsstuffshoppe/posts/pfbid02ssZs5eiyUhFiwxYP7kkZ4SMytdFMeL8U7prz8qXwdf4NcwiVy9otdJJQ6DWqvXffl"
"No photo description available.","291461968251006","photo","https://www.facebook.com/photo.php?fbid=291461968251006&set=a.411876897769097&type=3","No photo description available.","291462001584336","photo","https://www.facebook.com/photo.php?fbid=291462001584336&set=a.411876897769097&type=3","No photo description available.","291462038250999","photo","https://www.facebook.com/photo.php?fbid=291462038250999&set=a.411876897769097&type=3","No photo description available.","291462084917661","photo","https://www.facebook.com/photo.php?fbid=291462084917661&set=a.411876897769097&type=3","100068403693887","Hybrid Kamote","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/309410226_411876924435761_2318746114400716815_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx452x456&ctp=p40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=rWoqrtTTAjYQ7kNvwENToE9&_nc_oc=AdqCnvcEPhdHo6kpCc7ZobDCzbVpGcC-J2-iUBwSEZJRXxQo_dhSuVA7Dgjdy3Whstw&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=j0qU52RPturuhZsogCupCg&_nc_ss=7c2a8&oh=00_AQBqWS8mhzYh1sdj9NbfTwXpZRTlwXntW26lQr-MMRG0tA&oe=6A5FE18C","https://www.facebook.com/hybridkamote17","0","291462111584325","Mga Immortal. Walang Bagyo at Baha na makakapigil sa kanila.",,"5","13",,,,"18","10","1536993782000","https://www.facebook.com/hybridkamote17/posts/pfbid0H359HKGm9BPr81wfrfSFhfbjdbuvqYLypb2DWPY9BL19VibXDfvRFE1yJa8HYdNJl"
,"541987152922440","video",,,,,,,,,,,,,,"100064256551876","NIAS News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/444152820_840613411423870_2227677054895348915_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FddyXKxGAxgQ7kNvwHnSMw6&_nc_oc=AdpFqEwW0fAGxz5HdPneF7vFbbJcA5I14ErLPBFVpARQZDaB6fg90xtcP1QTGTsyOXs&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=j0qU52RPturuhZsogCupCg&_nc_ss=7c2a8&oh=00_AQDZygd0vmBMp01dV8Y93uOxpFho2gUWBf1WalRyPvHFVw&oe=6A600806","https://www.facebook.com/NIASNews","1","541987152922440","Region-Northern Luzon: PANOORIN: | HAGUPIT NI OMPONG. Halos nakikipagbuno ang ilang mga sasakyan sa  KM 3 sa bayan ng La Trinidad, Benguet dahil sa mataas na baha mula sa bundok, ayon sa La Trinidad Police hindi pa madaraanan ng mga light vehicle ang nasabing kalsada. RVG, NIAS News Philippines [Video via Ltmps Pcr] #OmpongPH #FloodPH",,,"6",,"4","1","11","9","1536997846000","https://www.facebook.com/NIASNews/videos/541987152922440/"
,"2228626554032357","video",,,,,,,,,,,,,,"100064256551876","NIAS News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/444152820_840613411423870_2227677054895348915_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FddyXKxGAxgQ7kNvwHnSMw6&_nc_oc=AdpFqEwW0fAGxz5HdPneF7vFbbJcA5I14ErLPBFVpARQZDaB6fg90xtcP1QTGTsyOXs&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=j0qU52RPturuhZsogCupCg&_nc_ss=7c2a8&oh=00_AQDZygd0vmBMp01dV8Y93uOxpFho2gUWBf1WalRyPvHFVw&oe=6A600806","https://www.facebook.com/NIASNews","6","2228626554032357","Region-Central Luzon: PANOORIN: | HAGUPIT NI OMPONG. Inanod ang isang lalake ng rumaragasang baha sa  Romulo Highway sa Malacampa, Camiling, Tarlac kaninang umaga dulot ng malakas na buhos ng ulan ngunit sa tulong ng mga residente at mga awtoridad ay nailigtas ang biktima, nasa maayos na rin ang kondisyon ang lalake . RVG, NIAS News Philipoines [Video via Lord Aquino] #OmpongPH",,,"17",,"16","2","35","25","1536996518000","https://www.facebook.com/NIASNews/videos/2228626554032357/"
"No photo description available.","2066320260065308","photo","https://www.facebook.com/photo.php?fbid=2066320260065308&set=a.581491877354119&type=3","No photo description available.","2066320356731965","photo","https://www.facebook.com/photo.php?fbid=2066320356731965&set=a.581491877354119&type=3","No photo description available.","2066320400065294","photo","https://www.facebook.com/photo.php?fbid=2066320400065294&set=a.581491877354119&type=3",,,,,"100064799343804","Gen Lee Events","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/327291030_935323214140367_3295452200329093933_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx480x489&ctp=p40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=njtYgEQ2t6UQ7kNvwHMKn3Z&_nc_oc=Adrnh3znV2ES67Dzg0ysSfAR8BA1xMN-g7pj5tBH4cZgGc6PIgWZekSTXN2Y9gRdKJw&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=JsmhY-9pcZMDIxH9ARs7Kw&_nc_ss=7c2a8&oh=00_AQAUNQ0tuyfLM-WpgHV5YkIIG_Vz7VlED-Qv93W_-mBfeQ&oe=6A5FE46A","https://www.facebook.com/GenLeeEvents","0","2066320436731957","At the wedding today, the couple thanked all their wedding suppliers despite the typhoon. We all felt their thank you from the bottom of their heart. Yung kulang nalang lumuhod sila. 

Before leaving the house, sabi ng anak ko ""mommy bakit ka mag wowork may bagyo?""

Being a wedding supplier is not easy. It is hazardous; at times you need to risk your life to ensure that the first day of their happily ever after will be achieved successfully.

We bring dream weddings to life in exchange of a little sacrifice on our part.

Sa buhay ng events, walang bagyo, walang baha, walang kudeta, walang strike, walang kung anu man ang makakapigil sa amin.

Because at the end of day, it's all worth it.

Mabuhay ang lahat ng wedding suppliers! 😁

#buhaycoordinator #buhayevents #weareheroes #itaguyodangbandera #emcee #coordinator #weddingsupplier #genleeevents #emceegen #maievents #verandasdesanvicente",,,"22","7",,,"29","3","1537015049000","https://www.facebook.com/GenLeeEvents/posts/pfbid02HcbgLK5QikZT2YVgiriqbyTgiFYvthzFbXphL9K7Eq42VnC5GYkkNnoYpqdimJM9l"
,,,,,,,,,,,,,,,,"100064799343804","Gen Lee Events","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/327291030_935323214140367_3295452200329093933_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx480x489&ctp=p40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=njtYgEQ2t6UQ7kNvwHMKn3Z&_nc_oc=Adrnh3znV2ES67Dzg0ysSfAR8BA1xMN-g7pj5tBH4cZgGc6PIgWZekSTXN2Y9gRdKJw&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=JsmhY-9pcZMDIxH9ARs7Kw&_nc_ss=7c2a8&oh=00_AQAUNQ0tuyfLM-WpgHV5YkIIG_Vz7VlED-Qv93W_-mBfeQ&oe=6A5FE46A","https://www.facebook.com/GenLeeEvents","0","2109705826013720","At the wedding today, the couple thanked all their wedding suppliers despite the typhoon. We all felt their thank you from the bottom of their heart. Yung kulang nalang lumuhod sila. 

Before leaving the house, sabi ng anak ko ""mommy bakit ka mag wowork may bagyo?""

Being a wedding supplier is not easy. It is hazardous; at times you need to risk your life to ensure that the first day of their happily ever after will be achieved successfully.

We bring dream weddings to life in exchange of a little sacrifice on our part.

Sa buhay ng events, walang bagyo, walang baha, walang kudeta, walang strike, walang kung anu man ang makakapigil sa amin.

Because at the end of day, it's all worth it.

Mabuhay ang lahat ng wedding suppliers! 😁

#buhaycoordinator #buhayevents #weareheroes #itaguyodangbandera #emcee #coordinator #weddingsupplier #genleeevents #emceegen #maievents #verandasdesanvicente",,,"2",,,,"2","0","1537015081000","https://www.facebook.com/emceegenprofessionalhost/posts/pfbid0T4qNvAPJQXT19cZP8WHLps9Ccz6CSYjZDEGZVLkwWkZHL9X1kyrHBvtvD4VD2qGHl"
"No photo description available.","2388209794529212","photo","https://www.facebook.com/photo.php?fbid=2388209794529212&set=a.450601887091693&type=3","No photo description available.","2388209801195878","photo","https://www.facebook.com/photo.php?fbid=2388209801195878&set=a.450601887091693&type=3","No photo description available.","2388209824529209","photo","https://www.facebook.com/photo.php?fbid=2388209824529209&set=a.450601887091693&type=3",,,,,"100064256551876","NIAS News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/444152820_840613411423870_2227677054895348915_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FddyXKxGAxgQ7kNvwHnSMw6&_nc_oc=AdpFqEwW0fAGxz5HdPneF7vFbbJcA5I14ErLPBFVpARQZDaB6fg90xtcP1QTGTsyOXs&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=JsmhY-9pcZMDIxH9ARs7Kw&_nc_ss=7c2a8&oh=00_AQAVWPLPXfxO6nKjXVdzh9oA4-vd22lWuHQA3PnqUnX23A&oe=6A600806","https://www.facebook.com/NIASNews","0","2388209871195871","FLOOD WATCH: TIGNAN: | HAGUPIT NI OMPONG. Abot ankle na rin ang baha sa  Mc Arthur Highway, na sakop ng Barangay Ibayo, Marilao Bulacan dahil sa malakas na buhos ng ulan ngayong umaga. RVG, NIAS News Philippines [Photos via Brgy. Ibayo Rescue]
---------------------------------------------
#Kanias! I-like at i-share ang aming post at i-tag na ang inyong mga kaibigan para sa pinakasariwang balita at inpormasyon",,,"4",,"1",,"5","1","1536978801000","https://www.facebook.com/NIASNews/posts/pfbid0ZCroRdBV3uJsHfXCJjJgj7wAmTz5gFbyxCYCRWAXfJsETE9S8hpD1DHwFviXLb8Yl"
"No photo description available.","1958103151161755","photo","https://www.facebook.com/photo/?fbid=1958103151161755&set=a.371764808292580",,,,,,,,,,,,,"100063771919030","Mga Tula At Awit Ni Tata Puroy Batang Pinoy","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/278051850_371764844959243_265149352014381278_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1199x1200&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=freih8XI6UMQ7kNvwEuQeCw&_nc_oc=Adq01eEt9XxoXhhayHQnYj4GG8a39VljzXU_o4V6jqf2MqufOlcE8NP17MDJoTNI3lY&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=JsmhY-9pcZMDIxH9ARs7Kw&_nc_ss=7c2a8&oh=00_AQCcogwdmcxcQ8peWxi153HpYPbZa-_bWVrb-EVW90v9KQ&oe=6A5FE742","https://www.facebook.com/fastgenstudio","1","1958103301161740","Bagyo ng Kalikasan Bagyo sa Pamahalaan
By: Froilan G. Malimban

Ilang bagyo na ba ang humagupit sa ating bayan
Dading Yoling Yolanda ngayon naman’y si Ompong
Ilan lang sila sa super bagyong dumaan at sumubok
Sa pagkakaisa ng Pilipino at sa tibay ng loob

Illegal logging at mining at pagkalbo sa mga bundok
Resulta ay soil erosion,lason sa dagat at mga ilog
Bawat bagyo na humagupit kalamidad ay kalunos-lunos
Hampas ng kalikasan sa bayan kong binusabos

Baha ang buong bayan sira maraming tahanan
Alagang hayop , halaman nalunod ,nawasak ng tuluyan
Sa daluyong na humampas umapaw ang dalampasigan
Maraming buhay ang nalagas dulot ay kasawian

Bagyong Kurakot at Droga sa bayan natin ay salot
Sumabay pa ang Inflation na matindi ang pagbulusok
Ang bangaan ng mga higanteng pamilya ng dinastiya
Ay bagyo rin nagpasadsad sa bansa natin ay lumukob

Sa bawat tulo ng pawis at luha ng kahirapan
Sana ay tumigatig sa puso ng mga lider ng bayan
Tigilan na ang bagyo ng pulitikang walang humpay
Panahon ng pagkakaisa,itayo dangal ng bayan

Bawat pulitikong sikat,magaling ba at matalino?
Sama-samang lumusong sa tunay na reconcillation
Mabagabag naman kayo sa nalulunod na bansa ko
Nagugutom naghihirap sa bagyong dulot ng away nyo!",,,"4","1",,,"5","2","1536970508000","https://www.facebook.com/fastgenstudio/posts/pfbid0289biyW2Mogt5JVYyrcxAVBvJV2p8rcFx7SaMe9iRu7ucBT3bdYsTi8mrvHRAcTcel"
