"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/like","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","453761771325776","photo","https://www.facebook.com/photo/?fbid=453761771325776&set=a.193410029730221","100071836765893","Baha ka lang, Pinoy Kami","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/307871368_193410053063552_3928856681465458841_n.png?stp=cp0_dst-png&cstp=mx500x500&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ITpO0eluTNAQ7kNvwGB7_TJ&_nc_oc=AdrJ59uLldswFzmLtsZiBRLbdUrc4SAdY-Kx87f1fJrb1wi2ZsNXxNKgn8zyALrYuvc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=2zni28GyM_HF8_ajTqoeFg&_nc_ss=7c2a8&oh=00_AQBTW6C6ETW7W2165KvRqzQ6j5oE72rG_49zHM67_lqNRg&oe=6A601956","https://www.facebook.com/BKLPK.AdmeenP","40","453761771325776","Crush nyo paren ba sya? :( HAHAHA :)

HireAdmin→University of Cute and Single ツ
Like→University of Cute and Single ツ


•|Paul Rosales II|•","58","58","31","1354602821000","https://www.facebook.com/photo.php?fbid=453761771325776&set=a.193410029730221&type=3"
"No photo description available.","453728724662414","photo","https://www.facebook.com/photo/?fbid=453728724662414&set=a.193410029730221","100071836765893","Baha ka lang, Pinoy Kami","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/307871368_193410053063552_3928856681465458841_n.png?stp=cp0_dst-png&cstp=mx500x500&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ITpO0eluTNAQ7kNvwGB7_TJ&_nc_oc=AdrJ59uLldswFzmLtsZiBRLbdUrc4SAdY-Kx87f1fJrb1wi2ZsNXxNKgn8zyALrYuvc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=2zni28GyM_HF8_ajTqoeFg&_nc_ss=7c2a8&oh=00_AQBTW6C6ETW7W2165KvRqzQ6j5oE72rG_49zHM67_lqNRg&oe=6A601956","https://www.facebook.com/BKLPK.AdmeenP","73","453728724662414","Anu Mali ? :)

HireAdmin→University of Cute and Single ツ
Like→University of Cute and Single ツ


•|Paul Rosales II|•","89","89","13","1354592950000","https://www.facebook.com/photo.php?fbid=453728724662414&set=a.193410029730221&type=3"
,,,,"","Umagang KayGanda (Official Page)","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/351128784_272036778627999_8495009531995876496_n.jpg?stp=c81.0.486.486a_cp0_dst-jpg_tt6&cstp=mx486x486&ctp=s40x40&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=qVMgXzIzXHYQ7kNvwEOs323&_nc_oc=AdrrmXASm-YBXqUQYazngYTtovmtisxVtBAPgBt0S0xhdC2_9WFt7F48neHrR8pz-Lk&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=2zni28GyM_HF8_ajTqoeFg&_nc_ss=7c2a8&oh=00_AQC1-ut2pmSmZ2P9qvvszhdNwy9yL4AlKDqlbv1yMpy-rQ&oe=6A603E41","https://www.facebook.com/ukgdos","108","176930315779582","PUNTO POR PUNTO (Dec. 5, 2012) Pag-usapan po natin itong paghagupit ng Bagyong Pablo na kung saan ay naging sentro ang Mindanao at ilang bahagi ng Visayas. Apatnapu't-tatlong (43) katao ang kumpirmadong namatay sa flashflood sa Barangay Andap, New Bataan, Compostela Valley. Ayon kay Philippine Army 10th Infantry Battalion Spokesman Lieutenant Colonel Lyndon Paniza, pawang mga sundalo at sibilyan ang mga biktima. 23 rin aniya ang sugatan sa flashflood. Karamihan umano sa mga biktima ay nalunod habang ang iba naman ay nabagsakan ng mga puno. Sinasabing nasa isang command post ang mga biktima nang anurin ng rumaragasang baha. Itutuloy ngayong araw ang search and rescue operations sa mga nawawalang biktima. Sa tala ng naman ng NDRRMC, siyam  pa lamang ang kumpirmadong patay. Hindi pa aniya nila maaaring idagdag sa opisyal na bilang ng mga biktima ang mga sinasabing namatay hangga't hindi nakakakuha ng opisyal na ulat mula sa mga opisyal ng militar, gobernador at LGU officials sa mga apektadong lugar.","56","56","6","1354661271000","https://www.facebook.com/ukgdos/posts/176930315779582"
,,,,"100064632611542","Bayan Mo, Ipatrol Mo","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/418541514_765959235568490_619545813751899744_n.jpg?stp=c461.29.1111.1112a_cp0_dst-jpg_tt6&cstp=mx1111x1112&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=uOfnjF7jFPsQ7kNvwFt7q14&_nc_oc=AdrahKOG2w4nMj3IfHsSi0MCNBQp1ZEoFrgt1BENW0r2RSotGfJFIzTk1YCo_BWRu2U&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=2zni28GyM_HF8_ajTqoeFg&_nc_ss=7c2a8&oh=00_AQCwxPRMm93IdJWdxjxN0_36eZ2VkKuuc7-1F3HZV3oAXA&oe=6A603D1B","https://www.facebook.com/bayanmoipatrolmo","1","501250183229563","Ilang guidelines lang sa pag-kuha at pag-post ng mga Bayan Patroller reports: 
1) SAFETY FIRST. Yun po ang unang obligasyon nyo -- sa sarili at sa pamilya.
2) Mas mabuti mag-post ng sariling kuha.
3) Sabihin agad kung kuha ninyo. Kung sa kaibigan nyo naman, ibigay agad ang pangalan ng may-ari. Kung di nyo alam kung saan nanggaling, paki-sabi din agad. (Actually, kung di nyo alam kung saan nanggaling at di man ninyo sigurado kung totoo o peke ang isang litrato o video, mag-pm na lang at wag public post. Yan ang dahilan minsan sa pagkalat ng maling balita.)
4) Maglagay ng kumpletong detalye: Saan exacto ang lugar (bayan at barangay at kung pwede, ang street); Kailan mismo kinuha (petsa at oras) -- at kung may update na sa kondisyon, paki sabi na din. May mga late na posts kasi dahil sa brownout at kung di kayo mag-update sa post mismo, baka mag-akala ang iba na baha pa kahit na humupa na ang tubig.
5) Kung nag-papaabot kayo ng info na second hand o third-hand, paki sabi din. Mas mabuti po kung ma-PM nyo sa amin ang contact number ng original source nang makausap namin ng derecho.
Alam po namin na napaka-halaga sa inyo ang makakuha ng tamang impormasyon. Mag-tulungan po tayo. Maraming salamat po. Mag-ingat po ag lahat!","62","62","13","1354640431000","https://www.facebook.com/bayanmoipatrolmo/posts/pfbid0si4sgUbqypBjiCv2mD1YQavCcFriZSDaYp7tk3Uzc4N4S5i8pVz8n6uKj7LPKXdwl"
,,,,"116724526976","GMA News","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/658216539_1459297662908553_7892569438724908023_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1200x1200&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=_9Kw3PkUnsIQ7kNvwFR9vAp&_nc_oc=Ado9cUUySSxwIoSkY9vLE083aTqQqHXYwqMd7YJrS3gzCdYZXE9OgVEKuS5F-2laEg0&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=2zni28GyM_HF8_ajTqoeFg&_nc_ss=7c2a8&oh=00_AQCi7x8bmPi7qg5lEKcOlZK_ls0UOEqmNlsnKXkThzWNEQ&oe=6A6033FF","https://www.facebook.com/gmanews","30","428684747199455","Umabot na umano sa 43 ang kumpirmadong namatay, 25 ang sugatan, habang siyam naman ang patuloy pang pinaghahanap matapos rumagasa ang malakas na baha dala ng bagyong Pablo sa bayan ng New Bataan, Compostela Valley.

Ang siyam na nawawala ay mga sundalong sakay sa isang Army truck habang nagsasagawa ng rescue operations sa New Bataan, na matinding tinamaan ng bagyong Pablo.","49","49","65","1354665642000","https://www.facebook.com/gmanews/posts/428684747199455"
,,,,"100050162423834","GAYON BICOL","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/356150869_781155593566514_5753456602440203858_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=102&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=AN9-_dE6VswQ7kNvwGf_xT0&_nc_oc=AdpqlH6KDd5Cc-N9wnvMxG4wgeHbt9qgHeqavc5sZIVnHN7QSTd-QjgJ9gCxfVCKYIw&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=dnEIMb3EZM3k3jsi5kkI-Q&_nc_ss=7c2a8&oh=00_AQCE03FitU9C8cDKaA3sjvOSyc9oVW26S3O5dWq-b2nuIA&oe=6A600CDA","https://www.facebook.com/GBicool","219","10151314728170743","ORATIO IMPERATA ( Bicol Version )
( Ipinagboboot na Pamibi laban sa mga Bagyo asin iba pang mga Kapahamakan)

Amang makakamhan, iniitaas mi ang samong mga puso 
sa pagpapasalamat huli kan mga nangangalasan kan Saimong linalang,
huli kan Saimong pangataman sa pagtao Mo
kan samong mga pangangaipo digdi sa daga,
asin huli kan Saimong kadunongan na nag-aantabay 
kan lakaw kan bilog na kinaban.

Inaako mi na nagkasala kami Saimo asin sa kapalibutan.
Dai mi nasabotan asin naotob an Saimong kabotan na atamanon
an kinaban.

An kapalibutan nagsasakit huli kan samong mga salang gibo,
Asin ngonyan namamatean mi na
An pagdusang-balik kan samong pag-abuso asin kapabayaan.
Padagos an labi-labing pag-init kan kinaban.
Huli kaini naglalawig an tig-initan; nagdadakul asin nagkukusog an mga bagyo, uran, baha, pagtuga kan bulkan, asin iba pang mga natural na calamidad.

Dai kaming mabibirikan kundi Ika, mamomoton na Ama.
Sa saimo kami minahagad nin kapatawaran kan samong mga kasalan.
Ilikay mo kami, an samong mga namomotan, asin mga pagrogaring
Sa peligro nin mga calamidad, natural man o kagibohan nin tawo.

Antabayan Mo kaming magtalubo na magin mga responsableng Paraataman kan saimong linalang.
Asin mga matinabang na parasurog kan kapwang nangangaipo.
Huli ki Kristo, samong Kagurangnan.

Amen.
V- Nuestra Señora de Salvacion 
R- Ipamibi mo kami.

Approvado kan Simbahan: Diocesis kan Legazpi","834","834","268","1354634362000","https://www.facebook.com/GBicool/posts/pfbid0Nb2KnnEMyVZp6rjT3N7Aj4h7NLwgsW5jFBU8JF8zJvHzhJiC77MZJmJ47iQt4C7ql"
"No photo description available.","454153954619891","photo","https://www.facebook.com/photo/?fbid=454153954619891&set=a.193410029730221","100071836765893","Baha ka lang, Pinoy Kami","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/307871368_193410053063552_3928856681465458841_n.png?stp=cp0_dst-png&cstp=mx500x500&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=ITpO0eluTNAQ7kNvwGB7_TJ&_nc_oc=AdrJ59uLldswFzmLtsZiBRLbdUrc4SAdY-Kx87f1fJrb1wi2ZsNXxNKgn8zyALrYuvc&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=dnEIMb3EZM3k3jsi5kkI-Q&_nc_ss=7c2a8&oh=00_AQBiotXILAHvxdSZMaN7XO_ZrzKw4OIaoa4nuQxuRaVkSQ&oe=6A601956","https://www.facebook.com/BKLPK.AdmeenP","4","454153954619891","Please Like --> http://www.facebook.com/Karen.Karenatics

- Admin YumiK","70","70","2","1354695128000","https://www.facebook.com/photo.php?fbid=454153954619891&set=a.193410029730221&type=3"
"No photo description available.","418746038193681","photo","https://www.facebook.com/photo/?fbid=418746038193681&set=a.291476770920609","100083727060802","Ako C Kim (fan page)","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/308048974_128315866635982_9119810765506369104_n.jpg?stp=c29.0.777.777a_cp0_dst-jpg_tt6&cstp=mx777x777&ctp=s40x40&_nc_cat=109&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=1oiuRwxsFOIQ7kNvwFJCPDY&_nc_oc=AdpsDZ_kQQ7BmCuOrXlWB7GuQndCM1ivffczyJDFMrrBviLxLnV11HLpKe2TUMtSED4&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=dnEIMb3EZM3k3jsi5kkI-Q&_nc_ss=7c2a8&oh=00_AQB9NqWELKHnWnMmC1GesEdG1-JdDqXV6aYm74FZFaUscA&oe=6A6018B1","https://www.facebook.com/AkoCKimfanpage","1","418746038193681","TYPHOON SAFETY MEASURES
By George Nava True ll

Sa pagpasok ng super typhoon Pablo sa ating bansa, kailangan laging handa para maiwasan ang disgrasya. Narito ang ilang safety tips na dapat sundin upang makisiguro na walang problema.

Siguraduhin na meron kang sapat na tubig at pagkain kung sakaling bumaha at hindi ka makalabas ng bahay. Dahil malakas ang hangin at ulan na dulot ng bagyo, huwag isipin na laging bukas ang suopermarket o sari-sari store na malapit sa iyo.

Siguraduhin na matibay at mataas ang bahay mo laban sa malakas na hangin at baha. Kung delikado ang lugar mo, lumipat sa ibang bahay o pumunta sa pinakamalapit na evacuation center.

Para hindi mahirapan kung walang ilaw, make sure na gumagana ang flashlight mo at bumili ng baterya para dito. Pwede rin gumamit ng kandila pero huwag itong ilagay malapit sa bintana, kurtina o sa mga bagay na mada- ling masunog. Patayin ito kapag matutulog ka na.

Iwasan lumabas ng bahay kung may bagyo. Baka ka matamaan ng lumilipad na yero o live wire.

Kung kailangang lumabas, magsuot ng makapal na jacket at magdala ng payong para hindi ka mabasa at magkasakit. Gumamit din ng bota para hindi ka makaapak sa maduming tubig-baha.

Makinig ng balita para malaman ang kalagayan ng bagyo at makaiwas sa mga delikadong lugar.

Bumili ng maliit na radyo para may magamit ka kung sakaling walang kuryente. Pwede rin makinig ng balita sa cellphone but make sure na fully charged ito bago bumagyo.","67","67","12","1354648226000","https://www.facebook.com/photo.php?fbid=418746038193681&set=a.291476770920609&type=3"
"No photo description available.","472402639467596","photo","https://www.facebook.com/photo/?fbid=472402639467596&set=a.675538573947381","100044737320314","Tibok ng mga PuSo","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/310055898_675538597280712_4199185549357695616_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx645x645&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=OlNHAh3m0qMQ7kNvwE3ZxSb&_nc_oc=AdpCGY_4ALN58f7DJDvXA5OoU1APK3lv3AHI6X_QzBYcYBcKUB3ouysMYgilfSiwGkQ&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=dnEIMb3EZM3k3jsi5kkI-Q&_nc_ss=7c2a8&oh=00_AQBSmHiF1bQH6V8WmXFmh_EIFqqZrBAbKo-A0ecLOILB8w&oe=6A602B16","https://www.facebook.com/bastapusoangusapan","13","472402639467596","NEWS BREAK

43 patay, 9 nawawala sa flash flood sa ComVal — heneral
 
December 5, 2012 7:27am

 
Umabot na umano sa 43 ang kumpirmadong namatay, 25 ang sugatan, habang 9 naman ang patuloy pang pinaghahanap matapos rumagasa ang malakas na baha dala ng bagyong Pablo sa bayan ng New Bataan, Compostela Valley.

Ang siyam na nawawala ay mga sundalong sakay sa isang Army truck habang nagsasagawa ng rescue operations sa New Bataan, na matinding tinamaan ng bagyong Pablo.

""[Umaabot na] sa 43 ang accounted dead, 25 injured. Sa casualty ng sundalo nine ang missing, isa ang patay, isa ang injured,"" ayon kay Philippine Army 10th Infantry Division commander Major General Ariel Bernardo sa panayam ng dzBB nitong Miyerkules.

Ayon sa heneral, ang baha ay nagmula sa isang ""spring"" ng New Bataan, na kilala sa maraming waterfalls nito.

Pahirapan umano ang rescue operations dahil walang signal ang mga cellular sites sa lugar dahil na rin sa pagkawala ng kuryente sa buong Compostela Valley.

Sinabi ng opisyal na inaasahan nilang darating sa New Bataan nitong Miyerkules ang kanilang mga kagamitan at mga karagdagang rescuers para maipagpatuloy ang search and rescue operations. — 

SHARED BY MYRIN","93","93","40","1354672220000","https://www.facebook.com/photo.php?fbid=472402639467596&set=a.675538573947381&type=3"
,,,,"100003362383866","Gretchen Bautista Vidas","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/662087140_26086314624397261_9214790693612932642_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1365x1365&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=1d2534&_nc_ohc=86UXr-gRCEYQ7kNvwHGoZ9-&_nc_oc=AdpyTdTV3kIAe7nQztnQcNkphUG32dxDNBxSyHnrLPFTRK3IyUm3R7NV9e0EZVN0uOE&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=dnEIMb3EZM3k3jsi5kkI-Q&_nc_ss=7c2a8&oh=00_AQASjSZps1u_AtEjma-ficH62q_Lz2qUo1_zvy-lgM6afw&oe=6A60207A","https://www.facebook.com/gretchenticketingservices","0","10151294465461473","Ang sa pagsabangan nga sapa kay taas na, ang asunci0n kay taga hawak na ang flo0d, paspas gyud magtaas ang dri sa pagsabangan hangtod sa la uni0n, baha jud day0n",,,"0","1354634795000","https://www.facebook.com/allan.rellon/posts/10151294465461473"
