"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","attachments/1/accessibilityCaption","attachments/1/id","attachments/1/type","attachments/1/url","attachments/2/accessibilityCaption","attachments/2/id","attachments/2/type","attachments/2/url","attachments/3/accessibilityCaption","attachments/3/id","attachments/3/type","attachments/3/url","attachments/4/accessibilityCaption","attachments/4/id","attachments/4/type","attachments/4/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/haha","reactions/like","reactions/love","reactions/support","reactions/wow","reactionsCount","sharesCount","timestamp","url"
"No photo description available.","3564585776896155","photo","https://www.facebook.com/photo/?fbid=3564585776896155&set=a.625942299565402",,,,,,,,,,,,,,,,,"100064489128155","St. Jude Thaddeus Parish - Pasig","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/706488956_1437077815118509_4332616017056067349_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2048x2048&ctp=s40x40&_nc_cat=103&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=3xfBNqhemasQ7kNvwGp7Pk0&_nc_oc=AdpkHx0p0PAk8g5lDEwDem0-naENXPzjT8uz4_Oz4iie0dA1okEZazhlTdYthbH3c-c&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=q5sLkIsFSbSqN7jMbmAoaA&_nc_ss=7c2a8&oh=00_AQAfhgqwwg2XUE5-Ibntl5qCXn051dp4iKHE3R1_vJBjyw&oe=6A5F9C36","https://www.facebook.com/saintjudepasig","42","3564585853562814","Mga ka-parokya, ngayon ay Huwebes - araw ng pagdedebosyon sa Mahal na Patron San Hudas Tadeo! Manalangin tayo sa kanya upang patuloy tayo gabayan lalo na sa banta ng paglaganap ng COVID-19.

PANALANGIN KAY SAN HUDAS TADEO

O maluwalhating Apostol, San Hudas Tadeo,
tunay na kaanak nina Hesus at Maria, inihahabilin namin ang aming sarili sa iyong kandili. Ipanalangin mo kami at ipaalala mo sa amin na hindi kami nag-iisa sapagkat kasama namin si Kristo sa aming pakikibaka sa buhay.

Samahan mo kaming manalangin sa Diyos na bigyan kami ng pag-asa sa aming pighati at kalungkutan, tibay ng loob sa mga pagsubok, at pagsanggalang sa sunog, baha, lindol, at iba pang mga kalamidad dulot ng kalikasan at gawa ng tao.

Ipanalangin mo kami, San Hudas Tadeo, sa mahabaging Ama na sana ay punuin kami ng biyaya na tanggapin ang lahat ng Kanyang kagustuhan nang walang pagtutol at pagaagam-agam at palalimin ang aming pananampalataya sa Kanyang walang hanggang pagmamahal.

Maraming salamat, San Hudas Tadeo, sa pangako mong pag-asa sa lahat ng mga nananalig at bigyan mo kami ng adhikaing ibahagi ang lahat ng ito sa aming mga kapatid. Amen.

San Hudas Tadeo, ipanalangin mo kami!",,"130","86","3",,"219","4","1604544586000","https://www.facebook.com/saintjudepasig/posts/pfbid0bdQu6TXRrzhfXt4CZa2mXnTQagBX2RR9uzQacwJyVeEBG8Z34oq7eCxCTfBUv5pTl"
"No photo description available.","191308499264262","photo","https://www.facebook.com/photo.php?fbid=191308499264262&set=a.653360723554490&type=3","No photo description available.","191308549264257","photo","https://www.facebook.com/photo.php?fbid=191308549264257&set=a.653360723554490&type=3","No photo description available.","191308582597587","photo","https://www.facebook.com/photo.php?fbid=191308582597587&set=a.653360723554490&type=3","No photo description available.","191308575930921","photo","https://www.facebook.com/photo.php?fbid=191308575930921&set=a.653360723554490&type=3","No photo description available.","191308532597592","photo","https://www.facebook.com/photo.php?fbid=191308532597592&set=a.653360723554490&type=3","100066417040652","ARC Kaizen Builders","https://scontent-iad6-1.xx.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png&cstp=mx2048x2048&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=3e70f4&_nc_ohc=xrEZogmpOGwQ7kNvwGhssCf&_nc_oc=Adon0Y5WQAdF0E90Q6UOWusAczTRA-oM0jA_PLoKXbxp68mCFnLzCzRFxUAxgiaE-3A&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_ss=7c2a8&oh=00_AQAZDc2_jn22a3G-aN39HnnDDNV6_GRnFQYYteHHmZiKLA&oe=6A81427A","https://www.facebook.com/kamotoonwheels","28","191310575930721","QUALITY WATERPROOF CP  PHONE BAG?!

❗❗Basa sa ulan, even lubog sa baha❗❗
❗❗Worry no more, your phone is SAFE❗❗

E-MOTOWOLF yan!!

LIMITED STOCK ONLY, HURRY!!
❗ON PROMO❗ CASH ON DELIVERY ❗
❗❗ FREE DELIVERY IN METRO MANILA❗❗

🚛🚛🚛🚛🚛🚛🚛🚛🚛🚛🚛🚛🚛🚛🚛🚛🚛🚛
👇ORDER YOURS!! 👇

OPTION 1:
CLAMP TYPE 
P  599.00 ONLY !

OPTION 2:
MIRROR TYPE 
P  599.00 ONLY

HOW TO ORDER?
KINDLY FILL OUT AND SEND THE FOLLOWING DETAILS!!
OPTION NUMBER:
COMPLETE NAME:
COMPLETE ADDRESS :
LANDMARK (IF ANY.) 
CONTACT NUMBER:

Outside Metro Manila order, 99.00 flat shipping rate. 
Payment 1st by a gcash or BDO. 

ANY QUESTIONS KINDLY CONTACT :09291350036
https://m.facebook.com/kamotoonwheels","1","46","3",,"1","51","17","1604493278000","https://www.facebook.com/kamotoonwheels/posts/pfbid0qvD3CWD5G8dBMk42c8yfeV2uwfbyjW3QTbuXzM5QmK6QzMiPTNR88HuGun3JqrE3l"
"No photo description available.","366995464638889","photo","https://www.facebook.com/photo/?fbid=366995464638889&set=a.598860678572109",,,,,,,,,,,,,,,,,"100053445472142","Tekamots ni Yorme","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/305361943_598860705238773_443133739837138571_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1000x1000&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FO2dBaO-MpEQ7kNvwG_n9Yo&_nc_oc=Adp36gGNhv62csjaG_THtkibRMDNzpd5yEJjoe30DXLM1uTyPUr4HtkjAKRoTGBtauo&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=q5sLkIsFSbSqN7jMbmAoaA&_nc_ss=7c2a8&oh=00_AQCgXo1xo4Sie9qD_BL1OpzSJHZsNT-N7UaPOJiE2s436w&oe=6A5FC0C0","https://www.facebook.com/profile.php?id=100053445472142","1","366995494638886","Kung abot dibdib lang ang baha sakolin lang katapat niyan, dual purpose puede niyo rin isako yung mahilig sa photo ops.","12","11","1",,,"24","1","1604554386000","https://www.facebook.com/permalink.php?story_fbid=pfbid0BzPXNAam7ZoRiByyc61htBjnebrpaS2PiZeCgNEawzt8vUcr8EfTokk4BT2qr1hbl&id=100053445472142"
"No photo description available.","4126363900713784","photo","https://www.facebook.com/photo.php?fbid=4126363900713784&set=a.450601887091693&type=3","No photo description available.","4126363974047110","photo","https://www.facebook.com/photo.php?fbid=4126363974047110&set=a.450601887091693&type=3","No photo description available.","4126364044047103","photo","https://www.facebook.com/photo.php?fbid=4126364044047103&set=a.450601887091693&type=3","No photo description available.","4126364130713761","photo","https://www.facebook.com/photo.php?fbid=4126364130713761&set=a.450601887091693&type=3","No photo description available.","4126364220713752","photo","https://www.facebook.com/photo.php?fbid=4126364220713752&set=a.450601887091693&type=3","100064256551876","NIAS News","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/444152820_840613411423870_2227677054895348915_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx954x960&ctp=s40x40&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=FddyXKxGAxgQ7kNvwGlbjn9&_nc_oc=Ado2YLLhxD9nfY3i0lcOs5zlwI63i9BgwkazwczRlvU0DWctzjSmhWb4Cwk12mIdK4E&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=q5sLkIsFSbSqN7jMbmAoaA&_nc_ss=7c2a8&oh=00_AQA90ZSaG3JFLLPWasy1-rZtCV4_7kN8YyCAWgaWG1W2jA&oe=6A5F9786","https://www.facebook.com/NIASNews","0","4126364257380415","TULONG SA MGA TAGA CAMSUR. Namigay  ng relief goods si Vice President  Leni Robredo sa mga apektadong residente ng bayan ng  Bula, Camarines Sur matapos hagupitin sila ng Typhoon #RollyPH noong Linggo, nananatiling walang kuryente sa lugar at baha sa ilang kalsada. RVG. NIAS News Philippines [Photos via  VP Leni Robredo]

Kanias I share ang post na ito para sa pinakasariwang balita at inpormasyon",,"1",,,,"1","1","1604541696000","https://www.facebook.com/NIASNews/posts/pfbid02SJVbABnSNn8VYwX6jeFqCaTSkaBLLMuaAjPyVYBkBJjYBzEhCw1mwnWJLZKNJJ8Yl"
,,,,,,,,,,,,,,,,,,,,"100009314444410","Maxaira Jade King Ramos","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/511123379_4055377074782734_6639827593534232153_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1536x1546&ctp=s24x24&_nc_cat=111&ccb=1-7&_nc_sid=1d2534&_nc_ohc=e8Hh7ABrMrUQ7kNvwH-o40a&_nc_oc=Adq_F2C8fS4p6RdmP_Zz9EP-VbKWdBv68ZRh7_17NAtxBxeAT3K5npgODZZkE7SUrPs&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=q5sLkIsFSbSqN7jMbmAoaA&_nc_ss=7c2a8&oh=00_AQD4dgXY1TzDyFu93PPj47MA3B7PeTP4L4w6aA3yFa-Teg&oe=6A5FB152","https://www.facebook.com/maxaira.jade.king.ramos","3","779597702620542","",,,,,,"0","1","1604456669000","https://www.facebook.com/groups/198415384072113/permalink/779597702620542/"
,,,,,,,,,,,,,,,,,,,,"100045731265744","Al Alcantara","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/499488687_1215426483325049_2775653938048416172_n.jpg?stp=cp6_dst-jpg_tt6&cstp=mx2048x2048&ctp=s24x24&_nc_cat=106&ccb=1-7&_nc_sid=1d2534&_nc_ohc=X6Di0wTpmNMQ7kNvwH5s8st&_nc_oc=AdpjfR3dTxuGapVkHjXtJtZs0L1WbhfnZyOQQnNlUwFzebQfp8h7W7PlSAuOaBBr--s&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=4HZjDdIILivg-BzlgOJwuQ&_nc_ss=7c2a8&oh=00_AQB1qDtgwjeV4Q0SD0wtGTsPZLgXefVVGVuKxv7yleHCLA&oe=6A5FAED0","https://www.facebook.com/aa1227","0","1011554956008227","Nagmamadali ka bang lumipat? 🤔
Gusto mo ba ng location na malayo sa baha? 🔍
Bahay na sulit ✅
Fully Furnished ✅
Pasok sa taste mo ✅

FRIDA MODEL HOUSE and LOT Bungalow (RFO) 

-3 Bedroom
--2 Toilet & Bathroom 
-1 Garage 
--Lot Area 120sqm 
-Floor Area 70.15sqm
25%- down payment 
75%- loan Bank financing or Pagibig 

Sample Computation
Total Contract Price: 3,120,208

Reservation Fee: 20,000

25% Down payment : 767,552.08

Payable in 6 mos. 127,925.35

Bank Financing:
10years to pay : 29,729.24
15years to pay : 23,690.38

Pagibig:
10years to pay : 29,433.50
15years to pay : 23,502.02
20years to pay : 20,369.88
30years to pay : 17,928.44

For more details click the link below‼️
https://bit.ly/30WqSrb

Contact me at 📞
09061168576 - TM
09511048342 - SMART

#MakeTheRightMove",,,,,,"0","0","1604459209000","https://www.facebook.com/groups/222359141594483/permalink/1011554956008227/?sale_post_id=1011554956008227"
,,,,,,,,,,,,,,,,,,,,"100002251515731","Roberto Scott","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/731138130_27245575938434089_8543183919576147120_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x958&ctp=s24x24&_nc_cat=103&ccb=1-7&_nc_sid=e99d92&_nc_ohc=DkVPDFBYWuAQ7kNvwE1at-P&_nc_oc=AdrjxvQf2KwVIRM7eO6FT0nr7jOMcEeSN14ZOTHCVphYa6xUOBtqR8HXVitQU61Io0A&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=4HZjDdIILivg-BzlgOJwuQ&_nc_ss=7c2a8&oh=00_AQDk6XJjzw2OtN6tT2yoma00_VY8-LS2qeUq8LoS6373-g&oe=6A5FB31C","https://www.facebook.com/robertoscott.jr","0","687720108815488","Apartment Compound for S A L E

di nababakante
6 units of 8500 monthly rent each (two storey, 2 bedrooms each)
1 unit of 4500 rent
Garage for 2 cars

A separate house newly built
2 storey
3 bedroom
2 t&b
1 car garage
Currently being rented 17K

*just behind Puregold Taytay
24/7 transpo
Walking distance to highway
BIG NO sa baha
Safe environment

Price: 18.5m
Area: 279sqm",,,,,,"0","0","1604510449000","https://www.facebook.com/groups/604096097177890/permalink/687720108815488/?sale_post_id=687720108815488"
"No photo description available.","4058802344149016","photo","https://www.facebook.com/photo.php?fbid=4058802344149016&set=gm.688535645400601&type=3","No photo description available.","4058802420815675","photo","https://www.facebook.com/photo.php?fbid=4058802420815675&set=gm.688535645400601&type=3","No photo description available.","4058802530815664","photo","https://www.facebook.com/photo.php?fbid=4058802530815664&set=gm.688535645400601&type=3","No photo description available.","4058802637482320","photo","https://www.facebook.com/photo.php?fbid=4058802637482320&set=gm.688535645400601&type=3","No photo description available.","4058802744148976","photo","https://www.facebook.com/photo.php?fbid=4058802744148976&set=gm.688535645400601&type=3","100000578711311","Nylivoj R Dlcrz","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/611129555_26564733303129266_2946547209174887760_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1036x1024&ctp=s24x24&_nc_cat=104&ccb=1-7&_nc_sid=1d2534&_nc_ohc=oXOc34EVNXgQ7kNvwF0CwJL&_nc_oc=Adpe1fdgnOpc4Ayl4uXVB_Lrav76BSlANCT7f6sjmKL6M3Gl2dm3a3GLf6q6p--Vh5c&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=4HZjDdIILivg-BzlgOJwuQ&_nc_ss=7c2a8&oh=00_AQArjDO-xnZNaLgFlUg4o0WaIGc2ZDIPC7tBLbQpQ-JWxQ&oe=6A5F9127","https://www.facebook.com/dcjvy.07","0","688535645400601","",,,,,,"0","0","1604598198000","https://www.facebook.com/groups/604096097177890/permalink/688535645400601/"
,,,,,,,,,,,,,,,,,,,,"100066417040652","ARC Kaizen Builders","https://scontent-iad6-1.xx.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=cp0_dst-png&cstp=mx2048x2048&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=3e70f4&_nc_ohc=xrEZogmpOGwQ7kNvwGhssCf&_nc_oc=Adon0Y5WQAdF0E90Q6UOWusAczTRA-oM0jA_PLoKXbxp68mCFnLzCzRFxUAxgiaE-3A&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_ss=7c2a8&oh=00_AQAZDc2_jn22a3G-aN39HnnDDNV6_GRnFQYYteHHmZiKLA&oe=6A81427A","https://www.facebook.com/kamotoonwheels","0","1717129601781605","Pto admin,thank you and RS .

https://m.facebook.com/story.php?story_fbid=191310575930721&id=110511824010597",,"3",,,,"3","0","1604611802000","https://www.facebook.com/groups/721084874719421/permalink/1717129601781605/"
,,,,,,,,,,,,,,,,,,,,"100009314444410","Maxaira Jade King Ramos","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/511123379_4055377074782734_6639827593534232153_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1536x1546&ctp=s24x24&_nc_cat=111&ccb=1-7&_nc_sid=1d2534&_nc_ohc=e8Hh7ABrMrUQ7kNvwH-o40a&_nc_oc=Adq_F2C8fS4p6RdmP_Zz9EP-VbKWdBv68ZRh7_17NAtxBxeAT3K5npgODZZkE7SUrPs&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=4HZjDdIILivg-BzlgOJwuQ&_nc_ss=7c2a8&oh=00_AQBleHNBGr5c00ZeCrDyM2LvXNwDB-qeDjx_382mK8867g&oe=6A5FB152","https://www.facebook.com/maxaira.jade.king.ramos","0","664079060956932","",,,,,,"0","0","1604456714000","https://www.facebook.com/groups/244259769605532/permalink/664079060956932/"
