"attachments/0/accessibilityCaption","attachments/0/id","attachments/0/type","attachments/0/url","author/id","author/name","author/profilePicture","author/profileUrl","commentsCount","postId","postText","reactions/like","reactions/sorry","reactionsCount","sharesCount","timestamp","url"
,,,,"178609772227287","PHLRC Riders","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/498234248_1078747727617170_7531220253892465575_n.jpg?stp=c90.300.539.539a_cp0_dst-jpg_tt6&cstp=mx539x539&ctp=s40x40&_nc_cat=105&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=r43jYYAjsQoQ7kNvwEpLirz&_nc_oc=Adq3IIfOOn_S3HLRhn5Y-sWRGy-wonMpqYd39ZEhibyvZQlD_ohyehUhZBFCTX-2uzE&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=Hd9tYZK4q0pSGl0oaCeI4g&_nc_ss=7c2a8&oh=00_AQAdBP9LXFNz33WeEYMa3Z9eHfHENr6LNbfRIneJQpgyBw&oe=6A601805","https://www.facebook.com/PHLRC2022","18","553821558039438","Baha sa tacloban halos abutin na ang bubong ng bahay.



admin t-021","55",,"55","111","1383875570000","https://www.facebook.com/PHLRC2022/posts/553821558039438"
"No photo description available.","596714643699160","photo","https://www.facebook.com/photo/?fbid=596714643699160&set=a.563742849215566","100067395671637","Choose Philippines","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/347815549_232056362867338_8638454281648740897_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=6G5AMSRmgJcQ7kNvwGUNIhV&_nc_oc=Adq_TxFsIpIZW7SnVj_w3qxAp0ypIyAs7Nc4JyNLI6z6EGio5ZX8w1ErZyBoJT3bg6M&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=Hd9tYZK4q0pSGl0oaCeI4g&_nc_ss=7c2a8&oh=00_AQDrnMLmx4fOOxrQJfrVuM0QwHr8njMl3Bszirfb7-ztgg&oe=6A600B2B","https://www.facebook.com/ChoosePhilippinesOfficial","337","596714643699160","Bayanihan in the face of #YolandaPH from Jonathan Magistrado, ABS-CBN:

Urualsa o Binubuhat na bahay tuwing baha para kasamang ilikas #YolandaPH","13195",,"13195","1093","1383887014000","https://www.facebook.com/photo.php?fbid=596714643699160&set=a.563742849215566&type=3"
,,,,"101836783205053","TV Patrol","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/608518829_1379498824219235_6894079646221905019_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1079x1079&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=eBZ3DoBYorkQ7kNvwErzqZy&_nc_oc=Ado_DIrEC4tnHSJITRUUIjPLoCwcA5Ku2KUeQg4lEYI1A33jYiitKjh_bdDr2nUgeyg&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=Hd9tYZK4q0pSGl0oaCeI4g&_nc_ss=7c2a8&oh=00_AQB2iwckSe82iXKj6e-fRINdGglycQDnc6D5SH_6TwoIFQ&oe=6A60390F","https://www.facebook.com/tvpatrol.abscbn","4","570263169695743","Bago tuluyang umalis sa Philippine area of responsibility, nag-iwan pa ng pinsala ang bagyong ""Yolanda"" sa kalakhang bahagi ng Oriental Mindoro! Lubog sa baha ang lalawigan, nawalan pa ng supply ng kuryente. #YolandaPH","69",,"69","14","1384012170000","https://www.facebook.com/tvpatrol.abscbn/posts/570263169695743"
"No photo description available.","646692888716638","photo","https://www.facebook.com/photo/?fbid=646692888716638&set=a.652739368111990","100047273481697","Roxanne Nebres","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/519427380_1246736063578831_2865648828714486161_n.jpg?stp=c0.89.1440.1440a_cp0_dst-jpg_tt6&cstp=mx1440x1440&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=DbZQ_RX88DAQ7kNvwHPoeh8&_nc_oc=AdqSA5EF1N5fROjckZ_3iUcDXAGD32JHC3g6TzPygJB5uAw1bYwaz1cG4h03bdwasa4&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=Hd9tYZK4q0pSGl0oaCeI4g&_nc_ss=7c2a8&oh=00_AQAOoZhtcWEaZvq6c5RsTHuMkXhcJko9UQ54SHx9a4VJsw&oe=6A600AFE","https://www.facebook.com/roxannenebres","8","646692888716638","Kaguluhan at B-Side last night. Masaya kahit baha ng pawis hehe! Sexyhan!

Queso
November 9, 2013","250",,"250","2","1384036037000","https://www.facebook.com/photo.php?fbid=646692888716638&set=a.652739368111990&type=3"
,,,,"101836783205053","TV Patrol","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/608518829_1379498824219235_6894079646221905019_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1079x1079&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=eBZ3DoBYorkQ7kNvwErzqZy&_nc_oc=Ado_DIrEC4tnHSJITRUUIjPLoCwcA5Ku2KUeQg4lEYI1A33jYiitKjh_bdDr2nUgeyg&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=Hd9tYZK4q0pSGl0oaCeI4g&_nc_ss=7c2a8&oh=00_AQB2iwckSe82iXKj6e-fRINdGglycQDnc6D5SH_6TwoIFQ&oe=6A60390F","https://www.facebook.com/tvpatrol.abscbn","51","569892399732820","Bago pa maputol ang komunikasyon sa Tacloban, nakapag-live report pa kaninang umaga si Atom Araullo mula mismo sa Tacloban City. Nakunan niya ang bagsik ng pananalasa ng super bagyong Yolanda, pati na ang pagragasa ng baha sanhi ng storm surge. #YolandaPH","112",,"112","23","1383944401000","https://www.facebook.com/tvpatrol.abscbn/posts/569892399732820"
,,,,"101836783205053","TV Patrol","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/608518829_1379498824219235_6894079646221905019_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1079x1079&ctp=s40x40&_nc_cat=1&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=eBZ3DoBYorkQ7kNvwErzqZy&_nc_oc=Ado_DIrEC4tnHSJITRUUIjPLoCwcA5Ku2KUeQg4lEYI1A33jYiitKjh_bdDr2nUgeyg&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=2CmzYOZg4sPwHlQlX7Q2Aw&_nc_ss=7c2a8&oh=00_AQAgQDtQyeGE8OQnQ9HECHeoCkCrTLPqjx0QXZJ-GeduRA&oe=6A60390F","https://www.facebook.com/tvpatrol.abscbn","67","569835789738481","Bago pa maputol ang komunikasyon sa Tacloban, nakapag-live report pa kaninang umaga si Atom Araullo mula mismo sa Tacloban City. Nakunan niya ang bagsik ng pananalasa ng super bagyong Yolanda, pati na ang pagragasa ng baha sanhi ng storm surge. #YolandaPH","489",,"489","63","1383912159000","https://www.facebook.com/tvpatrol.abscbn/posts/569835789738481"
,"664815483559245","video",,"100064575556650","Ansor TV","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/486064691_9659438304117075_145182052416637951_n.jpg?stp=c167.0.385.385a_cp0_dst-jpg_tt6&cstp=mx385x385&ctp=s40x40&_nc_cat=110&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=BKnmJJHhUXYQ7kNvwGEVyEG&_nc_oc=AdpoP3lahz_ivj2obeWclZxBJ7O4fN6OW9k04cWXZwdVQc0Aonl3vPJc66XGyzLFtsI&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=2CmzYOZg4sPwHlQlX7Q2Aw&_nc_ss=7c2a8&oh=00_AQADhLPJ5iL6ol3dlkN6UJ303pSEPzeqkdNVW1iR3Fej-Q&oe=6A6013E4","https://www.facebook.com/postpinoy","5","664815483559245","SPREAD THIS VIDEO PARA MAKITA NG GOBYERNO NATIN....MAKAKATULONG SA ATING EKONOMYA AT MABABAWASAN ANG PAG BAHA 
LIKE & SHARE: Pinoy Tambayan International OFW PTI OFW PTI for more videos
@Anton@","62",,"62","408","1383959200000","https://www.facebook.com/postpinoy/videos/664815483559245/?idorvanity=157257317668602"
,,,,"100064414190688","Kabs Basketball","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/687040299_1400919408731852_8432609072602323072_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1254x1254&ctp=s40x40&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=EmGPxwWqr_oQ7kNvwE2FCV5&_nc_oc=AdpNgSpiifFwS65HcW2nxWRsP7_ciUzzwoC_sxO0L-J2PdFfA95IJcwmlpGYQEEooTU&_nc_zt=24&_nc_ht=scontent-iad3-1.xx&_nc_gid=2CmzYOZg4sPwHlQlX7Q2Aw&_nc_ss=7c2a8&oh=00_AQAeZYHXatuKzKYpmAI07lLaX9Dr30vp8ajAaRL-MOfvJg&oe=6A601B31","https://www.facebook.com/KabsBasketball","18","630392780345231","Kabaranggay INGAT PO! MALAKAS PO ANG BAGYO! May nababasa na po ako na balita na 10feet daw ang taas ng baha sa tacloban ngayon! GOD BLESS TO ALL! KEEP SAFE EVERYONE!","584",,"584","5","1383871229000","https://www.facebook.com/KabsBasketball/posts/pfbid02xnVnFeU5S6hDRnqTCrQxTWimgTXXwToHnTWviP1m2MPmssZBqimThUopJzFfEKoxl"
,,,,"100050429022288","Dong Abay","https://scontent-iad6-1.xx.fbcdn.net/v/t39.30808-1/300187708_635312784826350_2686484448987289952_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx508x509&ctp=s40x40&_nc_cat=107&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=mu8czYVUyXgQ7kNvwH9wAkU&_nc_oc=Adrxv2tOhaKPs24STCLm5XqyjxFKClJCEKK8XaH_s45xfOxgcLW8tzTbSrAem6d_CLM&_nc_zt=24&_nc_ht=scontent-iad6-1.xx&_nc_gid=2CmzYOZg4sPwHlQlX7Q2Aw&_nc_ss=7c2a8&oh=00_AQA2W-N8FGz_N0nJhdwxk-FLCUsj2pyxPJPI_YDysX7b2A&oe=6A602520","https://www.facebook.com/FilipinoRockstarExtraordinaire","17","10151804011340892","Opo, pagkatapos ng gyera, bagyo, baha, lindol, lalabas ulit ang dinosaurs.","434",,"434","12","1384002043000","https://www.facebook.com/FilipinoRockstarExtraordinaire/posts/pfbid02d3D9M2vTnMPprZxkkw6ox5XGbWo6wGJjHfSESDqhKn458Zq9Y7UbzGq7oi4r1GnEl"
,,,,"100050361135404","Hindi ko po alam.","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/272250795_485185983170102_7759427047280090560_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx640x640&ctp=s40x40&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=mEr7WSa_h98Q7kNvwFe8UOJ&_nc_oc=Adq3IDi9jeLPuwPGv1FVACUqVkJX2xGHO3Owqwjxx3PMYy9tCsERZyDQ0s8dJCc9Z3Q&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=2CmzYOZg4sPwHlQlX7Q2Aw&_nc_ss=7c2a8&oh=00_AQBIksla_s-QQxZa3PE9IIxGJQSpUAkmKBEiUrIJUMRC1g&oe=6A6037DE","https://www.facebook.com/Hindikopoalam","2","1388153608094537","mga Kurakot na Leaders na hindi umaamin, Lindol , Palaging Bagyo at baha , gutom . ibat ibang kalamidad , pero andito pa din tayo Taas Noo hinaharap kung ano ang ibato sa atin, ayan tayo eh! Pinoy Kasi ! :) 

Hindi ko po alam.

-Ram","81",,"81","4","1383999868000","https://www.facebook.com/Hindikopoalam/posts/pfbid0rhCkMEoKb92KbZ7a3eDRQLhY3nL7NynFohsD6P256NFpw3yoS5R6MJLozug7CTAjl"
