url,twitterUrl,text,imageSeverity
https://x.com/seowon_pk/status/1849627406300225587,https://twitter.com/seowon_pk/status/1849627406300225587,"While here in Pasig mababa palang ang baha likas na.. from evacuating people, dry and safe place to sleep, food and hygiene kits. 

#VeryWellPrepared #PASIG #KristinePH https://t.co/Zt3myyf8Dj",MILD
https://x.com/Thesexybaker1/status/1849411561443778609,https://twitter.com/Thesexybaker1/status/1849411561443778609,@MMDA any baha in front of Tiendesitas Pasig? North/South bound?,NOT RELEVANT
https://x.com/alieneyuh/status/1850366054918504485,https://twitter.com/alieneyuh/status/1850366054918504485,Really curious abt Pasig’s flood control projects bec some of the places that used to be very very flooded in typhoons now have less flood/no flood at all 👀👀👀,NOT RELEVANT
https://x.com/Freenbeck_Freen/status/1849711128320016390,https://twitter.com/Freenbeck_Freen/status/1849711128320016390,"@FBInsider30 I just hope she’s not going to attend there . Some areas in Pasig  still flooding and vehicle can’t pass because of flood 

And the fact that it’s an open ground event it’s so dangerou",NOT RELEVANT
https://x.com/blueberryusi/status/1849457672510402917,https://twitter.com/blueberryusi/status/1849457672510402917,"electricity gone now, praying that the rain would stop. if marikina water level rises, it would mean flood for pasig.. take care everyone!",NOT RELEVANT
https://x.com/radyopilipinas1/status/1849453391464038446,https://twitter.com/radyopilipinas1/status/1849453391464038446,"𝐅𝐋𝐎𝐎𝐃 𝐔𝐏𝐃𝐀𝐓𝐄 | As of 9:10 PM, October 24, 2024

QUEZON CITY:
- Araneta Ave. P. Florentino LTO SB: Gutter deep (8 inches) as of 3:33 PM
- Katipunan Ave. Whiteplains: above Gutter deep (9 inches) as of 7:44 PM
- Araneta E.Rodriguez Intersection: Gutter deep (8 inches) as of 9:28 PM

MANILA CITY:
- Taft Avenue corner UN Avenue, Ermita, Manila: Gutter Deep (8 inches) as of 2:57 PM
- Quirino Pedro Gil NB: Gutter Deep (8 inches) as of 8:06 PM
- España Blvd cor Antipolo St.: Knee deep (24 inches) as of 9:24 PM

PARAÑAQUE CITY:
- Sucat Road infront of Lianas Market-EVACOM, Brgy. San Dionisio: Knee-waist deep (19-37 inches) as of 5:00 pm
- Sucat Rd. SM City Sucat:  Waist deep (37 inches) as of 7:46 pm

MANDALUYONG CITY:
- EDSA Shaw tunnel NB/SB (outermost lane):  Knee deep (19 inches) as of 8:49 PM

LAS PIÑAS CITY:
- Canaynay corner Tionquiao Rd: Waist deep (37 inches) 3:38 PM

PASAY CITY:
- Andrew Tramo SB:  Gutter Deep (8 inches) as of 7:51 PM
- NAIA Rd. Terminal 2 EB/WB: Half knee (10 inches) as of 8:28 PM
- Roxas Blvd. EDSA NB: Gutter deep (8 inches) as of 6:25 PM

PASIG CITY:
- C5 Cor. Eagle St. Northbound oposite side of Tiendesitas and SM Hypermarket: Subsided as of 9:40 PM
- Ortigas extension between SM East and Buli Creek: Gutter deep (8 inches) as of : 8:50 PM | via Diane Lear/MMDA 

#RadyoPilipinas #KristinePH",NOT RELEVANT
https://x.com/jonginini_ypc/status/1849450104442560748,https://twitter.com/jonginini_ypc/status/1849450104442560748,"3/ Project NOAH
https://t.co/vfi716PXXr

input your location, and project noah will tell you the possible hazards there (landslide, flood, storm surge)
- sample dito is manila beside the pasig river. RED sya because there is a high hazard for storm surge. https://t.co/2BEfbj89qj",NOT RELEVANT
https://x.com/manilabulletin/status/1849448406697255088,https://twitter.com/manilabulletin/status/1849448406697255088,"The Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA) issued flood advisories for the Pasig-Marikina-Laguna de Bay and Tullahan river basins due to heavy rains from Severe Tropical Storm Kristine (Trami) on Thursday evening, Oct. 24.

READ: https://t.co/1AoYFl4hEP",NOT RELEVANT
https://x.com/k_fangirlera/status/1849439758570987781,https://twitter.com/k_fangirlera/status/1849439758570987781,"Flood bulletin for the Pasig-Marikina-Laguna de Bay River Basin.

This major river system traverses Metro Manila and nearby towns and cities from CALABARZON. Water flowing through Pasig River is also influenced by influx from Manila Bay and Laguna de Bay.

1/2 https://t.co/tLDZlElq0u",NOT RELEVANT
https://x.com/kissforkhi/status/1849398343119901173,https://twitter.com/kissforkhi/status/1849398343119901173,"to think that pasig is not that vulnerable to rains compared to other cities and it’s pouring heavily rn :[ i’m worried for my nagpayong &amp; manggahan peeps, sila ang sentro ng flood sa pasig.",NOT RELEVANT
